dd/MM/yyyy HH:mm:ss;LOG_OK,0
25/02/2021 08:24:48;OK
25/02/2021 08:25:48;OK
25/02/2021 08:26:48;OK
25/02/2021 08:27:48;OK
25/02/2021 08:28:48;OK
25/02/2021 08:29:48;OK
25/02/2021 08:30:48;OK
25/02/2021 08:31:48;OK
25/02/2021 08:32:48;OK
25/02/2021 08:33:48;OK
25/02/2021 08:34:48;OK
25/02/2021 08:35:48;OK
25/02/2021 08:36:48;OK
25/02/2021 08:37:48;OK
25/02/2021 08:38:48;OK
25/02/2021 08:39:48;OK
25/02/2021 08:40:48;OK
25/02/2021 08:41:48;OK
25/02/2021 08:42:48;OK
25/02/2021 08:43:48;OK
25/02/2021 08:44:48;OK
25/02/2021 08:45:48;OK
25/02/2021 08:46:48;OK
25/02/2021 08:47:48;OK
25/02/2021 08:48:48;OK
25/02/2021 08:49:48;OK
25/02/2021 08:50:48;OK
25/02/2021 08:51:48;OK
25/02/2021 08:52:48;OK
25/02/2021 08:53:48;OK
25/02/2021 08:54:48;OK
25/02/2021 08:55:48;OK
25/02/2021 08:56:48;OK
25/02/2021 08:57:48;OK
25/02/2021 08:58:48;OK
25/02/2021 08:59:48;OK
25/02/2021 09:00:48;OK
25/02/2021 09:01:48;OK
25/02/2021 09:02:48;OK
25/02/2021 09:03:48;OK
25/02/2021 09:04:48;OK
25/02/2021 09:05:48;OK
25/02/2021 09:06:48;OK
25/02/2021 09:07:48;OK
25/02/2021 09:08:48;OK
25/02/2021 09:09:48;OK
25/02/2021 09:10:48;OK
25/02/2021 09:11:48;OK
25/02/2021 09:12:48;OK
25/02/2021 09:13:48;OK
25/02/2021 09:14:48;OK
25/02/2021 09:15:48;OK
25/02/2021 09:16:48;OK
25/02/2021 09:17:48;OK
25/02/2021 09:18:48;OK
25/02/2021 09:19:48;OK
25/02/2021 09:20:48;OK
25/02/2021 09:21:48;OK
25/02/2021 09:22:48;OK
25/02/2021 09:23:48;OK
25/02/2021 09:24:48;OK
25/02/2021 09:25:48;OK
25/02/2021 09:26:48;OK
25/02/2021 09:27:48;OK
25/02/2021 09:28:48;OK
25/02/2021 09:29:48;OK
25/02/2021 09:30:49;OK
25/02/2021 09:31:49;OK
25/02/2021 09:32:49;OK
25/02/2021 09:33:49;OK
25/02/2021 09:34:49;OK
25/02/2021 09:35:49;OK
25/02/2021 09:36:49;OK
25/02/2021 09:37:49;OK
25/02/2021 09:38:49;OK
25/02/2021 09:39:49;OK
25/02/2021 09:40:49;OK
25/02/2021 09:41:49;OK
25/02/2021 09:42:49;OK
25/02/2021 09:43:49;OK
25/02/2021 09:44:49;OK
25/02/2021 09:45:49;OK
25/02/2021 09:46:49;OK
25/02/2021 09:47:49;OK
25/02/2021 09:48:47;OK
25/02/2021 09:49:38;OK
25/02/2021 09:50:38;OK
25/02/2021 09:51:38;OK
25/02/2021 09:52:38;OK
25/02/2021 09:53:38;OK
25/02/2021 09:54:38;OK
25/02/2021 09:55:38;OK
25/02/2021 09:56:38;OK
25/02/2021 09:57:38;OK
25/02/2021 09:58:38;OK
25/02/2021 09:59:38;OK
25/02/2021 09:59:47;OK
25/02/2021 10:00:47;OK
25/02/2021 10:01:47;OK
25/02/2021 10:02:47;OK
25/02/2021 10:03:45;OK
25/02/2021 10:04:45;OK
25/02/2021 10:05:45;OK
25/02/2021 10:06:45;OK
25/02/2021 10:07:45;OK
25/02/2021 10:08:45;OK
25/02/2021 10:09:45;OK
25/02/2021 10:10:45;OK
25/02/2021 10:11:44;OK
25/02/2021 10:12:44;OK
25/02/2021 10:13:44;OK
25/02/2021 10:14:44;OK
25/02/2021 10:15:44;OK
25/02/2021 10:16:44;OK
25/02/2021 10:17:44;OK
25/02/2021 10:18:44;OK
25/02/2021 10:19:44;OK
25/02/2021 10:20:44;OK
25/02/2021 10:21:44;OK
25/02/2021 10:22:44;OK
25/02/2021 10:23:44;OK
25/02/2021 10:24:44;OK
25/02/2021 10:25:44;OK
25/02/2021 10:26:44;OK
25/02/2021 10:27:44;OK
25/02/2021 10:28:44;OK
25/02/2021 10:29:44;OK
25/02/2021 10:30:44;OK
25/02/2021 10:31:44;OK
25/02/2021 10:32:44;OK
25/02/2021 10:33:44;OK
25/02/2021 10:34:44;OK
25/02/2021 10:35:44;OK
25/02/2021 10:36:44;OK
25/02/2021 10:37:44;OK
25/02/2021 10:38:44;OK
25/02/2021 10:39:44;OK
25/02/2021 10:40:44;OK
25/02/2021 10:41:44;OK
25/02/2021 10:42:44;OK
25/02/2021 10:43:44;OK
25/02/2021 10:44:44;OK
25/02/2021 10:45:44;OK
25/02/2021 10:46:44;OK
25/02/2021 10:47:44;OK
25/02/2021 10:48:44;OK
25/02/2021 10:49:44;OK
25/02/2021 10:50:44;OK
25/02/2021 10:51:26;OK
25/02/2021 10:52:26;OK
25/02/2021 10:53:26;OK
25/02/2021 10:54:26;OK
25/02/2021 10:55:26;OK
25/02/2021 10:56:26;OK
25/02/2021 10:57:26;OK
25/02/2021 10:58:26;OK
25/02/2021 10:59:26;OK
25/02/2021 11:00:26;OK
25/02/2021 11:01:26;OK
25/02/2021 11:02:26;OK
25/02/2021 11:03:26;OK
25/02/2021 11:04:26;OK
25/02/2021 11:05:26;OK
25/02/2021 11:06:26;OK
25/02/2021 11:07:26;OK
25/02/2021 11:08:26;OK
25/02/2021 11:09:27;OK
25/02/2021 11:10:27;OK
25/02/2021 11:11:27;OK
25/02/2021 11:12:27;OK
25/02/2021 11:13:27;OK
25/02/2021 11:14:27;OK
25/02/2021 11:15:27;OK
25/02/2021 11:16:27;OK
25/02/2021 11:17:27;OK
25/02/2021 11:18:27;OK
25/02/2021 11:19:27;OK
25/02/2021 11:20:27;OK
25/02/2021 11:21:27;OK
25/02/2021 11:22:27;OK
25/02/2021 11:23:27;OK
25/02/2021 11:24:27;OK
25/02/2021 11:25:27;OK
25/02/2021 11:26:27;OK
25/02/2021 11:27:27;OK
25/02/2021 11:28:27;OK
25/02/2021 11:29:27;OK
25/02/2021 11:30:27;OK
25/02/2021 11:31:27;OK
25/02/2021 11:32:27;OK
25/02/2021 11:33:24;OK
25/02/2021 11:34:24;OK
25/02/2021 11:35:24;OK
25/02/2021 11:36:24;OK
25/02/2021 11:37:24;OK
25/02/2021 11:38:24;OK
25/02/2021 11:39:24;OK
25/02/2021 11:40:24;OK
25/02/2021 11:41:24;OK
25/02/2021 11:42:24;OK
25/02/2021 11:43:24;OK
25/02/2021 11:44:24;OK
25/02/2021 11:45:24;OK
25/02/2021 11:46:24;OK
25/02/2021 11:47:24;OK
25/02/2021 11:48:24;OK
25/02/2021 11:49:24;OK
25/02/2021 11:50:24;OK
25/02/2021 11:51:24;OK
25/02/2021 11:52:24;OK
25/02/2021 11:53:24;OK
25/02/2021 11:54:24;OK
25/02/2021 11:55:24;OK
25/02/2021 11:56:24;OK
25/02/2021 11:57:24;OK
25/02/2021 11:58:24;OK
25/02/2021 11:59:24;OK
25/02/2021 12:00:24;OK
25/02/2021 12:01:24;OK
25/02/2021 12:02:24;OK
25/02/2021 12:03:24;OK
25/02/2021 12:04:24;OK
25/02/2021 12:05:24;OK
25/02/2021 12:06:24;OK
25/02/2021 12:07:24;OK
25/02/2021 12:08:24;OK
25/02/2021 12:09:24;OK
25/02/2021 12:10:24;OK
25/02/2021 12:11:24;OK
25/02/2021 12:12:24;OK
25/02/2021 12:13:24;OK
25/02/2021 12:14:24;OK
25/02/2021 12:15:24;OK
25/02/2021 12:16:24;OK
25/02/2021 12:17:24;OK
25/02/2021 12:18:24;OK
25/02/2021 12:19:24;OK
25/02/2021 12:20:24;OK
25/02/2021 12:21:24;OK
25/02/2021 12:22:24;OK
25/02/2021 12:23:24;OK
25/02/2021 12:24:24;OK
25/02/2021 12:25:24;OK
25/02/2021 12:26:24;OK
25/02/2021 12:27:24;OK
25/02/2021 12:28:24;OK
25/02/2021 12:29:24;OK
25/02/2021 12:30:24;OK
25/02/2021 12:31:24;OK
25/02/2021 12:32:24;OK
25/02/2021 12:33:24;OK
25/02/2021 12:34:24;OK
25/02/2021 12:35:24;OK
25/02/2021 12:36:24;OK
25/02/2021 12:37:24;OK
25/02/2021 12:38:24;OK
25/02/2021 12:39:24;OK
25/02/2021 12:40:24;OK
25/02/2021 12:41:24;OK
25/02/2021 12:42:24;OK
25/02/2021 12:43:24;OK
25/02/2021 12:44:24;OK
25/02/2021 12:45:24;OK
25/02/2021 12:46:24;OK
25/02/2021 12:47:24;OK
25/02/2021 12:48:24;OK
25/02/2021 12:49:24;OK
25/02/2021 12:50:24;OK
25/02/2021 12:51:24;OK
25/02/2021 12:52:24;OK
25/02/2021 12:53:24;OK
25/02/2021 12:54:24;OK
25/02/2021 12:55:24;OK
25/02/2021 12:56:24;OK
25/02/2021 12:57:24;OK
