dd/MM/yyyy HH:mm:ss;CHC1A,16
26/02/2021 16:02:12;54,00
26/02/2021 16:02:16;57,00
26/02/2021 16:02:28;43,00
26/02/2021 16:02:36;86,00
26/02/2021 16:02:40;53,00
26/02/2021 16:02:44;77,00
26/02/2021 16:02:52;66,00
26/02/2021 16:02:58;86,00
26/02/2021 16:03:22;67,00
26/02/2021 16:03:24;76,00
26/02/2021 16:03:26;58,00
26/02/2021 16:03:30;47,00
26/02/2021 16:03:34;52,00
26/02/2021 16:03:37;85,00
26/02/2021 16:03:39;45,00
26/02/2021 16:03:41;79,00
26/02/2021 16:03:47;73,00
26/02/2021 16:03:51;47,00
26/02/2021 16:03:55;87,00
26/02/2021 16:03:59;81,00
26/02/2021 16:04:01;51,00
26/02/2021 16:04:05;71,00
26/02/2021 16:04:07;76,00
26/02/2021 16:04:13;56,00
26/02/2021 16:04:21;45,00
26/02/2021 16:04:23;64,00
26/02/2021 16:04:25;85,00
26/02/2021 16:04:27;62,00
26/02/2021 16:04:33;81,00
26/02/2021 16:04:35;45,00
26/02/2021 16:04:37;43,00
26/02/2021 16:04:39;73,00
26/02/2021 16:04:43;54,00
26/02/2021 16:04:45;44,00
26/02/2021 16:04:47;68,00
26/02/2021 16:04:49;81,00
26/02/2021 16:04:53;57,00
26/02/2021 16:04:57;64,00
26/02/2021 16:05:03;53,00
26/02/2021 16:05:09;87,00
26/02/2021 16:05:11;67,00
26/02/2021 16:05:13;42,00
26/02/2021 16:05:21;43,00
26/02/2021 16:05:23;79,00
26/02/2021 16:05:25;46,00
26/02/2021 16:05:27;72,00
26/02/2021 16:05:31;71,00
26/02/2021 16:05:33;73,00
26/02/2021 16:05:35;56,00
26/02/2021 16:05:39;47,00
26/02/2021 16:05:41;58,00
26/02/2021 16:05:43;87,00
26/02/2021 16:05:45;74,00
26/02/2021 16:05:49;47,00
26/02/2021 16:05:51;73,00
26/02/2021 16:05:53;42,00
26/02/2021 16:05:55;87,00
26/02/2021 16:05:59;82,00
26/02/2021 16:06:04;72,00
26/02/2021 16:06:05;83,00
26/02/2021 16:06:08;62,00
26/02/2021 16:06:10;57,00
26/02/2021 16:06:16;43,00
26/02/2021 16:06:18;55,00
26/02/2021 16:06:20;89,00
26/02/2021 16:06:22;43,00
26/02/2021 16:06:28;55,00
26/02/2021 16:06:30;62,00
26/02/2021 16:06:32;49,00
26/02/2021 16:06:34;58,00
26/02/2021 16:06:36;86,00
26/02/2021 16:06:40;55,00
26/02/2021 16:06:44;52,00
26/02/2021 16:06:46;59,00
26/02/2021 16:06:48;76,00
26/02/2021 16:06:50;78,00
26/02/2021 16:06:52;49,00
26/02/2021 16:06:56;43,00
26/02/2021 16:06:58;55,00
26/02/2021 16:07:00;82,00
26/02/2021 16:07:02;58,00
26/02/2021 16:07:04;62,00
26/02/2021 16:07:10;64,00
26/02/2021 16:07:12;73,00
26/02/2021 16:07:14;64,00
26/02/2021 16:07:16;69,00
26/02/2021 16:07:18;73,00
26/02/2021 16:07:20;76,00
26/02/2021 16:07:22;62,00
26/02/2021 16:07:26;75,00
26/02/2021 16:07:28;44,00
26/02/2021 16:07:30;88,00
26/02/2021 16:07:32;84,00
26/02/2021 16:07:36;58,00
26/02/2021 16:07:38;73,00
26/02/2021 16:07:40;75,00
26/02/2021 16:07:42;64,00
26/02/2021 16:07:44;51,00
26/02/2021 16:07:48;83,00
26/02/2021 16:07:56;88,00
26/02/2021 16:07:58;64,00
26/02/2021 16:08:00;84,00
26/02/2021 16:08:02;50,00
26/02/2021 16:08:08;61,00
26/02/2021 16:08:12;87,00
26/02/2021 16:08:16;51,00
26/02/2021 16:08:24;87,00
26/02/2021 16:08:28;79,00
26/02/2021 16:08:33;80,00
26/02/2021 16:08:37;49,00
26/02/2021 16:08:41;82,00
26/02/2021 16:08:43;44,00
26/02/2021 16:08:47;56,00
26/02/2021 16:08:49;67,00
26/02/2021 16:08:53;84,00
26/02/2021 16:08:55;58,00
26/02/2021 16:09:05;65,00
26/02/2021 16:09:07;47,00
26/02/2021 16:09:09;48,00
26/02/2021 16:09:13;82,00
26/02/2021 16:09:23;53,00
26/02/2021 16:09:25;81,00
26/02/2021 16:09:31;78,00
26/02/2021 16:09:35;82,00
26/02/2021 16:09:37;63,00
26/02/2021 16:09:39;78,00
26/02/2021 16:09:45;84,00
26/02/2021 16:09:51;45,00
26/02/2021 16:09:53;57,00
26/02/2021 16:09:55;55,00
26/02/2021 16:09:57;77,00
26/02/2021 16:10:01;64,00
26/02/2021 16:10:05;68,00
26/02/2021 16:10:07;75,00
26/02/2021 16:10:15;47,00
26/02/2021 16:10:17;57,00
26/02/2021 16:10:19;61,00
26/02/2021 16:10:23;55,00
26/02/2021 16:10:31;48,00
26/02/2021 16:10:33;62,00
26/02/2021 16:10:37;44,00
26/02/2021 16:10:39;85,00
26/02/2021 16:10:41;70,00
26/02/2021 16:10:44;58,00
26/02/2021 16:10:48;50,00
26/02/2021 16:10:52;54,00
26/02/2021 16:10:54;89,00
26/02/2021 16:10:58;54,00
26/02/2021 16:11:02;62,00
26/02/2021 16:11:08;53,00
26/02/2021 16:11:14;76,00
26/02/2021 16:11:16;68,00
26/02/2021 16:11:20;88,00
26/02/2021 16:11:24;69,00
26/02/2021 16:11:26;63,00
26/02/2021 16:11:28;81,00
26/02/2021 16:11:36;72,00
26/02/2021 16:11:40;71,00
26/02/2021 16:11:42;78,00
26/02/2021 16:11:50;57,00
26/02/2021 16:11:54;84,00
26/02/2021 16:11:56;51,00
26/02/2021 16:12:00;67,00
26/02/2021 16:12:04;42,00
26/02/2021 16:12:06;45,00
26/02/2021 16:12:10;76,00
26/02/2021 16:12:12;50,00
26/02/2021 16:12:14;48,00
26/02/2021 16:12:16;63,00
26/02/2021 16:12:18;69,00
26/02/2021 16:12:20;89,00
26/02/2021 16:12:24;59,00
26/02/2021 16:12:26;66,00
26/02/2021 16:12:32;44,00
26/02/2021 16:12:40;70,00
26/02/2021 16:12:44;59,00
26/02/2021 16:12:46;67,00
26/02/2021 16:12:48;76,00
26/02/2021 16:12:52;56,00
26/02/2021 16:13:02;77,00
26/02/2021 16:13:04;84,00
26/02/2021 16:13:10;53,00
26/02/2021 16:13:14;52,00
26/02/2021 16:13:25;51,00
26/02/2021 16:13:29;54,00
26/02/2021 16:13:31;75,00
26/02/2021 16:13:35;77,00
26/02/2021 16:13:37;74,00
26/02/2021 16:13:39;77,00
26/02/2021 16:13:41;76,00
26/02/2021 16:13:47;55,00
26/02/2021 16:13:49;83,00
26/02/2021 16:13:51;70,00
26/02/2021 16:13:55;78,00
26/02/2021 16:13:57;79,00
26/02/2021 16:14:01;63,00
26/02/2021 16:14:03;57,00
26/02/2021 16:14:13;42,00
26/02/2021 16:14:15;62,00
26/02/2021 16:14:19;71,00
26/02/2021 16:14:23;89,00
26/02/2021 16:14:27;49,00
26/02/2021 16:14:31;51,00
26/02/2021 16:14:33;48,00
26/02/2021 16:14:37;67,00
26/02/2021 16:14:41;59,00
26/02/2021 16:14:43;76,00
