dd/MM/yyyy HH:mm:ss;CHC1B,16
26/02/2021 16:02:12;72,00
26/02/2021 16:02:14;83,00
26/02/2021 16:02:16;47,00
26/02/2021 16:02:18;55,00
26/02/2021 16:02:20;44,00
26/02/2021 16:02:24;41,00
26/02/2021 16:02:28;52,00
26/02/2021 16:02:32;59,00
26/02/2021 16:02:36;77,00
26/02/2021 16:02:38;60,00
26/02/2021 16:02:40;53,00
26/02/2021 16:02:46;73,00
26/02/2021 16:02:48;79,00
26/02/2021 16:02:54;57,00
26/02/2021 16:02:56;62,00
26/02/2021 16:03:00;73,00
26/02/2021 16:03:02;48,00
26/02/2021 16:03:08;53,00
26/02/2021 16:03:10;41,00
26/02/2021 16:03:14;78,00
26/02/2021 16:03:18;66,00
26/02/2021 16:03:22;77,00
26/02/2021 16:03:26;83,00
26/02/2021 16:03:37;67,00
26/02/2021 16:03:39;53,00
26/02/2021 16:03:41;70,00
26/02/2021 16:03:43;87,00
26/02/2021 16:03:45;88,00
26/02/2021 16:03:53;72,00
26/02/2021 16:03:57;63,00
26/02/2021 16:04:03;60,00
26/02/2021 16:04:07;67,00
26/02/2021 16:04:11;47,00
26/02/2021 16:04:13;74,00
26/02/2021 16:04:23;50,00
26/02/2021 16:04:27;52,00
26/02/2021 16:04:33;49,00
26/02/2021 16:04:35;48,00
26/02/2021 16:04:37;57,00
26/02/2021 16:04:43;61,00
26/02/2021 16:04:45;50,00
26/02/2021 16:04:51;67,00
26/02/2021 16:04:53;66,00
26/02/2021 16:04:57;76,00
26/02/2021 16:04:59;59,00
26/02/2021 16:05:01;50,00
26/02/2021 16:05:03;65,00
26/02/2021 16:05:05;49,00
26/02/2021 16:05:09;83,00
26/02/2021 16:05:11;72,00
26/02/2021 16:05:13;64,00
26/02/2021 16:05:17;42,00
26/02/2021 16:05:19;59,00
26/02/2021 16:05:21;52,00
26/02/2021 16:05:25;54,00
26/02/2021 16:05:35;49,00
26/02/2021 16:05:41;83,00
26/02/2021 16:05:43;61,00
26/02/2021 16:05:49;47,00
26/02/2021 16:05:51;79,00
26/02/2021 16:05:57;44,00
26/02/2021 16:06:01;52,00
26/02/2021 16:06:04;42,00
26/02/2021 16:06:05;89,00
26/02/2021 16:06:08;78,00
26/02/2021 16:06:10;82,00
26/02/2021 16:06:14;71,00
26/02/2021 16:06:16;73,00
26/02/2021 16:06:18;47,00
26/02/2021 16:06:20;49,00
26/02/2021 16:06:22;52,00
26/02/2021 16:06:30;53,00
26/02/2021 16:06:32;85,00
26/02/2021 16:06:34;71,00
26/02/2021 16:06:36;73,00
26/02/2021 16:06:38;66,00
26/02/2021 16:06:40;59,00
26/02/2021 16:06:46;78,00
26/02/2021 16:06:52;81,00
26/02/2021 16:06:54;52,00
26/02/2021 16:06:56;60,00
26/02/2021 16:07:02;46,00
26/02/2021 16:07:12;43,00
26/02/2021 16:07:14;55,00
26/02/2021 16:07:16;43,00
26/02/2021 16:07:18;55,00
26/02/2021 16:07:24;76,00
26/02/2021 16:07:28;84,00
26/02/2021 16:07:34;43,00
26/02/2021 16:07:36;55,00
26/02/2021 16:07:38;47,00
26/02/2021 16:07:40;62,00
26/02/2021 16:07:44;61,00
26/02/2021 16:07:48;48,00
26/02/2021 16:07:58;73,00
26/02/2021 16:08:00;65,00
26/02/2021 16:08:02;88,00
26/02/2021 16:08:06;56,00
26/02/2021 16:08:08;41,00
26/02/2021 16:08:16;48,00
26/02/2021 16:08:18;71,00
26/02/2021 16:08:22;50,00
26/02/2021 16:08:24;47,00
26/02/2021 16:08:33;50,00
26/02/2021 16:08:37;41,00
26/02/2021 16:08:45;46,00
