dd/MM/yyyy HH:mm:ss;CHC1C,16
26/02/2021 16:02:16;80,00
26/02/2021 16:02:18;84,00
26/02/2021 16:02:20;63,00
26/02/2021 16:02:22;84,00
26/02/2021 16:02:24;78,00
26/02/2021 16:02:26;52,00
26/02/2021 16:02:30;61,00
26/02/2021 16:02:32;46,00
26/02/2021 16:02:34;66,00
26/02/2021 16:02:38;74,00
26/02/2021 16:02:42;54,00
26/02/2021 16:02:44;72,00
26/02/2021 16:02:50;78,00
26/02/2021 16:02:54;50,00
26/02/2021 16:02:58;78,00
26/02/2021 16:03:00;47,00
26/02/2021 16:03:04;68,00
26/02/2021 16:03:06;60,00
26/02/2021 16:03:10;72,00
26/02/2021 16:03:12;41,00
26/02/2021 16:03:14;61,00
26/02/2021 16:03:16;51,00
26/02/2021 16:03:24;79,00
26/02/2021 16:03:26;74,00
26/02/2021 16:03:30;52,00
26/02/2021 16:03:32;84,00
26/02/2021 16:03:34;54,00
26/02/2021 16:03:37;66,00
26/02/2021 16:03:39;48,00
26/02/2021 16:03:41;71,00
26/02/2021 16:03:51;50,00
26/02/2021 16:03:57;45,00
26/02/2021 16:04:01;81,00
26/02/2021 16:04:07;65,00
26/02/2021 16:04:09;76,00
26/02/2021 16:04:11;72,00
26/02/2021 16:04:15;61,00
26/02/2021 16:04:19;78,00
26/02/2021 16:04:21;88,00
26/02/2021 16:04:31;49,00
26/02/2021 16:04:33;46,00
26/02/2021 16:04:35;69,00
26/02/2021 16:04:41;46,00
26/02/2021 16:04:43;62,00
26/02/2021 16:04:45;76,00
26/02/2021 16:04:49;49,00
26/02/2021 16:04:51;77,00
26/02/2021 16:04:53;85,00
26/02/2021 16:04:55;42,00
26/02/2021 16:04:57;65,00
26/02/2021 16:04:59;61,00
26/02/2021 16:05:05;89,00
26/02/2021 16:05:07;56,00
26/02/2021 16:05:09;85,00
26/02/2021 16:05:13;79,00
26/02/2021 16:05:15;65,00
26/02/2021 16:05:17;85,00
26/02/2021 16:05:19;70,00
26/02/2021 16:05:21;47,00
26/02/2021 16:05:23;64,00
26/02/2021 16:05:27;76,00
26/02/2021 16:05:31;75,00
26/02/2021 16:05:33;65,00
26/02/2021 16:05:37;57,00
26/02/2021 16:05:41;82,00
26/02/2021 16:05:43;58,00
26/02/2021 16:05:47;74,00
26/02/2021 16:05:49;71,00
26/02/2021 16:05:55;55,00
26/02/2021 16:05:57;76,00
26/02/2021 16:06:01;89,00
26/02/2021 16:06:05;84,00
26/02/2021 16:06:08;55,00
26/02/2021 16:06:12;64,00
26/02/2021 16:06:14;78,00
26/02/2021 16:06:18;81,00
26/02/2021 16:06:20;65,00
26/02/2021 16:06:24;56,00
26/02/2021 16:06:26;54,00
26/02/2021 16:06:28;59,00
26/02/2021 16:06:36;89,00
26/02/2021 16:06:38;65,00
26/02/2021 16:06:46;63,00
26/02/2021 16:06:54;65,00
26/02/2021 16:06:56;45,00
26/02/2021 16:07:00;65,00
26/02/2021 16:07:02;61,00
26/02/2021 16:07:06;66,00
26/02/2021 16:07:12;63,00
26/02/2021 16:07:22;67,00
26/02/2021 16:07:26;77,00
26/02/2021 16:07:34;84,00
26/02/2021 16:07:36;45,00
26/02/2021 16:07:38;41,00
26/02/2021 16:07:48;77,00
26/02/2021 16:07:50;73,00
26/02/2021 16:07:52;52,00
