dd/MM/yyyy HH:mm:ss;CHC1D,16
26/02/2021 16:02:12;49,00
26/02/2021 16:02:20;43,00
26/02/2021 16:02:22;45,00
26/02/2021 16:02:24;78,00
26/02/2021 16:02:28;46,00
26/02/2021 16:02:32;68,00
26/02/2021 16:02:36;76,00
26/02/2021 16:02:38;63,00
26/02/2021 16:02:40;66,00
26/02/2021 16:02:42;52,00
26/02/2021 16:02:44;68,00
26/02/2021 16:02:46;67,00
26/02/2021 16:02:52;77,00
26/02/2021 16:02:56;86,00
26/02/2021 16:02:58;65,00
26/02/2021 16:03:04;68,00
26/02/2021 16:03:06;86,00
26/02/2021 16:03:12;81,00
26/02/2021 16:03:16;61,00
26/02/2021 16:03:20;59,00
26/02/2021 16:03:26;71,00
26/02/2021 16:03:28;79,00
26/02/2021 16:03:30;63,00
26/02/2021 16:03:34;78,00
26/02/2021 16:03:41;82,00
26/02/2021 16:03:43;83,00
26/02/2021 16:03:45;68,00
26/02/2021 16:03:47;78,00
26/02/2021 16:03:53;82,00
26/02/2021 16:03:57;44,00
26/02/2021 16:04:01;66,00
26/02/2021 16:04:09;77,00
26/02/2021 16:04:15;73,00
26/02/2021 16:04:17;48,00
26/02/2021 16:04:25;57,00
26/02/2021 16:04:27;62,00
26/02/2021 16:04:35;69,00
26/02/2021 16:04:41;61,00
26/02/2021 16:04:43;46,00
26/02/2021 16:04:45;50,00
26/02/2021 16:04:47;61,00
26/02/2021 16:04:49;63,00
26/02/2021 16:04:53;68,00
26/02/2021 16:04:57;43,00
26/02/2021 16:05:07;75,00
26/02/2021 16:05:19;41,00
26/02/2021 16:05:21;64,00
26/02/2021 16:05:23;43,00
26/02/2021 16:05:25;67,00
26/02/2021 16:05:27;85,00
26/02/2021 16:05:29;86,00
26/02/2021 16:05:31;80,00
26/02/2021 16:05:35;41,00
26/02/2021 16:05:47;83,00
26/02/2021 16:05:49;81,00
26/02/2021 16:05:51;46,00
26/02/2021 16:05:53;74,00
26/02/2021 16:05:55;62,00
26/02/2021 16:05:57;80,00
26/02/2021 16:06:01;76,00
26/02/2021 16:06:04;48,00
26/02/2021 16:06:05;65,00
