dd/MM/yyyy HH:mm:ss;CHC1E,16
26/02/2021 16:02:14;46,00
26/02/2021 16:02:16;54,00
26/02/2021 16:02:22;57,00
26/02/2021 16:02:28;86,00
26/02/2021 16:02:30;57,00
26/02/2021 16:02:32;84,00
26/02/2021 16:02:36;89,00
26/02/2021 16:02:38;70,00
26/02/2021 16:02:40;78,00
26/02/2021 16:02:42;66,00
26/02/2021 16:02:44;80,00
26/02/2021 16:02:46;88,00
26/02/2021 16:02:50;46,00
26/02/2021 16:02:56;59,00
26/02/2021 16:02:58;62,00
26/02/2021 16:03:00;83,00
26/02/2021 16:03:04;76,00
26/02/2021 16:03:06;78,00
26/02/2021 16:03:08;86,00
26/02/2021 16:03:16;62,00
26/02/2021 16:03:20;83,00
26/02/2021 16:03:22;81,00
26/02/2021 16:03:24;61,00
26/02/2021 16:03:26;53,00
26/02/2021 16:03:32;71,00
26/02/2021 16:03:34;80,00
26/02/2021 16:03:37;82,00
26/02/2021 16:03:43;81,00
26/02/2021 16:03:45;69,00
26/02/2021 16:03:49;89,00
26/02/2021 16:03:51;53,00
26/02/2021 16:03:53;77,00
26/02/2021 16:03:55;89,00
26/02/2021 16:03:57;76,00
26/02/2021 16:03:59;71,00
26/02/2021 16:04:07;45,00
26/02/2021 16:04:09;69,00
26/02/2021 16:04:11;72,00
26/02/2021 16:04:15;82,00
26/02/2021 16:04:19;70,00
26/02/2021 16:04:21;85,00
26/02/2021 16:04:27;49,00
26/02/2021 16:04:33;61,00
26/02/2021 16:04:35;59,00
26/02/2021 16:04:37;66,00
26/02/2021 16:04:39;51,00
26/02/2021 16:04:43;63,00
26/02/2021 16:04:45;47,00
26/02/2021 16:04:47;69,00
26/02/2021 16:04:55;63,00
26/02/2021 16:04:59;45,00
26/02/2021 16:05:05;53,00
26/02/2021 16:05:15;68,00
26/02/2021 16:05:19;50,00
26/02/2021 16:05:21;87,00
26/02/2021 16:05:29;70,00
26/02/2021 16:05:31;42,00
26/02/2021 16:05:33;86,00
26/02/2021 16:05:35;75,00
26/02/2021 16:05:43;67,00
26/02/2021 16:05:45;75,00
26/02/2021 16:05:49;61,00
26/02/2021 16:05:51;49,00
26/02/2021 16:05:55;60,00
26/02/2021 16:05:57;48,00
26/02/2021 16:05:59;66,00
26/02/2021 16:06:01;59,00
26/02/2021 16:06:04;55,00
26/02/2021 16:06:10;63,00
26/02/2021 16:06:12;67,00
26/02/2021 16:06:18;51,00
26/02/2021 16:06:20;89,00
26/02/2021 16:06:26;76,00
26/02/2021 16:06:28;77,00
26/02/2021 16:06:30;83,00
26/02/2021 16:06:40;84,00
26/02/2021 16:06:42;55,00
26/02/2021 16:06:46;73,00
26/02/2021 16:06:52;58,00
26/02/2021 16:06:54;45,00
26/02/2021 16:06:56;85,00
26/02/2021 16:06:58;44,00
26/02/2021 16:07:00;41,00
26/02/2021 16:07:08;48,00
26/02/2021 16:07:12;64,00
26/02/2021 16:07:20;63,00
26/02/2021 16:07:26;59,00
26/02/2021 16:07:28;74,00
26/02/2021 16:07:36;73,00
26/02/2021 16:07:38;86,00
26/02/2021 16:07:40;68,00
26/02/2021 16:07:44;69,00
26/02/2021 16:07:48;78,00
26/02/2021 16:07:54;57,00
26/02/2021 16:07:56;61,00
26/02/2021 16:08:00;87,00
26/02/2021 16:08:02;74,00
26/02/2021 16:08:08;63,00
26/02/2021 16:08:10;83,00
26/02/2021 16:08:18;63,00
26/02/2021 16:08:26;64,00
26/02/2021 16:08:28;66,00
26/02/2021 16:08:30;54,00
26/02/2021 16:08:34;84,00
26/02/2021 16:08:37;67,00
26/02/2021 16:08:39;44,00
26/02/2021 16:08:43;62,00
26/02/2021 16:08:47;44,00
26/02/2021 16:08:53;64,00
26/02/2021 16:08:55;88,00
26/02/2021 16:08:57;84,00
26/02/2021 16:08:59;62,00
26/02/2021 16:09:03;57,00
26/02/2021 16:09:05;67,00
26/02/2021 16:09:09;54,00
26/02/2021 16:09:15;80,00
26/02/2021 16:09:19;79,00
26/02/2021 16:09:21;72,00
26/02/2021 16:09:23;68,00
26/02/2021 16:09:27;77,00
26/02/2021 16:09:35;65,00
26/02/2021 16:09:37;87,00
26/02/2021 16:09:39;78,00
