dd/MM/yyyy HH:mm:ss;CHC1H,16
26/02/2021 16:02:16;87,00
26/02/2021 16:02:22;58,00
26/02/2021 16:02:26;42,00
26/02/2021 16:02:28;80,00
26/02/2021 16:02:30;50,00
26/02/2021 16:02:32;88,00
26/02/2021 16:02:50;59,00
26/02/2021 16:02:52;81,00
26/02/2021 16:02:56;63,00
26/02/2021 16:02:58;84,00
26/02/2021 16:03:00;70,00
26/02/2021 16:03:14;61,00
26/02/2021 16:03:16;80,00
26/02/2021 16:03:24;82,00
26/02/2021 16:03:26;47,00
26/02/2021 16:03:34;64,00
26/02/2021 16:03:49;88,00
26/02/2021 16:03:55;81,00
26/02/2021 16:03:59;77,00
26/02/2021 16:04:01;68,00
26/02/2021 16:04:03;52,00
26/02/2021 16:04:05;60,00
26/02/2021 16:04:09;85,00
26/02/2021 16:04:15;61,00
26/02/2021 16:04:17;57,00
26/02/2021 16:04:19;44,00
26/02/2021 16:04:21;77,00
26/02/2021 16:04:23;61,00
26/02/2021 16:04:25;67,00
26/02/2021 16:04:31;56,00
26/02/2021 16:04:35;74,00
26/02/2021 16:04:39;61,00
26/02/2021 16:04:45;66,00
26/02/2021 16:04:51;41,00
26/02/2021 16:04:53;72,00
26/02/2021 16:04:57;84,00
26/02/2021 16:05:01;67,00
26/02/2021 16:05:11;48,00
26/02/2021 16:05:17;62,00
26/02/2021 16:05:21;81,00
26/02/2021 16:05:29;44,00
26/02/2021 16:05:31;80,00
26/02/2021 16:05:37;63,00
26/02/2021 16:05:39;65,00
26/02/2021 16:05:41;52,00
26/02/2021 16:05:45;67,00
26/02/2021 16:05:51;78,00
26/02/2021 16:06:10;54,00
26/02/2021 16:06:12;74,00
26/02/2021 16:06:14;65,00
26/02/2021 16:06:16;54,00
26/02/2021 16:06:18;69,00
26/02/2021 16:06:20;84,00
26/02/2021 16:06:22;49,00
26/02/2021 16:06:24;82,00
26/02/2021 16:06:28;66,00
26/02/2021 16:06:36;61,00
26/02/2021 16:06:38;63,00
26/02/2021 16:06:44;71,00
26/02/2021 16:06:46;87,00
26/02/2021 16:06:48;46,00
26/02/2021 16:06:52;63,00
26/02/2021 16:06:54;71,00
26/02/2021 16:06:56;42,00
26/02/2021 16:06:58;47,00
26/02/2021 16:07:00;89,00
26/02/2021 16:07:08;64,00
26/02/2021 16:07:12;65,00
26/02/2021 16:07:16;41,00
26/02/2021 16:07:18;69,00
26/02/2021 16:07:24;42,00
26/02/2021 16:07:30;54,00
26/02/2021 16:07:32;44,00
26/02/2021 16:07:34;71,00
26/02/2021 16:07:40;49,00
26/02/2021 16:07:42;81,00
26/02/2021 16:07:44;68,00
26/02/2021 16:07:46;79,00
26/02/2021 16:07:48;61,00
26/02/2021 16:07:50;59,00
26/02/2021 16:07:52;71,00
26/02/2021 16:07:54;77,00
26/02/2021 16:07:56;60,00
26/02/2021 16:07:58;82,00
26/02/2021 16:08:00;71,00
26/02/2021 16:08:04;58,00
26/02/2021 16:08:08;61,00
26/02/2021 16:08:10;52,00
26/02/2021 16:08:12;59,00
26/02/2021 16:08:14;80,00
26/02/2021 16:08:24;61,00
26/02/2021 16:08:28;46,00
26/02/2021 16:08:33;82,00
26/02/2021 16:08:34;77,00
26/02/2021 16:08:37;69,00
26/02/2021 16:08:39;87,00
26/02/2021 16:08:41;67,00
26/02/2021 16:08:43;74,00
26/02/2021 16:08:47;66,00
26/02/2021 16:08:51;57,00
26/02/2021 16:09:01;62,00
26/02/2021 16:09:03;83,00
26/02/2021 16:09:05;69,00
26/02/2021 16:09:11;78,00
26/02/2021 16:09:15;73,00
26/02/2021 16:09:17;59,00
26/02/2021 16:09:19;64,00
26/02/2021 16:09:25;68,00
26/02/2021 16:09:27;81,00
26/02/2021 16:09:31;71,00
26/02/2021 16:09:37;73,00
26/02/2021 16:09:41;57,00
26/02/2021 16:09:49;53,00
26/02/2021 16:09:51;45,00
26/02/2021 16:09:53;70,00
26/02/2021 16:09:59;59,00
26/02/2021 16:10:01;66,00
26/02/2021 16:10:07;73,00
26/02/2021 16:10:09;79,00
26/02/2021 16:10:23;70,00
26/02/2021 16:10:27;49,00
26/02/2021 16:10:29;60,00
26/02/2021 16:10:33;54,00
26/02/2021 16:10:35;89,00
26/02/2021 16:10:37;71,00
26/02/2021 16:10:41;88,00
26/02/2021 16:10:48;74,00
26/02/2021 16:10:50;50,00
26/02/2021 16:10:52;45,00
26/02/2021 16:10:54;59,00
26/02/2021 16:10:56;67,00
26/02/2021 16:11:00;69,00
26/02/2021 16:11:02;60,00
26/02/2021 16:11:08;70,00
26/02/2021 16:11:10;68,00
26/02/2021 16:11:12;47,00
26/02/2021 16:11:20;73,00
26/02/2021 16:11:24;85,00
26/02/2021 16:11:26;48,00
26/02/2021 16:11:30;61,00
26/02/2021 16:11:36;60,00
26/02/2021 16:11:40;52,00
26/02/2021 16:11:52;55,00
26/02/2021 16:11:56;49,00
26/02/2021 16:11:58;88,00
26/02/2021 16:12:02;89,00
26/02/2021 16:12:08;49,00
26/02/2021 16:12:10;76,00
26/02/2021 16:12:12;45,00
26/02/2021 16:12:16;60,00
26/02/2021 16:12:18;75,00
26/02/2021 16:12:20;69,00
26/02/2021 16:12:24;73,00
26/02/2021 16:12:26;61,00
26/02/2021 16:12:28;59,00
26/02/2021 16:12:30;62,00
26/02/2021 16:12:32;52,00
26/02/2021 16:12:36;44,00
26/02/2021 16:12:40;51,00
26/02/2021 16:12:42;41,00
26/02/2021 16:12:44;86,00
26/02/2021 16:12:50;43,00
26/02/2021 16:12:52;56,00
26/02/2021 16:12:54;85,00
26/02/2021 16:12:56;80,00
26/02/2021 16:12:58;70,00
26/02/2021 16:13:00;46,00
26/02/2021 16:13:02;74,00
26/02/2021 16:13:04;87,00
26/02/2021 16:13:06;89,00
26/02/2021 16:13:16;62,00
26/02/2021 16:13:18;70,00
26/02/2021 16:13:22;72,00
26/02/2021 16:13:25;80,00
26/02/2021 16:13:29;42,00
26/02/2021 16:13:31;71,00
26/02/2021 16:13:33;46,00
26/02/2021 16:13:35;88,00
26/02/2021 16:13:39;63,00
26/02/2021 16:13:41;83,00
26/02/2021 16:13:43;72,00
26/02/2021 16:13:49;71,00
26/02/2021 16:13:51;46,00
26/02/2021 16:13:55;47,00
26/02/2021 16:13:57;59,00
26/02/2021 16:14:01;44,00
26/02/2021 16:14:03;62,00
26/02/2021 16:14:21;78,00
26/02/2021 16:14:23;42,00
26/02/2021 16:14:25;71,00
26/02/2021 16:14:27;55,00
26/02/2021 16:14:29;69,00
26/02/2021 16:14:31;89,00
26/02/2021 16:14:33;47,00
26/02/2021 16:14:35;54,00
26/02/2021 16:14:37;59,00
26/02/2021 16:14:39;77,00
26/02/2021 16:14:43;65,00
