dd/MM/yyyy HH:mm:ss;CHC1I,16
26/02/2021 16:02:12;73,00
26/02/2021 16:02:18;75,00
26/02/2021 16:02:20;54,00
26/02/2021 16:02:22;52,00
26/02/2021 16:02:32;78,00
26/02/2021 16:02:36;69,00
26/02/2021 16:02:38;58,00
26/02/2021 16:02:42;60,00
26/02/2021 16:02:46;44,00
26/02/2021 16:03:02;67,00
26/02/2021 16:03:06;86,00
26/02/2021 16:03:10;59,00
26/02/2021 16:03:14;49,00
26/02/2021 16:03:24;70,00
26/02/2021 16:03:30;64,00
26/02/2021 16:03:32;68,00
26/02/2021 16:03:34;85,00
26/02/2021 16:03:39;81,00
26/02/2021 16:03:45;48,00
26/02/2021 16:03:49;56,00
26/02/2021 16:03:51;86,00
26/02/2021 16:03:55;51,00
26/02/2021 16:04:01;80,00
26/02/2021 16:04:11;85,00
26/02/2021 16:04:13;72,00
26/02/2021 16:04:15;82,00
26/02/2021 16:04:19;64,00
26/02/2021 16:04:23;87,00
26/02/2021 16:04:25;60,00
26/02/2021 16:04:27;57,00
26/02/2021 16:04:29;50,00
26/02/2021 16:04:35;78,00
26/02/2021 16:04:41;63,00
26/02/2021 16:04:45;57,00
26/02/2021 16:04:53;43,00
26/02/2021 16:04:55;69,00
26/02/2021 16:04:57;73,00
26/02/2021 16:05:03;64,00
26/02/2021 16:05:07;47,00
26/02/2021 16:05:09;72,00
26/02/2021 16:05:11;69,00
26/02/2021 16:05:17;52,00
26/02/2021 16:05:21;61,00
26/02/2021 16:05:23;68,00
26/02/2021 16:05:27;47,00
26/02/2021 16:05:29;57,00
26/02/2021 16:05:33;84,00
26/02/2021 16:05:39;41,00
26/02/2021 16:05:41;61,00
26/02/2021 16:05:45;73,00
26/02/2021 16:05:47;68,00
26/02/2021 16:05:51;86,00
26/02/2021 16:05:53;54,00
26/02/2021 16:05:55;68,00
26/02/2021 16:05:57;46,00
26/02/2021 16:06:10;84,00
26/02/2021 16:06:14;54,00
26/02/2021 16:06:16;48,00
26/02/2021 16:06:20;56,00
26/02/2021 16:06:22;43,00
26/02/2021 16:06:24;49,00
26/02/2021 16:06:26;53,00
26/02/2021 16:06:30;63,00
26/02/2021 16:06:32;82,00
26/02/2021 16:06:38;56,00
26/02/2021 16:06:42;82,00
26/02/2021 16:06:44;45,00
26/02/2021 16:06:46;73,00
26/02/2021 16:06:50;83,00
26/02/2021 16:06:56;60,00
26/02/2021 16:06:58;70,00
26/02/2021 16:07:02;59,00
26/02/2021 16:07:04;54,00
26/02/2021 16:07:06;80,00
26/02/2021 16:07:08;89,00
26/02/2021 16:07:12;75,00
26/02/2021 16:07:14;47,00
26/02/2021 16:07:20;71,00
26/02/2021 16:07:38;44,00
26/02/2021 16:07:40;63,00
26/02/2021 16:07:42;57,00
26/02/2021 16:07:44;66,00
26/02/2021 16:07:54;60,00
26/02/2021 16:07:56;45,00
26/02/2021 16:07:58;80,00
26/02/2021 16:08:00;77,00
26/02/2021 16:08:04;79,00
26/02/2021 16:08:06;58,00
26/02/2021 16:08:10;79,00
26/02/2021 16:08:12;85,00
26/02/2021 16:08:14;42,00
26/02/2021 16:08:16;64,00
26/02/2021 16:08:20;59,00
26/02/2021 16:08:22;87,00
26/02/2021 16:08:26;48,00
26/02/2021 16:08:28;75,00
26/02/2021 16:08:34;65,00
26/02/2021 16:08:37;49,00
26/02/2021 16:08:41;46,00
26/02/2021 16:08:45;77,00
26/02/2021 16:08:49;70,00
26/02/2021 16:09:05;47,00
26/02/2021 16:09:09;83,00
26/02/2021 16:09:11;76,00
26/02/2021 16:09:17;56,00
26/02/2021 16:09:23;86,00
26/02/2021 16:09:31;70,00
26/02/2021 16:09:33;60,00
26/02/2021 16:09:35;62,00
26/02/2021 16:09:37;83,00
26/02/2021 16:09:41;44,00
26/02/2021 16:09:43;57,00
26/02/2021 16:09:53;49,00
26/02/2021 16:09:59;75,00
26/02/2021 16:10:01;79,00
26/02/2021 16:10:09;72,00
26/02/2021 16:10:11;70,00
26/02/2021 16:10:13;50,00
26/02/2021 16:10:19;55,00
26/02/2021 16:10:21;86,00
26/02/2021 16:10:23;67,00
26/02/2021 16:10:31;65,00
26/02/2021 16:10:39;85,00
26/02/2021 16:10:41;82,00
26/02/2021 16:10:44;76,00
26/02/2021 16:10:46;89,00
26/02/2021 16:10:50;53,00
26/02/2021 16:10:58;83,00
26/02/2021 16:11:02;76,00
26/02/2021 16:11:04;50,00
26/02/2021 16:11:10;78,00
26/02/2021 16:11:12;58,00
26/02/2021 16:11:14;50,00
26/02/2021 16:11:16;75,00
26/02/2021 16:11:18;56,00
26/02/2021 16:11:20;76,00
26/02/2021 16:11:22;87,00
26/02/2021 16:11:24;82,00
26/02/2021 16:11:26;69,00
26/02/2021 16:11:30;62,00
26/02/2021 16:11:32;46,00
26/02/2021 16:11:40;71,00
26/02/2021 16:11:42;55,00
26/02/2021 16:11:46;69,00
26/02/2021 16:11:48;73,00
26/02/2021 16:11:52;54,00
26/02/2021 16:11:54;64,00
26/02/2021 16:11:58;78,00
26/02/2021 16:12:06;64,00
26/02/2021 16:12:08;77,00
26/02/2021 16:12:10;43,00
26/02/2021 16:12:16;80,00
26/02/2021 16:12:20;59,00
26/02/2021 16:12:22;72,00
26/02/2021 16:12:28;73,00
26/02/2021 16:12:30;79,00
26/02/2021 16:12:34;89,00
26/02/2021 16:12:40;53,00
26/02/2021 16:12:46;41,00
26/02/2021 16:12:48;69,00
26/02/2021 16:12:50;68,00
26/02/2021 16:12:54;88,00
26/02/2021 16:12:56;46,00
26/02/2021 16:13:00;72,00
26/02/2021 16:13:02;55,00
26/02/2021 16:13:08;65,00
26/02/2021 16:13:18;41,00
26/02/2021 16:13:22;65,00
26/02/2021 16:13:25;61,00
26/02/2021 16:13:31;72,00
26/02/2021 16:13:33;65,00
26/02/2021 16:13:35;61,00
26/02/2021 16:13:37;69,00
26/02/2021 16:13:41;42,00
26/02/2021 16:13:43;67,00
26/02/2021 16:13:47;64,00
26/02/2021 16:13:49;67,00
26/02/2021 16:13:53;79,00
26/02/2021 16:13:55;72,00
26/02/2021 16:14:03;68,00
26/02/2021 16:14:05;52,00
26/02/2021 16:14:07;76,00
26/02/2021 16:14:09;49,00
26/02/2021 16:14:15;45,00
26/02/2021 16:14:17;70,00
26/02/2021 16:14:19;81,00
26/02/2021 16:14:23;77,00
26/02/2021 16:14:35;81,00
26/02/2021 16:14:37;85,00
26/02/2021 16:14:43;51,00
