dd/MM/yyyy HH:mm:ss;CHC1J,16
26/02/2021 16:02:14;45,00
26/02/2021 16:02:18;61,00
26/02/2021 16:02:20;79,00
26/02/2021 16:02:22;45,00
26/02/2021 16:02:28;85,00
26/02/2021 16:02:30;63,00
26/02/2021 16:02:32;42,00
26/02/2021 16:02:34;86,00
26/02/2021 16:02:40;85,00
26/02/2021 16:02:42;87,00
26/02/2021 16:02:52;49,00
26/02/2021 16:02:54;74,00
26/02/2021 16:02:56;84,00
26/02/2021 16:03:00;71,00
26/02/2021 16:03:10;83,00
26/02/2021 16:03:12;41,00
26/02/2021 16:03:14;70,00
26/02/2021 16:03:16;60,00
26/02/2021 16:03:20;48,00
26/02/2021 16:03:22;77,00
26/02/2021 16:03:26;64,00
26/02/2021 16:03:28;62,00
26/02/2021 16:03:30;45,00
26/02/2021 16:03:45;74,00
26/02/2021 16:03:51;50,00
26/02/2021 16:03:57;52,00
26/02/2021 16:03:59;46,00
26/02/2021 16:04:01;55,00
26/02/2021 16:04:05;87,00
26/02/2021 16:04:07;50,00
26/02/2021 16:04:09;77,00
26/02/2021 16:04:11;69,00
26/02/2021 16:04:15;41,00
26/02/2021 16:04:17;72,00
26/02/2021 16:04:21;48,00
26/02/2021 16:04:23;47,00
26/02/2021 16:04:27;53,00
26/02/2021 16:04:35;70,00
26/02/2021 16:04:37;57,00
26/02/2021 16:04:43;63,00
26/02/2021 16:04:45;53,00
26/02/2021 16:04:53;64,00
26/02/2021 16:04:59;55,00
26/02/2021 16:05:03;86,00
26/02/2021 16:05:05;80,00
26/02/2021 16:05:11;65,00
26/02/2021 16:05:13;73,00
26/02/2021 16:05:17;71,00
26/02/2021 16:05:19;53,00
26/02/2021 16:05:21;65,00
26/02/2021 16:05:23;47,00
26/02/2021 16:05:27;70,00
26/02/2021 16:05:29;52,00
26/02/2021 16:05:31;54,00
26/02/2021 16:05:35;55,00
26/02/2021 16:05:39;50,00
26/02/2021 16:05:41;45,00
26/02/2021 16:05:43;66,00
26/02/2021 16:05:45;65,00
26/02/2021 16:05:51;81,00
26/02/2021 16:05:53;66,00
26/02/2021 16:05:59;54,00
26/02/2021 16:06:05;82,00
26/02/2021 16:06:14;48,00
26/02/2021 16:06:16;43,00
26/02/2021 16:06:22;53,00
26/02/2021 16:06:24;43,00
26/02/2021 16:06:26;48,00
26/02/2021 16:06:34;82,00
26/02/2021 16:06:38;83,00
26/02/2021 16:06:40;46,00
26/02/2021 16:06:42;64,00
26/02/2021 16:06:50;67,00
26/02/2021 16:06:52;87,00
26/02/2021 16:06:54;63,00
26/02/2021 16:06:58;84,00
26/02/2021 16:07:02;58,00
26/02/2021 16:07:04;82,00
26/02/2021 16:07:06;66,00
26/02/2021 16:07:12;77,00
26/02/2021 16:07:14;80,00
26/02/2021 16:07:16;60,00
26/02/2021 16:07:20;68,00
26/02/2021 16:07:22;64,00
26/02/2021 16:07:28;65,00
26/02/2021 16:07:30;70,00
26/02/2021 16:07:32;56,00
26/02/2021 16:07:36;42,00
26/02/2021 16:07:38;58,00
26/02/2021 16:07:40;87,00
26/02/2021 16:07:42;68,00
26/02/2021 16:07:44;57,00
26/02/2021 16:07:46;62,00
26/02/2021 16:07:50;76,00
26/02/2021 16:07:54;75,00
26/02/2021 16:07:56;85,00
26/02/2021 16:08:06;47,00
26/02/2021 16:08:10;85,00
26/02/2021 16:08:18;87,00
26/02/2021 16:08:20;83,00
26/02/2021 16:08:26;52,00
26/02/2021 16:08:28;89,00
26/02/2021 16:08:30;63,00
26/02/2021 16:08:33;66,00
26/02/2021 16:08:34;88,00
26/02/2021 16:08:37;67,00
26/02/2021 16:08:39;42,00
26/02/2021 16:08:43;54,00
26/02/2021 16:08:49;56,00
26/02/2021 16:08:51;67,00
26/02/2021 16:08:55;74,00
26/02/2021 16:08:57;69,00
26/02/2021 16:08:59;59,00
26/02/2021 16:09:03;67,00
26/02/2021 16:09:09;76,00
26/02/2021 16:09:11;42,00
26/02/2021 16:09:25;86,00
26/02/2021 16:09:27;87,00
26/02/2021 16:09:29;82,00
26/02/2021 16:09:31;74,00
26/02/2021 16:09:33;62,00
26/02/2021 16:09:35;73,00
26/02/2021 16:09:43;76,00
26/02/2021 16:09:45;54,00
26/02/2021 16:09:53;51,00
26/02/2021 16:09:57;89,00
26/02/2021 16:10:03;53,00
26/02/2021 16:10:05;57,00
26/02/2021 16:10:07;55,00
26/02/2021 16:10:13;80,00
26/02/2021 16:10:15;83,00
26/02/2021 16:10:17;85,00
26/02/2021 16:10:21;81,00
26/02/2021 16:10:25;48,00
26/02/2021 16:10:31;86,00
26/02/2021 16:10:33;75,00
26/02/2021 16:10:37;69,00
26/02/2021 16:10:46;63,00
26/02/2021 16:10:48;82,00
26/02/2021 16:10:50;62,00
26/02/2021 16:10:52;69,00
26/02/2021 16:10:54;53,00
26/02/2021 16:10:56;56,00
26/02/2021 16:11:00;68,00
26/02/2021 16:11:04;72,00
26/02/2021 16:11:08;74,00
26/02/2021 16:11:10;70,00
26/02/2021 16:11:14;43,00
