dd/MM/yyyy HH:mm:ss;CHC3,16
26/02/2021 16:02:12;73,00
26/02/2021 16:02:18;52,00
26/02/2021 16:02:26;51,00
26/02/2021 16:02:28;73,00
26/02/2021 16:02:30;54,00
26/02/2021 16:02:36;55,00
26/02/2021 16:02:38;70,00
26/02/2021 16:02:42;54,00
26/02/2021 16:02:44;89,00
26/02/2021 16:02:46;53,00
26/02/2021 16:02:48;64,00
26/02/2021 16:02:50;77,00
26/02/2021 16:02:56;80,00
26/02/2021 16:03:00;76,00
26/02/2021 16:03:04;42,00
26/02/2021 16:03:06;69,00
26/02/2021 16:03:08;89,00
26/02/2021 16:03:12;55,00
26/02/2021 16:03:14;42,00
26/02/2021 16:03:22;79,00
26/02/2021 16:03:26;85,00
26/02/2021 16:03:30;43,00
26/02/2021 16:03:32;78,00
26/02/2021 16:03:34;75,00
26/02/2021 16:03:39;67,00
26/02/2021 16:03:43;41,00
26/02/2021 16:03:47;55,00
26/02/2021 16:03:51;58,00
26/02/2021 16:03:53;63,00
26/02/2021 16:03:59;74,00
26/02/2021 16:04:01;41,00
26/02/2021 16:04:05;56,00
26/02/2021 16:04:09;78,00
26/02/2021 16:04:11;62,00
26/02/2021 16:04:15;47,00
26/02/2021 16:04:17;77,00
26/02/2021 16:04:19;41,00
26/02/2021 16:04:21;79,00
26/02/2021 16:04:23;84,00
26/02/2021 16:04:35;74,00
26/02/2021 16:04:47;84,00
26/02/2021 16:04:51;86,00
26/02/2021 16:04:55;82,00
26/02/2021 16:04:59;62,00
26/02/2021 16:05:01;88,00
26/02/2021 16:05:15;49,00
26/02/2021 16:05:21;75,00
26/02/2021 16:05:25;42,00
26/02/2021 16:05:31;89,00
26/02/2021 16:05:33;70,00
26/02/2021 16:05:41;88,00
26/02/2021 16:05:43;75,00
26/02/2021 16:05:49;48,00
26/02/2021 16:05:55;71,00
26/02/2021 16:05:57;78,00
26/02/2021 16:05:59;83,00
26/02/2021 16:06:01;55,00
26/02/2021 16:06:04;52,00
26/02/2021 16:06:05;74,00
26/02/2021 16:06:12;50,00
26/02/2021 16:06:18;42,00
26/02/2021 16:06:28;76,00
26/02/2021 16:06:34;45,00
26/02/2021 16:06:40;75,00
26/02/2021 16:06:42;49,00
26/02/2021 16:06:44;50,00
26/02/2021 16:06:46;58,00
26/02/2021 16:06:50;76,00
26/02/2021 16:06:52;45,00
26/02/2021 16:06:54;71,00
26/02/2021 16:06:56;80,00
26/02/2021 16:07:12;89,00
26/02/2021 16:07:14;44,00
26/02/2021 16:07:18;83,00
26/02/2021 16:07:20;64,00
26/02/2021 16:07:26;54,00
26/02/2021 16:07:34;53,00
26/02/2021 16:07:40;49,00
26/02/2021 16:07:42;69,00
26/02/2021 16:07:52;45,00
26/02/2021 16:07:54;82,00
26/02/2021 16:07:56;63,00
26/02/2021 16:08:00;50,00
26/02/2021 16:08:08;66,00
26/02/2021 16:08:10;83,00
26/02/2021 16:08:14;71,00
26/02/2021 16:08:20;54,00
26/02/2021 16:08:22;49,00
26/02/2021 16:08:28;60,00
26/02/2021 16:08:33;73,00
26/02/2021 16:08:34;61,00
26/02/2021 16:08:41;79,00
26/02/2021 16:08:43;87,00
26/02/2021 16:08:45;49,00
26/02/2021 16:08:49;68,00
26/02/2021 16:08:53;81,00
26/02/2021 16:08:55;52,00
26/02/2021 16:08:57;72,00
26/02/2021 16:08:59;46,00
26/02/2021 16:09:01;61,00
26/02/2021 16:09:03;84,00
26/02/2021 16:09:05;47,00
26/02/2021 16:09:09;53,00
26/02/2021 16:09:13;48,00
26/02/2021 16:09:19;74,00
26/02/2021 16:09:23;61,00
26/02/2021 16:09:25;54,00
26/02/2021 16:09:27;53,00
26/02/2021 16:09:29;48,00
26/02/2021 16:09:35;62,00
26/02/2021 16:09:41;71,00
26/02/2021 16:09:43;87,00
26/02/2021 16:09:45;71,00
26/02/2021 16:09:47;86,00
26/02/2021 16:09:49;57,00
26/02/2021 16:09:51;84,00
26/02/2021 16:09:57;59,00
26/02/2021 16:10:01;56,00
26/02/2021 16:10:05;46,00
26/02/2021 16:10:11;64,00
26/02/2021 16:10:13;73,00
26/02/2021 16:10:19;82,00
26/02/2021 16:10:23;44,00
26/02/2021 16:10:31;60,00
26/02/2021 16:10:44;52,00
26/02/2021 16:10:46;57,00
26/02/2021 16:10:48;45,00
26/02/2021 16:10:56;87,00
26/02/2021 16:11:00;54,00
26/02/2021 16:11:06;53,00
26/02/2021 16:11:08;79,00
26/02/2021 16:11:10;87,00
26/02/2021 16:11:16;84,00
26/02/2021 16:11:28;51,00
26/02/2021 16:11:36;82,00
26/02/2021 16:11:46;73,00
26/02/2021 16:12:00;58,00
26/02/2021 16:12:02;62,00
26/02/2021 16:12:04;64,00
26/02/2021 16:12:06;52,00
26/02/2021 16:12:14;58,00
26/02/2021 16:12:18;67,00
26/02/2021 16:12:28;70,00
26/02/2021 16:12:30;50,00
26/02/2021 16:12:42;42,00
26/02/2021 16:12:46;87,00
26/02/2021 16:12:48;50,00
26/02/2021 16:12:50;82,00
26/02/2021 16:12:56;69,00
26/02/2021 16:12:58;82,00
26/02/2021 16:13:08;54,00
26/02/2021 16:13:10;63,00
26/02/2021 16:13:14;42,00
26/02/2021 16:13:16;86,00
26/02/2021 16:13:22;74,00
26/02/2021 16:13:25;67,00
26/02/2021 16:13:27;83,00
26/02/2021 16:13:29;53,00
26/02/2021 16:13:37;62,00
26/02/2021 16:13:39;43,00
26/02/2021 16:13:49;65,00
26/02/2021 16:13:53;60,00
26/02/2021 16:13:55;81,00
26/02/2021 16:14:01;64,00
26/02/2021 16:14:03;63,00
26/02/2021 16:14:13;66,00
26/02/2021 16:14:15;43,00
26/02/2021 16:14:17;54,00
26/02/2021 16:14:21;87,00
26/02/2021 16:14:27;79,00
26/02/2021 16:14:29;61,00
26/02/2021 16:14:31;48,00
26/02/2021 16:14:33;80,00
26/02/2021 16:14:35;48,00
26/02/2021 16:14:39;41,00
26/02/2021 16:14:43;89,00
