dd/MM/yyyy HH:mm:ss;CTC2B,16
26/02/2021 16:02:12;8,00
26/02/2021 16:02:14;5,00
26/02/2021 16:02:16;14,00
26/02/2021 16:02:18;3,00
26/02/2021 16:02:20;1,00
26/02/2021 16:02:22;13,00
26/02/2021 16:02:24;12,00
26/02/2021 16:02:26;7,00
26/02/2021 16:02:28;6,00
26/02/2021 16:02:30;11,00
26/02/2021 16:02:32;5,00
26/02/2021 16:02:34;12,00
26/02/2021 16:02:36;7,00
26/02/2021 16:02:38;8,00
26/02/2021 16:02:40;6,00
26/02/2021 16:02:42;1,00
26/02/2021 16:02:44;8,00
26/02/2021 16:02:46;14,00
26/02/2021 16:02:48;9,00
26/02/2021 16:02:50;14,00
26/02/2021 16:02:52;3,00
26/02/2021 16:02:54;2,00
26/02/2021 16:02:56;1,00
26/02/2021 16:02:58;7,00
26/02/2021 16:03:00;13,00
26/02/2021 16:03:02;2,00
26/02/2021 16:03:04;7,00
26/02/2021 16:03:06;12,00
26/02/2021 16:03:08;4,00
26/02/2021 16:03:10;0,00
26/02/2021 16:03:12;10,00
26/02/2021 16:03:14;8,00
26/02/2021 16:03:16;7,00
26/02/2021 16:03:18;0,00
26/02/2021 16:03:20;7,00
26/02/2021 16:03:22;6,00
26/02/2021 16:03:24;13,00
26/02/2021 16:03:26;5,00
26/02/2021 16:03:28;12,00
26/02/2021 16:03:30;9,00
26/02/2021 16:03:32;6,00
26/02/2021 16:03:36;12,00
26/02/2021 16:03:39;6,00
26/02/2021 16:03:43;0,00
26/02/2021 16:03:45;9,00
26/02/2021 16:03:47;1,00
26/02/2021 16:03:49;10,00
26/02/2021 16:03:51;9,00
26/02/2021 16:03:53;4,00
26/02/2021 16:03:55;8,00
26/02/2021 16:03:57;6,00
26/02/2021 16:04:01;8,00
26/02/2021 16:04:03;13,00
26/02/2021 16:04:05;11,00
26/02/2021 16:04:07;14,00
26/02/2021 16:04:09;1,00
26/02/2021 16:04:11;12,00
26/02/2021 16:04:13;10,00
26/02/2021 16:04:15;12,00
26/02/2021 16:04:17;5,00
26/02/2021 16:04:19;1,00
26/02/2021 16:04:21;7,00
26/02/2021 16:04:23;5,00
26/02/2021 16:04:25;3,00
26/02/2021 16:04:27;11,00
26/02/2021 16:04:31;3,00
26/02/2021 16:04:33;4,00
26/02/2021 16:04:35;7,00
26/02/2021 16:04:37;1,00
26/02/2021 16:04:39;14,00
26/02/2021 16:04:41;13,00
26/02/2021 16:04:45;5,00
26/02/2021 16:04:47;10,00
26/02/2021 16:04:49;6,00
26/02/2021 16:04:51;13,00
26/02/2021 16:04:53;9,00
26/02/2021 16:04:55;13,00
26/02/2021 16:04:57;10,00
26/02/2021 16:04:59;9,00
26/02/2021 16:05:01;11,00
26/02/2021 16:05:03;4,00
26/02/2021 16:05:05;11,00
26/02/2021 16:05:07;5,00
26/02/2021 16:05:09;7,00
26/02/2021 16:05:11;1,00
26/02/2021 16:05:13;2,00
26/02/2021 16:05:15;11,00
26/02/2021 16:05:17;0,00
26/02/2021 16:05:19;6,00
26/02/2021 16:05:21;2,00
26/02/2021 16:05:23;1,00
26/02/2021 16:05:25;6,00
26/02/2021 16:05:27;10,00
26/02/2021 16:05:29;7,00
26/02/2021 16:05:31;10,00
26/02/2021 16:05:33;13,00
26/02/2021 16:05:35;6,00
26/02/2021 16:05:37;10,00
26/02/2021 16:05:39;14,00
26/02/2021 16:05:41;2,00
26/02/2021 16:05:43;8,00
26/02/2021 16:05:45;5,00
26/02/2021 16:05:47;4,00
26/02/2021 16:05:49;7,00
26/02/2021 16:05:51;2,00
26/02/2021 16:05:53;4,00
26/02/2021 16:05:55;13,00
26/02/2021 16:05:57;7,00
26/02/2021 16:05:59;5,00
26/02/2021 16:06:01;11,00
26/02/2021 16:06:03;10,00
26/02/2021 16:06:05;7,00
26/02/2021 16:06:08;0,00
26/02/2021 16:06:10;9,00
26/02/2021 16:06:12;7,00
26/02/2021 16:06:14;6,00
26/02/2021 16:06:16;7,00
26/02/2021 16:06:18;11,00
26/02/2021 16:06:20;14,00
26/02/2021 16:06:22;10,00
26/02/2021 16:06:24;12,00
26/02/2021 16:06:26;6,00
26/02/2021 16:06:28;4,00
26/02/2021 16:06:30;11,00
26/02/2021 16:06:32;8,00
26/02/2021 16:06:34;10,00
26/02/2021 16:06:36;13,00
26/02/2021 16:06:38;0,00
26/02/2021 16:06:40;12,00
26/02/2021 16:06:42;5,00
26/02/2021 16:06:44;7,00
26/02/2021 16:06:46;6,00
26/02/2021 16:06:48;5,00
26/02/2021 16:06:50;8,00
26/02/2021 16:06:52;7,00
26/02/2021 16:06:54;0,00
26/02/2021 16:06:56;3,00
26/02/2021 16:06:58;6,00
26/02/2021 16:07:00;2,00
26/02/2021 16:07:02;8,00
26/02/2021 16:07:06;2,00
26/02/2021 16:07:08;5,00
26/02/2021 16:07:10;7,00
26/02/2021 16:07:12;10,00
26/02/2021 16:07:14;5,00
26/02/2021 16:07:16;4,00
26/02/2021 16:07:20;2,00
26/02/2021 16:07:22;8,00
26/02/2021 16:07:24;5,00
26/02/2021 16:07:26;2,00
26/02/2021 16:07:28;8,00
26/02/2021 16:07:32;4,00
26/02/2021 16:07:34;7,00
26/02/2021 16:07:36;3,00
26/02/2021 16:07:38;8,00
26/02/2021 16:07:40;9,00
26/02/2021 16:07:44;1,00
26/02/2021 16:07:46;7,00
26/02/2021 16:07:48;3,00
26/02/2021 16:07:50;11,00
26/02/2021 16:07:52;1,00
26/02/2021 16:07:54;4,00
26/02/2021 16:07:56;6,00
26/02/2021 16:07:58;11,00
26/02/2021 16:08:00;8,00
26/02/2021 16:08:02;13,00
26/02/2021 16:08:04;0,00
26/02/2021 16:08:06;2,00
26/02/2021 16:08:08;12,00
26/02/2021 16:08:10;4,00
26/02/2021 16:08:12;0,00
26/02/2021 16:08:14;10,00
26/02/2021 16:08:16;9,00
26/02/2021 16:08:18;7,00
26/02/2021 16:08:20;2,00
26/02/2021 16:08:22;14,00
26/02/2021 16:08:24;5,00
26/02/2021 16:08:26;13,00
26/02/2021 16:08:28;1,00
26/02/2021 16:08:30;12,00
26/02/2021 16:08:32;0,00
26/02/2021 16:08:34;13,00
26/02/2021 16:08:36;5,00
26/02/2021 16:08:39;1,00
26/02/2021 16:08:43;7,00
26/02/2021 16:08:45;1,00
26/02/2021 16:08:47;6,00
26/02/2021 16:08:49;3,00
26/02/2021 16:08:51;12,00
26/02/2021 16:08:53;4,00
26/02/2021 16:08:55;10,00
26/02/2021 16:08:57;0,00
26/02/2021 16:08:59;12,00
26/02/2021 16:09:01;11,00
26/02/2021 16:09:03;2,00
26/02/2021 16:09:05;1,00
26/02/2021 16:09:07;11,00
26/02/2021 16:09:09;3,00
26/02/2021 16:09:11;14,00
26/02/2021 16:09:13;4,00
26/02/2021 16:09:15;13,00
26/02/2021 16:09:17;2,00
26/02/2021 16:09:19;1,00
26/02/2021 16:09:21;10,00
26/02/2021 16:09:23;0,00
26/02/2021 16:09:25;11,00
26/02/2021 16:09:27;4,00
26/02/2021 16:09:29;5,00
26/02/2021 16:09:31;7,00
26/02/2021 16:09:33;2,00
26/02/2021 16:09:35;8,00
26/02/2021 16:09:37;11,00
26/02/2021 16:09:39;10,00
26/02/2021 16:09:43;5,00
26/02/2021 16:09:45;6,00
26/02/2021 16:09:47;9,00
26/02/2021 16:09:49;12,00
26/02/2021 16:09:51;9,00
26/02/2021 16:09:53;10,00
26/02/2021 16:09:55;7,00
26/02/2021 16:09:57;14,00
26/02/2021 16:09:59;3,00
