dd/MM/yyyy HH:mm:ss;CTC2D,16
26/02/2021 16:02:12;6,00
26/02/2021 16:02:14;9,00
26/02/2021 16:02:16;5,00
26/02/2021 16:02:18;4,00
26/02/2021 16:02:20;0,00
26/02/2021 16:02:22;11,00
26/02/2021 16:02:24;2,00
26/02/2021 16:02:26;6,00
26/02/2021 16:02:28;14,00
26/02/2021 16:02:30;1,00
26/02/2021 16:02:32;13,00
26/02/2021 16:02:34;3,00
26/02/2021 16:02:36;13,00
26/02/2021 16:02:38;1,00
26/02/2021 16:02:40;8,00
26/02/2021 16:02:42;7,00
26/02/2021 16:02:44;11,00
26/02/2021 16:02:46;4,00
26/02/2021 16:02:48;6,00
26/02/2021 16:02:50;13,00
26/02/2021 16:02:52;3,00
26/02/2021 16:02:54;11,00
26/02/2021 16:02:56;8,00
26/02/2021 16:02:58;13,00
26/02/2021 16:03:00;12,00
26/02/2021 16:03:02;14,00
26/02/2021 16:03:06;0,00
26/02/2021 16:03:08;12,00
26/02/2021 16:03:10;0,00
26/02/2021 16:03:12;7,00
26/02/2021 16:03:14;9,00
26/02/2021 16:03:16;11,00
26/02/2021 16:03:20;2,00
26/02/2021 16:03:22;8,00
26/02/2021 16:03:24;3,00
26/02/2021 16:03:26;1,00
26/02/2021 16:03:30;10,00
26/02/2021 16:03:32;2,00
26/02/2021 16:03:34;4,00
26/02/2021 16:03:36;7,00
26/02/2021 16:03:39;4,00
26/02/2021 16:03:41;5,00
26/02/2021 16:03:43;12,00
26/02/2021 16:03:45;8,00
26/02/2021 16:03:47;14,00
26/02/2021 16:03:49;2,00
26/02/2021 16:03:51;8,00
26/02/2021 16:03:53;10,00
26/02/2021 16:03:55;8,00
26/02/2021 16:03:57;3,00
26/02/2021 16:04:03;5,00
26/02/2021 16:04:05;11,00
26/02/2021 16:04:07;14,00
26/02/2021 16:04:09;7,00
26/02/2021 16:04:11;13,00
26/02/2021 16:04:13;11,00
26/02/2021 16:04:15;3,00
26/02/2021 16:04:17;6,00
26/02/2021 16:04:19;7,00
26/02/2021 16:04:21;3,00
26/02/2021 16:04:23;5,00
26/02/2021 16:04:25;7,00
26/02/2021 16:04:27;10,00
26/02/2021 16:04:29;7,00
26/02/2021 16:04:31;6,00
26/02/2021 16:04:33;2,00
26/02/2021 16:04:35;13,00
26/02/2021 16:04:37;3,00
26/02/2021 16:04:39;10,00
26/02/2021 16:04:41;0,00
26/02/2021 16:04:43;5,00
26/02/2021 16:04:45;14,00
26/02/2021 16:04:47;4,00
26/02/2021 16:04:49;3,00
26/02/2021 16:04:51;6,00
26/02/2021 16:04:53;5,00
26/02/2021 16:04:55;12,00
26/02/2021 16:04:57;6,00
26/02/2021 16:05:01;3,00
26/02/2021 16:05:03;12,00
26/02/2021 16:05:05;10,00
26/02/2021 16:05:07;2,00
26/02/2021 16:05:09;3,00
26/02/2021 16:05:11;2,00
26/02/2021 16:05:13;8,00
26/02/2021 16:05:15;10,00
26/02/2021 16:05:17;12,00
26/02/2021 16:05:19;14,00
26/02/2021 16:05:21;3,00
26/02/2021 16:05:23;5,00
26/02/2021 16:05:27;7,00
26/02/2021 16:05:29;6,00
26/02/2021 16:05:31;13,00
26/02/2021 16:05:33;11,00
26/02/2021 16:05:35;10,00
26/02/2021 16:05:37;11,00
26/02/2021 16:05:39;6,00
26/02/2021 16:05:41;8,00
26/02/2021 16:05:43;11,00
26/02/2021 16:05:45;3,00
26/02/2021 16:05:47;12,00
26/02/2021 16:05:49;9,00
26/02/2021 16:05:51;5,00
26/02/2021 16:05:53;11,00
26/02/2021 16:05:57;12,00
26/02/2021 16:05:59;1,00
26/02/2021 16:06:01;14,00
26/02/2021 16:06:04;13,00
26/02/2021 16:06:05;9,00
26/02/2021 16:06:08;6,00
26/02/2021 16:06:10;10,00
26/02/2021 16:06:12;8,00
26/02/2021 16:06:14;4,00
26/02/2021 16:06:16;14,00
26/02/2021 16:06:18;6,00
26/02/2021 16:06:20;10,00
26/02/2021 16:06:22;8,00
26/02/2021 16:06:24;1,00
26/02/2021 16:06:26;0,00
26/02/2021 16:06:28;8,00
26/02/2021 16:06:30;5,00
26/02/2021 16:06:32;7,00
26/02/2021 16:06:34;5,00
26/02/2021 16:06:36;0,00
26/02/2021 16:06:38;12,00
26/02/2021 16:06:40;11,00
26/02/2021 16:06:42;9,00
26/02/2021 16:06:46;0,00
26/02/2021 16:06:48;3,00
26/02/2021 16:06:50;1,00
26/02/2021 16:06:52;2,00
26/02/2021 16:06:56;14,00
26/02/2021 16:06:58;2,00
26/02/2021 16:07:00;14,00
26/02/2021 16:07:04;6,00
26/02/2021 16:07:06;14,00
26/02/2021 16:07:08;1,00
26/02/2021 16:07:10;14,00
26/02/2021 16:07:12;12,00
26/02/2021 16:07:16;7,00
26/02/2021 16:07:18;9,00
26/02/2021 16:07:20;2,00
26/02/2021 16:07:22;5,00
26/02/2021 16:07:24;11,00
26/02/2021 16:07:26;14,00
26/02/2021 16:07:28;10,00
26/02/2021 16:07:30;9,00
26/02/2021 16:07:32;6,00
26/02/2021 16:07:34;4,00
26/02/2021 16:07:36;14,00
26/02/2021 16:07:38;2,00
26/02/2021 16:07:40;1,00
26/02/2021 16:07:44;14,00
26/02/2021 16:07:46;7,00
26/02/2021 16:07:48;4,00
26/02/2021 16:07:50;1,00
26/02/2021 16:07:52;2,00
26/02/2021 16:07:56;8,00
26/02/2021 16:07:58;13,00
26/02/2021 16:08:00;6,00
26/02/2021 16:08:02;5,00
26/02/2021 16:08:04;3,00
26/02/2021 16:08:06;14,00
26/02/2021 16:08:08;13,00
26/02/2021 16:08:10;14,00
26/02/2021 16:08:12;4,00
26/02/2021 16:08:14;12,00
26/02/2021 16:08:16;2,00
26/02/2021 16:08:18;1,00
26/02/2021 16:08:20;4,00
26/02/2021 16:08:22;2,00
26/02/2021 16:08:24;14,00
26/02/2021 16:08:26;13,00
26/02/2021 16:08:30;11,00
26/02/2021 16:08:33;13,00
26/02/2021 16:08:34;1,00
26/02/2021 16:08:36;2,00
26/02/2021 16:08:39;11,00
26/02/2021 16:08:41;7,00
26/02/2021 16:08:43;4,00
26/02/2021 16:08:45;6,00
26/02/2021 16:08:47;10,00
26/02/2021 16:08:51;8,00
26/02/2021 16:08:55;0,00
26/02/2021 16:08:57;4,00
26/02/2021 16:08:59;11,00
26/02/2021 16:09:01;13,00
26/02/2021 16:09:03;6,00
26/02/2021 16:09:05;1,00
26/02/2021 16:09:07;12,00
26/02/2021 16:09:09;2,00
26/02/2021 16:09:13;14,00
26/02/2021 16:09:15;12,00
26/02/2021 16:09:17;0,00
26/02/2021 16:09:19;7,00
26/02/2021 16:09:21;6,00
26/02/2021 16:09:23;13,00
26/02/2021 16:09:25;3,00
26/02/2021 16:09:27;12,00
26/02/2021 16:09:29;4,00
26/02/2021 16:09:31;9,00
26/02/2021 16:09:33;13,00
26/02/2021 16:09:35;4,00
26/02/2021 16:09:37;3,00
26/02/2021 16:09:39;1,00
26/02/2021 16:09:41;7,00
26/02/2021 16:09:43;12,00
26/02/2021 16:09:45;9,00
26/02/2021 16:09:47;1,00
26/02/2021 16:09:49;4,00
26/02/2021 16:09:51;6,00
26/02/2021 16:09:53;2,00
26/02/2021 16:09:55;10,00
26/02/2021 16:09:57;13,00
26/02/2021 16:09:59;4,00
26/02/2021 16:10:01;14,00
26/02/2021 16:10:05;7,00
26/02/2021 16:10:07;14,00
26/02/2021 16:10:09;5,00
26/02/2021 16:10:11;6,00
26/02/2021 16:10:13;13,00
26/02/2021 16:10:15;2,00
26/02/2021 16:10:17;12,00
26/02/2021 16:10:19;11,00
26/02/2021 16:10:21;10,00
26/02/2021 16:10:23;5,00
26/02/2021 16:10:25;12,00
26/02/2021 16:10:27;3,00
26/02/2021 16:10:31;0,00
26/02/2021 16:10:33;10,00
26/02/2021 16:10:35;14,00
26/02/2021 16:10:37;10,00
26/02/2021 16:10:39;3,00
26/02/2021 16:10:41;10,00
26/02/2021 16:10:44;7,00
26/02/2021 16:10:46;9,00
26/02/2021 16:10:48;4,00
26/02/2021 16:10:50;12,00
26/02/2021 16:10:52;13,00
26/02/2021 16:10:54;1,00
26/02/2021 16:10:56;6,00
26/02/2021 16:10:58;10,00
26/02/2021 16:11:00;12,00
26/02/2021 16:11:02;1,00
26/02/2021 16:11:04;5,00
26/02/2021 16:11:06;3,00
26/02/2021 16:11:08;2,00
26/02/2021 16:11:10;3,00
26/02/2021 16:11:12;6,00
26/02/2021 16:11:14;9,00
26/02/2021 16:11:16;12,00
26/02/2021 16:11:18;13,00
26/02/2021 16:11:20;5,00
26/02/2021 16:11:22;8,00
26/02/2021 16:11:24;0,00
26/02/2021 16:11:26;6,00
26/02/2021 16:11:28;9,00
26/02/2021 16:11:30;14,00
26/02/2021 16:11:32;7,00
26/02/2021 16:11:34;10,00
26/02/2021 16:11:36;13,00
26/02/2021 16:11:40;5,00
26/02/2021 16:11:42;9,00
26/02/2021 16:11:44;3,00
26/02/2021 16:11:46;5,00
26/02/2021 16:11:48;1,00
26/02/2021 16:11:50;6,00
26/02/2021 16:11:52;2,00
26/02/2021 16:11:54;8,00
26/02/2021 16:11:56;1,00
26/02/2021 16:11:58;12,00
26/02/2021 16:12:00;3,00
26/02/2021 16:12:02;9,00
26/02/2021 16:12:04;3,00
26/02/2021 16:12:06;14,00
26/02/2021 16:12:10;7,00
26/02/2021 16:12:12;3,00
26/02/2021 16:12:14;0,00
26/02/2021 16:12:16;12,00
26/02/2021 16:12:18;7,00
26/02/2021 16:12:20;6,00
26/02/2021 16:12:22;4,00
26/02/2021 16:12:24;13,00
