dd/MM/yyyy HH:mm:ss;CTC2E,16
26/02/2021 16:02:12;4,00
26/02/2021 16:02:14;6,00
26/02/2021 16:02:16;11,00
26/02/2021 16:02:18;5,00
26/02/2021 16:02:20;6,00
26/02/2021 16:02:22;10,00
26/02/2021 16:02:24;8,00
26/02/2021 16:02:26;10,00
26/02/2021 16:02:28;0,00
26/02/2021 16:02:30;9,00
26/02/2021 16:02:32;10,00
26/02/2021 16:02:34;6,00
26/02/2021 16:02:36;12,00
26/02/2021 16:02:38;11,00
26/02/2021 16:02:40;12,00
26/02/2021 16:02:42;13,00
26/02/2021 16:02:44;14,00
26/02/2021 16:02:46;0,00
26/02/2021 16:02:48;10,00
26/02/2021 16:02:52;4,00
26/02/2021 16:02:54;12,00
26/02/2021 16:02:56;10,00
26/02/2021 16:02:58;1,00
26/02/2021 16:03:00;13,00
26/02/2021 16:03:04;6,00
26/02/2021 16:03:06;10,00
26/02/2021 16:03:08;0,00
26/02/2021 16:03:10;11,00
26/02/2021 16:03:12;3,00
26/02/2021 16:03:14;14,00
26/02/2021 16:03:16;7,00
26/02/2021 16:03:18;10,00
26/02/2021 16:03:20;3,00
26/02/2021 16:03:22;12,00
26/02/2021 16:03:24;6,00
26/02/2021 16:03:26;0,00
26/02/2021 16:03:28;7,00
26/02/2021 16:03:30;9,00
26/02/2021 16:03:34;8,00
26/02/2021 16:03:37;7,00
26/02/2021 16:03:39;0,00
26/02/2021 16:03:41;1,00
26/02/2021 16:03:43;9,00
26/02/2021 16:03:45;10,00
26/02/2021 16:03:49;3,00
26/02/2021 16:03:51;9,00
26/02/2021 16:03:53;1,00
26/02/2021 16:03:55;2,00
26/02/2021 16:03:57;12,00
26/02/2021 16:03:59;5,00
26/02/2021 16:04:01;10,00
26/02/2021 16:04:03;5,00
26/02/2021 16:04:05;14,00
26/02/2021 16:04:07;11,00
26/02/2021 16:04:09;5,00
26/02/2021 16:04:11;12,00
26/02/2021 16:04:13;4,00
26/02/2021 16:04:15;12,00
26/02/2021 16:04:17;8,00
26/02/2021 16:04:19;6,00
26/02/2021 16:04:21;8,00
26/02/2021 16:04:23;6,00
26/02/2021 16:04:27;0,00
26/02/2021 16:04:29;11,00
26/02/2021 16:04:31;10,00
26/02/2021 16:04:33;13,00
26/02/2021 16:04:35;3,00
26/02/2021 16:04:37;2,00
26/02/2021 16:04:39;14,00
26/02/2021 16:04:41;10,00
26/02/2021 16:04:43;7,00
26/02/2021 16:04:45;12,00
26/02/2021 16:04:47;5,00
26/02/2021 16:04:49;7,00
26/02/2021 16:04:51;3,00
26/02/2021 16:04:53;13,00
26/02/2021 16:04:55;2,00
26/02/2021 16:04:57;9,00
26/02/2021 16:05:03;13,00
26/02/2021 16:05:07;7,00
26/02/2021 16:05:09;2,00
26/02/2021 16:05:11;3,00
26/02/2021 16:05:13;10,00
26/02/2021 16:05:15;11,00
26/02/2021 16:05:17;5,00
26/02/2021 16:05:19;8,00
26/02/2021 16:05:21;7,00
26/02/2021 16:05:23;6,00
26/02/2021 16:05:25;11,00
26/02/2021 16:05:27;5,00
26/02/2021 16:05:29;7,00
26/02/2021 16:05:31;6,00
26/02/2021 16:05:33;2,00
26/02/2021 16:05:35;0,00
26/02/2021 16:05:37;1,00
26/02/2021 16:05:39;3,00
26/02/2021 16:05:41;4,00
26/02/2021 16:05:43;1,00
26/02/2021 16:05:45;11,00
26/02/2021 16:05:47;5,00
26/02/2021 16:05:49;11,00
26/02/2021 16:05:53;6,00
26/02/2021 16:05:55;8,00
26/02/2021 16:05:57;6,00
26/02/2021 16:06:04;1,00
26/02/2021 16:06:05;9,00
26/02/2021 16:06:08;1,00
26/02/2021 16:06:10;6,00
26/02/2021 16:06:14;12,00
26/02/2021 16:06:16;13,00
26/02/2021 16:06:18;6,00
26/02/2021 16:06:20;2,00
26/02/2021 16:06:22;13,00
26/02/2021 16:06:24;5,00
26/02/2021 16:06:26;1,00
26/02/2021 16:06:28;6,00
26/02/2021 16:06:30;8,00
26/02/2021 16:06:32;14,00
26/02/2021 16:06:34;2,00
26/02/2021 16:06:36;6,00
26/02/2021 16:06:38;12,00
26/02/2021 16:06:40;3,00
26/02/2021 16:06:42;0,00
26/02/2021 16:06:44;5,00
26/02/2021 16:06:46;10,00
26/02/2021 16:06:48;1,00
26/02/2021 16:06:50;5,00
26/02/2021 16:06:52;14,00
26/02/2021 16:06:54;9,00
26/02/2021 16:06:56;10,00
26/02/2021 16:06:58;14,00
26/02/2021 16:07:00;1,00
26/02/2021 16:07:02;8,00
26/02/2021 16:07:04;13,00
26/02/2021 16:07:06;0,00
26/02/2021 16:07:08;11,00
26/02/2021 16:07:10;13,00
26/02/2021 16:07:12;0,00
26/02/2021 16:07:14;1,00
26/02/2021 16:07:16;4,00
26/02/2021 16:07:18;11,00
26/02/2021 16:07:20;7,00
26/02/2021 16:07:22;9,00
26/02/2021 16:07:24;4,00
26/02/2021 16:07:26;5,00
26/02/2021 16:07:30;13,00
26/02/2021 16:07:32;11,00
26/02/2021 16:07:34;12,00
26/02/2021 16:07:36;13,00
26/02/2021 16:07:38;1,00
26/02/2021 16:07:40;14,00
26/02/2021 16:07:42;12,00
26/02/2021 16:07:44;4,00
26/02/2021 16:07:46;7,00
26/02/2021 16:07:48;6,00
26/02/2021 16:07:50;9,00
26/02/2021 16:07:52;14,00
26/02/2021 16:07:54;13,00
26/02/2021 16:07:56;11,00
26/02/2021 16:07:58;5,00
26/02/2021 16:08:00;8,00
26/02/2021 16:08:02;1,00
26/02/2021 16:08:04;3,00
26/02/2021 16:08:06;13,00
26/02/2021 16:08:08;8,00
26/02/2021 16:08:10;3,00
26/02/2021 16:08:14;14,00
26/02/2021 16:08:16;0,00
26/02/2021 16:08:18;4,00
26/02/2021 16:08:20;6,00
26/02/2021 16:08:22;14,00
26/02/2021 16:08:24;0,00
26/02/2021 16:08:26;9,00
26/02/2021 16:08:28;1,00
26/02/2021 16:08:30;13,00
26/02/2021 16:08:33;8,00
26/02/2021 16:08:34;13,00
26/02/2021 16:08:39;0,00
26/02/2021 16:08:41;12,00
26/02/2021 16:08:43;2,00
26/02/2021 16:08:45;8,00
26/02/2021 16:08:47;13,00
26/02/2021 16:08:49;11,00
26/02/2021 16:08:51;8,00
26/02/2021 16:08:53;14,00
26/02/2021 16:08:55;5,00
26/02/2021 16:08:57;2,00
26/02/2021 16:08:59;0,00
26/02/2021 16:09:05;10,00
26/02/2021 16:09:07;11,00
26/02/2021 16:09:09;6,00
26/02/2021 16:09:11;4,00
26/02/2021 16:09:13;3,00
26/02/2021 16:09:15;1,00
26/02/2021 16:09:17;4,00
26/02/2021 16:09:19;0,00
26/02/2021 16:09:21;7,00
