dd/MM/yyyy HH:mm:ss;CTC3,12
01/03/2021 09:23:32;662,00
01/03/2021 09:24:56;664,00
01/03/2021 09:33:52;666,00
01/03/2021 09:34:53;668,00
01/03/2021 09:36:53;670,00
01/03/2021 09:41:53;672,00
01/03/2021 09:42:54;674,00
01/03/2021 09:44:54;676,00
01/03/2021 09:46:54;678,00
01/03/2021 09:48:44;678,00
01/03/2021 09:50:44;678,00
01/03/2021 09:52:00;678,00
01/03/2021 09:52:40;678,00
01/03/2021 09:56:48;680,00
01/03/2021 09:56:50;680,00
01/03/2021 10:03:21;680,00
01/03/2021 10:04:04;680,00
01/03/2021 10:05:03;680,00
01/03/2021 10:09:11;682,00
01/03/2021 10:11:12;684,00
01/03/2021 10:12:59;684,00
01/03/2021 10:14:06;686,00
01/03/2021 10:16:32;686,00
01/03/2021 10:17:40;688,00
