dd/MM/yyyy HH:mm:ss;CTC4A,16
26/02/2021 16:02:14;4,00
26/02/2021 16:02:16;7,00
26/02/2021 16:02:18;3,00
26/02/2021 16:02:20;12,00
26/02/2021 16:02:22;10,00
26/02/2021 16:02:24;6,00
26/02/2021 16:02:28;4,00
26/02/2021 16:02:30;8,00
26/02/2021 16:02:32;7,00
26/02/2021 16:02:34;1,00
26/02/2021 16:02:36;8,00
26/02/2021 16:02:38;13,00
26/02/2021 16:02:40;12,00
26/02/2021 16:02:42;0,00
26/02/2021 16:02:44;14,00
26/02/2021 16:02:46;0,00
26/02/2021 16:02:48;5,00
26/02/2021 16:02:50;9,00
26/02/2021 16:02:52;3,00
26/02/2021 16:02:54;7,00
26/02/2021 16:02:56;11,00
26/02/2021 16:02:58;0,00
26/02/2021 16:03:00;3,00
26/02/2021 16:03:02;5,00
26/02/2021 16:03:04;6,00
26/02/2021 16:03:06;2,00
26/02/2021 16:03:08;5,00
26/02/2021 16:03:10;0,00
26/02/2021 16:03:12;5,00
26/02/2021 16:03:14;12,00
26/02/2021 16:03:16;1,00
26/02/2021 16:03:18;10,00
26/02/2021 16:03:20;14,00
26/02/2021 16:03:22;1,00
26/02/2021 16:03:24;6,00
26/02/2021 16:03:26;2,00
26/02/2021 16:03:28;1,00
26/02/2021 16:03:30;11,00
26/02/2021 16:03:32;8,00
26/02/2021 16:03:34;13,00
26/02/2021 16:03:37;8,00
26/02/2021 16:03:39;12,00
26/02/2021 16:03:41;9,00
26/02/2021 16:03:43;14,00
26/02/2021 16:03:45;3,00
26/02/2021 16:03:47;0,00
26/02/2021 16:03:49;9,00
26/02/2021 16:03:51;0,00
26/02/2021 16:03:53;14,00
26/02/2021 16:03:55;4,00
26/02/2021 16:03:57;10,00
26/02/2021 16:03:59;11,00
26/02/2021 16:04:01;1,00
26/02/2021 16:04:03;7,00
26/02/2021 16:04:05;5,00
26/02/2021 16:04:07;12,00
26/02/2021 16:04:09;14,00
26/02/2021 16:04:11;7,00
26/02/2021 16:04:13;13,00
26/02/2021 16:04:15;2,00
26/02/2021 16:04:17;3,00
26/02/2021 16:04:19;8,00
26/02/2021 16:04:21;0,00
26/02/2021 16:04:23;3,00
