dd/MM/yyyy HH:mm:ss;CTC4F,16
26/02/2021 16:02:12;1,00
26/02/2021 16:02:14;7,00
26/02/2021 16:02:16;3,00
26/02/2021 16:02:18;13,00
26/02/2021 16:02:20;12,00
26/02/2021 16:02:22;3,00
26/02/2021 16:02:24;9,00
26/02/2021 16:02:28;5,00
26/02/2021 16:02:30;0,00
26/02/2021 16:02:32;6,00
26/02/2021 16:02:34;12,00
26/02/2021 16:02:38;13,00
26/02/2021 16:02:40;14,00
26/02/2021 16:02:42;12,00
26/02/2021 16:02:44;1,00
26/02/2021 16:02:46;7,00
26/02/2021 16:02:50;2,00
26/02/2021 16:02:52;1,00
26/02/2021 16:02:54;9,00
26/02/2021 16:02:56;4,00
26/02/2021 16:03:00;8,00
26/02/2021 16:03:02;3,00
26/02/2021 16:03:04;1,00
26/02/2021 16:03:06;3,00
26/02/2021 16:03:08;4,00
26/02/2021 16:03:10;7,00
26/02/2021 16:03:12;12,00
26/02/2021 16:03:14;13,00
26/02/2021 16:03:16;12,00
26/02/2021 16:03:18;13,00
26/02/2021 16:03:20;3,00
26/02/2021 16:03:22;8,00
26/02/2021 16:03:24;12,00
26/02/2021 16:03:28;3,00
26/02/2021 16:03:30;10,00
26/02/2021 16:03:32;9,00
26/02/2021 16:03:34;10,00
26/02/2021 16:03:37;5,00
26/02/2021 16:03:39;14,00
26/02/2021 16:03:41;11,00
26/02/2021 16:03:43;12,00
26/02/2021 16:03:45;7,00
26/02/2021 16:03:47;1,00
26/02/2021 16:03:49;9,00
26/02/2021 16:03:51;8,00
26/02/2021 16:03:53;3,00
26/02/2021 16:03:55;0,00
26/02/2021 16:03:57;8,00
26/02/2021 16:04:01;5,00
26/02/2021 16:04:03;14,00
26/02/2021 16:04:05;8,00
26/02/2021 16:04:07;10,00
26/02/2021 16:04:09;2,00
26/02/2021 16:04:11;12,00
26/02/2021 16:04:13;9,00
26/02/2021 16:04:15;10,00
26/02/2021 16:04:17;11,00
26/02/2021 16:04:19;9,00
26/02/2021 16:04:21;3,00
26/02/2021 16:04:23;8,00
26/02/2021 16:04:25;14,00
26/02/2021 16:04:27;3,00
26/02/2021 16:04:29;7,00
26/02/2021 16:04:31;2,00
26/02/2021 16:04:33;12,00
26/02/2021 16:04:37;2,00
26/02/2021 16:04:39;9,00
26/02/2021 16:04:41;6,00
26/02/2021 16:04:43;5,00
26/02/2021 16:04:45;8,00
26/02/2021 16:04:47;4,00
26/02/2021 16:04:49;11,00
26/02/2021 16:04:51;10,00
26/02/2021 16:04:53;1,00
26/02/2021 16:04:55;0,00
26/02/2021 16:04:57;4,00
26/02/2021 16:04:59;6,00
26/02/2021 16:05:01;8,00
26/02/2021 16:05:03;14,00
26/02/2021 16:05:05;7,00
26/02/2021 16:05:07;3,00
26/02/2021 16:05:09;12,00
26/02/2021 16:05:11;7,00
26/02/2021 16:05:13;11,00
26/02/2021 16:05:15;13,00
26/02/2021 16:05:17;4,00
26/02/2021 16:05:19;8,00
26/02/2021 16:05:21;6,00
26/02/2021 16:05:23;12,00
26/02/2021 16:05:25;7,00
26/02/2021 16:05:27;12,00
26/02/2021 16:05:29;5,00
26/02/2021 16:05:31;4,00
26/02/2021 16:05:35;10,00
26/02/2021 16:05:37;12,00
26/02/2021 16:05:39;3,00
26/02/2021 16:05:41;1,00
26/02/2021 16:05:43;10,00
26/02/2021 16:05:45;8,00
26/02/2021 16:05:47;10,00
26/02/2021 16:05:49;2,00
26/02/2021 16:05:51;11,00
26/02/2021 16:05:53;5,00
26/02/2021 16:05:55;7,00
26/02/2021 16:05:57;10,00
26/02/2021 16:05:59;8,00
26/02/2021 16:06:01;1,00
26/02/2021 16:06:04;8,00
26/02/2021 16:06:05;7,00
26/02/2021 16:06:08;2,00
26/02/2021 16:06:10;4,00
26/02/2021 16:06:12;9,00
26/02/2021 16:06:14;10,00
26/02/2021 16:06:16;1,00
26/02/2021 16:06:18;0,00
26/02/2021 16:06:20;12,00
26/02/2021 16:06:22;5,00
26/02/2021 16:06:24;14,00
26/02/2021 16:06:26;4,00
26/02/2021 16:06:28;11,00
26/02/2021 16:06:30;12,00
26/02/2021 16:06:32;14,00
26/02/2021 16:06:34;5,00
26/02/2021 16:06:36;11,00
26/02/2021 16:06:38;4,00
26/02/2021 16:06:40;7,00
26/02/2021 16:06:44;11,00
26/02/2021 16:06:46;5,00
26/02/2021 16:06:48;1,00
26/02/2021 16:06:50;10,00
26/02/2021 16:06:52;9,00
26/02/2021 16:06:54;7,00
26/02/2021 16:06:56;2,00
26/02/2021 16:06:58;10,00
26/02/2021 16:07:00;11,00
26/02/2021 16:07:02;8,00
26/02/2021 16:07:04;6,00
26/02/2021 16:07:06;5,00
26/02/2021 16:07:08;2,00
26/02/2021 16:07:10;6,00
26/02/2021 16:07:12;13,00
26/02/2021 16:07:14;11,00
26/02/2021 16:07:16;5,00
26/02/2021 16:07:18;8,00
26/02/2021 16:07:20;10,00
26/02/2021 16:07:22;1,00
26/02/2021 16:07:26;7,00
26/02/2021 16:07:28;4,00
26/02/2021 16:07:30;12,00
26/02/2021 16:07:32;11,00
26/02/2021 16:07:34;7,00
26/02/2021 16:07:36;5,00
26/02/2021 16:07:38;9,00
26/02/2021 16:07:42;5,00
26/02/2021 16:07:44;6,00
26/02/2021 16:07:46;10,00
26/02/2021 16:07:48;1,00
26/02/2021 16:07:50;5,00
26/02/2021 16:07:52;7,00
26/02/2021 16:07:54;4,00
26/02/2021 16:07:56;0,00
26/02/2021 16:07:58;6,00
26/02/2021 16:08:00;1,00
26/02/2021 16:08:02;0,00
26/02/2021 16:08:04;10,00
26/02/2021 16:08:06;5,00
26/02/2021 16:08:12;7,00
26/02/2021 16:08:14;14,00
26/02/2021 16:08:16;3,00
26/02/2021 16:08:18;14,00
26/02/2021 16:08:20;3,00
26/02/2021 16:08:22;4,00
26/02/2021 16:08:24;14,00
26/02/2021 16:08:26;0,00
26/02/2021 16:08:28;3,00
26/02/2021 16:08:30;7,00
26/02/2021 16:08:33;5,00
26/02/2021 16:08:34;7,00
26/02/2021 16:08:37;0,00
26/02/2021 16:08:39;7,00
26/02/2021 16:08:41;4,00
26/02/2021 16:08:43;12,00
26/02/2021 16:08:45;8,00
26/02/2021 16:08:47;10,00
26/02/2021 16:08:49;7,00
26/02/2021 16:08:51;2,00
26/02/2021 16:08:53;10,00
26/02/2021 16:08:55;0,00
26/02/2021 16:08:57;9,00
26/02/2021 16:08:59;0,00
26/02/2021 16:09:01;1,00
26/02/2021 16:09:03;11,00
26/02/2021 16:09:05;5,00
26/02/2021 16:09:07;6,00
26/02/2021 16:09:09;12,00
26/02/2021 16:09:11;11,00
26/02/2021 16:09:13;3,00
26/02/2021 16:09:15;2,00
26/02/2021 16:09:17;7,00
26/02/2021 16:09:19;10,00
26/02/2021 16:09:21;14,00
26/02/2021 16:09:23;2,00
26/02/2021 16:09:25;12,00
26/02/2021 16:09:27;8,00
26/02/2021 16:09:29;0,00
26/02/2021 16:09:31;11,00
26/02/2021 16:09:33;10,00
26/02/2021 16:09:35;1,00
26/02/2021 16:09:37;11,00
26/02/2021 16:09:39;8,00
26/02/2021 16:09:43;7,00
26/02/2021 16:09:45;5,00
26/02/2021 16:09:47;3,00
26/02/2021 16:09:49;10,00
