dd/MM/yyyy HH:mm:ss;CTC4G,16
26/02/2021 16:02:12;2,00
26/02/2021 16:02:14;10,00
26/02/2021 16:02:16;14,00
26/02/2021 16:02:18;5,00
26/02/2021 16:02:20;11,00
26/02/2021 16:02:22;2,00
26/02/2021 16:02:24;0,00
26/02/2021 16:02:26;12,00
26/02/2021 16:02:28;2,00
26/02/2021 16:02:30;12,00
26/02/2021 16:02:32;7,00
26/02/2021 16:02:34;11,00
26/02/2021 16:02:36;5,00
26/02/2021 16:02:38;4,00
26/02/2021 16:02:40;3,00
26/02/2021 16:02:42;5,00
26/02/2021 16:02:44;3,00
26/02/2021 16:02:46;7,00
26/02/2021 16:02:48;11,00
26/02/2021 16:02:50;2,00
26/02/2021 16:02:52;8,00
26/02/2021 16:02:54;10,00
26/02/2021 16:02:56;0,00
26/02/2021 16:02:58;7,00
26/02/2021 16:03:00;12,00
26/02/2021 16:03:02;2,00
26/02/2021 16:03:04;13,00
26/02/2021 16:03:06;10,00
26/02/2021 16:03:08;2,00
26/02/2021 16:03:10;3,00
26/02/2021 16:03:12;0,00
26/02/2021 16:03:14;11,00
26/02/2021 16:03:16;2,00
26/02/2021 16:03:18;12,00
26/02/2021 16:03:20;5,00
26/02/2021 16:03:22;3,00
26/02/2021 16:03:24;10,00
26/02/2021 16:03:26;8,00
26/02/2021 16:03:28;6,00
26/02/2021 16:03:30;1,00
26/02/2021 16:03:32;4,00
26/02/2021 16:03:34;2,00
26/02/2021 16:03:37;5,00
26/02/2021 16:03:39;0,00
26/02/2021 16:03:41;11,00
26/02/2021 16:03:43;12,00
26/02/2021 16:03:47;0,00
26/02/2021 16:03:49;5,00
26/02/2021 16:03:51;0,00
26/02/2021 16:03:53;9,00
26/02/2021 16:03:55;12,00
26/02/2021 16:03:57;6,00
26/02/2021 16:03:59;14,00
26/02/2021 16:04:01;2,00
26/02/2021 16:04:03;10,00
26/02/2021 16:04:05;7,00
26/02/2021 16:04:07;8,00
26/02/2021 16:04:09;5,00
26/02/2021 16:04:11;7,00
26/02/2021 16:04:13;11,00
26/02/2021 16:04:15;8,00
26/02/2021 16:04:17;2,00
26/02/2021 16:04:19;1,00
26/02/2021 16:04:21;9,00
26/02/2021 16:04:23;5,00
26/02/2021 16:04:25;1,00
26/02/2021 16:04:29;8,00
26/02/2021 16:04:31;1,00
26/02/2021 16:04:33;9,00
26/02/2021 16:04:35;11,00
26/02/2021 16:04:37;10,00
26/02/2021 16:04:39;12,00
26/02/2021 16:04:41;5,00
26/02/2021 16:04:43;4,00
26/02/2021 16:04:45;6,00
26/02/2021 16:04:47;7,00
26/02/2021 16:04:49;9,00
26/02/2021 16:04:51;5,00
26/02/2021 16:04:53;10,00
26/02/2021 16:04:55;8,00
26/02/2021 16:04:57;6,00
26/02/2021 16:04:59;4,00
26/02/2021 16:05:03;2,00
26/02/2021 16:05:05;7,00
26/02/2021 16:05:07;10,00
26/02/2021 16:05:09;4,00
26/02/2021 16:05:11;3,00
26/02/2021 16:05:13;8,00
26/02/2021 16:05:15;3,00
26/02/2021 16:05:17;13,00
26/02/2021 16:05:19;7,00
26/02/2021 16:05:21;6,00
26/02/2021 16:05:23;10,00
26/02/2021 16:05:25;1,00
26/02/2021 16:05:27;3,00
26/02/2021 16:05:29;14,00
26/02/2021 16:05:31;2,00
26/02/2021 16:05:33;8,00
26/02/2021 16:05:35;0,00
26/02/2021 16:05:37;1,00
26/02/2021 16:05:39;9,00
26/02/2021 16:05:41;14,00
26/02/2021 16:05:43;4,00
26/02/2021 16:05:45;12,00
26/02/2021 16:05:47;10,00
26/02/2021 16:05:49;3,00
26/02/2021 16:05:51;4,00
26/02/2021 16:05:53;2,00
26/02/2021 16:05:57;4,00
26/02/2021 16:05:59;7,00
26/02/2021 16:06:01;3,00
26/02/2021 16:06:04;0,00
26/02/2021 16:06:05;8,00
26/02/2021 16:06:08;10,00
26/02/2021 16:06:10;2,00
26/02/2021 16:06:12;7,00
26/02/2021 16:06:14;8,00
26/02/2021 16:06:16;5,00
26/02/2021 16:06:18;8,00
26/02/2021 16:06:20;1,00
26/02/2021 16:06:22;9,00
26/02/2021 16:06:24;8,00
26/02/2021 16:06:26;10,00
26/02/2021 16:06:28;13,00
26/02/2021 16:06:32;4,00
26/02/2021 16:06:34;3,00
26/02/2021 16:06:36;10,00
26/02/2021 16:06:38;11,00
26/02/2021 16:06:40;5,00
26/02/2021 16:06:42;1,00
26/02/2021 16:06:44;0,00
26/02/2021 16:06:46;4,00
26/02/2021 16:06:50;13,00
26/02/2021 16:06:52;14,00
26/02/2021 16:06:54;2,00
26/02/2021 16:06:56;4,00
26/02/2021 16:06:58;2,00
26/02/2021 16:07:02;0,00
26/02/2021 16:07:04;11,00
26/02/2021 16:07:06;3,00
26/02/2021 16:07:08;5,00
26/02/2021 16:07:10;8,00
26/02/2021 16:07:12;3,00
26/02/2021 16:07:14;10,00
26/02/2021 16:07:18;6,00
26/02/2021 16:07:20;2,00
26/02/2021 16:07:22;5,00
26/02/2021 16:07:24;2,00
26/02/2021 16:07:26;9,00
26/02/2021 16:07:28;5,00
26/02/2021 16:07:32;9,00
26/02/2021 16:07:34;6,00
26/02/2021 16:07:36;3,00
26/02/2021 16:07:38;13,00
26/02/2021 16:07:40;0,00
26/02/2021 16:07:42;11,00
26/02/2021 16:07:44;12,00
26/02/2021 16:07:46;0,00
26/02/2021 16:07:48;6,00
26/02/2021 16:07:50;7,00
26/02/2021 16:07:52;2,00
26/02/2021 16:07:54;10,00
26/02/2021 16:07:56;5,00
26/02/2021 16:07:58;1,00
26/02/2021 16:08:00;4,00
26/02/2021 16:08:02;13,00
26/02/2021 16:08:04;10,00
26/02/2021 16:08:06;14,00
26/02/2021 16:08:08;1,00
26/02/2021 16:08:10;4,00
26/02/2021 16:08:12;12,00
26/02/2021 16:08:14;14,00
26/02/2021 16:08:16;8,00
26/02/2021 16:08:18;6,00
26/02/2021 16:08:20;3,00
26/02/2021 16:08:22;9,00
26/02/2021 16:08:26;4,00
26/02/2021 16:08:28;8,00
26/02/2021 16:08:30;7,00
26/02/2021 16:08:33;10,00
26/02/2021 16:08:34;9,00
26/02/2021 16:08:37;10,00
26/02/2021 16:08:39;11,00
26/02/2021 16:08:41;9,00
26/02/2021 16:08:43;8,00
26/02/2021 16:08:45;10,00
26/02/2021 16:08:47;2,00
26/02/2021 16:08:49;13,00
26/02/2021 16:08:51;5,00
26/02/2021 16:08:53;12,00
