dd/MM/yyyy HH:mm:ss;CTC4H,16
26/02/2021 16:02:12;14,00
26/02/2021 16:02:14;7,00
26/02/2021 16:02:16;12,00
26/02/2021 16:02:18;3,00
26/02/2021 16:02:24;1,00
26/02/2021 16:02:26;8,00
26/02/2021 16:02:30;3,00
26/02/2021 16:02:32;1,00
26/02/2021 16:02:36;3,00
26/02/2021 16:02:38;1,00
26/02/2021 16:02:40;8,00
26/02/2021 16:02:42;3,00
26/02/2021 16:02:44;5,00
26/02/2021 16:02:46;7,00
26/02/2021 16:02:48;5,00
26/02/2021 16:02:50;2,00
26/02/2021 16:02:52;14,00
26/02/2021 16:02:56;6,00
26/02/2021 16:02:58;3,00
26/02/2021 16:03:00;6,00
26/02/2021 16:03:02;10,00
26/02/2021 16:03:04;3,00
26/02/2021 16:03:06;13,00
26/02/2021 16:03:08;12,00
26/02/2021 16:03:10;2,00
26/02/2021 16:03:12;13,00
26/02/2021 16:03:14;6,00
26/02/2021 16:03:20;12,00
26/02/2021 16:03:22;6,00
26/02/2021 16:03:24;3,00
26/02/2021 16:03:26;1,00
26/02/2021 16:03:28;14,00
26/02/2021 16:03:30;9,00
26/02/2021 16:03:32;5,00
26/02/2021 16:03:34;12,00
26/02/2021 16:03:37;4,00
26/02/2021 16:03:39;7,00
26/02/2021 16:03:41;2,00
26/02/2021 16:03:45;7,00
26/02/2021 16:03:47;8,00
26/02/2021 16:03:49;3,00
26/02/2021 16:03:51;13,00
26/02/2021 16:03:53;5,00
26/02/2021 16:03:55;3,00
26/02/2021 16:03:57;10,00
26/02/2021 16:03:59;5,00
26/02/2021 16:04:01;1,00
26/02/2021 16:04:03;14,00
26/02/2021 16:04:05;8,00
26/02/2021 16:04:07;1,00
26/02/2021 16:04:09;11,00
26/02/2021 16:04:11;0,00
26/02/2021 16:04:15;5,00
26/02/2021 16:04:17;14,00
26/02/2021 16:04:19;6,00
26/02/2021 16:04:21;0,00
26/02/2021 16:04:23;7,00
26/02/2021 16:04:25;3,00
26/02/2021 16:04:27;5,00
26/02/2021 16:04:29;9,00
26/02/2021 16:04:33;11,00
26/02/2021 16:04:35;3,00
26/02/2021 16:04:37;13,00
26/02/2021 16:04:39;3,00
26/02/2021 16:04:41;9,00
