dd/MM/yyyy HH:mm:ss;CTC4I,16
26/02/2021 16:02:12;10,00
26/02/2021 16:02:14;1,00
26/02/2021 16:02:16;0,00
26/02/2021 16:02:18;11,00
26/02/2021 16:02:20;5,00
26/02/2021 16:02:22;11,00
26/02/2021 16:02:24;12,00
26/02/2021 16:02:26;13,00
26/02/2021 16:02:28;4,00
26/02/2021 16:02:30;9,00
26/02/2021 16:02:32;10,00
26/02/2021 16:02:34;3,00
26/02/2021 16:02:38;5,00
26/02/2021 16:02:40;1,00
26/02/2021 16:02:42;7,00
26/02/2021 16:02:46;13,00
26/02/2021 16:02:48;2,00
26/02/2021 16:02:50;6,00
26/02/2021 16:02:52;3,00
26/02/2021 16:02:54;0,00
26/02/2021 16:02:56;10,00
26/02/2021 16:02:58;9,00
26/02/2021 16:03:00;11,00
26/02/2021 16:03:02;6,00
26/02/2021 16:03:04;1,00
26/02/2021 16:03:06;7,00
26/02/2021 16:03:08;1,00
26/02/2021 16:03:12;9,00
26/02/2021 16:03:14;13,00
26/02/2021 16:03:16;2,00
26/02/2021 16:03:18;10,00
26/02/2021 16:03:20;5,00
26/02/2021 16:03:22;7,00
26/02/2021 16:03:24;13,00
26/02/2021 16:03:26;12,00
26/02/2021 16:03:28;13,00
26/02/2021 16:03:30;10,00
26/02/2021 16:03:32;2,00
26/02/2021 16:03:37;3,00
26/02/2021 16:03:39;5,00
26/02/2021 16:03:41;4,00
26/02/2021 16:03:43;13,00
26/02/2021 16:03:45;9,00
26/02/2021 16:03:51;8,00
26/02/2021 16:03:53;7,00
26/02/2021 16:03:57;5,00
26/02/2021 16:03:59;4,00
26/02/2021 16:04:01;5,00
26/02/2021 16:04:03;11,00
26/02/2021 16:04:05;12,00
26/02/2021 16:04:09;13,00
26/02/2021 16:04:11;12,00
26/02/2021 16:04:13;4,00
26/02/2021 16:04:15;9,00
26/02/2021 16:04:17;10,00
26/02/2021 16:04:19;11,00
26/02/2021 16:04:21;12,00
26/02/2021 16:04:23;1,00
26/02/2021 16:04:25;12,00
26/02/2021 16:04:27;7,00
26/02/2021 16:04:29;14,00
26/02/2021 16:04:31;11,00
26/02/2021 16:04:33;13,00
26/02/2021 16:04:35;9,00
26/02/2021 16:04:37;7,00
26/02/2021 16:04:39;4,00
26/02/2021 16:04:41;0,00
26/02/2021 16:04:43;12,00
26/02/2021 16:04:45;11,00
26/02/2021 16:04:47;13,00
26/02/2021 16:04:49;0,00
26/02/2021 16:04:51;8,00
26/02/2021 16:04:53;7,00
26/02/2021 16:04:55;1,00
26/02/2021 16:04:57;13,00
26/02/2021 16:04:59;12,00
26/02/2021 16:05:01;8,00
26/02/2021 16:05:03;12,00
26/02/2021 16:05:05;6,00
26/02/2021 16:05:07;14,00
26/02/2021 16:05:09;8,00
26/02/2021 16:05:11;3,00
26/02/2021 16:05:13;0,00
26/02/2021 16:05:15;13,00
