dd/MM/yyyy HH:mm:ss;CTC4J,16
26/02/2021 16:02:14;8,00
26/02/2021 16:02:16;2,00
26/02/2021 16:02:18;8,00
26/02/2021 16:02:20;1,00
26/02/2021 16:02:22;10,00
26/02/2021 16:02:24;7,00
26/02/2021 16:02:26;0,00
26/02/2021 16:02:28;13,00
26/02/2021 16:02:30;8,00
26/02/2021 16:02:32;3,00
26/02/2021 16:02:34;10,00
26/02/2021 16:02:38;14,00
26/02/2021 16:02:40;10,00
26/02/2021 16:02:42;12,00
26/02/2021 16:02:44;1,00
26/02/2021 16:02:46;10,00
26/02/2021 16:02:50;9,00
26/02/2021 16:02:52;0,00
26/02/2021 16:02:54;10,00
26/02/2021 16:02:56;9,00
26/02/2021 16:02:58;5,00
26/02/2021 16:03:00;8,00
26/02/2021 16:03:02;11,00
26/02/2021 16:03:04;1,00
26/02/2021 16:03:06;4,00
26/02/2021 16:03:08;1,00
26/02/2021 16:03:10;2,00
26/02/2021 16:03:12;9,00
26/02/2021 16:03:14;8,00
26/02/2021 16:03:16;4,00
26/02/2021 16:03:18;10,00
26/02/2021 16:03:20;11,00
26/02/2021 16:03:22;5,00
26/02/2021 16:03:24;0,00
26/02/2021 16:03:26;12,00
26/02/2021 16:03:28;2,00
26/02/2021 16:03:30;0,00
26/02/2021 16:03:32;8,00
26/02/2021 16:03:34;11,00
26/02/2021 16:03:37;5,00
26/02/2021 16:03:39;2,00
26/02/2021 16:03:41;3,00
26/02/2021 16:03:43;7,00
26/02/2021 16:03:45;5,00
26/02/2021 16:03:47;7,00
26/02/2021 16:03:49;12,00
26/02/2021 16:03:51;3,00
26/02/2021 16:03:53;8,00
26/02/2021 16:03:55;11,00
26/02/2021 16:03:57;0,00
26/02/2021 16:03:59;10,00
26/02/2021 16:04:01;7,00
26/02/2021 16:04:03;14,00
26/02/2021 16:04:05;1,00
26/02/2021 16:04:07;13,00
26/02/2021 16:04:09;10,00
26/02/2021 16:04:11;9,00
26/02/2021 16:04:13;12,00
26/02/2021 16:04:15;0,00
26/02/2021 16:04:17;12,00
26/02/2021 16:04:19;3,00
26/02/2021 16:04:21;13,00
26/02/2021 16:04:23;12,00
26/02/2021 16:04:25;7,00
26/02/2021 16:04:27;0,00
26/02/2021 16:04:29;6,00
26/02/2021 16:04:31;14,00
26/02/2021 16:04:35;3,00
26/02/2021 16:04:37;1,00
26/02/2021 16:04:39;13,00
26/02/2021 16:04:41;0,00
26/02/2021 16:04:43;4,00
26/02/2021 16:04:45;5,00
26/02/2021 16:04:47;7,00
26/02/2021 16:04:49;5,00
26/02/2021 16:04:51;1,00
26/02/2021 16:04:53;2,00
26/02/2021 16:04:55;13,00
26/02/2021 16:04:57;5,00
26/02/2021 16:04:59;14,00
26/02/2021 16:05:01;7,00
26/02/2021 16:05:03;6,00
26/02/2021 16:05:05;10,00
26/02/2021 16:05:07;8,00
26/02/2021 16:05:09;14,00
26/02/2021 16:05:11;2,00
26/02/2021 16:05:13;14,00
26/02/2021 16:05:15;3,00
26/02/2021 16:05:17;6,00
26/02/2021 16:05:19;3,00
26/02/2021 16:05:21;14,00
26/02/2021 16:05:23;13,00
26/02/2021 16:05:25;4,00
26/02/2021 16:05:27;1,00
26/02/2021 16:05:29;5,00
26/02/2021 16:05:31;9,00
26/02/2021 16:05:33;12,00
26/02/2021 16:05:35;7,00
26/02/2021 16:05:39;9,00
26/02/2021 16:05:41;13,00
26/02/2021 16:05:45;3,00
26/02/2021 16:05:47;8,00
26/02/2021 16:05:49;7,00
26/02/2021 16:05:51;4,00
26/02/2021 16:05:53;1,00
26/02/2021 16:05:55;9,00
26/02/2021 16:05:57;6,00
26/02/2021 16:05:59;5,00
26/02/2021 16:06:01;1,00
26/02/2021 16:06:04;12,00
26/02/2021 16:06:05;1,00
26/02/2021 16:06:10;9,00
26/02/2021 16:06:12;11,00
26/02/2021 16:06:14;1,00
26/02/2021 16:06:16;10,00
26/02/2021 16:06:18;14,00
26/02/2021 16:06:20;5,00
26/02/2021 16:06:22;8,00
26/02/2021 16:06:24;10,00
26/02/2021 16:06:26;9,00
