dd/MM/yyyy HH:mm:ss;CTC4K,16
26/02/2021 16:02:12;1,00
26/02/2021 16:02:14;5,00
26/02/2021 16:02:16;2,00
26/02/2021 16:02:18;12,00
26/02/2021 16:02:20;11,00
26/02/2021 16:02:22;1,00
26/02/2021 16:02:24;8,00
26/02/2021 16:02:26;14,00
26/02/2021 16:02:28;0,00
26/02/2021 16:02:30;2,00
26/02/2021 16:02:32;13,00
26/02/2021 16:02:34;6,00
26/02/2021 16:02:36;2,00
26/02/2021 16:02:38;8,00
26/02/2021 16:02:40;12,00
26/02/2021 16:02:42;10,00
26/02/2021 16:02:44;13,00
26/02/2021 16:02:46;4,00
26/02/2021 16:02:48;7,00
26/02/2021 16:02:50;4,00
26/02/2021 16:02:52;1,00
26/02/2021 16:02:54;5,00
26/02/2021 16:02:56;2,00
26/02/2021 16:02:58;12,00
26/02/2021 16:03:00;3,00
26/02/2021 16:03:02;0,00
26/02/2021 16:03:04;9,00
26/02/2021 16:03:06;7,00
26/02/2021 16:03:10;9,00
26/02/2021 16:03:12;10,00
26/02/2021 16:03:14;13,00
26/02/2021 16:03:16;11,00
26/02/2021 16:03:18;3,00
26/02/2021 16:03:20;13,00
26/02/2021 16:03:22;6,00
26/02/2021 16:03:24;4,00
26/02/2021 16:03:26;8,00
26/02/2021 16:03:28;14,00
26/02/2021 16:03:30;5,00
26/02/2021 16:03:32;6,00
26/02/2021 16:03:34;10,00
26/02/2021 16:03:37;7,00
26/02/2021 16:03:39;6,00
26/02/2021 16:03:43;12,00
26/02/2021 16:03:45;5,00
26/02/2021 16:03:47;8,00
26/02/2021 16:03:49;2,00
26/02/2021 16:03:51;0,00
26/02/2021 16:03:53;8,00
26/02/2021 16:03:55;2,00
26/02/2021 16:03:59;12,00
26/02/2021 16:04:01;7,00
26/02/2021 16:04:03;11,00
26/02/2021 16:04:05;13,00
26/02/2021 16:04:09;1,00
26/02/2021 16:04:11;7,00
26/02/2021 16:04:13;5,00
26/02/2021 16:04:15;9,00
26/02/2021 16:04:17;12,00
26/02/2021 16:04:19;4,00
26/02/2021 16:04:21;2,00
26/02/2021 16:04:23;7,00
26/02/2021 16:04:25;3,00
26/02/2021 16:04:29;14,00
26/02/2021 16:04:31;9,00
26/02/2021 16:04:33;4,00
26/02/2021 16:04:35;9,00
26/02/2021 16:04:37;5,00
26/02/2021 16:04:39;13,00
26/02/2021 16:04:41;5,00
26/02/2021 16:04:43;12,00
26/02/2021 16:04:45;10,00
26/02/2021 16:04:47;11,00
26/02/2021 16:04:49;0,00
26/02/2021 16:04:53;13,00
26/02/2021 16:04:55;2,00
26/02/2021 16:04:57;1,00
26/02/2021 16:05:01;9,00
26/02/2021 16:05:03;5,00
26/02/2021 16:05:05;13,00
26/02/2021 16:05:07;14,00
26/02/2021 16:05:09;11,00
26/02/2021 16:05:11;3,00
26/02/2021 16:05:13;14,00
26/02/2021 16:05:15;0,00
26/02/2021 16:05:17;11,00
26/02/2021 16:05:19;14,00
26/02/2021 16:05:21;8,00
26/02/2021 16:05:23;0,00
26/02/2021 16:05:25;3,00
26/02/2021 16:05:27;4,00
26/02/2021 16:05:29;12,00
26/02/2021 16:05:31;6,00
26/02/2021 16:05:33;9,00
26/02/2021 16:05:37;2,00
26/02/2021 16:05:39;6,00
26/02/2021 16:05:41;12,00
26/02/2021 16:05:43;5,00
26/02/2021 16:05:45;7,00
26/02/2021 16:05:49;3,00
26/02/2021 16:05:51;0,00
26/02/2021 16:05:53;1,00
26/02/2021 16:05:55;14,00
26/02/2021 16:05:57;6,00
26/02/2021 16:05:59;7,00
26/02/2021 16:06:01;12,00
26/02/2021 16:06:04;11,00
26/02/2021 16:06:05;0,00
26/02/2021 16:06:08;5,00
26/02/2021 16:06:10;3,00
26/02/2021 16:06:12;1,00
26/02/2021 16:06:16;6,00
26/02/2021 16:06:18;0,00
26/02/2021 16:06:22;2,00
26/02/2021 16:06:24;11,00
26/02/2021 16:06:28;3,00
26/02/2021 16:06:30;4,00
26/02/2021 16:06:32;14,00
26/02/2021 16:06:34;9,00
26/02/2021 16:06:36;10,00
26/02/2021 16:06:38;9,00
26/02/2021 16:06:40;0,00
26/02/2021 16:06:44;2,00
26/02/2021 16:06:48;10,00
26/02/2021 16:06:50;3,00
26/02/2021 16:06:52;11,00
26/02/2021 16:06:54;9,00
26/02/2021 16:06:56;5,00
26/02/2021 16:06:58;3,00
26/02/2021 16:07:04;10,00
26/02/2021 16:07:06;2,00
26/02/2021 16:07:08;8,00
26/02/2021 16:07:10;7,00
26/02/2021 16:07:14;3,00
26/02/2021 16:07:16;12,00
26/02/2021 16:07:18;8,00
26/02/2021 16:07:20;11,00
26/02/2021 16:07:22;14,00
26/02/2021 16:07:24;7,00
26/02/2021 16:07:26;8,00
26/02/2021 16:07:28;14,00
26/02/2021 16:07:32;3,00
26/02/2021 16:07:34;5,00
26/02/2021 16:07:36;9,00
26/02/2021 16:07:38;13,00
26/02/2021 16:07:40;11,00
26/02/2021 16:07:42;9,00
26/02/2021 16:07:44;14,00
26/02/2021 16:07:46;5,00
26/02/2021 16:07:48;11,00
26/02/2021 16:07:52;9,00
26/02/2021 16:07:54;3,00
26/02/2021 16:07:56;0,00
26/02/2021 16:07:58;12,00
26/02/2021 16:08:00;11,00
26/02/2021 16:08:02;7,00
26/02/2021 16:08:04;4,00
26/02/2021 16:08:06;11,00
26/02/2021 16:08:08;8,00
26/02/2021 16:08:10;11,00
26/02/2021 16:08:12;2,00
26/02/2021 16:08:14;8,00
26/02/2021 16:08:16;12,00
26/02/2021 16:08:18;10,00
26/02/2021 16:08:20;2,00
26/02/2021 16:08:22;5,00
26/02/2021 16:08:24;6,00
26/02/2021 16:08:26;4,00
26/02/2021 16:08:28;11,00
26/02/2021 16:08:30;13,00
26/02/2021 16:08:33;1,00
26/02/2021 16:08:34;12,00
26/02/2021 16:08:37;8,00
26/02/2021 16:08:39;12,00
26/02/2021 16:08:41;9,00
26/02/2021 16:08:43;5,00
26/02/2021 16:08:45;4,00
26/02/2021 16:08:47;3,00
26/02/2021 16:08:49;2,00
26/02/2021 16:08:51;8,00
26/02/2021 16:08:53;0,00
26/02/2021 16:08:55;2,00
26/02/2021 16:08:57;1,00
26/02/2021 16:08:59;14,00
26/02/2021 16:09:01;5,00
26/02/2021 16:09:03;13,00
26/02/2021 16:09:05;11,00
26/02/2021 16:09:07;12,00
26/02/2021 16:09:09;6,00
26/02/2021 16:09:11;2,00
26/02/2021 16:09:13;9,00
26/02/2021 16:09:15;8,00
26/02/2021 16:09:17;4,00
26/02/2021 16:09:19;7,00
26/02/2021 16:09:21;3,00
26/02/2021 16:09:23;0,00
26/02/2021 16:09:25;1,00
26/02/2021 16:09:27;11,00
26/02/2021 16:09:29;2,00
26/02/2021 16:09:33;1,00
26/02/2021 16:09:35;10,00
26/02/2021 16:09:37;4,00
26/02/2021 16:09:39;7,00
26/02/2021 16:09:41;4,00
26/02/2021 16:09:43;5,00
26/02/2021 16:09:45;11,00
26/02/2021 16:09:47;14,00
26/02/2021 16:09:49;11,00
26/02/2021 16:09:51;8,00
26/02/2021 16:09:53;5,00
26/02/2021 16:09:55;3,00
26/02/2021 16:09:57;4,00
26/02/2021 16:09:59;0,00
26/02/2021 16:10:01;4,00
26/02/2021 16:10:03;8,00
26/02/2021 16:10:05;3,00
26/02/2021 16:10:07;6,00
26/02/2021 16:10:11;12,00
26/02/2021 16:10:13;7,00
26/02/2021 16:10:15;2,00
26/02/2021 16:10:17;8,00
26/02/2021 16:10:19;2,00
26/02/2021 16:10:21;1,00
26/02/2021 16:10:23;6,00
26/02/2021 16:10:25;1,00
26/02/2021 16:10:27;14,00
26/02/2021 16:10:29;11,00
26/02/2021 16:10:31;10,00
26/02/2021 16:10:33;5,00
26/02/2021 16:10:35;3,00
26/02/2021 16:10:37;6,00
26/02/2021 16:10:39;9,00
26/02/2021 16:10:41;10,00
26/02/2021 16:10:44;13,00
26/02/2021 16:10:46;1,00
26/02/2021 16:10:48;6,00
26/02/2021 16:10:50;2,00
26/02/2021 16:10:52;7,00
26/02/2021 16:10:54;6,00
26/02/2021 16:10:56;3,00
26/02/2021 16:10:58;4,00
26/02/2021 16:11:00;11,00
26/02/2021 16:11:02;14,00
26/02/2021 16:11:04;2,00
26/02/2021 16:11:06;5,00
26/02/2021 16:11:08;12,00
26/02/2021 16:11:10;7,00
26/02/2021 16:11:12;10,00
26/02/2021 16:11:16;12,00
26/02/2021 16:11:18;2,00
26/02/2021 16:11:20;14,00
26/02/2021 16:11:22;11,00
26/02/2021 16:11:24;14,00
26/02/2021 16:11:26;10,00
26/02/2021 16:11:28;4,00
26/02/2021 16:11:30;14,00
26/02/2021 16:11:32;5,00
26/02/2021 16:11:34;9,00
26/02/2021 16:11:36;5,00
26/02/2021 16:11:38;10,00
26/02/2021 16:11:40;7,00
26/02/2021 16:11:42;14,00
26/02/2021 16:11:44;13,00
26/02/2021 16:11:46;8,00
26/02/2021 16:11:48;0,00
26/02/2021 16:11:50;7,00
26/02/2021 16:11:52;12,00
26/02/2021 16:11:54;3,00
26/02/2021 16:11:56;9,00
26/02/2021 16:11:58;4,00
26/02/2021 16:12:00;7,00
26/02/2021 16:12:02;1,00
26/02/2021 16:12:04;5,00
26/02/2021 16:12:06;13,00
26/02/2021 16:12:10;5,00
26/02/2021 16:12:12;8,00
26/02/2021 16:12:14;7,00
26/02/2021 16:12:16;2,00
26/02/2021 16:12:18;11,00
26/02/2021 16:12:20;14,00
26/02/2021 16:12:24;7,00
26/02/2021 16:12:26;5,00
26/02/2021 16:12:28;7,00
26/02/2021 16:12:30;9,00
26/02/2021 16:12:32;12,00
26/02/2021 16:12:34;0,00
26/02/2021 16:12:36;10,00
26/02/2021 16:12:38;2,00
26/02/2021 16:12:40;3,00
26/02/2021 16:12:42;9,00
26/02/2021 16:12:44;1,00
26/02/2021 16:12:48;12,00
26/02/2021 16:12:50;5,00
26/02/2021 16:12:52;11,00
26/02/2021 16:12:54;8,00
26/02/2021 16:12:56;4,00
26/02/2021 16:12:58;11,00
26/02/2021 16:13:00;4,00
26/02/2021 16:13:02;2,00
26/02/2021 16:13:04;4,00
26/02/2021 16:13:08;1,00
26/02/2021 16:13:10;12,00
26/02/2021 16:13:12;4,00
26/02/2021 16:13:14;11,00
26/02/2021 16:13:16;13,00
26/02/2021 16:13:18;0,00
26/02/2021 16:13:21;13,00
26/02/2021 16:13:22;7,00
26/02/2021 16:13:25;4,00
26/02/2021 16:13:27;0,00
26/02/2021 16:13:29;11,00
26/02/2021 16:13:31;5,00
26/02/2021 16:13:33;0,00
26/02/2021 16:13:35;5,00
26/02/2021 16:13:39;12,00
26/02/2021 16:13:41;11,00
26/02/2021 16:13:43;10,00
26/02/2021 16:13:45;2,00
26/02/2021 16:13:47;5,00
26/02/2021 16:13:49;2,00
26/02/2021 16:13:51;14,00
26/02/2021 16:13:53;6,00
26/02/2021 16:13:55;3,00
26/02/2021 16:13:59;12,00
26/02/2021 16:14:03;7,00
26/02/2021 16:14:05;6,00
26/02/2021 16:14:07;12,00
26/02/2021 16:14:09;1,00
26/02/2021 16:14:11;10,00
26/02/2021 16:14:13;4,00
26/02/2021 16:14:15;11,00
26/02/2021 16:14:17;12,00
26/02/2021 16:14:19;3,00
26/02/2021 16:14:21;7,00
26/02/2021 16:14:23;4,00
26/02/2021 16:14:25;3,00
26/02/2021 16:14:27;4,00
26/02/2021 16:14:29;10,00
26/02/2021 16:14:31;3,00
26/02/2021 16:14:33;8,00
26/02/2021 16:14:35;1,00
26/02/2021 16:14:37;4,00
26/02/2021 16:14:39;13,00
26/02/2021 16:14:41;4,00
26/02/2021 16:14:43;11,00
