dd/MM/yyyy HH:mm:ss;CTC4L,16
26/02/2021 16:02:12;1,00
26/02/2021 16:02:14;0,00
26/02/2021 16:02:16;7,00
26/02/2021 16:02:18;3,00
26/02/2021 16:02:20;2,00
26/02/2021 16:02:22;0,00
26/02/2021 16:02:24;11,00
26/02/2021 16:02:26;4,00
26/02/2021 16:02:28;1,00
26/02/2021 16:02:30;9,00
26/02/2021 16:02:32;10,00
26/02/2021 16:02:34;14,00
26/02/2021 16:02:36;5,00
26/02/2021 16:02:38;10,00
26/02/2021 16:02:40;12,00
26/02/2021 16:02:42;9,00
26/02/2021 16:02:44;12,00
26/02/2021 16:02:46;10,00
26/02/2021 16:02:48;9,00
26/02/2021 16:02:52;12,00
26/02/2021 16:02:54;8,00
26/02/2021 16:02:56;2,00
26/02/2021 16:02:58;12,00
26/02/2021 16:03:00;8,00
26/02/2021 16:03:02;14,00
26/02/2021 16:03:04;7,00
26/02/2021 16:03:06;9,00
26/02/2021 16:03:08;14,00
26/02/2021 16:03:12;5,00
26/02/2021 16:03:16;6,00
26/02/2021 16:03:18;10,00
26/02/2021 16:03:20;3,00
26/02/2021 16:03:22;2,00
26/02/2021 16:03:24;14,00
26/02/2021 16:03:26;12,00
26/02/2021 16:03:28;8,00
26/02/2021 16:03:30;1,00
26/02/2021 16:03:32;9,00
26/02/2021 16:03:34;11,00
26/02/2021 16:03:37;6,00
26/02/2021 16:03:39;3,00
26/02/2021 16:03:41;7,00
26/02/2021 16:03:43;9,00
26/02/2021 16:03:45;7,00
26/02/2021 16:03:47;14,00
26/02/2021 16:03:49;3,00
26/02/2021 16:03:51;1,00
26/02/2021 16:03:53;7,00
26/02/2021 16:03:55;12,00
26/02/2021 16:03:57;8,00
26/02/2021 16:03:59;14,00
26/02/2021 16:04:01;10,00
26/02/2021 16:04:03;4,00
26/02/2021 16:04:05;0,00
26/02/2021 16:04:07;2,00
26/02/2021 16:04:09;11,00
26/02/2021 16:04:11;6,00
26/02/2021 16:04:15;11,00
26/02/2021 16:04:17;12,00
26/02/2021 16:04:19;9,00
26/02/2021 16:04:21;2,00
26/02/2021 16:04:23;14,00
26/02/2021 16:04:25;10,00
26/02/2021 16:04:29;5,00
26/02/2021 16:04:31;13,00
26/02/2021 16:04:33;10,00
26/02/2021 16:04:35;11,00
26/02/2021 16:04:37;14,00
26/02/2021 16:04:39;9,00
26/02/2021 16:04:41;14,00
26/02/2021 16:04:43;11,00
26/02/2021 16:04:45;2,00
26/02/2021 16:04:47;4,00
26/02/2021 16:04:49;12,00
26/02/2021 16:04:51;11,00
26/02/2021 16:04:53;8,00
26/02/2021 16:04:55;14,00
26/02/2021 16:04:57;5,00
26/02/2021 16:04:59;6,00
26/02/2021 16:05:01;5,00
26/02/2021 16:05:03;2,00
26/02/2021 16:05:05;9,00
26/02/2021 16:05:07;6,00
26/02/2021 16:05:09;8,00
26/02/2021 16:05:11;14,00
26/02/2021 16:05:13;12,00
26/02/2021 16:05:15;14,00
26/02/2021 16:05:17;5,00
26/02/2021 16:05:19;8,00
26/02/2021 16:05:21;12,00
26/02/2021 16:05:23;11,00
26/02/2021 16:05:25;1,00
26/02/2021 16:05:27;13,00
26/02/2021 16:05:29;8,00
26/02/2021 16:05:31;9,00
26/02/2021 16:05:33;11,00
26/02/2021 16:05:35;7,00
26/02/2021 16:05:37;8,00
26/02/2021 16:05:39;1,00
26/02/2021 16:05:41;13,00
26/02/2021 16:05:43;12,00
26/02/2021 16:05:45;6,00
26/02/2021 16:05:47;2,00
26/02/2021 16:05:49;1,00
26/02/2021 16:05:51;0,00
26/02/2021 16:05:53;13,00
26/02/2021 16:05:55;4,00
26/02/2021 16:05:57;7,00
26/02/2021 16:05:59;6,00
26/02/2021 16:06:01;3,00
26/02/2021 16:06:04;13,00
26/02/2021 16:06:05;10,00
26/02/2021 16:06:08;2,00
26/02/2021 16:06:10;14,00
26/02/2021 16:06:12;11,00
26/02/2021 16:06:14;0,00
26/02/2021 16:06:16;4,00
26/02/2021 16:06:18;1,00
26/02/2021 16:06:20;9,00
26/02/2021 16:06:22;1,00
26/02/2021 16:06:24;13,00
26/02/2021 16:06:26;14,00
26/02/2021 16:06:28;8,00
26/02/2021 16:06:30;6,00
26/02/2021 16:06:32;13,00
26/02/2021 16:06:34;6,00
26/02/2021 16:06:36;13,00
26/02/2021 16:06:38;14,00
26/02/2021 16:06:40;4,00
26/02/2021 16:06:42;2,00
26/02/2021 16:06:44;7,00
26/02/2021 16:06:46;10,00
26/02/2021 16:06:48;0,00
26/02/2021 16:06:50;5,00
26/02/2021 16:06:52;12,00
26/02/2021 16:06:54;2,00
26/02/2021 16:06:56;4,00
26/02/2021 16:06:58;13,00
26/02/2021 16:07:00;6,00
26/02/2021 16:07:02;8,00
26/02/2021 16:07:04;4,00
26/02/2021 16:07:06;7,00
26/02/2021 16:07:08;14,00
26/02/2021 16:07:10;8,00
26/02/2021 16:07:12;0,00
26/02/2021 16:07:16;12,00
26/02/2021 16:07:18;5,00
26/02/2021 16:07:20;13,00
26/02/2021 16:07:22;12,00
26/02/2021 16:07:24;0,00
26/02/2021 16:07:26;11,00
26/02/2021 16:07:28;3,00
26/02/2021 16:07:30;10,00
26/02/2021 16:07:32;3,00
26/02/2021 16:07:34;4,00
26/02/2021 16:07:36;6,00
26/02/2021 16:07:38;14,00
26/02/2021 16:07:40;9,00
26/02/2021 16:07:42;5,00
26/02/2021 16:07:44;1,00
26/02/2021 16:07:46;10,00
26/02/2021 16:07:48;6,00
26/02/2021 16:07:50;1,00
26/02/2021 16:07:52;0,00
26/02/2021 16:07:54;7,00
26/02/2021 16:07:56;2,00
26/02/2021 16:07:58;9,00
26/02/2021 16:08:00;7,00
26/02/2021 16:08:02;8,00
26/02/2021 16:08:04;14,00
26/02/2021 16:08:06;6,00
26/02/2021 16:08:08;13,00
26/02/2021 16:08:10;8,00
26/02/2021 16:08:12;5,00
26/02/2021 16:08:14;1,00
26/02/2021 16:08:18;7,00
26/02/2021 16:08:20;12,00
26/02/2021 16:08:22;0,00
26/02/2021 16:08:24;2,00
26/02/2021 16:08:26;9,00
26/02/2021 16:08:28;7,00
26/02/2021 16:08:30;1,00
26/02/2021 16:08:33;3,00
26/02/2021 16:08:34;8,00
26/02/2021 16:08:37;10,00
26/02/2021 16:08:39;14,00
26/02/2021 16:08:41;0,00
26/02/2021 16:08:43;2,00
26/02/2021 16:08:45;13,00
26/02/2021 16:08:47;4,00
26/02/2021 16:08:49;7,00
26/02/2021 16:08:51;13,00
26/02/2021 16:08:53;8,00
26/02/2021 16:08:55;3,00
26/02/2021 16:08:57;1,00
26/02/2021 16:08:59;10,00
26/02/2021 16:09:01;9,00
26/02/2021 16:09:03;6,00
26/02/2021 16:09:05;8,00
26/02/2021 16:09:07;11,00
26/02/2021 16:09:09;8,00
26/02/2021 16:09:11;13,00
26/02/2021 16:09:13;3,00
26/02/2021 16:09:15;14,00
26/02/2021 16:09:17;4,00
26/02/2021 16:09:19;1,00
26/02/2021 16:09:21;10,00
26/02/2021 16:09:23;11,00
26/02/2021 16:09:25;6,00
26/02/2021 16:09:27;2,00
26/02/2021 16:09:29;14,00
26/02/2021 16:09:31;5,00
26/02/2021 16:09:33;0,00
26/02/2021 16:09:35;11,00
26/02/2021 16:09:39;12,00
26/02/2021 16:09:41;0,00
26/02/2021 16:09:43;12,00
26/02/2021 16:09:45;13,00
26/02/2021 16:09:47;14,00
26/02/2021 16:09:49;8,00
26/02/2021 16:09:51;3,00
26/02/2021 16:09:53;5,00
26/02/2021 16:09:55;8,00
26/02/2021 16:09:57;13,00
26/02/2021 16:09:59;4,00
26/02/2021 16:10:01;5,00
26/02/2021 16:10:03;10,00
26/02/2021 16:10:05;0,00
26/02/2021 16:10:07;14,00
26/02/2021 16:10:09;5,00
26/02/2021 16:10:11;13,00
26/02/2021 16:10:13;3,00
26/02/2021 16:10:17;4,00
26/02/2021 16:10:19;12,00
26/02/2021 16:10:21;2,00
26/02/2021 16:10:23;9,00
26/02/2021 16:10:25;1,00
26/02/2021 16:10:27;13,00
26/02/2021 16:10:29;12,00
26/02/2021 16:10:31;3,00
26/02/2021 16:10:33;6,00
26/02/2021 16:10:35;11,00
26/02/2021 16:10:37;6,00
26/02/2021 16:10:39;8,00
26/02/2021 16:10:41;11,00
26/02/2021 16:10:44;9,00
26/02/2021 16:10:48;11,00
26/02/2021 16:10:50;12,00
26/02/2021 16:10:52;10,00
26/02/2021 16:10:54;8,00
26/02/2021 16:10:56;10,00
26/02/2021 16:10:58;1,00
26/02/2021 16:11:00;7,00
26/02/2021 16:11:02;0,00
26/02/2021 16:11:04;8,00
26/02/2021 16:11:06;5,00
26/02/2021 16:11:08;4,00
26/02/2021 16:11:10;3,00
26/02/2021 16:11:12;8,00
26/02/2021 16:11:14;9,00
26/02/2021 16:11:16;12,00
26/02/2021 16:11:18;1,00
26/02/2021 16:11:20;3,00
26/02/2021 16:11:24;10,00
26/02/2021 16:11:26;12,00
26/02/2021 16:11:28;0,00
26/02/2021 16:11:30;7,00
26/02/2021 16:11:32;3,00
26/02/2021 16:11:34;2,00
26/02/2021 16:11:36;6,00
26/02/2021 16:11:38;2,00
26/02/2021 16:11:40;8,00
26/02/2021 16:11:42;7,00
26/02/2021 16:11:44;8,00
26/02/2021 16:11:46;6,00
26/02/2021 16:11:48;13,00
26/02/2021 16:11:50;8,00
26/02/2021 16:11:52;6,00
26/02/2021 16:11:54;3,00
26/02/2021 16:11:56;10,00
26/02/2021 16:11:58;0,00
26/02/2021 16:12:00;11,00
26/02/2021 16:12:02;2,00
26/02/2021 16:12:04;10,00
26/02/2021 16:12:06;2,00
26/02/2021 16:12:08;14,00
26/02/2021 16:12:10;8,00
26/02/2021 16:12:12;9,00
26/02/2021 16:12:14;8,00
26/02/2021 16:12:16;4,00
26/02/2021 16:12:18;12,00
26/02/2021 16:12:20;8,00
26/02/2021 16:12:22;7,00
26/02/2021 16:12:24;0,00
26/02/2021 16:12:26;9,00
26/02/2021 16:12:28;5,00
26/02/2021 16:12:30;13,00
26/02/2021 16:12:34;3,00
26/02/2021 16:12:36;6,00
26/02/2021 16:12:38;0,00
26/02/2021 16:12:40;5,00
26/02/2021 16:12:42;3,00
26/02/2021 16:12:44;9,00
26/02/2021 16:12:46;11,00
26/02/2021 16:12:48;3,00
26/02/2021 16:12:50;2,00
26/02/2021 16:12:52;6,00
26/02/2021 16:12:54;8,00
26/02/2021 16:12:56;3,00
26/02/2021 16:12:58;14,00
26/02/2021 16:13:00;12,00
26/02/2021 16:13:02;0,00
26/02/2021 16:13:04;9,00
26/02/2021 16:13:06;13,00
26/02/2021 16:13:10;11,00
26/02/2021 16:13:12;7,00
26/02/2021 16:13:14;9,00
26/02/2021 16:13:16;6,00
26/02/2021 16:13:18;3,00
26/02/2021 16:13:21;2,00
26/02/2021 16:13:22;13,00
26/02/2021 16:13:25;3,00
26/02/2021 16:13:29;10,00
26/02/2021 16:13:31;2,00
26/02/2021 16:13:33;7,00
26/02/2021 16:13:35;12,00
26/02/2021 16:13:37;5,00
26/02/2021 16:13:39;4,00
26/02/2021 16:13:41;5,00
26/02/2021 16:13:43;2,00
26/02/2021 16:13:45;8,00
26/02/2021 16:13:47;0,00
26/02/2021 16:13:49;9,00
26/02/2021 16:13:51;10,00
26/02/2021 16:13:55;9,00
26/02/2021 16:13:57;12,00
26/02/2021 16:13:59;5,00
26/02/2021 16:14:01;0,00
26/02/2021 16:14:03;8,00
26/02/2021 16:14:05;14,00
26/02/2021 16:14:07;1,00
26/02/2021 16:14:09;4,00
26/02/2021 16:14:11;3,00
26/02/2021 16:14:13;1,00
26/02/2021 16:14:15;9,00
26/02/2021 16:14:17;8,00
26/02/2021 16:14:19;5,00
26/02/2021 16:14:21;1,00
26/02/2021 16:14:23;6,00
26/02/2021 16:14:25;12,00
26/02/2021 16:14:27;11,00
26/02/2021 16:14:29;4,00
26/02/2021 16:14:31;9,00
26/02/2021 16:14:33;5,00
26/02/2021 16:14:35;10,00
26/02/2021 16:14:37;4,00
26/02/2021 16:14:39;14,00
26/02/2021 16:14:41;8,00
26/02/2021 16:14:43;9,00
