dd/MM/yyyy HH:mm:ss;CTC4M,16
26/02/2021 16:02:12;6,00
26/02/2021 16:02:14;7,00
26/02/2021 16:02:16;13,00
26/02/2021 16:02:20;5,00
26/02/2021 16:02:22;7,00
26/02/2021 16:02:24;14,00
26/02/2021 16:02:26;8,00
26/02/2021 16:02:28;13,00
26/02/2021 16:02:30;14,00
26/02/2021 16:02:32;8,00
26/02/2021 16:02:34;2,00
26/02/2021 16:02:36;5,00
26/02/2021 16:02:38;2,00
26/02/2021 16:02:40;0,00
26/02/2021 16:02:42;12,00
26/02/2021 16:02:44;1,00
26/02/2021 16:02:46;7,00
26/02/2021 16:02:48;6,00
26/02/2021 16:02:50;9,00
26/02/2021 16:02:52;13,00
26/02/2021 16:02:54;4,00
26/02/2021 16:02:56;7,00
26/02/2021 16:02:58;1,00
26/02/2021 16:03:00;14,00
26/02/2021 16:03:02;1,00
26/02/2021 16:03:04;8,00
26/02/2021 16:03:06;10,00
26/02/2021 16:03:08;2,00
26/02/2021 16:03:10;14,00
26/02/2021 16:03:12;10,00
26/02/2021 16:03:14;8,00
26/02/2021 16:03:16;11,00
26/02/2021 16:03:20;8,00
26/02/2021 16:03:22;3,00
26/02/2021 16:03:24;0,00
26/02/2021 16:03:26;4,00
26/02/2021 16:03:28;14,00
26/02/2021 16:03:30;1,00
26/02/2021 16:03:32;7,00
26/02/2021 16:03:34;0,00
26/02/2021 16:03:37;4,00
26/02/2021 16:03:39;14,00
26/02/2021 16:03:41;2,00
26/02/2021 16:03:43;0,00
26/02/2021 16:03:45;5,00
26/02/2021 16:03:47;11,00
26/02/2021 16:03:49;10,00
26/02/2021 16:03:51;8,00
26/02/2021 16:03:53;5,00
26/02/2021 16:03:55;12,00
26/02/2021 16:03:57;0,00
26/02/2021 16:04:01;7,00
26/02/2021 16:04:03;0,00
26/02/2021 16:04:05;12,00
26/02/2021 16:04:07;7,00
26/02/2021 16:04:11;14,00
26/02/2021 16:04:13;13,00
