dd/MM/yyyy HH:mm:ss;CTC4N,16
26/02/2021 16:02:12;12,00
26/02/2021 16:02:14;5,00
26/02/2021 16:02:16;13,00
26/02/2021 16:02:18;11,00
26/02/2021 16:02:20;9,00
26/02/2021 16:02:24;5,00
26/02/2021 16:02:26;3,00
26/02/2021 16:02:28;9,00
26/02/2021 16:02:30;4,00
26/02/2021 16:02:34;0,00
26/02/2021 16:02:38;10,00
26/02/2021 16:02:40;1,00
26/02/2021 16:02:42;5,00
26/02/2021 16:02:44;8,00
26/02/2021 16:02:46;11,00
26/02/2021 16:02:48;6,00
26/02/2021 16:02:52;3,00
26/02/2021 16:02:54;13,00
26/02/2021 16:02:56;10,00
26/02/2021 16:02:58;6,00
26/02/2021 16:03:00;8,00
26/02/2021 16:03:02;7,00
26/02/2021 16:03:04;13,00
26/02/2021 16:03:08;8,00
26/02/2021 16:03:10;14,00
26/02/2021 16:03:12;2,00
26/02/2021 16:03:14;10,00
26/02/2021 16:03:16;14,00
26/02/2021 16:03:18;4,00
26/02/2021 16:03:20;3,00
26/02/2021 16:03:22;6,00
26/02/2021 16:03:24;12,00
26/02/2021 16:03:26;9,00
26/02/2021 16:03:28;3,00
26/02/2021 16:03:30;14,00
26/02/2021 16:03:32;12,00
26/02/2021 16:03:34;13,00
26/02/2021 16:03:37;1,00
26/02/2021 16:03:39;2,00
26/02/2021 16:03:41;6,00
26/02/2021 16:03:43;4,00
26/02/2021 16:03:45;1,00
26/02/2021 16:03:47;7,00
26/02/2021 16:03:51;1,00
26/02/2021 16:03:53;13,00
26/02/2021 16:03:55;12,00
26/02/2021 16:03:57;0,00
26/02/2021 16:03:59;3,00
26/02/2021 16:04:01;8,00
26/02/2021 16:04:03;3,00
26/02/2021 16:04:05;6,00
26/02/2021 16:04:07;5,00
26/02/2021 16:04:09;14,00
26/02/2021 16:04:13;11,00
26/02/2021 16:04:15;2,00
26/02/2021 16:04:17;7,00
26/02/2021 16:04:19;4,00
26/02/2021 16:04:23;14,00
26/02/2021 16:04:25;1,00
26/02/2021 16:04:27;11,00
26/02/2021 16:04:29;6,00
26/02/2021 16:04:31;12,00
26/02/2021 16:04:33;3,00
26/02/2021 16:04:35;5,00
26/02/2021 16:04:37;14,00
26/02/2021 16:04:39;13,00
26/02/2021 16:04:41;7,00
26/02/2021 16:04:43;4,00
26/02/2021 16:04:45;11,00
26/02/2021 16:04:49;7,00
26/02/2021 16:04:51;8,00
26/02/2021 16:04:53;10,00
26/02/2021 16:04:55;0,00
26/02/2021 16:04:57;1,00
26/02/2021 16:04:59;12,00
26/02/2021 16:05:01;4,00
26/02/2021 16:05:03;6,00
26/02/2021 16:05:05;7,00
26/02/2021 16:05:07;8,00
26/02/2021 16:05:09;3,00
26/02/2021 16:05:11;4,00
26/02/2021 16:05:13;7,00
26/02/2021 16:05:15;13,00
26/02/2021 16:05:17;14,00
26/02/2021 16:05:19;4,00
26/02/2021 16:05:21;14,00
26/02/2021 16:05:23;6,00
26/02/2021 16:05:25;11,00
26/02/2021 16:05:27;1,00
26/02/2021 16:05:31;11,00
26/02/2021 16:05:33;9,00
26/02/2021 16:05:35;4,00
26/02/2021 16:05:37;5,00
26/02/2021 16:05:39;11,00
26/02/2021 16:05:41;2,00
26/02/2021 16:05:43;3,00
26/02/2021 16:05:45;7,00
26/02/2021 16:05:47;2,00
26/02/2021 16:05:49;1,00
26/02/2021 16:05:51;4,00
26/02/2021 16:05:53;7,00
26/02/2021 16:05:55;10,00
26/02/2021 16:05:57;2,00
26/02/2021 16:05:59;1,00
26/02/2021 16:06:01;4,00
26/02/2021 16:06:04;14,00
26/02/2021 16:06:05;0,00
26/02/2021 16:06:08;13,00
26/02/2021 16:06:10;8,00
26/02/2021 16:06:12;0,00
26/02/2021 16:06:14;12,00
26/02/2021 16:06:16;6,00
26/02/2021 16:06:18;1,00
26/02/2021 16:06:20;13,00
26/02/2021 16:06:22;6,00
26/02/2021 16:06:24;0,00
26/02/2021 16:06:26;8,00
26/02/2021 16:06:28;0,00
26/02/2021 16:06:30;8,00
26/02/2021 16:06:36;7,00
26/02/2021 16:06:38;6,00
26/02/2021 16:06:40;9,00
26/02/2021 16:06:42;5,00
26/02/2021 16:06:44;13,00
26/02/2021 16:06:46;3,00
26/02/2021 16:06:48;8,00
26/02/2021 16:06:50;3,00
26/02/2021 16:06:52;1,00
26/02/2021 16:06:54;2,00
26/02/2021 16:06:56;9,00
26/02/2021 16:06:58;8,00
26/02/2021 16:07:00;3,00
26/02/2021 16:07:02;13,00
26/02/2021 16:07:04;7,00
26/02/2021 16:07:06;14,00
26/02/2021 16:07:08;6,00
26/02/2021 16:07:10;5,00
26/02/2021 16:07:12;11,00
26/02/2021 16:07:14;9,00
26/02/2021 16:07:18;7,00
26/02/2021 16:07:20;11,00
26/02/2021 16:07:22;3,00
26/02/2021 16:07:26;13,00
26/02/2021 16:07:28;6,00
26/02/2021 16:07:30;4,00
26/02/2021 16:07:32;12,00
26/02/2021 16:07:34;3,00
26/02/2021 16:07:36;11,00
26/02/2021 16:07:38;4,00
26/02/2021 16:07:40;11,00
26/02/2021 16:07:42;14,00
26/02/2021 16:07:44;2,00
26/02/2021 16:07:46;0,00
26/02/2021 16:07:48;9,00
26/02/2021 16:07:52;13,00
26/02/2021 16:07:56;5,00
26/02/2021 16:08:00;3,00
26/02/2021 16:08:02;2,00
26/02/2021 16:08:04;13,00
26/02/2021 16:08:06;4,00
26/02/2021 16:08:08;8,00
26/02/2021 16:08:10;10,00
26/02/2021 16:08:12;1,00
26/02/2021 16:08:14;4,00
26/02/2021 16:08:16;9,00
26/02/2021 16:08:18;13,00
26/02/2021 16:08:20;8,00
26/02/2021 16:08:22;9,00
26/02/2021 16:08:24;13,00
26/02/2021 16:08:26;4,00
26/02/2021 16:08:28;0,00
26/02/2021 16:08:30;14,00
26/02/2021 16:08:34;6,00
26/02/2021 16:08:37;4,00
26/02/2021 16:08:39;14,00
26/02/2021 16:08:41;6,00
26/02/2021 16:08:43;14,00
26/02/2021 16:08:47;4,00
26/02/2021 16:08:51;8,00
26/02/2021 16:08:53;13,00
26/02/2021 16:08:55;9,00
26/02/2021 16:08:57;0,00
26/02/2021 16:08:59;11,00
26/02/2021 16:09:01;13,00
26/02/2021 16:09:03;1,00
26/02/2021 16:09:05;5,00
26/02/2021 16:09:07;11,00
26/02/2021 16:09:09;7,00
26/02/2021 16:09:11;4,00
26/02/2021 16:09:13;11,00
26/02/2021 16:09:15;9,00
26/02/2021 16:09:17;0,00
26/02/2021 16:09:19;9,00
26/02/2021 16:09:21;6,00
26/02/2021 16:09:23;11,00
26/02/2021 16:09:25;5,00
26/02/2021 16:09:27;3,00
26/02/2021 16:09:29;1,00
26/02/2021 16:09:31;10,00
26/02/2021 16:09:33;7,00
26/02/2021 16:09:35;8,00
26/02/2021 16:09:37;5,00
26/02/2021 16:09:39;7,00
26/02/2021 16:09:41;0,00
26/02/2021 16:09:43;6,00
26/02/2021 16:09:45;1,00
26/02/2021 16:09:47;8,00
26/02/2021 16:09:49;13,00
26/02/2021 16:09:51;2,00
26/02/2021 16:09:53;1,00
26/02/2021 16:09:55;6,00
26/02/2021 16:09:57;13,00
26/02/2021 16:09:59;6,00
26/02/2021 16:10:01;5,00
26/02/2021 16:10:03;7,00
26/02/2021 16:10:05;1,00
26/02/2021 16:10:07;12,00
26/02/2021 16:10:09;3,00
26/02/2021 16:10:11;2,00
26/02/2021 16:10:13;11,00
26/02/2021 16:10:15;8,00
26/02/2021 16:10:19;10,00
26/02/2021 16:10:21;3,00
26/02/2021 16:10:23;12,00
26/02/2021 16:10:25;0,00
26/02/2021 16:10:27;8,00
26/02/2021 16:10:29;13,00
26/02/2021 16:10:31;14,00
26/02/2021 16:10:33;2,00
26/02/2021 16:10:35;4,00
26/02/2021 16:10:37;11,00
26/02/2021 16:10:39;6,00
26/02/2021 16:10:44;2,00
26/02/2021 16:10:48;8,00
26/02/2021 16:10:50;7,00
26/02/2021 16:10:52;2,00
26/02/2021 16:10:54;7,00
26/02/2021 16:10:58;12,00
26/02/2021 16:11:00;10,00
26/02/2021 16:11:02;4,00
26/02/2021 16:11:04;14,00
26/02/2021 16:11:06;3,00
26/02/2021 16:11:08;9,00
26/02/2021 16:11:10;1,00
26/02/2021 16:11:12;14,00
26/02/2021 16:11:14;3,00
26/02/2021 16:11:16;7,00
26/02/2021 16:11:18;14,00
26/02/2021 16:11:20;7,00
26/02/2021 16:11:24;0,00
26/02/2021 16:11:26;6,00
26/02/2021 16:11:28;14,00
26/02/2021 16:11:30;2,00
26/02/2021 16:11:32;11,00
26/02/2021 16:11:38;2,00
26/02/2021 16:11:40;11,00
26/02/2021 16:11:42;5,00
26/02/2021 16:11:44;12,00
26/02/2021 16:11:46;3,00
