dd/MM/yyyy HH:mm:ss;CTC4O,16
26/02/2021 16:02:12;4,00
26/02/2021 16:02:14;14,00
26/02/2021 16:02:16;5,00
26/02/2021 16:02:18;7,00
26/02/2021 16:02:20;6,00
26/02/2021 16:02:22;11,00
26/02/2021 16:02:24;10,00
26/02/2021 16:02:28;4,00
26/02/2021 16:02:30;6,00
26/02/2021 16:02:32;10,00
26/02/2021 16:02:34;7,00
26/02/2021 16:02:38;5,00
26/02/2021 16:02:40;8,00
26/02/2021 16:02:42;10,00
26/02/2021 16:02:44;2,00
26/02/2021 16:02:46;1,00
26/02/2021 16:02:48;13,00
26/02/2021 16:02:50;12,00
26/02/2021 16:02:52;14,00
26/02/2021 16:02:54;9,00
26/02/2021 16:02:56;13,00
26/02/2021 16:02:58;9,00
26/02/2021 16:03:00;5,00
26/02/2021 16:03:02;1,00
26/02/2021 16:03:04;13,00
26/02/2021 16:03:06;0,00
26/02/2021 16:03:08;6,00
26/02/2021 16:03:10;8,00
26/02/2021 16:03:12;6,00
26/02/2021 16:03:14;0,00
26/02/2021 16:03:16;4,00
26/02/2021 16:03:18;1,00
26/02/2021 16:03:20;6,00
26/02/2021 16:03:22;14,00
26/02/2021 16:03:24;13,00
26/02/2021 16:03:26;3,00
26/02/2021 16:03:28;7,00
26/02/2021 16:03:30;3,00
26/02/2021 16:03:32;0,00
26/02/2021 16:03:34;5,00
26/02/2021 16:03:37;14,00
26/02/2021 16:03:39;10,00
26/02/2021 16:03:41;2,00
26/02/2021 16:03:43;11,00
26/02/2021 16:03:45;13,00
26/02/2021 16:03:47;9,00
26/02/2021 16:03:49;8,00
26/02/2021 16:03:51;0,00
26/02/2021 16:03:53;13,00
26/02/2021 16:03:55;4,00
26/02/2021 16:03:57;9,00
26/02/2021 16:03:59;3,00
26/02/2021 16:04:01;2,00
26/02/2021 16:04:03;9,00
26/02/2021 16:04:05;0,00
26/02/2021 16:04:07;12,00
26/02/2021 16:04:09;14,00
26/02/2021 16:04:13;12,00
26/02/2021 16:04:15;8,00
26/02/2021 16:04:17;3,00
26/02/2021 16:04:19;5,00
26/02/2021 16:04:21;12,00
26/02/2021 16:04:23;14,00
26/02/2021 16:04:25;8,00
26/02/2021 16:04:27;7,00
26/02/2021 16:04:29;14,00
26/02/2021 16:04:31;13,00
26/02/2021 16:04:33;9,00
26/02/2021 16:04:35;1,00
26/02/2021 16:04:37;11,00
26/02/2021 16:04:43;6,00
26/02/2021 16:04:45;13,00
26/02/2021 16:04:47;11,00
26/02/2021 16:04:49;2,00
26/02/2021 16:04:51;5,00
26/02/2021 16:04:53;12,00
26/02/2021 16:04:55;6,00
26/02/2021 16:04:57;2,00
26/02/2021 16:04:59;3,00
26/02/2021 16:05:01;2,00
26/02/2021 16:05:03;1,00
26/02/2021 16:05:05;0,00
26/02/2021 16:05:07;13,00
26/02/2021 16:05:09;6,00
26/02/2021 16:05:11;10,00
26/02/2021 16:05:13;4,00
26/02/2021 16:05:15;10,00
26/02/2021 16:05:17;7,00
26/02/2021 16:05:19;8,00
26/02/2021 16:05:21;13,00
26/02/2021 16:05:23;12,00
26/02/2021 16:05:25;6,00
26/02/2021 16:05:27;10,00
26/02/2021 16:05:29;6,00
26/02/2021 16:05:31;0,00
26/02/2021 16:05:33;11,00
26/02/2021 16:05:37;7,00
26/02/2021 16:05:39;12,00
26/02/2021 16:05:41;6,00
26/02/2021 16:05:43;14,00
26/02/2021 16:05:45;2,00
26/02/2021 16:05:47;0,00
26/02/2021 16:05:49;3,00
26/02/2021 16:05:51;1,00
26/02/2021 16:05:53;7,00
26/02/2021 16:05:55;12,00
26/02/2021 16:05:57;14,00
26/02/2021 16:05:59;7,00
26/02/2021 16:06:01;5,00
26/02/2021 16:06:04;10,00
26/02/2021 16:06:05;3,00
26/02/2021 16:06:08;10,00
26/02/2021 16:06:10;6,00
26/02/2021 16:06:12;0,00
26/02/2021 16:06:14;4,00
26/02/2021 16:06:16;8,00
26/02/2021 16:06:18;4,00
26/02/2021 16:06:22;8,00
26/02/2021 16:06:24;9,00
26/02/2021 16:06:26;12,00
26/02/2021 16:06:28;11,00
26/02/2021 16:06:30;6,00
26/02/2021 16:06:32;3,00
26/02/2021 16:06:34;0,00
26/02/2021 16:06:36;14,00
26/02/2021 16:06:38;4,00
26/02/2021 16:06:40;0,00
26/02/2021 16:06:42;14,00
26/02/2021 16:06:44;13,00
26/02/2021 16:06:46;3,00
26/02/2021 16:06:50;11,00
26/02/2021 16:06:52;0,00
26/02/2021 16:06:58;12,00
26/02/2021 16:07:00;8,00
26/02/2021 16:07:02;0,00
26/02/2021 16:07:04;11,00
26/02/2021 16:07:06;13,00
26/02/2021 16:07:08;4,00
26/02/2021 16:07:10;1,00
26/02/2021 16:07:12;2,00
26/02/2021 16:07:14;0,00
26/02/2021 16:07:16;14,00
26/02/2021 16:07:18;1,00
26/02/2021 16:07:20;3,00
26/02/2021 16:07:22;14,00
26/02/2021 16:07:24;6,00
26/02/2021 16:07:26;12,00
26/02/2021 16:07:28;6,00
26/02/2021 16:07:30;1,00
26/02/2021 16:07:32;7,00
26/02/2021 16:07:34;6,00
26/02/2021 16:07:36;1,00
26/02/2021 16:07:38;10,00
26/02/2021 16:07:40;5,00
26/02/2021 16:07:42;11,00
26/02/2021 16:07:44;9,00
26/02/2021 16:07:46;1,00
26/02/2021 16:07:48;5,00
26/02/2021 16:07:50;12,00
26/02/2021 16:07:52;14,00
26/02/2021 16:07:54;8,00
26/02/2021 16:07:56;6,00
26/02/2021 16:07:58;10,00
26/02/2021 16:08:00;8,00
26/02/2021 16:08:02;4,00
26/02/2021 16:08:04;1,00
26/02/2021 16:08:06;10,00
26/02/2021 16:08:08;8,00
26/02/2021 16:08:10;2,00
26/02/2021 16:08:12;1,00
26/02/2021 16:08:14;3,00
26/02/2021 16:08:16;5,00
26/02/2021 16:08:18;3,00
26/02/2021 16:08:20;14,00
26/02/2021 16:08:22;8,00
26/02/2021 16:08:24;14,00
26/02/2021 16:08:26;1,00
26/02/2021 16:08:28;8,00
26/02/2021 16:08:30;1,00
26/02/2021 16:08:34;4,00
26/02/2021 16:08:37;11,00
26/02/2021 16:08:39;0,00
26/02/2021 16:08:41;4,00
26/02/2021 16:08:43;6,00
26/02/2021 16:08:45;13,00
26/02/2021 16:08:47;14,00
26/02/2021 16:08:49;6,00
26/02/2021 16:08:51;0,00
26/02/2021 16:08:53;7,00
26/02/2021 16:08:55;0,00
26/02/2021 16:08:57;6,00
26/02/2021 16:08:59;3,00
26/02/2021 16:09:01;10,00
26/02/2021 16:09:03;14,00
26/02/2021 16:09:05;7,00
26/02/2021 16:09:07;4,00
26/02/2021 16:09:09;3,00
26/02/2021 16:09:11;13,00
26/02/2021 16:09:13;0,00
26/02/2021 16:09:15;14,00
26/02/2021 16:09:17;7,00
26/02/2021 16:09:19;1,00
26/02/2021 16:09:21;12,00
26/02/2021 16:09:25;3,00
26/02/2021 16:09:27;7,00
26/02/2021 16:09:29;8,00
26/02/2021 16:09:33;1,00
26/02/2021 16:09:35;12,00
26/02/2021 16:09:37;10,00
26/02/2021 16:09:39;6,00
26/02/2021 16:09:41;0,00
26/02/2021 16:09:43;5,00
26/02/2021 16:09:45;6,00
26/02/2021 16:09:47;2,00
26/02/2021 16:09:49;10,00
26/02/2021 16:09:51;14,00
26/02/2021 16:09:53;0,00
26/02/2021 16:09:55;1,00
26/02/2021 16:09:57;5,00
26/02/2021 16:09:59;14,00
26/02/2021 16:10:03;1,00
26/02/2021 16:10:05;0,00
26/02/2021 16:10:07;13,00
26/02/2021 16:10:09;8,00
26/02/2021 16:10:11;10,00
26/02/2021 16:10:13;0,00
26/02/2021 16:10:15;2,00
26/02/2021 16:10:17;3,00
26/02/2021 16:10:19;8,00
26/02/2021 16:10:21;7,00
26/02/2021 16:10:23;3,00
26/02/2021 16:10:25;11,00
26/02/2021 16:10:27;13,00
26/02/2021 16:10:29;0,00
26/02/2021 16:10:31;7,00
26/02/2021 16:10:33;11,00
26/02/2021 16:10:35;9,00
26/02/2021 16:10:37;2,00
26/02/2021 16:10:39;10,00
26/02/2021 16:10:41;3,00
26/02/2021 16:10:44;7,00
26/02/2021 16:10:46;5,00
26/02/2021 16:10:48;6,00
26/02/2021 16:10:50;13,00
26/02/2021 16:10:52;4,00
26/02/2021 16:10:54;1,00
26/02/2021 16:10:56;6,00
26/02/2021 16:10:58;11,00
26/02/2021 16:11:00;8,00
26/02/2021 16:11:02;5,00
26/02/2021 16:11:04;14,00
26/02/2021 16:11:06;0,00
26/02/2021 16:11:08;10,00
26/02/2021 16:11:10;12,00
26/02/2021 16:11:12;1,00
26/02/2021 16:11:14;8,00
26/02/2021 16:11:16;9,00
26/02/2021 16:11:18;10,00
26/02/2021 16:11:20;0,00
26/02/2021 16:11:22;8,00
26/02/2021 16:11:24;9,00
26/02/2021 16:11:26;5,00
26/02/2021 16:11:28;12,00
26/02/2021 16:11:30;10,00
26/02/2021 16:11:32;8,00
26/02/2021 16:11:34;2,00
26/02/2021 16:11:36;1,00
26/02/2021 16:11:38;0,00
26/02/2021 16:11:40;1,00
26/02/2021 16:11:42;4,00
26/02/2021 16:11:44;8,00
26/02/2021 16:11:46;9,00
26/02/2021 16:11:50;14,00
26/02/2021 16:11:52;9,00
26/02/2021 16:11:54;7,00
26/02/2021 16:11:58;10,00
26/02/2021 16:12:02;3,00
26/02/2021 16:12:04;13,00
26/02/2021 16:12:06;14,00
26/02/2021 16:12:08;6,00
26/02/2021 16:12:10;14,00
26/02/2021 16:12:12;12,00
26/02/2021 16:12:14;13,00
26/02/2021 16:12:16;1,00
26/02/2021 16:12:18;8,00
26/02/2021 16:12:20;6,00
26/02/2021 16:12:22;14,00
26/02/2021 16:12:24;0,00
26/02/2021 16:12:28;10,00
26/02/2021 16:12:30;13,00
26/02/2021 16:12:32;3,00
26/02/2021 16:12:34;4,00
26/02/2021 16:12:38;7,00
26/02/2021 16:12:40;0,00
26/02/2021 16:12:42;14,00
26/02/2021 16:12:46;0,00
26/02/2021 16:12:48;4,00
26/02/2021 16:12:50;0,00
26/02/2021 16:12:52;8,00
26/02/2021 16:12:54;10,00
26/02/2021 16:12:56;1,00
26/02/2021 16:12:58;5,00
26/02/2021 16:13:00;9,00
26/02/2021 16:13:02;13,00
26/02/2021 16:13:04;0,00
26/02/2021 16:13:06;11,00
26/02/2021 16:13:08;13,00
26/02/2021 16:13:10;8,00
26/02/2021 16:13:12;2,00
26/02/2021 16:13:14;0,00
26/02/2021 16:13:18;9,00
26/02/2021 16:13:21;7,00
26/02/2021 16:13:22;8,00
26/02/2021 16:13:25;7,00
26/02/2021 16:13:27;9,00
26/02/2021 16:13:29;1,00
26/02/2021 16:13:31;4,00
26/02/2021 16:13:33;6,00
26/02/2021 16:13:35;9,00
26/02/2021 16:13:37;4,00
26/02/2021 16:13:39;12,00
26/02/2021 16:13:41;8,00
26/02/2021 16:13:43;14,00
26/02/2021 16:13:45;12,00
26/02/2021 16:13:47;3,00
26/02/2021 16:13:49;2,00
26/02/2021 16:13:51;9,00
26/02/2021 16:13:53;2,00
26/02/2021 16:13:55;7,00
26/02/2021 16:13:57;10,00
26/02/2021 16:13:59;14,00
26/02/2021 16:14:01;8,00
26/02/2021 16:14:03;6,00
26/02/2021 16:14:05;12,00
26/02/2021 16:14:07;13,00
26/02/2021 16:14:09;12,00
26/02/2021 16:14:11;10,00
26/02/2021 16:14:13;1,00
26/02/2021 16:14:15;0,00
26/02/2021 16:14:17;4,00
26/02/2021 16:14:19;6,00
