dd/MM/yyyy HH:mm:ss;CTC4P,16
26/02/2021 16:02:14;9,00
26/02/2021 16:02:16;12,00
26/02/2021 16:02:18;13,00
26/02/2021 16:02:20;12,00
26/02/2021 16:02:22;10,00
26/02/2021 16:02:26;9,00
26/02/2021 16:02:28;3,00
26/02/2021 16:02:30;1,00
26/02/2021 16:02:32;7,00
26/02/2021 16:02:34;8,00
26/02/2021 16:02:36;10,00
26/02/2021 16:02:38;7,00
26/02/2021 16:02:40;10,00
26/02/2021 16:02:42;5,00
26/02/2021 16:02:44;0,00
26/02/2021 16:02:46;11,00
26/02/2021 16:02:48;5,00
26/02/2021 16:02:50;13,00
26/02/2021 16:02:52;4,00
26/02/2021 16:02:54;8,00
26/02/2021 16:02:56;7,00
26/02/2021 16:02:58;4,00
26/02/2021 16:03:00;3,00
26/02/2021 16:03:02;1,00
26/02/2021 16:03:04;6,00
26/02/2021 16:03:06;2,00
26/02/2021 16:03:08;4,00
26/02/2021 16:03:10;6,00
26/02/2021 16:03:12;4,00
26/02/2021 16:03:14;11,00
26/02/2021 16:03:16;13,00
26/02/2021 16:03:18;4,00
26/02/2021 16:03:20;11,00
26/02/2021 16:03:22;10,00
26/02/2021 16:03:24;6,00
26/02/2021 16:03:26;5,00
26/02/2021 16:03:28;8,00
26/02/2021 16:03:30;14,00
26/02/2021 16:03:32;9,00
26/02/2021 16:03:34;10,00
26/02/2021 16:03:37;2,00
26/02/2021 16:03:39;8,00
26/02/2021 16:03:41;13,00
26/02/2021 16:03:43;8,00
26/02/2021 16:03:45;13,00
26/02/2021 16:03:47;1,00
26/02/2021 16:03:49;2,00
26/02/2021 16:03:51;10,00
26/02/2021 16:03:53;7,00
26/02/2021 16:03:55;6,00
26/02/2021 16:03:57;0,00
26/02/2021 16:04:01;6,00
26/02/2021 16:04:03;3,00
26/02/2021 16:04:05;5,00
26/02/2021 16:04:07;1,00
26/02/2021 16:04:09;6,00
26/02/2021 16:04:11;10,00
26/02/2021 16:04:13;7,00
26/02/2021 16:04:15;13,00
26/02/2021 16:04:17;0,00
26/02/2021 16:04:19;3,00
26/02/2021 16:04:21;5,00
26/02/2021 16:04:23;1,00
26/02/2021 16:04:25;0,00
26/02/2021 16:04:27;8,00
26/02/2021 16:04:29;5,00
26/02/2021 16:04:31;12,00
26/02/2021 16:04:33;2,00
26/02/2021 16:04:35;6,00
26/02/2021 16:04:39;8,00
26/02/2021 16:04:41;10,00
26/02/2021 16:04:43;9,00
26/02/2021 16:04:45;5,00
26/02/2021 16:04:47;0,00
26/02/2021 16:04:49;4,00
26/02/2021 16:04:51;12,00
26/02/2021 16:04:53;5,00
26/02/2021 16:04:57;6,00
26/02/2021 16:04:59;7,00
26/02/2021 16:05:01;0,00
26/02/2021 16:05:03;12,00
26/02/2021 16:05:05;13,00
26/02/2021 16:05:07;8,00
26/02/2021 16:05:09;6,00
26/02/2021 16:05:11;8,00
26/02/2021 16:05:13;12,00
26/02/2021 16:05:15;11,00
26/02/2021 16:05:17;13,00
26/02/2021 16:05:19;7,00
26/02/2021 16:05:21;3,00
26/02/2021 16:05:23;12,00
26/02/2021 16:05:25;14,00
26/02/2021 16:05:27;12,00
26/02/2021 16:05:29;14,00
26/02/2021 16:05:31;0,00
26/02/2021 16:05:33;9,00
26/02/2021 16:05:35;10,00
26/02/2021 16:05:37;1,00
26/02/2021 16:05:39;0,00
26/02/2021 16:05:41;9,00
26/02/2021 16:05:45;7,00
26/02/2021 16:05:47;5,00
26/02/2021 16:05:49;11,00
26/02/2021 16:05:51;2,00
26/02/2021 16:05:53;1,00
26/02/2021 16:05:55;7,00
26/02/2021 16:05:57;5,00
26/02/2021 16:06:01;14,00
26/02/2021 16:06:04;4,00
26/02/2021 16:06:05;7,00
26/02/2021 16:06:08;4,00
26/02/2021 16:06:10;8,00
26/02/2021 16:06:12;6,00
26/02/2021 16:06:14;9,00
26/02/2021 16:06:16;2,00
26/02/2021 16:06:18;0,00
26/02/2021 16:06:20;1,00
26/02/2021 16:06:22;10,00
26/02/2021 16:06:24;7,00
26/02/2021 16:06:26;0,00
26/02/2021 16:06:28;9,00
26/02/2021 16:06:32;2,00
26/02/2021 16:06:34;10,00
26/02/2021 16:06:36;13,00
26/02/2021 16:06:38;9,00
26/02/2021 16:06:40;8,00
26/02/2021 16:06:42;1,00
26/02/2021 16:06:44;3,00
26/02/2021 16:06:46;0,00
26/02/2021 16:06:48;14,00
26/02/2021 16:06:50;5,00
26/02/2021 16:06:54;8,00
26/02/2021 16:06:56;14,00
26/02/2021 16:06:58;4,00
26/02/2021 16:07:00;14,00
26/02/2021 16:07:02;6,00
26/02/2021 16:07:04;8,00
26/02/2021 16:07:06;4,00
26/02/2021 16:07:08;11,00
26/02/2021 16:07:10;5,00
26/02/2021 16:07:12;0,00
26/02/2021 16:07:14;3,00
26/02/2021 16:07:16;2,00
26/02/2021 16:07:18;9,00
26/02/2021 16:07:20;7,00
26/02/2021 16:07:22;1,00
26/02/2021 16:07:24;4,00
26/02/2021 16:07:26;2,00
26/02/2021 16:07:28;7,00
26/02/2021 16:07:30;6,00
26/02/2021 16:07:32;11,00
26/02/2021 16:07:34;4,00
26/02/2021 16:07:36;5,00
26/02/2021 16:07:38;4,00
26/02/2021 16:07:40;12,00
26/02/2021 16:07:42;2,00
26/02/2021 16:07:44;7,00
26/02/2021 16:07:46;0,00
26/02/2021 16:07:48;12,00
26/02/2021 16:07:50;9,00
26/02/2021 16:07:54;13,00
26/02/2021 16:07:56;11,00
26/02/2021 16:07:58;12,00
26/02/2021 16:08:00;2,00
26/02/2021 16:08:02;13,00
26/02/2021 16:08:06;9,00
26/02/2021 16:08:08;3,00
26/02/2021 16:08:10;1,00
26/02/2021 16:08:12;13,00
26/02/2021 16:08:14;4,00
26/02/2021 16:08:16;7,00
26/02/2021 16:08:18;6,00
26/02/2021 16:08:20;14,00
26/02/2021 16:08:22;3,00
26/02/2021 16:08:24;9,00
26/02/2021 16:08:26;14,00
26/02/2021 16:08:28;10,00
26/02/2021 16:08:30;1,00
26/02/2021 16:08:33;10,00
26/02/2021 16:08:34;1,00
26/02/2021 16:08:37;0,00
26/02/2021 16:08:39;14,00
26/02/2021 16:08:41;9,00
26/02/2021 16:08:43;14,00
26/02/2021 16:08:45;12,00
26/02/2021 16:08:49;14,00
26/02/2021 16:08:51;0,00
26/02/2021 16:08:53;8,00
26/02/2021 16:08:55;2,00
26/02/2021 16:08:57;12,00
26/02/2021 16:08:59;7,00
26/02/2021 16:09:01;3,00
26/02/2021 16:09:03;6,00
26/02/2021 16:09:05;11,00
26/02/2021 16:09:07;2,00
26/02/2021 16:09:09;11,00
26/02/2021 16:09:11;14,00
26/02/2021 16:09:13;11,00
26/02/2021 16:09:15;12,00
26/02/2021 16:09:17;7,00
26/02/2021 16:09:19;5,00
26/02/2021 16:09:21;8,00
26/02/2021 16:09:23;0,00
26/02/2021 16:09:25;8,00
26/02/2021 16:09:27;1,00
26/02/2021 16:09:29;14,00
26/02/2021 16:09:31;4,00
26/02/2021 16:09:33;8,00
26/02/2021 16:09:35;12,00
26/02/2021 16:09:37;8,00
26/02/2021 16:09:41;6,00
26/02/2021 16:09:43;0,00
26/02/2021 16:09:45;6,00
26/02/2021 16:09:49;11,00
26/02/2021 16:09:51;14,00
26/02/2021 16:09:53;9,00
26/02/2021 16:09:55;4,00
26/02/2021 16:09:57;10,00
26/02/2021 16:09:59;6,00
26/02/2021 16:10:01;4,00
26/02/2021 16:10:03;9,00
26/02/2021 16:10:05;11,00
26/02/2021 16:10:07;14,00
26/02/2021 16:10:09;4,00
26/02/2021 16:10:11;11,00
26/02/2021 16:10:13;1,00
26/02/2021 16:10:15;3,00
26/02/2021 16:10:17;11,00
26/02/2021 16:10:19;9,00
26/02/2021 16:10:23;7,00
26/02/2021 16:10:25;13,00
26/02/2021 16:10:27;12,00
26/02/2021 16:10:29;10,00
26/02/2021 16:10:31;7,00
26/02/2021 16:10:33;8,00
26/02/2021 16:10:35;0,00
26/02/2021 16:10:37;14,00
26/02/2021 16:10:39;7,00
26/02/2021 16:10:41;14,00
26/02/2021 16:10:44;7,00
26/02/2021 16:10:48;14,00
