dd/MM/yyyy HH:mm:ss;CTC4R,16
26/02/2021 16:02:12;3,00
26/02/2021 16:02:14;6,00
26/02/2021 16:02:16;7,00
26/02/2021 16:02:18;13,00
26/02/2021 16:02:20;4,00
26/02/2021 16:02:22;13,00
26/02/2021 16:02:24;2,00
26/02/2021 16:02:26;11,00
26/02/2021 16:02:28;5,00
26/02/2021 16:02:30;6,00
26/02/2021 16:02:32;0,00
26/02/2021 16:02:34;13,00
26/02/2021 16:02:36;2,00
26/02/2021 16:02:38;3,00
26/02/2021 16:02:40;6,00
26/02/2021 16:02:42;1,00
26/02/2021 16:02:44;2,00
26/02/2021 16:02:46;5,00
26/02/2021 16:02:48;12,00
26/02/2021 16:02:50;10,00
26/02/2021 16:02:56;0,00
26/02/2021 16:02:58;11,00
26/02/2021 16:03:02;5,00
26/02/2021 16:03:04;4,00
26/02/2021 16:03:06;1,00
26/02/2021 16:03:08;5,00
26/02/2021 16:03:10;12,00
26/02/2021 16:03:12;1,00
26/02/2021 16:03:14;7,00
26/02/2021 16:03:16;4,00
26/02/2021 16:03:18;12,00
26/02/2021 16:03:20;13,00
26/02/2021 16:03:22;1,00
26/02/2021 16:03:24;7,00
26/02/2021 16:03:26;5,00
26/02/2021 16:03:28;12,00
26/02/2021 16:03:32;1,00
26/02/2021 16:03:37;2,00
26/02/2021 16:03:39;11,00
26/02/2021 16:03:41;0,00
26/02/2021 16:03:43;14,00
26/02/2021 16:03:45;0,00
26/02/2021 16:03:47;7,00
26/02/2021 16:03:49;5,00
26/02/2021 16:03:51;7,00
26/02/2021 16:03:53;2,00
26/02/2021 16:03:55;8,00
26/02/2021 16:03:57;4,00
26/02/2021 16:03:59;9,00
26/02/2021 16:04:01;8,00
26/02/2021 16:04:05;2,00
26/02/2021 16:04:07;1,00
26/02/2021 16:04:09;9,00
26/02/2021 16:04:11;5,00
26/02/2021 16:04:13;0,00
26/02/2021 16:04:15;9,00
26/02/2021 16:04:17;13,00
26/02/2021 16:04:19;11,00
26/02/2021 16:04:21;12,00
26/02/2021 16:04:23;7,00
26/02/2021 16:04:25;5,00
26/02/2021 16:04:27;13,00
26/02/2021 16:04:29;6,00
26/02/2021 16:04:31;7,00
26/02/2021 16:04:33;0,00
26/02/2021 16:04:35;10,00
26/02/2021 16:04:37;4,00
26/02/2021 16:04:39;7,00
26/02/2021 16:04:41;6,00
26/02/2021 16:04:43;8,00
26/02/2021 16:04:45;4,00
26/02/2021 16:04:47;8,00
26/02/2021 16:04:49;4,00
26/02/2021 16:04:51;3,00
26/02/2021 16:04:53;9,00
26/02/2021 16:04:55;14,00
26/02/2021 16:04:57;3,00
26/02/2021 16:04:59;4,00
26/02/2021 16:05:01;11,00
26/02/2021 16:05:03;7,00
26/02/2021 16:05:05;4,00
26/02/2021 16:05:07;12,00
26/02/2021 16:05:09;2,00
26/02/2021 16:05:11;3,00
26/02/2021 16:05:13;1,00
26/02/2021 16:05:15;11,00
26/02/2021 16:05:17;0,00
26/02/2021 16:05:19;12,00
26/02/2021 16:05:21;14,00
26/02/2021 16:05:23;11,00
26/02/2021 16:05:25;7,00
26/02/2021 16:05:27;9,00
26/02/2021 16:05:29;0,00
26/02/2021 16:05:31;8,00
26/02/2021 16:05:33;9,00
26/02/2021 16:05:35;11,00
26/02/2021 16:05:37;0,00
26/02/2021 16:05:39;11,00
26/02/2021 16:05:41;2,00
26/02/2021 16:05:43;7,00
26/02/2021 16:05:47;11,00
26/02/2021 16:05:49;5,00
26/02/2021 16:05:51;1,00
26/02/2021 16:05:53;11,00
26/02/2021 16:05:55;0,00
26/02/2021 16:05:57;14,00
26/02/2021 16:06:01;11,00
26/02/2021 16:06:04;9,00
26/02/2021 16:06:05;2,00
26/02/2021 16:06:08;6,00
26/02/2021 16:06:10;9,00
26/02/2021 16:06:12;5,00
26/02/2021 16:06:14;14,00
26/02/2021 16:06:16;0,00
26/02/2021 16:06:18;5,00
26/02/2021 16:06:20;4,00
26/02/2021 16:06:22;0,00
26/02/2021 16:06:24;9,00
26/02/2021 16:06:26;4,00
26/02/2021 16:06:28;7,00
26/02/2021 16:06:30;13,00
26/02/2021 16:06:32;4,00
26/02/2021 16:06:34;0,00
26/02/2021 16:06:36;5,00
26/02/2021 16:06:38;11,00
26/02/2021 16:06:40;14,00
26/02/2021 16:06:42;0,00
26/02/2021 16:06:44;2,00
26/02/2021 16:06:46;1,00
26/02/2021 16:06:48;3,00
