dd/MM/yyyy HH:mm:ss;CTC5C,16
26/02/2021 16:02:12;8,00
26/02/2021 16:02:14;12,00
26/02/2021 16:02:16;14,00
26/02/2021 16:02:18;3,00
26/02/2021 16:02:20;6,00
26/02/2021 16:02:22;1,00
26/02/2021 16:02:24;9,00
26/02/2021 16:02:26;6,00
26/02/2021 16:02:28;9,00
26/02/2021 16:02:30;14,00
26/02/2021 16:02:32;13,00
26/02/2021 16:02:34;11,00
26/02/2021 16:02:36;3,00
26/02/2021 16:02:38;5,00
26/02/2021 16:02:40;8,00
26/02/2021 16:02:42;4,00
26/02/2021 16:02:44;7,00
26/02/2021 16:02:46;12,00
26/02/2021 16:02:50;10,00
26/02/2021 16:02:52;6,00
26/02/2021 16:02:56;10,00
26/02/2021 16:02:58;4,00
26/02/2021 16:03:00;7,00
26/02/2021 16:03:02;9,00
26/02/2021 16:03:04;6,00
26/02/2021 16:03:06;1,00
26/02/2021 16:03:08;5,00
26/02/2021 16:03:10;6,00
26/02/2021 16:03:12;5,00
26/02/2021 16:03:14;4,00
26/02/2021 16:03:16;9,00
26/02/2021 16:03:18;1,00
26/02/2021 16:03:20;4,00
26/02/2021 16:03:22;0,00
26/02/2021 16:03:24;4,00
26/02/2021 16:03:26;0,00
26/02/2021 16:03:28;3,00
26/02/2021 16:03:30;8,00
26/02/2021 16:03:32;5,00
26/02/2021 16:03:34;7,00
26/02/2021 16:03:37;2,00
26/02/2021 16:03:39;6,00
26/02/2021 16:03:45;3,00
26/02/2021 16:03:47;8,00
26/02/2021 16:03:49;5,00
26/02/2021 16:03:51;2,00
26/02/2021 16:03:53;12,00
26/02/2021 16:03:55;10,00
26/02/2021 16:03:57;3,00
26/02/2021 16:03:59;11,00
26/02/2021 16:04:01;4,00
26/02/2021 16:04:03;11,00
26/02/2021 16:04:05;2,00
26/02/2021 16:04:07;5,00
26/02/2021 16:04:09;8,00
26/02/2021 16:04:11;3,00
26/02/2021 16:04:13;14,00
26/02/2021 16:04:15;2,00
26/02/2021 16:04:17;5,00
26/02/2021 16:04:19;11,00
26/02/2021 16:04:21;3,00
26/02/2021 16:04:23;12,00
26/02/2021 16:04:25;2,00
26/02/2021 16:04:29;7,00
26/02/2021 16:04:31;6,00
26/02/2021 16:04:33;11,00
26/02/2021 16:04:35;2,00
26/02/2021 16:04:37;8,00
26/02/2021 16:04:39;7,00
26/02/2021 16:04:41;2,00
26/02/2021 16:04:43;14,00
26/02/2021 16:04:45;6,00
26/02/2021 16:04:47;10,00
26/02/2021 16:04:49;9,00
26/02/2021 16:04:51;14,00
26/02/2021 16:04:53;1,00
26/02/2021 16:04:55;6,00
26/02/2021 16:04:57;11,00
26/02/2021 16:04:59;13,00
26/02/2021 16:05:01;5,00
26/02/2021 16:05:05;13,00
26/02/2021 16:05:07;7,00
26/02/2021 16:05:09;13,00
26/02/2021 16:05:13;14,00
26/02/2021 16:05:15;2,00
26/02/2021 16:05:17;8,00
26/02/2021 16:05:19;11,00
26/02/2021 16:05:23;4,00
26/02/2021 16:05:25;12,00
26/02/2021 16:05:27;10,00
