dd/MM/yyyy HH:mm:ss;CTCA,13
26/02/2021 08:31:06;852,00
26/02/2021 08:32:25;856,00
26/02/2021 08:38:22;860,00
26/02/2021 08:39:23;864,00
26/02/2021 08:42:57;868,00
26/02/2021 08:43:57;872,00
26/02/2021 08:45:57;876,00
26/02/2021 08:47:57;880,00
26/02/2021 08:49:58;884,00
26/02/2021 08:53:26;888,00
26/02/2021 08:54:26;892,00
26/02/2021 08:56:26;896,00
26/02/2021 08:58:27;900,00
26/02/2021 09:00:40;900,00
26/02/2021 09:01:52;904,00
26/02/2021 09:04:27;904,00
26/02/2021 09:05:34;908,00
26/02/2021 09:08:35;912,00
26/02/2021 09:12:25;912,00
26/02/2021 09:13:33;916,00
26/02/2021 09:16:33;920,00
26/02/2021 09:18:34;924,00
26/02/2021 09:22:40;928,00
26/02/2021 09:23:41;932,00
26/02/2021 09:25:41;936,00
26/02/2021 09:27:42;940,00
26/02/2021 09:29:42;944,00
26/02/2021 09:33:28;948,00
26/02/2021 09:34:29;952,00
26/02/2021 09:36:29;956,00
26/02/2021 09:38:30;960,00
26/02/2021 09:40:30;964,00
26/02/2021 09:50:29;964,00
26/02/2021 09:51:36;968,00
26/02/2021 10:03:19;972,00
26/02/2021 10:08:58;976,00
26/02/2021 10:09:58;980,00
26/02/2021 10:11:59;984,00
26/02/2021 10:13:59;988,00
26/02/2021 10:29:39;992,00
26/02/2021 10:34:24;992,00
26/02/2021 10:35:31;996,00
26/02/2021 10:41:26;996,00
26/02/2021 10:42:33;1000,00
26/02/2021 10:54:52;1000,00
26/02/2021 10:56:00;1004,00
26/02/2021 10:56:32;1004,00
26/02/2021 10:59:48;1004,00
26/02/2021 11:05:05;1008,00
26/02/2021 11:06:05;1012,00
26/02/2021 11:08:06;1016,00
26/02/2021 11:10:06;1020,00
26/02/2021 11:12:07;1024,00
26/02/2021 11:36:52;1024,00
26/02/2021 11:38:00;1028,00
26/02/2021 11:42:29;1028,00
26/02/2021 11:43:37;1032,00
26/02/2021 11:46:37;1036,00
26/02/2021 11:49:44;1040,00
26/02/2021 11:52:18;1044,00
26/02/2021 11:53:18;1048,00
26/02/2021 11:55:19;1052,00
26/02/2021 11:59:49;1052,00
26/02/2021 12:00:56;1056,00
26/02/2021 12:03:56;1060,00
26/02/2021 12:05:57;1064,00
26/02/2021 12:07:11;1064,00
26/02/2021 12:08:19;1068,00
26/02/2021 12:11:19;1072,00
26/02/2021 12:15:39;1072,00
26/02/2021 12:16:46;1076,00
26/02/2021 12:18:53;1076,00
26/02/2021 12:24:56;1076,00
26/02/2021 12:26:04;1080,00
26/02/2021 12:31:07;1084,00
26/02/2021 12:32:08;1088,00
26/02/2021 12:37:03;1092,00
26/02/2021 12:38:03;1096,00
26/02/2021 14:25:19;1096,00
26/02/2021 14:26:27;1100,00
26/02/2021 14:31:10;1104,00
26/02/2021 14:32:10;1108,00
26/02/2021 14:34:14;1108,00
26/02/2021 14:35:21;1112,00
26/02/2021 14:39:01;1112,00
26/02/2021 14:40:09;1116,00
26/02/2021 14:45:00;1120,00
26/02/2021 14:46:01;1124,00
26/02/2021 14:49:44;1128,00
26/02/2021 14:50:45;1132,00
26/02/2021 14:54:41;1136,00
26/02/2021 14:57:26;1140,00
26/02/2021 15:00:14;1144,00
26/02/2021 15:02:59;1148,00
26/02/2021 15:03:59;1152,00
26/02/2021 15:07:57;1156,00
26/02/2021 15:10:30;1160,00
26/02/2021 15:13:09;1164,00
26/02/2021 15:15:42;1168,00
26/02/2021 15:16:42;1172,00
26/02/2021 15:20:23;1176,00
26/02/2021 15:23:02;1180,00
26/02/2021 15:24:02;1184,00
26/02/2021 15:25:38;1184,00
26/02/2021 15:26:14;1184,00
26/02/2021 15:27:28;1184,00
26/02/2021 15:28:36;1188,00
26/02/2021 15:28:53;1188,00
26/02/2021 15:34:17;1188,00
26/02/2021 15:35:25;1192,00
26/02/2021 15:38:25;1196,00
26/02/2021 15:40:25;1200,00
26/02/2021 15:42:25;1204,00
26/02/2021 15:44:26;1208,00
26/02/2021 15:46:26;1212,00
26/02/2021 15:48:26;1216,00
26/02/2021 15:50:27;1220,00
26/02/2021 15:52:27;1224,00
26/02/2021 15:57:28;1224,00
26/02/2021 15:58:36;1228,00
26/02/2021 16:01:36;1232,00
26/02/2021 16:14:53;1232,00
26/02/2021 16:19:00;1236,00
26/02/2021 16:21:01;1240,00
26/02/2021 16:25:51;1244,00
26/02/2021 16:26:51;1248,00
26/02/2021 16:28:52;1252,00
26/02/2021 16:30:52;1256,00
26/02/2021 16:32:52;1260,00
26/02/2021 16:39:00;1264,00
26/02/2021 16:40:00;1268,00
26/02/2021 16:42:00;1272,00
26/02/2021 16:46:28;1276,00
26/02/2021 16:47:28;1280,00
26/02/2021 16:49:29;1284,00
26/02/2021 16:51:29;1288,00
26/02/2021 16:53:29;1292,00
26/02/2021 16:57:59;1296,00
26/02/2021 16:58:59;1300,00
26/02/2021 17:00:59;1304,00
26/02/2021 17:02:59;1308,00
