Date;energie;Code;T°c LIVE;<T°c >;T°c min;T°c Max;C %;Inc;Time
7/21/2020;Temperature;CTCA;0;0;0;0;57.41;695;09:12:44
7/21/2020;Temperature;CTCA;0;0;0;0;57.41;695;09:22:00
7/21/2020;Temperature;CTCA;0;0;0;0;57.41;695;09:37:01
7/21/2020;Temperature;CTCA;0;0;0;0;57.41;695;09:43:29
7/21/2020;Temperature;CTCA;0;0;0;0;57.41;695;09:45:37
7/21/2020;Temperature;CTCA;0;0;0;0;57.41;695;10:00:51
7/21/2020;Temperature;CTCA;0;0;0;0;57.41;695;10:04:55
7/21/2020;Temperature;CTCA;0;0;0;0;57.41;695;10:06:20
7/21/2020;Temperature;CTCA;0;0;0;0;57.41;695;10:41:08
7/21/2020;Temperature;CTCA;0;0;0;0;89.89;321;10:41:28
7/21/2020;Temperature;CTCA;0;0;0;0;94.55;186;10:41:45
7/21/2020;Temperature;CTCA;0;0;0;0;57.66;691;11:01:47
7/21/2020;Temperature;CTCA;0;0;0;0;53.74;691;11:03:08
7/21/2020;Temperature;CTCA;0;0;0;0;57.66;691;11:04:25
7/21/2020;Temperature;CTCA;0;0;0;0;57.66;691;11:05:53
7/21/2020;Temperature;CTCA;0;0;0;0;57.66;691;11:07:08
7/21/2020;Temperature;CTCA;0;0;0;0;100;0;13:29:14
7/21/2020;Temperature;CTCA;0;0;0;0;57.66;691;13:30:08
7/21/2020;Temperature;CTCA;0;0;0;0;100;0;14:20:10
7/21/2020;Temperature;CTCA;0;0;0;0;52.02;691;14:20:37
7/21/2020;Temperature;CTCA;0;0;0;0;96.81;290;14:20:48
7/21/2020;Temperature;CTCA;0;0;0;0;96.81;96.81;14:20:51
7/21/2020;Temperature;CTCA;0;0;0;0;100;0;14:21:45
7/21/2020;Temperature;CTCA;0;0;0;0;100;100;14:21:53
7/21/2020;Temperature;CTCA;0;0;0;0;93.87;319;14:22:03
7/21/2020;Temperature;CTCA;0;0;0;0;57.66;691;14:23:59
7/21/2020;Temperature;CTCA;0;0;0;0;96.51;290;14:24:08
7/21/2020;Temperature;CTCA;0;0;0;0;57.66;691;14:25:00
7/21/2020;Temperature;CTCA;0;0;0;0;82.23;298;14:26:33
7/21/2020;Temperature;CTCA;0;0;0;0;92.59;21;14:28:06
7/21/2020;Temperature;CTCA;0;0;0;0;65.81;552;15:00:29
7/21/2020;Temperature;CTCA;0;0;0;0;76.84;691;15:00:59
7/21/2020;Temperature;CTCA;0;0;0;0;76.84;76.84;15:01:02
7/21/2020;Temperature;CTCA;0;0;0;0;95.34;293;15:01:10
7/21/2020;Temperature;CTCA;0;0;0;0;95.34;95.34;15:01:11
7/21/2020;Temperature;CTCA;0;0;0;0;95.34;95.34;15:01:12
7/21/2020;Temperature;CTCA;0;0;0;0;60.72;641;15:03:58
7/21/2020;Temperature;CTCA;0;0;0;0;57.66;691;15:09:35
7/21/2020;Temperature;CTCA;0;0;0;0;53.74;691;15:10:37
7/21/2020;Temperature;CTCA;0;0;0;0;100;0;15:11:46
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;09:59:46
7/22/2020;Temperature;CTCA;0;0;0;0;100;5;10:01:44
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;11:07:13
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;11:34:00
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;11:49:02
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;12:28:42
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;12:43:44
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;12:58:48
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;13:39:57
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;13:55:03
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;14:03:10
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;14:12:02
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;14:12:29
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;14:14:58
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;14:16:20
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;14:16:24
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;14:31:21
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;14:41:10
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;14:49:46
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;15:04:47
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;15:16:43
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;15:17:57
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;15:20:23
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;15:21:11
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;15:36:12
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;15:51:12
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;16:06:13
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;16:21:14
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;16:36:14
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;16:51:15
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;17:06:15
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;17:21:16
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;17:36:17
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;17:51:17
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;18:06:18
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;18:21:19
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;18:36:19
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;18:51:20
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;19:06:20
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;19:21:21
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;19:36:22
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;19:51:22
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;20:06:23
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;20:21:24
7/22/2020;Temperature;CTCA;0;0;0;0;100;0;20:36:24
