Date;energie;Code;T°c LIVE;<T°c >;T°c min;T°c Max;C %;Inc;Time
03/07/2020;Temperature;CTC1;0;0;0;0;100;0;11:21:09
03/07/2020;Temperature;CTC2;0;0;0;0;100;0;11:21:20
03/07/2020;Temperature;CTC3;0;0;0;0;100;0;11:21:21
03/07/2020;Temperature;CTC5;0;0;0;0;100;0;11:21:22
03/07/2020;Temperature;CTC6;0;0;0;0;100;0;11:21:22
03/07/2020;Temperature;CTC7;0;0;0;0;100;0;11:21:22
03/07/2020;Temperature;CTC8;0;0;0;0;100;0;11:21:22
03/07/2020;Temperature;CTC9;0;0;0;0;100;0;11:21:23
03/07/2020;Temperature;CTC10;0;0;0;0;100;0;11:21:23
03/07/2020;Temperature;CTC11;0;0;0;0;100;0;11:21:23
03/07/2020;Temperature;CTC12;0;0;0;0;100;0;11:21:23
03/07/2020;Temperature;CTC13;0;0;0;0;100;0;11:21:23
03/07/2020;Temperature;CTC14;0;0;0;0;100;0;11:21:23
03/07/2020;Temperature;CTC16;0;0;0;0;100;0;11:21:23
03/07/2020;Temperature;CTC17;0;0;0;0;100;0;11:21:23
03/07/2020;Temperature;CTC18;0;0;0;0;100;0;11:21:24
03/07/2020;Temperature;CTC19;0;0;0;0;100;0;11:21:24
03/07/2020;Temperature;CTC20;0;0;0;0;100;0;11:21:24
03/07/2020;Temperature;CTC21;0;0;0;0;100;0;11:21:24
03/07/2020;Temperature;CTC22;0;0;0;0;100;0;11:21:24
03/07/2020;Temperature;CTC23;0;0;0;0;100;0;11:21:24
03/07/2020;Temperature;CTC24;0;0;0;0;100;0;11:21:24
03/07/2020;Temperature;CTC25;0;0;0;0;100;0;11:21:24
03/07/2020;Temperature;CTC26;0;0;0;0;100;0;11:21:25
03/07/2020;Temperature;CTC27;0;0;0;0;100;0;11:21:25
03/07/2020;Temperature;CTC28;0;0;0;0;100;0;11:21:25
03/07/2020;Temperature;CTC29;0;0;0;0;100;0;11:21:25
03/07/2020;Temperature;CTC30;0;0;0;0;100;0;11:21:25
03/07/2020;Temperature;CTC31;0;0;0;0;100;0;11:21:25
03/07/2020;Temperature;CTC32;0;0;0;0;100;0;11:21:25
03/07/2020;Temperature;CTC33;0;0;0;0;100;0;11:21:25
03/07/2020;Temperature;CTC34;0;0;0;0;100;0;11:21:26
03/07/2020;Temperature;CTC35;0;0;0;0;100;0;11:21:26
03/07/2020;Temperature;CTC36;0;0;0;0;100;0;11:21:26
03/07/2020;Temperature;CTC37;0;0;0;0;100;0;11:21:26
03/07/2020;Temperature;CTC38;0;0;0;0;100;0;11:21:26
03/07/2020;Temperature;CTC39;0;0;0;0;100;0;11:21:26
03/07/2020;Temperature;CTC40;0;0;0;0;100;0;11:21:26
03/07/2020;Temperature;CTC41;0;0;0;0;100;0;11:21:26
03/07/2020;Temperature;CTC42;0;0;0;0;100;0;11:21:26
03/07/2020;Temperature;CTC43;0;0;0;0;100;0;11:21:27
03/07/2020;Temperature;CTC44;0;0;0;0;100;0;11:21:27
03/07/2020;Temperature;CTC45;0;0;0;0;100;0;11:21:27
03/07/2020;Temperature;CTC46;0;0;0;0;100;0;11:21:27
03/07/2020;Temperature;CTC47;0;0;0;0;100;0;11:21:27
03/07/2020;Temperature;CTC48;0;0;0;0;100;0;11:21:27
03/07/2020;Temperature;CTC49;0;0;0;0;100;0;11:21:27
03/07/2020;Temperature;CTC50;0;0;0;0;100;0;11:21:27
03/07/2020;Temperature;CTC51;0;0;0;0;100;0;11:21:28
03/07/2020;Temperature;CTC52;0;0;0;0;100;0;11:21:28
03/07/2020;Temperature;CTC53;0;0;0;0;100;0;11:21:28
03/07/2020;Temperature;CTC54;0;0;0;0;100;0;11:21:28
03/07/2020;Temperature;CTC55;0;0;0;0;100;0;11:21:28
03/07/2020;Temperature;CTC56;0;0;0;0;100;0;11:21:28
03/07/2020;Temperature;CTC57;0;0;0;0;100;0;11:21:28
03/07/2020;Temperature;CTC58;0;0;0;0;100;0;11:21:28
03/07/2020;Temperature;CTC1;0;0;0;0;-148;0;11:52:44
03/07/2020;Temperature;CTC2;0;0;0;0;-149;0;11:52:44
03/07/2020;Temperature;CTC3;0;0;0;0;-143;0;11:52:44
03/07/2020;Temperature;CTC5;6;3.17;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC6;6;3.12;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC7;5;3.07;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC8;1;2.62;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC9;2;3.88;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC10;6;3.86;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC11;0;3.67;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC12;6;4.12;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC13;3;3.17;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC14;3;3.33;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC16;6;2.83;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC17;3;4.17;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC18;2;3.86;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC19;0;0;0;0;-143;0;11:52:44
03/07/2020;Temperature;CTC20;6;3.02;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC21;1;2.93;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC22;3;3;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC23;5;4.19;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC24;5;3.83;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC25;4;4.02;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC26;1;2.29;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC27;6;3;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC28;0;2.95;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC29;1;3.93;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC30;4;4.1;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC31;0;0;0;0;-143;0;11:52:44
03/07/2020;Temperature;CTC32;6;3.9;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC33;2;3.07;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC34;7;2.5;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC35;0;3.88;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC36;7;3.93;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC37;5;3.93;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC38;1;2.43;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC39;2;4.9;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC40;3;4.31;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC41;0;0;0;0;-145;0;11:52:44
03/07/2020;Temperature;CTC42;0;0;0;0;-143;0;11:52:44
03/07/2020;Temperature;CTC43;1;3.02;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC44;7;2.45;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC45;0;0;0;0;-143;0;11:52:44
03/07/2020;Temperature;CTC46;1;3.88;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC47;7;2.67;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC48;7;3.43;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC49;7;3.88;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC50;1;3.64;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC51;5;3.45;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC52;6;3.86;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC53;0;0;0;0;-143;0;11:52:44
03/07/2020;Temperature;CTC54;1;3.5;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC55;5;3.12;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC56;7;3.79;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC57;7;3.31;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC58;2;2.88;0;7;-138.1;0;11:52:44
03/07/2020;Temperature;CTC1;0;0;0;0;155;0;12:10:14
03/07/2020;Temperature;CTC2;0;0;0;0;155;0;12:10:14
03/07/2020;Temperature;CTC3;0;0;0;0;155;0;12:10:14
03/07/2020;Temperature;CTC5;3;3.38;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC6;7;3.38;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC7;3;3.35;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC8;1;3.38;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC9;4;3.72;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC10;5;3.65;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC11;4;3.45;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC12;5;3.51;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC13;5;3.32;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC14;4;3.65;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC16;0;3.2;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC17;3;3.55;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC18;4;3.77;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC19;0;0;0;0;155;0;12:10:14
03/07/2020;Temperature;CTC20;5;3.43;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC21;7;3.37;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC22;7;3.44;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC23;2;3.54;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC24;4;3.52;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC25;2;3.43;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC26;0;3.48;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC27;6;3.42;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC28;7;3.68;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC29;7;3.67;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC30;6;3.48;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC31;0;0;0;0;155;0;12:10:14
03/07/2020;Temperature;CTC32;4;3.56;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC33;7;3.38;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC34;7;3.39;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC35;3;3.62;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC36;2;3.65;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC37;5;3.54;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC38;0;3.22;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC39;4;3.82;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC40;2;3.67;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC41;0;0;0;0;155;0;12:10:14
03/07/2020;Temperature;CTC42;0;0;0;0;155;0;12:10:14
03/07/2020;Temperature;CTC43;2;3.16;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC44;4;3.43;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC45;0;0;0;0;155;0;12:10:14
03/07/2020;Temperature;CTC46;7;3.25;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC47;4;3.31;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC48;7;3.31;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC49;5;3.76;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC50;3;3.58;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC51;1;3.55;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC52;7;3.52;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC53;0;0;0;0;155;0;12:10:14
03/07/2020;Temperature;CTC54;5;3.63;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC55;2;3.53;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC56;7;3.51;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC57;6;3.57;0;7;155;0;12:10:14
03/07/2020;Temperature;CTC58;2;3.48;0;7;155;0;12:10:14
03/09/2020;Temperature;CTC1;0;0;0;0;-868;0;08:43:41
03/09/2020;Temperature;CTC2;0;0;0;0;-868;0;08:43:41
03/09/2020;Temperature;CTC3;0;0;0;0;-868;0;08:43:41
03/09/2020;Temperature;CTC5;2;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC6;0;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC7;6;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC8;5;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC9;6;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC10;6;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC11;3;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC12;0;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC13;2;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC14;0;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC16;4;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC17;0;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC18;6;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC19;0;0;0;0;-868;0;08:43:41
03/09/2020;Temperature;CTC20;6;0;0;7;-868.7;0;08:43:41
03/09/2020;Temperature;CTC21;0;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC22;2;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC23;0;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC24;7;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC25;0;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC26;1;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC27;4;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC28;4;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC29;0;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC30;0;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC31;0;0;0;0;-868;0;08:43:42
03/09/2020;Temperature;CTC32;5;1;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC33;0;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC34;0;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC35;3;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC36;3;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC37;0;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC38;2;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC39;4;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC40;2;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC41;0;0;0;0;-868;0;08:43:42
03/09/2020;Temperature;CTC42;0;0;0;0;-868;0;08:43:42
03/09/2020;Temperature;CTC43;4;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC44;3;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC45;0;0;0;0;-868;0;08:43:42
03/09/2020;Temperature;CTC46;3;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC47;6;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC48;3;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC49;6;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC50;7;0;0;7;-868.7;0;08:43:42
03/09/2020;Temperature;CTC51;0;0;0;7;-868.7;0;08:43:42
