Date;energie;Code;HR% LIVE;<HR%>;HR% min;HR% Max;C %;Inc;Time
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;09:12:45
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;09:22:01
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;09:37:02
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;09:43:42
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;09:43:42
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;09:43:42
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;09:43:42
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;09:43:43
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;09:43:43
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;09:43:43
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;09:43:43
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;09:43:44
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;09:43:44
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;09:43:44
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;09:45:38
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;10:00:52
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;10:05:14
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;10:05:14
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;10:05:14
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;10:05:14
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;10:05:14
