Code Compteur;Le Compteur;Energie;Compteur Parent;Le Compteur Parent;Compteur_Level;PC_Production;PC_Distribution;PC_Consommation;Point de Production;Point de Distribution;Point de Consommation;Description;type;parent energie;Ratio;Unite;Master;COMs (Gate:PortTCP:Sortie:Channel:Device);Parse Formule;User Formule;Date Modify;Date Load;Nbr Error;Detailles Nom;Nom Ratio;Access_Group;KPI
CTCA;CLC;Temperature;*;*;0;*;*;D1;*;*;CLC;F(CTCA);Company;*;*;*;*;*;F~(~CTCA~)~;F~(~CLC~)~;*;*;0;*;*;*;C1
CTC2;Production;Temperature;CTCA;CLC;1;*;*;D2;*;*;Production;F(CTC2);Unite;*;*;*;*;*;F~(~CTC2~)~;F~(~Production~)~;*;*;0;*;*;*;C1
CTC2A;Process_Pasto;Temperature;CTC2;Production;3;D64;*;D21;T°c  positive;*;Process_Pasto;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC2B;Process_Sterilo;Temperature;CTC2;Production;3;D64;*;D22;T°c  positive;*;Process_Sterilo;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC2C;Cond_UHT1_P1;Temperature;CTC2;Production;3;D64;*;D23;T°c  positive;*;Cond_UHT1_P1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC2D;Cond_UHT1_P2;Temperature;CTC2;Production;3;D64;*;D24;T°c  positive;*;Cond_UHT1_P2;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC2E;Process_Lait_Fermente;Temperature;CTC2;Production;3;D64;*;D25;T°c  positive;*;Process_Lait_Fermente;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC2F;Galdi;Temperature;CTC2;Production;2;*;*;D26;*;*;Galdi;F(CTC2F);Atelier;*;*;*;*;*;F~(~CTC2F~)~;F~(~Galdi~)~;;;0;;;;C1
CTC21;Galdi_A;Temperature;CTC2F;Galdi;3;D64;*;D261;T°c  positive;*;Galdi_A;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC22;Galdi_B;Temperature;CTC2F;Galdi;3;D64;*;D262;T°c  positive;*;Galdi_B;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC2G;Beurrerie;Temperature;CTC2;Production;2;*;*;D27;*;*;Beurrerie;F(CTC2G);Atelier;*;*;*;*;*;F~(~CTC2G~)~;F~(~Beurrerie~)~;;;0;;;;C1
CTC23;BER_Process;Temperature;CTC2G;Beurrerie;3;D64;*;D271;T°c  positive;*;BER_Process;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC24;BER_Cond;Temperature;CTC2G;Beurrerie;3;D64;*;D272;T°c  positive;*;BER_Cond;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC2H;CH_Chaud_P1;Temperature;CTC2;Production;3;D66;*;D28;T°c  chaude;*;CH_Chaud_P1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC2I;CH_Froid_P1;Temperature;CTC2;Production;3;D64;*;D2A;T°c  positive;*;CH_Froid_P1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC2J;CH_Froid_P2;Temperature;CTC2;Production;3;D64;*;D2B;T°c  positive;*;CH_Froid_P2;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC3;CH_F_Commerciale;Temperature;CTCA;CLC;1;*;*;D3;*;*;CH_F_Commerciale;F(CTC3);Unite;*;*;*;*;*;F~(~CTC3~)~;F~(~CH_F_Commerciale~)~;*;*;0;*;*;*;C1
CTC31;CH1_F_Commerciale_P1;Temperature;CTC3;CH_F_Commerciale;3;D64;*;D31;T°c  positive;*;CH1_F_Commerciale_P1;Reel;Point de mesure;*;*;*;!~*;!~*;*;*;*;*;2;*;*;*;C1
CTC32;CH2_F_Commerciale_P2;Temperature;CTC3;CH_F_Commerciale;3;D64;*;D32;T°c  positive;*;CH2_F_Commerciale_P2;Reel;Point de mesure;*;*;*;!~*;!~*;*;*;*;*;2;*;*;*;C1
CTC4;Laboratoire;Temperature;CTCA;CLC;1;*;*;D4;*;*;Laboratoire;F(CTC4);Unite;*;*;*;*;*;F~(~CTC4~)~;F~(~Laboratoire~)~;*;*;0;*;*;*;C1
CTC41;LAB_Bacterio;Temperature;CTC4;Laboratoire;2;*;*;D41;*;*;LAB_Bacterio;F(CTC41);Atelier;*;*;*;*;*;F~(~CTC41~)~;F~(~LAB_Bacterio~)~;*;*;0;*;*;*;C1
