Compteur_Code;Alarme_Code;Time;AlarmeCondition
CAC1;A42;20/12/2019_08:53:35;1920 > 
CAC1;A42;20/12/2019_08:54:45;1920 > 
CAC1;A42;20/12/2019_09:23:16;4920 > 
CAC1;A42;20/12/2019_09:53:02;6070 > 
CAC1;A42;20/12/2019_10:23:23;6070 > 
CAC1;A42;20/12/2019_10:53:36;6070 > 
CAC1;A42;20/12/2019_11:23:02;7280 > 
CAC1;A42;20/12/2019_11:53:31;11010 > 
CAC1;A42;20/12/2019_12:23:08;14720 > 
CAC1;A42;20/12/2019_12:53:34;18350 > 
CAC1;A42;20/12/2019_13:23:31;22020 > 
CAC1;A42;21/12/2019_09:28:31;1630 > 
CAC1;A42;21/12/2019_10:00:06;5520 > 
CAC1;A42;21/12/2019_10:28:19;9060 > 
CAC1;A42;21/12/2019_11:00:21;13065 > 
CAC1;A42;21/12/2019_11:28:09;16480 > 
CAC1;A42;21/12/2019_12:00:01;20540 > 
CAC1;A42;23/12/2019_08:28:09;490 > 
CAC1;A42;23/12/2019_09:00:31;4120 > 
CAC1;A42;23/12/2019_09:28:06;7370 > 
CAC1;A42;23/12/2019_10:00:03;2850 > 
CAC1;A42;23/12/2019_10:28:27;6040 > 
CAC1;A42;23/12/2019_11:00:30;9340 > 
CAC1;A42;23/12/2019_11:28:28;12150 > 
CAC1;A42;23/12/2019_12:00:30;15550 > 
CAC1;A42;23/12/2019_12:28:05;18392 > 
CAC1;A42;23/12/2019_13:00:29;21862 > 
CAC1;A42;23/12/2019_13:28:25;24900 > 
CAC1;A42;23/12/2019_14:00:33;27060 > 
CAC1;A42;23/12/2019_14:28:15;27060 > 
CAC1;A42;23/12/2019_15:00:07;27060 > 
CAC1;A42;23/12/2019_15:28:28;27060 > 
CAC1;A42;24/12/2019_08:28:17;1640 > 
CAC1;A42;24/12/2019_09:00:15;4890 > 
CAC1;A42;24/12/2019_09:28:06;7660 > 
CAC1;A42;24/12/2019_10:00:13;10766 > 
CAC1;A42;24/12/2019_10:28:35;13816 > 
CAC1;A42;24/12/2019_11:00:18;17160 > 
CAC1;A42;24/12/2019_11:28:11;19860 > 
CAC1;A42;24/12/2019_12:00:39;23200 > 
CAC1;A42;24/12/2019_12:28:36;25910 > 
