Compteur_Code;Alarme_Code;Time;AlarmeCondition
CACB;A50;3/2/2020_12:00:23;11930 > 
CACB;A50;3/2/2020_12:28:37;11930 > 
CACB;A50;3/2/2020_13:00:10;11930 > 
CACB;A50;3/2/2020_13:28:37;12930 > 
CACB;A50;3/2/2020_14:00:23;16080 > 
CACB;A50;3/2/2020_14:28:05;18860 > 
CACB;A50;4/2/2020_08:28:13;11820 > 
CACB;A50;4/2/2020_09:00:04;2650 > 
CACB;A50;4/2/2020_09:28:18;5690 > 
CACB;A50;4/2/2020_10:00:37;7090 > 
CACB;A50;4/2/2020_13:13:07;5810 > 5000
CACB;A50;4/2/2020_13:43:16;9270 > 5000
CACB;A50;4/2/2020_14:13:32;9650 > 5000
