Compteur_Code;Alarme_Code;Time;AlarmeCondition
CC14;A45;25/12/2019_08:38:20;186 > 
CC14;A45;25/12/2019_09:00:25;396 > 
CC14;A45;25/12/2019_09:18:27;411 > 
CC14;A45;25/12/2019_09:38:39;600 > 
CC14;A45;25/12/2019_10:00:13;795 > 
CC14;A45;25/12/2019_10:18:09;945 > 
CC14;A45;25/12/2019_11:00:59;1110 > 
CC14;A45;25/12/2019_11:18:03;1215 > 
CC14;A45;25/12/2019_11:38:39;1413 > 
CC14;A45;25/12/2019_12:00:32;1614 > 
CC14;A45;25/12/2019_12:18:27;1782 > 
CC14;A45;25/12/2019_12:38:17;1971 > 
CC14;A45;25/12/2019_13:00:05;2175 > 
CC14;A45;25/12/2019_13:18:21;2349 > 
CC14;A45;25/12/2019_13:38:00;2535 > 
CC14;A45;25/12/2019_14:00:21;2748 > 
CC14;A45;25/12/2019_14:18:17;2919 > 
CC14;A45;25/12/2019_14:38:27;3111 > 
CC14;A45;25/12/2019_15:00:39;3324 > 
CC14;A45;26/12/2019_09:00:22;456 > 
CC14;A45;26/12/2019_09:18:27;621 > 
CC14;A45;26/12/2019_09:38:15;801 > 
CC14;A45;26/12/2019_10:00:11;999 > 
CC14;A45;26/12/2019_10:18:07;1164 > 
CC14;A45;26/12/2019_10:38:25;1347 > 
CC14;A45;26/12/2019_11:00:05;1536 > 
CC14;A45;26/12/2019_11:18:23;1701 > 
CC14;A45;26/12/2019_11:38:00;1878 > 
CC14;A45;26/12/2019_12:00:35;2076 > 
CC14;A45;26/12/2019_12:18:11;2232 > 
CC14;A45;26/12/2019_12:38:12;2415 > 
CC14;A45;26/12/2019_13:00:01;2610 > 
CC14;A45;26/12/2019_13:18:28;2778 > 
CC14;A45;26/12/2019_13:38:09;2955 > 
CC14;A45;26/12/2019_14:00:34;3162 > 
CC14;A45;26/12/2019_14:18:13;3327 > 
CC14;A45;26/12/2019_14:38:00;3513 > 
CC14;A45;26/12/2019_15:00:31;3720 > 
CC14;A45;26/12/2019_15:18:02;3867 > 
CC14;A45;26/12/2019_15:38:34;3867 > 
CC14;A45;26/12/2019_16:00:26;3867 > 
CC14;A45;27/12/2019_08:28:07;132 > 
CC14;A45;27/12/2019_08:48:38;321 > 
CC14;A45;27/12/2019_09:11:44;474 > 
CC14;A45;27/12/2019_09:14:06;498 > 
CC14;A45;27/12/2019_09:33:09;669 > 
CC14;A45;27/12/2019_09:53:36;864 > 
CC14;A45;27/12/2019_10:13:10;1047 > 
CC14;A45;27/12/2019_10:33:19;1233 > 
CC14;A45;27/12/2019_10:53:13;1416 > 
