Compteur_Code;Alarme_Code;Time;AlarmeCondition
CC1I24;A4;22/10/2019_09:18:36;195 < 200
CC1I24;A5;22/10/2019_09:18:36;195 < 200
CC1I24;A6;22/10/2019_09:18:36;195 < 200
CC1I24;A4;23/10/2019_10:08:25;151 < 200
CC1I24;A5;23/10/2019_10:08:25;151 < 200
CC1I24;A6;23/10/2019_10:08:25;151 < 200
CC1I24;A4;23/10/2019_11:38:13;105 < 200
CC1I24;A5;23/10/2019_11:38:13;105 < 200
CC1I24;A6;23/10/2019_11:38:13;105 < 200
CC1I24;A4;23/10/2019_13:08:03;159 < 200
CC1I24;A5;23/10/2019_13:08:03;159 < 200
CC1I24;A6;23/10/2019_13:08:03;159 < 200
CC1I24;A4;23/10/2019_13:23:05;166 < 200
CC1I24;A4;24/10/2019_12:03:37;197 < 200
CC1I24;A5;24/10/2019_12:03:37;197 < 200
CC1I24;A6;24/10/2019_12:03:37;197 < 200
CC1I24;A4;24/10/2019_12:33:29;116 < 200
CC1I24;A5;24/10/2019_12:33:29;116 < 200
CC1I24;A6;24/10/2019_12:33:29;116 < 200
CC1I24;A4;24/10/2019_14:03:22;173 < 200
CC1I24;A5;24/10/2019_14:03:22;173 < 200
CC1I24;A6;24/10/2019_14:03:22;173 < 200
CC1I24;A4;24/10/2019_14:33:10;185 < 200
CC1I24;A5;24/10/2019_14:33:10;185 < 200
CC1I24;A6;24/10/2019_14:33:10;185 < 200
CC1I24;A4;24/10/2019_15:33:27;121 < 200
CC1I24;A5;24/10/2019_15:33:27;121 < 200
CC1I24;A6;24/10/2019_15:33:27;121 < 200
CC1I24;A4;24/10/2019_16:03:23;158 < 200
CC1I24;A5;24/10/2019_16:03:23;158 < 200
CC1I24;A6;24/10/2019_16:03:23;158 < 200
CC1I24;A4;24/10/2019_16:18:16;180 < 200
CC1I24;A5;24/10/2019_16:18:16;180 < 200
CC1I24;A6;24/10/2019_16:18:16;180 < 200
CC1I24;A4;24/10/2019_17:18:16;200 < 400
CC1I24;A5;24/10/2019_17:18:16;200 < 400
CC1I24;A6;24/10/2019_17:18:16;200 < 400
CC1I24;A4;25/10/2019_10:00:19;304 < 500
CC1I24;A5;25/10/2019_10:00:19;304 < 500
CC1I24;A6;25/10/2019_10:00:19;304 < 500
CC1I24;A4;25/10/2019_10:13:13;293 < 500
CC1I24;A5;25/10/2019_10:13:13;293 < 500
CC1I24;A6;25/10/2019_10:13:13;293 < 500
CC1I24;A4;25/10/2019_10:29:09;281 > 500
CC1I24;A5;25/10/2019_10:29:09;281 > 500
CC1I24;A6;25/10/2019_10:29:09;281 > 500
CC1I24;A4;25/10/2019_10:43:22;106 > 500
CC1I24;A5;25/10/2019_10:43:22;106 > 500
CC1I24;A6;25/10/2019_10:43:22;106 > 500
CC1I24;A4;25/10/2019_11:00:33;163 > 500
CC1I24;A5;25/10/2019_11:00:33;163 > 500
CC1I24;A6;25/10/2019_11:00:33;163 > 500
CC1I24;A4;25/10/2019_11:13:21;170 > 500
CC1I24;A5;25/10/2019_11:13:21;170 > 500
CC1I24;A6;25/10/2019_11:13:21;170 > 500
CC1I24;A5;25/10/2019_11:28:15;324 > 500
CC1I24;A6;25/10/2019_11:28:15;324 > 500
CC1I24;A4;25/10/2019_11:43:29;465 > 500
CC1I24;A4;25/10/2019_12:00:21;232 > 500
CC1I24;A5;25/10/2019_12:00:21;232 > 500
CC1I24;A6;25/10/2019_12:00:21;232 > 500
CC1I24;A4;25/10/2019_12:28:08;169 > 500
CC1I24;A5;25/10/2019_12:28:08;169 > 500
CC1I24;A6;25/10/2019_12:28:08;169 > 500
CC1I24;A4;25/10/2019_12:43:10;196 > 500
CC1I24;A5;25/10/2019_12:43:10;196 > 500
CC1I24;A6;25/10/2019_12:43:10;196 > 500
CC1I24;A4;25/10/2019_13:00:14;374 > 500
CC1I24;A5;25/10/2019_13:00:14;374 > 500
CC1I24;A6;25/10/2019_13:00:14;374 > 500
CC1I24;A4;25/10/2019_13:13:07;298 > 500
CC1I24;A5;25/10/2019_13:13:07;298 > 500
CC1I24;A6;25/10/2019_13:13:07;298 > 500
CC1I24;A4;25/10/2019_13:28:12;278 > 500
CC1I24;A5;25/10/2019_13:28:12;278 > 500
CC1I24;A6;25/10/2019_13:28:12;278 > 500
CC1I24;A4;25/10/2019_13:43:14;248 > 500
CC1I24;A5;25/10/2019_13:43:14;248 > 500
CC1I24;A6;25/10/2019_13:43:14;248 > 500
CC1I24;A4;25/10/2019_14:00:06;260 > 500
CC1I24;A5;25/10/2019_14:00:06;260 > 500
CC1I24;A6;25/10/2019_14:00:06;260 > 500
CC1I24;A4;25/10/2019_14:13:39;360 > 500
CC1I24;A5;25/10/2019_14:13:39;360 > 500
CC1I24;A6;25/10/2019_14:13:39;360 > 500
CC1I24;A4;25/10/2019_14:28:16;142 < 200
CC1I24;A5;25/10/2019_14:28:16;142 < 200
CC1I24;A6;25/10/2019_14:28:16;142 < 200
CC1I24;A4;25/10/2019_14:43:09;157 < 200
CC1I24;A5;25/10/2019_14:43:09;157 < 200
CC1I24;A6;25/10/2019_14:43:09;157 < 200
CC1I24;A4;25/10/2019_15:00:26;119 < 200
CC1I24;A5;25/10/2019_15:00:26;119 < 200
CC1I24;A6;25/10/2019_15:00:26;119 < 200
CC1I24;A4;28/10/2019_10:28:07;147 < 200
CC1I24;A5;28/10/2019_10:28:07;147 < 200
CC1I24;A6;28/10/2019_10:28:07;147 < 200
CC1I24;A4;28/10/2019_11:34:26;110 < 200
CC1I24;A5;28/10/2019_11:34:26;110 < 200
CC1I24;A6;28/10/2019_11:34:26;110 < 200
CC1I24;A4;28/10/2019_11:38:17;110 < 200
CC1I24;A5;28/10/2019_11:38:17;110 < 200
CC1I24;A6;28/10/2019_11:38:17;110 < 200
