Compteur_Code;Alarme_Code;Time;AlarmeCondition
CC1T2;A9;17/10/2019_14:43:22;358.3 > 100
CC1T2;A9;17/10/2019_16:13:17;631.9 > 100
CC1T2;A9;22/10/2019_09:33:26;112.8 > 100
CC1T2;A9;22/10/2019_16:28:24;269.7 > 100
CC1T2;A9;22/10/2019_16:43:38;317.7 > 100
CC1T2;A9;22/10/2019_17:00:23;371.3 > 100
CC1T2;A9;22/10/2019_17:13:27;412.9 > 100
CC1T2;A9;22/10/2019_17:28:23;459.8 > 100
CC1T2;A9;22/10/2019_17:43:25;506.2 > 100
CC1T2;A9;23/10/2019_10:08:25;143.2 > 100
CC1T2;A9;23/10/2019_10:23:09;190 > 100
CC1T2;A9;23/10/2019_10:38:20;239 > 100
CC1T2;A9;23/10/2019_10:53:07;286.7 > 100
CC1T2;A9;23/10/2019_11:08:33;336.6 > 100
CC1T2;A9;23/10/2019_12:08:39;147.4 > 100
CC1T2;A9;23/10/2019_12:23:19;193.9 > 100
CC1T2;A9;23/10/2019_12:38:13;241 > 100
CC1T2;A9;23/10/2019_12:53:05;288.3 > 100
CC1T2;A9;23/10/2019_13:08:03;336.2 > 100
CC1T2;A9;23/10/2019_13:23:05;384.3 > 100
CC1T2;A9;23/10/2019_13:38:08;432.3 > 100
CC1T2;A9;23/10/2019_16:53:26;607.4 100 
CC1T2;A9;23/10/2019_16:54:06;609.5 100 
CC1T2;A9;23/10/2019_16:54:39;611.1 100 
CC1T2;A9;23/10/2019_16:55:09;613 100 
CC1T2;A9;23/10/2019_16:55:49;615.1 100 
CC1T2;A9;23/10/2019_16:56:29;617.3 100 
CC1T2;A9;23/10/2019_16:57:10;619.5 100 
CC1T2;A9;23/10/2019_16:57:50;621.6 100 
CC1T2;A9;23/10/2019_17:31:00;4.4 100 
CC1T2;A9;23/10/2019_17:31:40;6.6 100 
CC1T2;A9;23/10/2019_17:32:11;8.2 100 
CC1T2;A9;23/10/2019_17:32:51;10.3 100 
CC1T2;A9;23/10/2019_17:33:31;12.5 100 
CC1T2;A9;23/10/2019_17:34:11;14.6 100 
CC1T2;A9;23/10/2019_17:34:51;16.5 100 
CC1T2;A9;23/10/2019_17:35:32;18.6 100 
CC1T2;A9;24/10/2019_10:54:46;395.8 > 100
CC1T2;A9;24/10/2019_11:08:29;438.8 > 100
CC1T2;A9;24/10/2019_11:25:14;491.3 > 100
CC1T2;A9;24/10/2019_11:41:07;542.1 > 100
CC1T2;A9;24/10/2019_12:03:37;551.1 > 100
CC1T2;A9;24/10/2019_12:18:31;599.6 > 100
CC1T2;A9;24/10/2019_12:33:29;647.3 > 100
CC1T2;A9;24/10/2019_12:48:31;694.6 > 100
CC1T2;A9;24/10/2019_13:03:24;741.1 > 100
CC1T2;A9;24/10/2019_13:18:35;788.5 > 100
CC1T2;A9;24/10/2019_14:03:22;121.7 > 100
CC1T2;A9;24/10/2019_14:18:16;169.2 > 100
CC1T2;A9;24/10/2019_14:33:10;210.7 > 100
CC1T2;A9;24/10/2019_14:48:27;255.6 > 100
CC1T2;A9;24/10/2019_15:03:12;296 > 100
CC1T2;A9;24/10/2019_15:18:05;342.7 > 100
CC1T2;A9;24/10/2019_15:33:27;390.6 > 100
CC1T2;A9;24/10/2019_15:48:29;437.9 > 100
CC1T2;A9;24/10/2019_16:03:23;485.4 > 100
CC1T2;A9;24/10/2019_16:18:16;532.7 > 100
CC1T2;A9;24/10/2019_16:33:19;579.5 > 100
CC1T2;A9;24/10/2019_16:48:11;624.8 > 100
CC1T2;A9;24/10/2019_17:03:13;671.5 > 100
CC1T2;A9;25/10/2019_12:13:23;638.8 > 600
CC1T2;A9;25/10/2019_12:28:08;684.6 > 600
CC1T2;A9;25/10/2019_12:43:11;731.6 > 600
CC1T2;A9;25/10/2019_13:00:14;784.1 > 600
CC1T2;A9;25/10/2019_13:13:07;824.4 > 600
CC1T2;A9;26/10/2019_12:18:37;409.9 > 400
CC1T2;A9;26/10/2019_12:28:03;440.3 > 400
CC1T2;A9;26/10/2019_12:38:26;472.5 > 400
CC1T2;A9;26/10/2019_12:48:07;502.9 > 400
CC1T2;A9;26/10/2019_13:00:12;541 > 400
CC1T2;A9;28/10/2019_10:18:18;415.8 > 400
CC1T2;A9;28/10/2019_10:28:07;447.7 > 400
CC1T2;A9;28/10/2019_10:38:20;480.6 > 400
CC1T2;A9;28/10/2019_10:48:17;513 > 400
CC1T2;A9;28/10/2019_10:48:48;514.8 > 400
CC1T2;A9;28/10/2019_10:53:15;529.1 > 400
CC1T2;A9;28/10/2019_11:00:14;551.7 > 400
CC1T2;A9;28/10/2019_11:03:16;561.8 > 400
CC1T2;A9;28/10/2019_11:08:38;578.9 > 400
CC1T2;A9;28/10/2019_11:13:04;593.2 > 400
CC1T2;A9;28/10/2019_11:18:03;609.7 > 400
CC1T2;A9;28/10/2019_11:23:37;627.8 > 400
CC1T2;A9;28/10/2019_15:47:16;103.5 > 100
CC1T2;A9;28/10/2019_15:51:27;117.1 > 100
CC1T2;A9;28/10/2019_15:56:14;132.1 > 100
CC1T2;A9;28/10/2019_16:01:23;148.4 > 100
CC1T2;A9;28/10/2019_16:06:07;163.7 > 100
CC1T2;A9;28/10/2019_16:11:14;179.5 > 100
CC1T2;A9;28/10/2019_16:16:25;195.8 > 100
CC1T2;A9;28/10/2019_16:21:13;210.9 > 100
CC1T2;A9;30/10/2019_10:53:14;408.1 > 400
CC1T2;A9;30/10/2019_11:03:05;438.8 > 400
CC1T2;A9;30/10/2019_11:13:27;471.1 > 400
CC1T2;A9;30/10/2019_11:23:10;500.9 > 400
CC1T2;A9;30/10/2019_11:33:31;530.6 > 400
CC1T2;A9;30/10/2019_11:43:13;560.8 > 400
CC1T2;A9;30/10/2019_11:53:06;590.3 > 400
CC1T2;A9;30/10/2019_12:03:19;620 > 400
CC1T2;A9;30/10/2019_16:23:03;414.2 > 400
CC1T2;A9;30/10/2019_16:33:24;445.8 > 400
CC1T2;A9;30/10/2019_16:43:15;475.8 > 400
CC1T2;A9;30/10/2019_16:53:06;505.5 > 400
CC1T2;A9;31/10/2019_15:08:40;456.2 > 400
CC1T2;A9;31/10/2019_15:18:38;488.3 > 400
CC1T2;A9;31/10/2019_15:28:33;519 > 400
CC1T2;A9;31/10/2019_15:38:28;549.8 > 400
CC1T2;A9;31/10/2019_15:48:03;580 > 400
CC1T2;A9;31/10/2019_16:00:08;618 > 400
CC1T2;A9;31/10/2019_16:08:00;642.8 > 400
CC1T2;A9;31/10/2019_16:18:07;674.3 > 400
CC1T2;A9;31/10/2019_16:28:21;706.5 > 400
CC1T2;A9;31/10/2019_16:38:35;738.6 > 400
CC1T2;A9;31/10/2019_16:48:08;769 > 400
CC1T2;A9;31/10/2019_17:00:22;806.7 > 400
