Compteur_Code;Alarme_Code;Time;AlarmeCondition
CCA;A15;22/11/2019_09:45:25;218485 > 
CCA;A15;22/11/2019_09:49:25;218485 > 
CCA;A15;22/11/2019_09:54:36;218485 > 
CCA;A15;22/11/2019_10:00:36;218485 > 
CCA;A15;22/11/2019_10:04:37;218485 > 
CCA;A15;22/11/2019_10:09:17;218485 > 
CCA;A15;22/11/2019_10:14:28;218485 > 
CCA;A15;22/11/2019_10:19:08;218485 > 
CCA;A15;22/11/2019_10:24:19;218485 > 
CCA;A15;22/11/2019_10:29:39;218485 > 
CCA;A15;22/11/2019_10:34:10;218485 > 
CCA;A15;22/11/2019_10:39:30;218485 > 
CCA;A15;22/11/2019_10:44:01;218485 > 
CCA;A15;22/11/2019_10:49:21;218485 > 
CCA;A15;22/11/2019_10:54:25;218485 > 
CCA;A15;22/11/2019_11:01:04;218485 > 
CCA;A15;22/11/2019_11:04:15;218485 > 
CCA;A15;22/11/2019_11:09:35;218485 > 
CCA;A15;22/11/2019_11:14:06;218485 > 
CCA;A15;22/11/2019_11:19:26;218485 > 
CCA;A47;31/12/2019_12:09:14;6401 > 
CCA;A47;31/12/2019_12:19:05;6401 > 
CCA;A47;31/12/2019_12:29:27;6401 > 
CCA;A47;31/12/2019_12:39:11;6401 > 
CCA;A47;31/12/2019_12:49:25;6401 > 
CCA;A47;31/12/2019_13:00:32;6401 > 
CCA;A47;31/12/2019_13:09:33;6401 > 
CCA;A47;31/12/2019_13:19:27;6401 > 
CCA;A47;31/12/2019_13:29:28;6401 > 
CCA;A47;31/12/2019_13:39:19;6401 > 
CCA;A47;31/12/2019_13:49:10;6401 > 
CCA;A47;31/12/2019_14:00:21;6401 > 
CCA;A47;31/12/2019_14:09:32;6401 > 
CCA;A47;31/12/2019_14:19:15;6919 > 
CCA;A47;31/12/2019_14:29:06;8066 > 
CCA;A47;31/12/2019_14:39:29;9194 > 
CCA;A47;31/12/2019_14:49:25;10212 > 
