Compteur_Code;Alarme_Code;Time;AlarmeCondition
CCB1;A12;16/12/2019_08:23:18;2548 > 
CCB1;A12;16/12/2019_10:11:15;8450 > 
CCB1;A14;16/12/2019_10:40:08;260 > 
CCB1;A12;16/12/2019_10:41:28;260 > 
CCB1;A14;16/12/2019_10:41:28;260 > 
CCB1;A14;16/12/2019_10:42:08;260 > 
CCB1;A14;16/12/2019_10:45:37;260 > 
CCB1;A15;16/12/2019_10:46:41;260 > 
CCB1;A15;16/12/2019_11:01:19;260 > 
CCB1;A15;16/12/2019_11:16:39;260 > 
CCB1;A15;16/12/2019_11:43:00;260 > 
CCB1;A15;16/12/2019_11:54:11;260 > 
CCB1;A15;16/12/2019_12:57:20;2522 > 
CCB1;A17;16/12/2019_12:57:20;2522 > 
CCB1;A15;16/12/2019_12:57:51;2522 > 
CCB1;A17;16/12/2019_12:57:51;2522 > 
CCB1;A15;16/12/2019_12:58:31;2626 > 
CCB1;A17;16/12/2019_12:58:31;2626 > 
CCB1;A15;16/12/2019_13:12:14;3640 > 
CCB1;A17;16/12/2019_13:12:15;3640 > 
CCB1;A15;16/12/2019_13:27:20;4758 > 
CCB1;A17;16/12/2019_13:27:20;4758 > 
CCB1;A15;16/12/2019_13:42:13;5721 > 
CCB1;A17;16/12/2019_13:42:13;5721 > 
CCB1;A15;16/12/2019_13:57:28;6786 > 
CCB1;A17;16/12/2019_13:57:28;6786 > 
CCB1;A15;16/12/2019_14:12:12;7800 > 
CCB1;A17;16/12/2019_14:12:12;7800 > 
CCB1;A15;16/12/2019_14:27:06;8840 > 
CCB1;A17;16/12/2019_14:27:06;8840 > 
CCB1;A15;16/12/2019_14:42:31;9907 > 
CCB1;A17;16/12/2019_14:42:31;9907 > 
CCB1;A15;16/12/2019_14:57:10;10946 > 
CCB1;A17;16/12/2019_14:57:10;10946 > 
CCB1;A15;16/12/2019_15:12:08;384 > 
CCB1;A17;16/12/2019_15:12:08;384 > 
CCB1;A15;16/12/2019_15:27:26;780 > 
CCB1;A17;16/12/2019_15:27:26;780 > 
CCB1;A15;16/12/2019_15:42:17;1794 > 
CCB1;A17;16/12/2019_15:42:17;1794 > 
CCB1;A15;16/12/2019_15:57:02;2886 > 
CCB1;A17;16/12/2019_15:57:02;2886 > 
CCB1;A15;16/12/2019_16:12:11;3922 > 
CCB1;A17;16/12/2019_16:12:11;3922 > 
CCB1;A15;16/12/2019_16:27:17;4940 > 
CCB1;A17;16/12/2019_16:27:17;4940 > 
CCB1;A15;16/12/2019_16:42:21;5902 > 
CCB1;A17;16/12/2019_16:42:22;5902 > 
CCB1;A15;16/12/2019_16:57:03;6760 > 
CCB1;A17;16/12/2019_16:57:03;6760 > 
CCB1;A15;18/12/2019_08:28:11;988 > 
CCB1;A17;18/12/2019_08:28:11;988 > 
CCB1;A15;18/12/2019_08:43:28;2132 > 
CCB1;A17;18/12/2019_08:43:28;2132 > 
CCB1;A15;18/12/2019_09:00:30;3354 > 
CCB1;A17;18/12/2019_09:00:30;3354 > 
CCB1;A15;18/12/2019_09:13:29;4337 > 
CCB1;A17;18/12/2019_09:13:29;4337 > 
CCB1;A15;18/12/2019_09:28:18;5512 > 
CCB1;A17;18/12/2019_09:28:18;5512 > 
CCB1;A15;18/12/2019_09:43:11;6734 > 
CCB1;A17;18/12/2019_09:43:11;6734 > 
CCB1;A15;18/12/2019_10:00:30;8112 > 
CCB1;A17;18/12/2019_10:00:30;8112 > 
CCB1;A15;18/12/2019_10:13:01;9100 > 
CCB1;A17;18/12/2019_10:13:01;9100 > 
CCB1;A15;18/12/2019_10:28:07;10296 > 
CCB1;A17;18/12/2019_10:28:07;10296 > 
CCB1;A15;18/12/2019_10:43:01;11466 > 
CCB1;A17;18/12/2019_10:43:02;11466 > 
CCB1;A15;18/12/2019_11:00:16;12844 > 
CCB1;A17;18/12/2019_11:00:16;12844 > 
CCB1;A15;18/12/2019_11:13:19;13858 > 
CCB1;A17;18/12/2019_11:13:19;13858 > 
CCB1;A15;18/12/2019_11:28:36;15106 > 
CCB1;A17;18/12/2019_11:28:36;15106 > 
CCB1;A15;18/12/2019_11:43:13;16250 > 
CCB1;A17;18/12/2019_11:43:13;16250 > 
CCB1;A15;18/12/2019_12:00:07;17602 > 
CCB1;A17;18/12/2019_12:00:07;17602 > 
CCB1;A15;18/12/2019_12:13:36;18694 > 
CCB1;A17;18/12/2019_12:13:36;18694 > 
CCB1;A15;18/12/2019_12:28:14;19890 > 
CCB1;A17;18/12/2019_12:28:14;19890 > 
CCB1;A15;18/12/2019_12:43:32;21112 > 
CCB1;A17;18/12/2019_12:43:32;21112 > 
CCB1;A15;18/12/2019_13:00:17;754 > 
CCB1;A17;18/12/2019_13:00:17;754 > 
CCB1;A15;18/12/2019_13:13:35;1768 > 
CCB1;A17;18/12/2019_13:13:35;1768 > 
CCB1;A15;18/12/2019_13:28:11;2886 > 
CCB1;A17;18/12/2019_13:28:13;2886 > 
CCB1;A15;18/12/2019_13:43:11;4056 > 
CCB1;A17;18/12/2019_13:43:11;4056 > 
CCB1;A15;18/12/2019_14:00:19;5406 > 
CCB1;A17;18/12/2019_14:00:19;5406 > 
CCB1;A15;18/12/2019_14:13:35;6424 > 
CCB1;A17;18/12/2019_14:13:35;6424 > 
CCB1;A15;18/12/2019_14:28:21;7592 > 
CCB1;A17;18/12/2019_14:28:21;7592 > 
CCB1;A15;18/12/2019_14:43:14;8736 > 
CCB1;A17;18/12/2019_14:43:14;8736 > 
CCB1;A15;18/12/2019_15:00:31;9958 > 
CCB1;A17;18/12/2019_15:00:31;9958 > 
CCB1;A15;18/12/2019_15:13:38;10894 > 
CCB1;A17;18/12/2019_15:13:38;10894 > 
CCB1;A15;18/12/2019_15:28:02;11934 > 
CCB1;A17;18/12/2019_15:28:02;11934 > 
CCB1;A15;18/12/2019_15:43:08;13052 > 
CCB1;A17;18/12/2019_15:43:08;13052 > 
CCB1;A15;18/12/2019_16:00:17;14276 > 
CCB1;A17;18/12/2019_16:00:17;14276 > 
CCB1;A15;18/12/2019_16:13:37;15236 > 
CCB1;A17;18/12/2019_16:13:38;15236 > 
CCB1;A15;18/12/2019_16:28:13;16250 > 
CCB1;A17;18/12/2019_16:28:13;16250 > 
CCB1;A15;18/12/2019_16:43:12;17342 > 
CCB1;A17;18/12/2019_16:43:13;17342 > 
CCB1;A15;18/12/2019_17:00:20;18566 > 
CCB1;A17;18/12/2019_17:00:20;18566 > 
CCB1;A15;19/12/2019_08:28:32;702 > 
CCB1;A17;19/12/2019_08:28:32;702 > 
CCB1;A15;19/12/2019_08:32:54;1066 > 
CCB1;A17;19/12/2019_08:32:54;1066 > 
CCB1;A15;19/12/2019_08:43:00;1805 > 
CCB1;A17;19/12/2019_08:43:00;1805 > 
CCB1;A15;19/12/2019_09:08:12;3588 > 
CCB1;A17;19/12/2019_09:08:12;3588 > 
CCB1;A15;19/12/2019_09:23:17;4602 > 
CCB1;A17;19/12/2019_09:23:17;4602 > 
CCB1;A15;19/12/2019_09:38:17;5564 > 
CCB1;A17;19/12/2019_09:38:17;5564 > 
CCB1;A15;19/12/2019_09:53:21;6708 > 
CCB1;A17;19/12/2019_09:53:21;6708 > 
CCB1;A15;19/12/2019_10:08:19;7774 > 
CCB1;A17;19/12/2019_10:08:19;7774 > 
CCB1;A15;19/12/2019_10:23:01;8736 > 
CCB1;A17;19/12/2019_10:23:01;8736 > 
CCB1;A15;19/12/2019_10:38:00;9568 > 
CCB1;A17;19/12/2019_10:38:01;9568 > 
CCB1;A15;19/12/2019_10:53:29;10842 > 
CCB1;A17;19/12/2019_10:53:29;10842 > 
CCB1;A15;19/12/2019_11:08:27;12038 > 
CCB1;A17;19/12/2019_11:08:27;12038 > 
CCB1;A15;19/12/2019_11:23:11;13234 > 
CCB1;A17;19/12/2019_11:23:11;13234 > 
CCB1;A15;19/12/2019_11:38:19;14430 > 
CCB1;A17;19/12/2019_11:38:19;14430 > 
CCB1;A15;19/12/2019_11:53:30;15626 > 
CCB1;A17;19/12/2019_11:53:30;15626 > 
CCB1;A15;19/12/2019_12:08:25;16770 > 
CCB1;A17;19/12/2019_12:08:25;16770 > 
CCB1;A15;19/12/2019_12:23:23;832 > 
CCB1;A17;19/12/2019_12:23:24;832 > 
CCB1;A15;19/12/2019_12:38:16;2028 > 
CCB1;A17;19/12/2019_12:38:16;2028 > 
CCB1;A15;19/12/2019_12:53:22;3250 > 
CCB1;A17;19/12/2019_12:53:22;3250 > 
CCB1;A15;19/12/2019_13:08:29;4472 > 
CCB1;A17;19/12/2019_13:08:29;4472 > 
CCB1;A15;19/12/2019_13:23:34;5720 > 
CCB1;A17;19/12/2019_13:23:34;5720 > 
CCB1;A15;19/12/2019_13:38:36;6968 > 
CCB1;A17;19/12/2019_13:38:36;6968 > 
CCB1;A15;19/12/2019_13:53:29;8179 > 
CCB1;A17;19/12/2019_13:53:29;8179 > 
CCB1;A15;19/12/2019_14:08:31;9412 > 
CCB1;A17;19/12/2019_14:08:32;9412 > 
CCB1;A15;19/12/2019_14:23:15;10608 > 
