Compteur_Code;Alarme_Code;Time;AlarmeCondition
CE1;A43;23/12/2019_08:53:19;11215 > 
CE1;A43;23/12/2019_09:23:01;23668 > 
CE1;A43;23/12/2019_09:53:19;7337 > 
CE1;A43;23/12/2019_10:23:02;19093 > 
CE1;A43;23/12/2019_10:53:06;29982 > 
CE1;A43;23/12/2019_11:23:03;40576 > 
CE1;A43;23/12/2019_11:53:07;51619 > 
CE1;A43;23/12/2019_12:23:12;62602 > 
CE1;A43;23/12/2019_12:53:15;73900 > 
CE1;A43;23/12/2019_13:23:33;85221 > 
CE1;A43;23/12/2019_13:53:23;94675 > 
CE1;A43;23/12/2019_14:23:05;94675 > 
CE1;A43;23/12/2019_14:53:26;94675 > 
CE1;A43;23/12/2019_15:23:08;94675 > 
CE1;A43;24/12/2019_08:28:17;5720 > 
CE1;A43;24/12/2019_09:00:15;17095 > 
CE1;A43;24/12/2019_09:28:06;26783 > 
CE1;A43;24/12/2019_10:00:13;37640 > 
CE1;A43;24/12/2019_10:28:35;48315 > 
CE1;A43;24/12/2019_11:00:18;60012 > 
CE1;A43;24/12/2019_11:28:11;69465 > 
CE1;A43;24/12/2019_12:00:39;81152 > 
CE1;A43;24/12/2019_12:28:36;90652 > 
CE1;A43;24/12/2019_13:00:25;101305 > 
CE1;A43;24/12/2019_13:28:40;111182 > 
CE1;A43;24/12/2019_14:00:02;122459 > 
CE1;A43;24/12/2019_14:28:35;132938 > 
CE1;A43;24/12/2019_15:00:10;144581 > 
CE1;A43;24/12/2019_15:28:10;152482 > 
CE1;A43;25/12/2019_08:28:13;5425 > 
CE1;A43;25/12/2019_08:30:04;5587 > 
CE1;A43;25/12/2019_09:00:25;18396 > 
CE1;A43;25/12/2019_09:28:09;23262 > 
CE1;A43;25/12/2019_10:00:13;37030 > 
CE1;A43;25/12/2019_10:28:21;47772 > 
CE1;A43;25/12/2019_11:00:59;31028 > 
CE1;A43;25/12/2019_11:28:14;61180 > 
CE1;A43;25/12/2019_12:00:32;75254 > 
CE1;A43;25/12/2019_12:28:03;87315 > 
CE1;A43;25/12/2019_13:00:05;101385 > 
CE1;A43;25/12/2019_13:28:28;114033 > 
CE1;A43;25/12/2019_14:00:21;128223 > 
CE1;A43;25/12/2019_14:28:18;140627 > 
CE1;A43;25/12/2019_15:00:39;155001 > 
CE1;A43;26/12/2019_09:00:22;21279 > 
CE1;A43;26/12/2019_09:28:01;32981 > 
CE1;A43;26/12/2019_10:00:11;46542 > 
CE1;A43;26/12/2019_10:28:12;58417 > 
CE1;A43;26/12/2019_11:00:05;71635 > 
CE1;A43;26/12/2019_11:28:28;83512 > 
CE1;A43;26/12/2019_12:00:35;96811 > 
CE1;A43;26/12/2019_12:28:26;108395 > 
CE1;A43;26/12/2019_13:00:01;121783 > 
CE1;A43;26/12/2019_13:28:13;133527 > 
CE1;A43;26/12/2019_14:00:34;147564 > 
CE1;A43;26/12/2019_14:28:05;159562 > 
CE1;A43;26/12/2019_15:00:31;173600 > 
CE1;A43;26/12/2019_15:28:03;180405 > 
CE1;A43;26/12/2019_16:00:26;180405 > 
CE1;A43;27/12/2019_08:28:07;6092 > 
CE1;A43;27/12/2019_09:00:07;19755 > 
CE1;A43;27/12/2019_09:28:37;29150 > 
CE1;A43;27/12/2019_10:00:03;43090 > 
CE1;A43;27/12/2019_10:28:09;55221 > 
CE1;A43;27/12/2019_11:00:26;69172 > 
CE1;A43;27/12/2019_11:28:11;81177 > 
CE1;A43;27/12/2019_12:00:05;94533 > 
CE1;A43;27/12/2019_12:28:03;106475 > 
CE1;A43;27/12/2019_13:00:00;119645 > 
CE1;A43;27/12/2019_13:28:03;131615 > 
CE1;A43;28/12/2019_10:00:21;7928 > 
CE1;A43;28/12/2019_10:28:38;14035 > 
CE1;A43;28/12/2019_11:00:01;27747 > 
CE1;A43;28/12/2019_11:28:29;39367 > 
CE1;A43;28/12/2019_12:00:04;52734 > 
CE1;A43;28/12/2019_12:28:25;64774 > 
CE1;A43;30/12/2019_08:28:27;74974 > 
CE1;A43;30/12/2019_09:00:32;88061 > 
CE1;A43;30/12/2019_09:28:20;96169 > 
CE1;A43;30/12/2019_10:00:12;96169 > 
CE1;A43;30/12/2019_11:00:15;8820 > 
CE1;A43;30/12/2019_11:28:35;19495 > 
CE1;A43;30/12/2019_12:00:16;31528 > 
CE1;A43;30/12/2019_16:00:35;3080 > 
CE1;A43;30/12/2019_16:28:18;15064 > 
CE1;A43;31/12/2019_08:28:22;6510 > 
CE1;A43;31/12/2019_09:00:12;10605 > 
CE1;A43;31/12/2019_09:28:24;10605 > 
CE1;A43;31/12/2019_10:00:10;10605 > 
CE1;A43;31/12/2019_10:28:05;12825 > 
CE1;A43;31/12/2019_11:00:53;12825 > 
CE1;A43;31/12/2019_11:28:14;16975 > 
CE1;A43;31/12/2019_12:00:39;21120 > 
CE1;A43;31/12/2019_12:28:16;24150 > 
CE1;A43;31/12/2019_13:00:32;24150 > 
CE1;A43;31/12/2019_13:28:08;24150 > 
CE1;A43;31/12/2019_14:00:21;24150 > 
CE1;A43;31/12/2019_14:28:26;30185 > 
CE1;A43;31/12/2019_15:00:10;42941 > 
CE1;A43;2/1/2020_10:13:28;10669 > 
CE1;A43;2/1/2020_10:43:38;22275 > 
CE1;A43;2/1/2020_11:13:04;34244 > 
CE1;A43;2/1/2020_11:43:13;46698 > 
CE1;A43;2/1/2020_12:13:13;59018 > 
CE1;A43;2/1/2020_12:43:28;71723 > 
CE1;A43;2/1/2020_13:13:13;83887 > 
CE1;A43;3/1/2020_08:43:37;12022 > 
CE1;A43;3/1/2020_09:13:30;23839 > 
CE1;A43;3/1/2020_09:43:25;36262 > 
CE1;A43;3/1/2020_10:13:16;48367 > 
CE1;A43;3/1/2020_10:43:27;60967 > 
CE1;A43;3/1/2020_11:13:05;73189 > 
CE1;A43;3/1/2020_11:43:19;85260 > 
CE1;A43;3/1/2020_12:13:25;97514 > 
CE1;A43;4/1/2020_09:28:26;7983 > 
CE1;A43;4/1/2020_10:00:13;20731 > 
CE1;A43;6/1/2020_15:43:35;30062 > 
CE1;A43;6/1/2020_16:13:08;43250 > 
CE1;A43;6/1/2020_16:43:24;56727 > 
CE1;A43;7/1/2020_08:28:14;6490 > 
CE1;A43;7/1/2020_09:00:01;20441 > 
CE1;A43;7/1/2020_09:28:04;32925 > 
CE1;A43;7/1/2020_10:00:33;47331 > 
CE1;A43;7/1/2020_10:28:28;59756 > 
CE1;A43;7/1/2020_11:00:22;73994 > 
CE1;A43;7/1/2020_11:28:04;86377 > 
CE1;A43;7/1/2020_12:00:30;100860 > 
CE1;A43;7/1/2020_12:28:16;2937 > 
CE1;A43;7/1/2020_13:00:16;17266 > 
CE1;A43;7/1/2020_13:28:31;29964 > 
CE1;A43;7/1/2020_14:00:17;44328 > 
CE1;A43;7/1/2020_14:28:06;56928 > 
CE1;A43;7/1/2020_15:00:15;71537 > 
CE1;A43;7/1/2020_15:28:37;84340 > 
CE1;A43;7/1/2020_16:00:24;98606 > 
CE1;A43;8/1/2020_08:28:13;4165 > 
CE1;A43;8/1/2020_09:00:13;18543 > 
CE1;A43;8/1/2020_09:28:02;30940 > 
CE1;A43;8/1/2020_10:00:32;45409 > 
CE1;A43;8/1/2020_10:28:13;57694 > 
CE1;A43;8/1/2020_11:00:04;71855 > 
CE1;A43;8/1/2020_11:28:14;84364 > 
CE1;A43;8/1/2020_12:00:04;98504 > 
CE1;A43;8/1/2020_12:28:02;110320 > 
CE1;A43;9/1/2020_08:28:20;7525 > 
CE1;A43;9/1/2020_09:00:16;21854 > 
CE1;A43;9/1/2020_09:28:43;34545 > 
CE1;A43;9/1/2020_10:00:34;48755 > 
CE1;A43;9/1/2020_10:28:23;61145 > 
CE1;A43;9/1/2020_11:00:04;75299 > 
CE1;A43;9/1/2020_11:28:07;87815 > 
CE1;A43;9/1/2020_12:00:09;102109 > 
CE1;A43;9/1/2020_12:28:11;114604 > 
CE1;A43;9/1/2020_13:00:20;128905 > 
CE1;A43;9/1/2020_13:28:09;141330 > 
CE1;A43;9/1/2020_14:00:24;155743 > 
CE1;A43;9/1/2020_14:28:13;167839 > 
CE1;A43;9/1/2020_15:00:06;179760 > 
CE1;A43;10/1/2020_08:28:34;4235 > 
CE1;A43;10/1/2020_09:00:28;18739 > 
CE1;A43;10/1/2020_09:28:15;31304 > 
CE1;A43;10/1/2020_10:00:10;45619 > 
CE1;A43;10/1/2020_10:28:12;58198 > 
CE1;A43;10/1/2020_11:00:26;72660 > 
CE1;A43;10/1/2020_11:28:23;84938 > 
CE1;A43;10/1/2020_12:00:04;98840 > 
CE1;A43;10/1/2020_12:28:04;111139 > 
CE1;A43;10/1/2020_13:00:35;125370 > 
CE1;A43;10/1/2020_13:28:04;137424 > 
CE1;A43;10/1/2020_14:00:12;151515 > 
CE1;A43;10/1/2020_14:28:15;158620 > 
CE1;A43;29/1/2020_16:28:20;72745 > 
CE1;A43;3/2/2020_12:00:23;41755 > 
CE1;A43;3/2/2020_12:28:37;41755 > 
CE1;A43;3/2/2020_13:00:10;41755 > 
CE1;A43;3/2/2020_13:28:37;45255 > 
CE1;A43;3/2/2020_14:00:23;56280 > 
CE1;A43;3/2/2020_14:28:05;65975 > 
CE1;A43;4/2/2020_08:28:13;41350 > 
CE1;A43;4/2/2020_09:00:04;9240 > 
CE1;A43;4/2/2020_09:28:18;19870 > 
CE1;A43;4/2/2020_10:00:37;24795 > 
CE1;A43;4/2/2020_11:03:32;610 > 
CE1;A43;4/2/2020_12:45:28;9409 > 5000
CE1;A43;4/2/2020_13:13:07;20294 > 5000
CE1;A43;4/2/2020_13:43:16;32390 > 5000
CE1;A43;4/2/2020_14:13:31;33699 > 5000
CE1;A43;6/2/2020_10:28:07;9555 > 5000
CE1;A43;6/2/2020_11:00:39;17605 > 5000
CE1;A43;6/2/2020_11:28:29;17605 > 5000
CE1;A43;6/2/2020_12:01:38;27650 > 5000
CE1;A43;6/2/2020_12:59:15;50253 > 5000
CE1;A43;6/2/2020_13:00:07;50260 > 5000
CE1;A43;6/2/2020_13:49:36;68425 > 5000
CE1;A43;6/2/2020_14:03:36;74263 > 5000
CE1;A43;6/2/2020_14:31:24;84924 > 5000
CE1;A43;6/2/2020_15:13:56;97804 > 5000
CE1;A43;6/2/2020_15:28:44;103740 > 5000
CE1;A43;6/2/2020_16:00:45;115724 > 5000
CE1;A43;11/2/2020_09:20:28;26670 > 
CE1;A43;11/2/2020_09:50:22;435 > 
CE1;A43;11/2/2020_10:20:24;8835 > 
CE1;A43;11/2/2020_10:50:00;21673 > 
CE1;A43;11/2/2020_14:00:18;24255 > 
CE1;A43;11/2/2020_14:28:39;26307 > 
CE1;A43;11/2/2020_15:00:04;32200 > 
CE1;A43;11/2/2020_15:28:16;43432 > 
CE1;A43;11/2/2020_16:00:22;51905 > 
CE1;A43;11/2/2020_16:28:32;51905 > 
CE1;A43;12/2/2020_15:43:28;64806 > 
CE1;A43;12/2/2020_16:13:14;76395 > 
CE1;A43;12/2/2020_16:43:34;87877 > 
CE1;A43;12/2/2020_17:13:39;99292 > 
CE1;A43;13/2/2020_09:00:40;16718 > 
CE1;A43;13/2/2020_10:08:07;35917 > 
CE1;A43;13/2/2020_10:38:52;48290 > 
CE1;A43;13/2/2020_11:08:13;56855 > 
CE1;A43;13/2/2020_11:38:34;56855 > 
CE1;A43;13/2/2020_12:08:30;69108 > 
CE1;A43;13/2/2020_12:38:35;81155 > 
CE1;A43;13/2/2020_13:10:02;93171 > 
CE1;A43;13/2/2020_13:38:04;93192 > 
CE1;A43;13/2/2020_14:08:04;93192 > 
CE1;A43;13/2/2020_14:38:00;97035 > 
CE1;A43;14/2/2020_08:28:07;7210 > 
CE1;A43;14/2/2020_09:00:00;16240 > 
CE1;A43;14/2/2020_09:28:07;20825 > 
CE1;A43;14/2/2020_10:00:07;24395 > 
CE1;A43;14/2/2020_10:28:10;32270 > 
CE1;A43;14/2/2020_11:28:32;11577 > 
CE1;A43;14/2/2020_12:00:30;24422 > 
CE1;A43;14/2/2020_12:28:02;35591 > 
CE1;A43;14/2/2020_13:00:03;48646 > 
CE1;A43;14/2/2020_13:28:36;60271 > 
CE1;A43;14/2/2020_14:00:13;72993 > 
CE1;A43;14/2/2020_14:28:25;83175 > 
CE1;A43;14/2/2020_15:00:05;94557 > 
CE1;A43;15/2/2020_09:28:11;9723 > 
CE1;A43;15/2/2020_10:00:15;22750 > 
CE1;A43;15/2/2020_11:38:30;35910 > 
CE1;A43;15/2/2020_12:08:33;47579 > 
CE1;A43;17/2/2020_09:00:10;16832 > 
CE1;A43;17/2/2020_09:28:12;27920 > 
CE1;A43;17/2/2020_10:00:16;40510 > 
CE1;A43;17/2/2020_11:00:09;16051 > 
CE1;A43;17/2/2020_11:28:29;27343 > 
CE1;A43;18/2/2020_09:00:16;13650 > 
CE1;A43;18/2/2020_09:28:34;24164 > 
CE1;A43;18/2/2020_10:00:09;36008 > 
CE1;A43;18/2/2020_10:28:09;47180 > 
CE1;A43;18/2/2020_11:00:33;59115 > 
CE1;A43;18/2/2020_11:28:32;70490 > 
CE1;A43;18/2/2020_12:00:09;77434 > 
CE1;A43;18/2/2020_12:28:08;87640 > 
CE1;A43;18/2/2020_13:00:38;100450 > 
CE1;A43;19/2/2020_09:00:09;6440 > 
CE1;A43;19/2/2020_11:28:20;11879 > 
CE1;A43;19/2/2020_12:00:22;7261 > 
CE1;A43;20/2/2020_09:18:22;9485 > 
CE1;A43;20/2/2020_09:48:06;21585 > 
