Compteur_Code;Alarme_Code;Time;AlarmeCondition
CEA5;A23;16/12/2019_12:19:21;1079 > 
CEA5;A23;16/12/2019_12:57:20;2329 > 
CEA5;A23;16/12/2019_12:57:51;2329 > 
CEA5;A23;16/12/2019_12:58:31;2413 > 
CEA5;A23;16/12/2019_13:07:33;3043 > 
CEA5;A23;16/12/2019_13:17:08;3697 > 
CEA5;A23;16/12/2019_13:27:20;4385 > 
CEA5;A23;16/12/2019_13:37:27;5001 > 
CEA5;A23;16/12/2019_13:47:24;5606 > 
CEA5;A23;16/12/2019_13:57:29;6253 > 
CEA5;A23;16/12/2019_14:07:01;6865 > 
CEA5;A23;16/12/2019_14:17:24;7529 > 
CEA5;A23;16/12/2019_14:27:06;8156 > 
CEA5;A23;16/12/2019_14:37:20;8815 > 
CEA5;A23;16/12/2019_14:47:02;9437 > 
CEA5;A23;16/12/2019_14:57:10;10089 > 
CEA5;A23;16/12/2019_15:07:15;35 > 
CEA5;A23;16/12/2019_15:07:47;65 > 
CEA5;A23;16/12/2019_15:17:10;646 > 
CEA5;A23;19/12/2019_08:38:28;1326 > 
CEA5;A23;19/12/2019_09:08:12;3312 > 
CEA5;A23;19/12/2019_09:18:07;4020 > 
CEA5;A23;19/12/2019_09:22:37;4254 > 
CEA5;A23;19/12/2019_09:28:20;4482 > 
CEA5;A23;19/12/2019_09:38:17;5154 > 
CEA5;A23;19/12/2019_09:48:04;5832 > 
CEA5;A23;19/12/2019_10:00:14;6690 > 
CEA5;A23;19/12/2019_10:08:19;7195 > 
CEA5;A23;19/12/2019_10:18:30;7811 > 
CEA5;A23;19/12/2019_10:28:36;8418 > 
CEA5;A23;19/12/2019_10:38:01;8838 > 
CEA5;A23;19/12/2019_10:48:26;9624 > 
CEA5;A23;19/12/2019_11:00:24;10530 > 
CEA5;A23;19/12/2019_11:08:27;11124 > 
CEA5;A23;19/12/2019_11:18:09;11855 > 
CEA5;A23;19/12/2019_11:28:06;12581 > 
CEA5;A23;19/12/2019_11:38:19;13327 > 
