Compteur_Code;Alarme_Code;Time;AlarmeCondition
CED;A10;16/12/2019_08:23:18;1564 > 
CED;A10;16/12/2019_09:02:20;2145 > 
CED;A10;16/12/2019_09:12:11;2277 > 
CED;A10;16/12/2019_09:22:16;2776 > 
CED;A10;16/12/2019_09:32:05;3268 > 
CED;A10;16/12/2019_09:33:25;3336 > 
CED;A10;16/12/2019_09:43:31;3836 > 
CED;A10;16/12/2019_09:44:42;3896 > 
CED;A10;16/12/2019_09:53:07;4304 > 
CED;A10;16/12/2019_10:03:22;4808 > 
CED;A10;16/12/2019_10:04:02;4841 > 
CED;A10;16/12/2019_10:04:42;4876 > 
CED;A10;16/12/2019_10:13:05;5288 > 
