Compteur_Code;Alarme_Code;Time;AlarmeCondition
CET03;A3;17/10/2019_14:43:22;1.00009 > 0,02
CET03;A3;17/10/2019_16:13:17;1.0001 > 0,02
CET03;A3;22/10/2019_09:03:28;1.00139 > 0,02
CET03;A3;22/10/2019_09:18:36;1.00058 > 0,02
CET03;A3;22/10/2019_09:33:26;1.00118 > 0,02
CET03;A3;22/10/2019_09:48:15;1.00378 > 0,02
CET03;A3;22/10/2019_11:18:19;1.00049 > 0,02
CET03;A3;22/10/2019_16:28:23;1.00043 > 0,02
CET03;A3;22/10/2019_16:43:38;1.0002 > 0,02
CET03;A3;22/10/2019_17:00:23;1.00032 > 0,02
CET03;A3;22/10/2019_17:13:27;1.00029 > 0,02
CET03;A3;22/10/2019_17:28:23;1.00015 > 0,02
CET03;A3;22/10/2019_17:43:25;1.00019 > 0,02
CET03;A3;23/10/2019_09:38:17;1.00022 > 0,02
CET03;A3;23/10/2019_09:53:17;1.00015 > 0,02
CET03;A3;23/10/2019_10:08:25;1.00091 > 0,02
CET03;A3;23/10/2019_10:23:09;1.00036 > 0,02
CET03;A3;23/10/2019_10:38:20;1.00063 > 0,02
CET03;A3;23/10/2019_10:53:07;1.00031 > 0,02
CET03;A3;23/10/2019_11:08:33;1.00026 > 0,02
CET03;A3;23/10/2019_11:23:10;1.16074 > 0,02
CET03;A3;23/10/2019_11:38:13;1.00179 > 0,02
CET03;A3;23/10/2019_11:53:13;1.00107 > 0,02
CET03;A3;23/10/2019_12:08:39;1.00068 > 0,02
CET03;A3;23/10/2019_12:23:19;1.0007 > 0,02
CET03;A3;23/10/2019_12:38:13;1.00038 > 0,02
CET03;A3;23/10/2019_12:53:05;1.00016 > 0,02
CET03;A3;23/10/2019_13:08:03;1.00044 > 0,02
CET03;A3;23/10/2019_13:23:05;1.00016 > 0,02
CET03;A3;23/10/2019_13:38:08;1.00019 > 0,02
CET03;A3;23/10/2019_16:53:26;1.00005 0,02 
CET03;A3;23/10/2019_16:54:06;1.00002 0,02 
CET03;A3;23/10/2019_16:54:39;1.00004 0,02 
CET03;A3;23/10/2019_16:55:09;1 0,02 
CET03;A3;23/10/2019_16:55:49;1.00005 0,02 
CET03;A3;23/10/2019_16:56:29;1.00002 0,02 
CET03;A3;23/10/2019_16:57:10;1.00001 0,02 
CET03;A3;23/10/2019_16:57:50;1.00006 0,02 
CET03;A3;23/10/2019_17:31:00;1.00749 0,02 
CET03;A3;23/10/2019_17:31:40;1.00655 0,02 
CET03;A3;23/10/2019_17:32:11;1.00398 0,02 
CET03;A3;23/10/2019_17:32:51;1.00133 0,02 
CET03;A3;23/10/2019_17:33:31;1.00334 0,02 
CET03;A3;23/10/2019_17:34:11;1.00094 0,02 
CET03;A3;23/10/2019_17:34:51;1.00275 0,02 
CET03;A3;23/10/2019_17:35:32;1.00098 0,02 
CET03;A3;24/10/2019_10:54:46;1.00009 > 0,02
CET03;A3;24/10/2019_11:08:29;1.00028 > 0,02
CET03;A3;24/10/2019_11:25:13;1.0002 > 0,02
CET03;A3;24/10/2019_11:41:07;1.00019 > 0,02
CET03;A3;24/10/2019_12:03:37;1.00001 > 0,02
CET03;A3;24/10/2019_12:18:31;1.00001 > 0,02
CET03;A3;24/10/2019_12:33:29;1.00019 > 0,02
CET03;A3;24/10/2019_12:48:31;1.00008 > 0,02
CET03;A3;24/10/2019_13:03:24;1.00007 > 0,02
CET03;A3;24/10/2019_13:18:35;1.00015 > 0,02
CET03;A3;24/10/2019_13:33:17;1.00449 > 0,02
CET03;A3;24/10/2019_13:48:19;1.00082 > 0,02
