Compteur_Code;Alarme_Code;Time;AlarmeCondition
CF125;A34;19/12/2019_09:28:20;747.2 > 
CF125;A34;19/12/2019_09:43:21;917.8 > 
CF125;A34;19/12/2019_10:00:14;1115.9 > 
CF125;A34;19/12/2019_10:13:37;1253.1 > 
CF125;A34;19/12/2019_10:28:36;1403.6 > 
CF125;A34;19/12/2019_10:43:16;1538.4 > 
CF125;A34;19/12/2019_11:00:24;1755.9 > 
CF125;A34;19/12/2019_11:13:39;1920.2 > 
CF125;A34;19/12/2019_11:28:06;2097.4 > 
CF125;A34;19/12/2019_11:43:30;2286.1 > 
CF125;A34;19/12/2019_12:00:33;2490.9 > 
CF125;A34;19/12/2019_12:13:27;13.3 > 
CF125;A34;19/12/2019_12:28:25;189.6 > 
CF125;A34;19/12/2019_12:43:09;373.7 > 
CF125;A34;19/12/2019_13:00:16;584.5 > 
CF125;A34;19/12/2019_13:13:01;745.4 > 
CF125;A34;19/12/2019_13:28:14;939.5 > 
CF125;A34;19/12/2019_13:43:07;1127.5 > 
CF125;A34;19/12/2019_14:00:01;1340.5 > 
CF125;A34;19/12/2019_14:13:33;1511 > 
CF125;A34;19/12/2019_14:28:35;1700.1 > 
CF125;A34;19/12/2019_14:43:14;1884 > 
CF125;A34;19/12/2019_15:00:12;2096.6 > 
CF125;A34;19/12/2019_15:13:18;2255.5 > 
CF125;A34;19/12/2019_15:28:36;2435.7 > 
CF125;A34;19/12/2019_15:43:23;2614.4 > 
CF125;A34;19/12/2019_16:00:29;2818.9 > 
CF125;A34;19/12/2019_16:13:37;2973.4 > 
CF125;A34;19/12/2019_16:28:21;3144.6 > 
CF125;A34;19/12/2019_16:43:28;3322.3 > 
CF125;A34;19/12/2019_17:00:11;3530.9 > 
CF125;A34;20/12/2019_08:28:06;105.6 > 
CF125;A34;20/12/2019_08:30:37;137.9 > 
CF125;A38;20/12/2019_08:38:06;193.2 > 
CF125;A34;20/12/2019_09:08:39;308.6 > 
CF125;A34;20/12/2019_09:23:16;493.8 > 
CF125;A34;20/12/2019_09:38:04;607.5 > 
CF125;A34;20/12/2019_09:53:01;607.5 > 
CF125;A34;20/12/2019_10:08:12;607.5 > 
CF125;A34;20/12/2019_10:23:23;607.5 > 
CF125;A34;20/12/2019_10:38:35;607.5 > 
CF125;A34;20/12/2019_10:53:36;607.5 > 
CF125;A34;20/12/2019_11:08:08;607.5 > 
CF125;A34;20/12/2019_11:23:02;729 > 
CF125;A34;20/12/2019_11:38:09;909.3 > 
CF125;A34;20/12/2019_11:53:31;1102.2 > 
CF125;A34;20/12/2019_12:08:38;1293.6 > 
CF125;A34;20/12/2019_12:23:07;1473.5 > 
CF125;A34;20/12/2019_12:38:18;1656.4 > 
CF125;A34;20/12/2019_12:53:34;1836.7 > 
CF125;A34;20/12/2019_13:08:18;2017.5 > 
CF125;A34;20/12/2019_13:23:31;2203.9 > 
CF125;A34;21/12/2019_09:28:31;163.6 > 
CF125;A34;21/12/2019_09:43:29;351.8 > 
CF125;A34;21/12/2019_10:00:06;552.9 > 
CF125;A34;21/12/2019_10:13:38;720.1 > 
CF125;A34;21/12/2019_10:28:19;907.5 > 
CF125;A34;21/12/2019_10:43:04;1090.7 > 
CF125;A34;21/12/2019_11:00:21;1307.9 > 
CF125;A34;21/12/2019_11:13:23;1466.4 > 
CF125;A34;21/12/2019_11:28:09;1649.7 > 
CF125;A34;21/12/2019_11:43:25;1843.9 > 
CF125;A34;21/12/2019_12:00:01;2055.2 > 
CF125;A34;23/12/2019_08:28:09;50 > 
CF125;A34;23/12/2019_08:43:09;227.8 > 
CF125;A34;23/12/2019_08:53:19;322.8 > 
CF125;A34;23/12/2019_09:08:25;507.5 > 
CF125;A34;23/12/2019_09:23:01;679.3 > 
CF125;A34;23/12/2019_09:38:30;45 > 
CF125;A34;23/12/2019_09:53:19;211.8 > 
CF125;A34;23/12/2019_10:08:25;384.8 > 
CF125;A34;23/12/2019_10:23:02;547.9 > 
CF125;A34;23/12/2019_10:38:22;707.5 > 
CF125;A34;23/12/2019_10:53:06;859.1 > 
CF125;A34;23/12/2019_11:08:36;1016.8 > 
CF125;A34;23/12/2019_11:23:03;1161.3 > 
CF125;A34;23/12/2019_11:38:31;1319 > 
CF125;A34;23/12/2019_11:53:07;1477 > 
CF125;A34;23/12/2019_12:08:35;1639.7 > 
CF125;A34;23/12/2019_12:23:12;1790.7 > 
CF125;A34;23/12/2019_12:38:00;1946.3 > 
CF125;A34;23/12/2019_12:53:15;2113.6 > 
CF125;A34;23/12/2019_13:08:26;2277.4 > 
CF125;A34;23/12/2019_13:23:33;2437 > 
CF125;A34;23/12/2019_13:38:38;2597.7 > 
CF125;A34;23/12/2019_13:53:23;2706.4 > 
CF125;A34;23/12/2019_14:08:34;2706.4 > 
CF125;A34;23/12/2019_14:23:05;2706.4 > 
CF125;A34;23/12/2019_14:38:15;2706.4 > 
CF125;A34;23/12/2019_14:53:26;2706.4 > 
CF125;A34;23/12/2019_15:08:37;2706.4 > 
CF125;A34;23/12/2019_15:23:08;2706.4 > 
CF125;A34;23/12/2019_15:38:19;2706.4 > 
CF125;A34;24/12/2019_08:28:17;164.9 > 
CF125;A34;24/12/2019_08:43:36;328.2 > 
CF125;A34;24/12/2019_09:00:15;490.3 > 
CF125;A34;24/12/2019_09:13:38;620.1 > 
CF125;A34;24/12/2019_09:28:06;767.4 > 
CF125;A34;24/12/2019_09:43:06;912.3 > 
CF125;A34;24/12/2019_10:00:13;1078 > 
CF125;A34;24/12/2019_10:13:20;1212.1 > 
CF125;A34;24/12/2019_10:28:35;1382.8 > 
CF125;A34;24/12/2019_10:43:02;1547.1 > 
CF125;A34;24/12/2019_11:00:17;1716.7 > 
CF125;A34;24/12/2019_11:13:23;1839.9 > 
CF125;A34;24/12/2019_11:28:11;1987 > 
CF125;A34;24/12/2019_11:43:18;2140.8 > 
CF125;A34;24/12/2019_12:00:39;2321.2 > 
CF125;A34;24/12/2019_12:13:28;2442.8 > 
CF125;A34;24/12/2019_12:28:36;2592.3 > 
CF125;A34;24/12/2019_12:43:27;2731.3 > 
CF125;A34;24/12/2019_13:00:24;2896.4 > 
CF125;A34;24/12/2019_13:13:24;3025.5 > 
CF125;A34;24/12/2019_13:28:40;3178.9 > 
CF125;A34;24/12/2019_13:43:36;3328.4 > 
CF125;A34;24/12/2019_14:00:02;3501 > 
CF125;A34;24/12/2019_14:13:38;3642.9 > 
CF125;A34;24/12/2019_14:28:35;3800.5 > 
CF125;A34;24/12/2019_14:43:19;3955.6 > 
CF125;A34;24/12/2019_15:00:10;4133.1 > 
CF125;A34;24/12/2019_15:13:35;4270.6 > 
CF125;A34;24/12/2019_15:28:10;4358.3 > 
CF125;A34;25/12/2019_08:28:12;156.9 > 
CF125;A34;25/12/2019_08:30:04;161.4 > 
CF125;A34;25/12/2019_08:43:15;313.1 > 
CF125;A34;25/12/2019_09:00:25;528.1 > 
CF125;A34;25/12/2019_09:15:17;546.1 > 
CF125;A34;25/12/2019_09:28:09;667.3 > 
CF125;A34;25/12/2019_09:43:02;854.3 > 
CF125;A34;25/12/2019_10:00:11;1059.9 > 
CF125;A34;25/12/2019_10:13:34;1213.1 > 
CF125;A34;25/12/2019_10:28:21;1368 > 
CF125;A34;25/12/2019_10:43:27;1466.6 > 
CF125;A34;25/12/2019_11:00:59;1479.3 > 
CF125;A34;25/12/2019_11:13:03;1554.7 > 
CF125;A34;25/12/2019_11:28:13;1749.8 > 
CF125;A34;25/12/2019_11:43:37;1945.5 > 
CF125;A34;25/12/2019_12:00:32;2152.9 > 
CF125;A34;25/12/2019_12:13:16;2309.2 > 
CF125;A34;25/12/2019_12:28:03;2497.3 > 
CF125;A34;25/12/2019_12:43:24;2691.8 > 
CF125;A34;25/12/2019_13:00:05;2899.3 > 
CF125;A34;25/12/2019_13:13:18;3068 > 
CF125;A34;25/12/2019_13:28:28;3261 > 
CF125;A34;25/12/2019_13:43:04;3446.5 > 
CF125;A34;25/12/2019_14:00:21;3666.2 > 
CF125;A34;25/12/2019_14:13:25;3832.7 > 
