Compteur_Code;Alarme_Code;Time;AlarmeCondition
CG1;A40;20/12/2019_08:53:35;386 > 
CG1;A40;20/12/2019_08:54:45;386 > 
CG1;A39;20/12/2019_09:08:38;616 > 
CG1;A40;20/12/2019_09:23:16;986 > 
CG1;A39;20/12/2019_09:38:04;1214 > 
CG1;A40;20/12/2019_09:53:02;1214 > 
CG1;A39;20/12/2019_10:08:12;1214 > 
CG1;A40;20/12/2019_10:23:23;1214 > 
CG1;A39;20/12/2019_10:38:34;1214 > 
CG1;A40;20/12/2019_10:53:36;1214 > 
CG1;A39;20/12/2019_11:08:07;1214 > 
CG1;A40;20/12/2019_11:23:02;1456 > 
CG1;A39;20/12/2019_11:38:08;1816 > 
CG1;A40;20/12/2019_11:53:31;2202 > 
CG1;A39;20/12/2019_12:08:37;2586 > 
CG1;A40;20/12/2019_12:23:07;2946 > 
CG1;A39;20/12/2019_12:38:17;3310 > 
CG1;A40;20/12/2019_12:53:34;3672 > 
CG1;A39;20/12/2019_13:08:18;4032 > 
CG1;A40;20/12/2019_13:23:31;4406 > 
CG1;A39;21/12/2019_09:28:31;326 > 
CG1;A40;21/12/2019_09:28:31;326 > 
CG1;A39;21/12/2019_10:00:06;1104 > 
CG1;A40;21/12/2019_10:00:06;1104 > 
CG1;A39;21/12/2019_10:28:19;1814 > 
CG1;A40;21/12/2019_10:28:19;1814 > 
CG1;A39;21/12/2019_11:00:21;2614 > 
CG1;A40;21/12/2019_11:00:21;2614 > 
CG1;A39;21/12/2019_11:28:09;3296 > 
CG1;A40;21/12/2019_11:28:09;3298 > 
CG1;A39;21/12/2019_12:00:01;4108 > 
CG1;A40;21/12/2019_12:00:01;4108 > 
CG1;A39;23/12/2019_08:28:09;100 > 
CG1;A40;23/12/2019_08:28:09;100 > 
CG1;A39;23/12/2019_09:00:31;826 > 
CG1;A40;23/12/2019_09:00:31;826 > 
CG1;A39;23/12/2019_09:28:06;1476 > 
CG1;A40;23/12/2019_09:28:06;1476 > 
CG1;A39;23/12/2019_10:00:03;572 > 
CG1;A40;23/12/2019_10:00:03;572 > 
CG1;A39;23/12/2019_10:28:26;1210 > 
CG1;A40;23/12/2019_10:28:27;1210 > 
CG1;A39;23/12/2019_11:00:30;1868 > 
CG1;A40;23/12/2019_11:00:30;1868 > 
CG1;A39;23/12/2019_11:28:27;2430 > 
CG1;A40;23/12/2019_11:28:28;2430 > 
CG1;A39;23/12/2019_12:00:30;3112 > 
CG1;A40;23/12/2019_12:00:30;3112 > 
CG1;A39;23/12/2019_12:28:04;3680 > 
CG1;A40;23/12/2019_12:28:04;3680 > 
CG1;A39;23/12/2019_13:00:28;4374 > 
CG1;A40;23/12/2019_13:00:29;4374 > 
CG1;A39;23/12/2019_13:28:25;4982 > 
CG1;A40;23/12/2019_13:28:25;4982 > 
CG1;A39;23/12/2019_14:00:33;5412 > 
CG1;A40;23/12/2019_14:00:33;5412 > 
CG1;A39;23/12/2019_14:28:15;5412 > 
CG1;A40;23/12/2019_14:28:15;5412 > 
CG1;A39;23/12/2019_15:00:06;5412 > 
CG1;A40;23/12/2019_15:00:07;5412 > 
CG1;A39;23/12/2019_15:28:28;5412 > 
CG1;A40;23/12/2019_15:28:28;5412 > 
CG1;A39;24/12/2019_08:28:16;328 > 
CG1;A40;24/12/2019_08:28:17;328 > 
CG1;A39;24/12/2019_09:00:15;978 > 
CG1;A40;24/12/2019_09:00:15;978 > 
CG1;A39;24/12/2019_09:28:05;1532 > 
CG1;A40;24/12/2019_09:28:06;1532 > 
CG1;A39;24/12/2019_10:00:12;2154 > 
CG1;A40;24/12/2019_10:00:13;2154 > 
CG1;A39;24/12/2019_10:28:35;2764 > 
CG1;A40;24/12/2019_10:28:35;2764 > 
CG1;A39;24/12/2019_11:00:17;3432 > 
CG1;A40;24/12/2019_11:00:18;3432 > 
CG1;A39;24/12/2019_11:28:11;3972 > 
CG1;A40;24/12/2019_11:28:11;3972 > 
CG1;A39;24/12/2019_12:00:39;4640 > 
CG1;A40;24/12/2019_12:00:39;4640 > 
CG1;A39;24/12/2019_12:28:35;5182 > 
CG1;A40;24/12/2019_12:28:36;5182 > 
CG1;A39;24/12/2019_13:00:24;5790 > 
CG1;A40;24/12/2019_13:00:25;5792 > 
CG1;A39;24/12/2019_13:28:39;6356 > 
CG1;A40;24/12/2019_13:28:40;6356 > 
CG1;A39;24/12/2019_14:00:02;7000 > 
CG1;A40;24/12/2019_14:00:02;7000 > 
CG1;A39;24/12/2019_14:28:35;7600 > 
CG1;A40;24/12/2019_14:28:35;7600 > 
CG1;A39;24/12/2019_15:00:10;8264 > 
CG1;A40;24/12/2019_15:00:10;8264 > 
CG1;A39;24/12/2019_15:28:09;8716 > 
CG1;A40;24/12/2019_15:28:10;8716 > 
CG1;A39;25/12/2019_08:28:12;312 > 
CG1;A40;25/12/2019_08:28:13;312 > 
CG1;A39;25/12/2019_08:30:04;322 > 
CG1;A40;25/12/2019_08:30:04;322 > 
CG1;A39;25/12/2019_09:00:24;1054 > 
CG1;A40;25/12/2019_09:00:25;1054 > 
CG1;A39;25/12/2019_09:28:08;1332 > 
CG1;A40;25/12/2019_09:28:09;1332 > 
CG1;A39;25/12/2019_10:00:05;2116 > 
CG1;A40;25/12/2019_10:00:13;2118 > 
CG1;A39;25/12/2019_10:28:18;2732 > 
CG1;A40;25/12/2019_10:28:21;2734 > 
CG1;A39;25/12/2019_11:00:57;4437 > 
CG1;A40;25/12/2019_11:00:59;4437 > 
CG1;A39;25/12/2019_11:28:11;3498 > 
CG1;A40;25/12/2019_11:28:13;3498 > 
CG1;A39;25/12/2019_12:00:32;4304 > 
CG1;A40;25/12/2019_12:00:32;4304 > 
CG1;A39;25/12/2019_12:28:03;4992 > 
CG1;A40;25/12/2019_12:28:03;4992 > 
CG1;A39;25/12/2019_13:00:04;5796 > 
CG1;A40;25/12/2019_13:00:05;5796 > 
CG1;A39;25/12/2019_13:28:27;6520 > 
CG1;A40;25/12/2019_13:28:28;6520 > 
CG1;A39;25/12/2019_14:00:21;7330 > 
CG1;A40;25/12/2019_14:00:21;7330 > 
CG1;A39;25/12/2019_14:28:13;8038 > 
CG1;A40;25/12/2019_14:28:18;8040 > 
CG1;A39;25/12/2019_15:00:39;8860 > 
CG1;A40;25/12/2019_15:00:39;8862 > 
CG1;A39;26/12/2019_09:00:21;1220 > 
CG1;A40;26/12/2019_09:00:22;1220 > 
CG1;A39;26/12/2019_09:28:01;1888 > 
CG1;A40;26/12/2019_09:28:01;1888 > 
CG1;A39;26/12/2019_10:00:11;2664 > 
CG1;A40;26/12/2019_10:00:11;2664 > 
CG1;A39;26/12/2019_10:28:12;3342 > 
CG1;A40;26/12/2019_10:28:12;3342 > 
CG1;A39;26/12/2019_11:00:04;4098 > 
CG1;A40;26/12/2019_11:00:05;4098 > 
CG1;A39;26/12/2019_11:28:27;4776 > 
CG1;A40;26/12/2019_11:28:28;4776 > 
CG1;A39;26/12/2019_12:00:34;5536 > 
CG1;A40;26/12/2019_12:00:35;5536 > 
CG1;A39;26/12/2019_12:28:26;6198 > 
CG1;A40;26/12/2019_12:28:26;6198 > 
CG1;A39;26/12/2019_13:00:01;6962 > 
CG1;A40;26/12/2019_13:00:01;6964 > 
CG1;A39;26/12/2019_13:28:13;7634 > 
CG1;A40;26/12/2019_13:28:13;7634 > 
CG1;A39;26/12/2019_14:00:34;8436 > 
CG1;A40;26/12/2019_14:00:34;8436 > 
CG1;A39;26/12/2019_14:28:05;9122 > 
CG1;A40;26/12/2019_14:28:05;9122 > 
CG1;A39;26/12/2019_15:00:31;9924 > 
CG1;A40;26/12/2019_15:00:31;9924 > 
CG1;A39;26/12/2019_15:28:03;10312 > 
CG1;A40;26/12/2019_15:28:03;10312 > 
CG1;A39;26/12/2019_16:00:26;10312 > 
CG1;A40;26/12/2019_16:00:26;10312 > 
CG1;A39;27/12/2019_08:28:06;352 > 
CG1;A40;27/12/2019_08:28:07;352 > 
CG1;A39;27/12/2019_09:00:07;1134 > 
CG1;A40;27/12/2019_09:00:07;1134 > 
CG1;A39;27/12/2019_09:28:37;1670 > 
CG1;A40;27/12/2019_09:28:37;1670 > 
CG1;A39;27/12/2019_10:00:02;2466 > 
CG1;A40;27/12/2019_10:00:03;2468 > 
CG1;A39;27/12/2019_10:28:08;3160 > 
CG1;A40;27/12/2019_10:28:08;3160 > 
CG1;A39;27/12/2019_11:00:25;3958 > 
CG1;A40;27/12/2019_11:00:26;3958 > 
CG1;A39;27/12/2019_11:28:11;4644 > 
CG1;A40;27/12/2019_11:28:11;4644 > 
CG1;A39;27/12/2019_12:00:05;5406 > 
CG1;A40;27/12/2019_12:00:05;5406 > 
CG1;A39;27/12/2019_12:28:03;6088 > 
CG1;A40;27/12/2019_12:28:03;6088 > 
CG1;A39;27/12/2019_13:00:00;6842 > 
CG1;A40;27/12/2019_13:00:00;6842 > 
CG1;A39;27/12/2019_13:28:03;7526 > 
CG1;A40;27/12/2019_13:28:03;7526 > 
CG1;A39;28/12/2019_10:00:21;456 > 
CG1;A40;28/12/2019_10:00:21;456 > 
CG1;A39;28/12/2019_10:28:38;804 > 
CG1;A40;28/12/2019_10:28:38;804 > 
CG1;A39;28/12/2019_11:00:01;1588 > 
CG1;A40;28/12/2019_11:00:01;1588 > 
CG1;A39;28/12/2019_11:28:29;2252 > 
CG1;A40;28/12/2019_11:28:29;2252 > 
CG1;A39;28/12/2019_12:00:04;3016 > 
CG1;A40;28/12/2019_12:00:04;3016 > 
CG1;A39;28/12/2019_12:28:25;3704 > 
CG1;A40;28/12/2019_12:28:25;3704 > 
CG1;A39;30/12/2019_08:28:26;4286 > 
CG1;A40;30/12/2019_08:28:27;4286 > 
CG1;A39;30/12/2019_09:00:30;5034 > 
CG1;A40;30/12/2019_09:00:32;5036 > 
CG1;A39;30/12/2019_09:28:20;5498 > 
CG1;A40;30/12/2019_09:28:20;5498 > 
CG1;A39;30/12/2019_10:00:12;5498 > 
CG1;A40;30/12/2019_10:00:12;5498 > 
CG1;A39;30/12/2019_11:00:11;504 > 
CG1;A40;30/12/2019_11:00:15;504 > 
CG1;A39;30/12/2019_11:28:35;1114 > 
CG1;A40;30/12/2019_11:28:35;1116 > 
CG1;A39;30/12/2019_12:00:15;1802 > 
CG1;A40;30/12/2019_12:00:16;1802 > 
CG1;A39;30/12/2019_16:00:35;176 > 
CG1;A39;30/12/2019_16:28:18;862 > 
CG1;A39;31/12/2019_08:28:21;376 > 
