Compteur_Code;Alarme_Code;Time;AlarmeCondition
CGB1;A41;20/12/2019_08:53:35;193.3 > 
CGB1;A41;20/12/2019_08:54:45;193.3 > 
CGB1;A41;20/12/2019_09:13:09;366.1 > 
CGB1;A41;20/12/2019_09:34:04;607.6 > 
CGB1;A41;20/12/2019_09:53:02;607.6 > 
CGB1;A41;20/12/2019_10:13:32;607.6 > 
CGB1;A41;20/12/2019_10:33:14;607.6 > 
CGB1;A41;20/12/2019_10:53:36;607.6 > 
CGB1;A41;20/12/2019_11:13:18;616.7 > 
CGB1;A41;20/12/2019_11:33:11;846.5 > 
CGB1;A41;20/12/2019_11:53:31;1102.3 > 
CGB1;A41;20/12/2019_12:13:10;1350.2 > 
CGB1;A41;20/12/2019_12:33:06;1593.7 > 
CGB1;A41;20/12/2019_12:53:34;1836.8 > 
CGB1;A41;20/12/2019_13:13:29;2080.7 > 
CGB1;A41;21/12/2019_09:28:31;163.7 > 
CGB1;A41;21/12/2019_09:48:21;408.8 > 
CGB1;A41;21/12/2019_10:08:26;653.9 > 
CGB1;A41;21/12/2019_10:28:19;907.6 > 
CGB1;A41;21/12/2019_10:48:15;1156.8 > 
CGB1;A41;21/12/2019_11:08:12;1404.5 > 
CGB1;A41;21/12/2019_11:28:09;1649.8 > 
CGB1;A41;21/12/2019_11:48:27;1908.2 > 
CGB1;A41;23/12/2019_08:28:09;50.1 > 
CGB1;A41;23/12/2019_08:48:13;285.4 > 
CGB1;A41;23/12/2019_09:08:25;507.6 > 
CGB1;A41;23/12/2019_09:28:06;738.9 > 
CGB1;A41;23/12/2019_09:48:24;155.2 > 
CGB1;A41;23/12/2019_10:08:25;384.9 > 
CGB1;A41;23/12/2019_10:28:27;606 > 
CGB1;A41;23/12/2019_10:48:03;808.5 > 
CGB1;A41;23/12/2019_11:08:36;1016.9 > 
CGB1;A41;23/12/2019_11:28:28;1216.1 > 
CGB1;A41;23/12/2019_11:48:35;1425.4 > 
CGB1;A41;23/12/2019_12:08:35;1639.8 > 
CGB1;A41;23/12/2019_12:28:04;1840.7 > 
CGB1;A41;23/12/2019_12:48:12;2059.3 > 
CGB1;A41;23/12/2019_13:08:26;2277.7 > 
CGB1;A41;23/12/2019_13:28:25;2491.7 > 
