Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHC11;A61;7/7/2020_12:43:23;57 > 
CHC11;A61;7/7/2020_13:00:25;72 > 
CHC11;A61;7/7/2020_13:13:10;54 > 
CHC11;A61;7/7/2020_13:28:21;45 > 
CHC11;A61;7/7/2020_13:43:11;66 > 
CHC11;A61;7/7/2020_14:00:13;62 > 
CHC11;A61;7/7/2020_14:13:27;54 > 
CHC11;A61;7/7/2020_14:28:28;41 > 
CHC11;A61;7/7/2020_14:43:13;77 > 
CHC11;A61;7/7/2020_15:00:33;78 > 
CHC11;A61;7/7/2020_15:13:23;79 > 
CHC11;A99;13/7/2020_10:18:23;76 > 
CHC11;A214;13/7/2020_10:18:23;77 > 
CHC11;A99;13/7/2020_10:33:31;78 > 
CHC11;A214;13/7/2020_10:33:43;79 > 
CHC11;A99;13/7/2020_10:48:21;82 > 
CHC11;A214;13/7/2020_10:48:22;83 > 
CHC11;A99;13/7/2020_11:03:41;43 > 
CHC11;A214;13/7/2020_11:03:41;44 > 
CHC11;A99;13/7/2020_11:18:37;53 > 
CHC11;A214;13/7/2020_11:18:37;54 > 
CHC11;A99;13/7/2020_11:33:00;81 > 
CHC11;A214;13/7/2020_11:33:10;49 > 
CHC11;A99;13/7/2020_11:48:25;65 > 
CHC11;A214;13/7/2020_11:48:25;66 > 
CHC11;A99;13/7/2020_12:03:30;72 > 
CHC11;A214;13/7/2020_12:03:30;73 > 
CHC11;A99;13/7/2020_12:18:32;77 > 
CHC11;A214;13/7/2020_12:18:32;78 > 
CHC11;A58;13/7/2020_12:33:07;54 >= 
CHC11;A58;13/7/2020_12:48:35;79 >= 
CHC11;A58;13/7/2020_13:03:17;47 >= 
CHC11;A58;13/7/2020_13:18:28;77 >= 
CHC11;A58;13/7/2020_13:33:39;47 >= 
CHC11;A58;13/7/2020_13:48:10;82 >= 
CHC11;A58;13/7/2020_14:03:15;75 >= 
CHC11;A58;13/7/2020_15:28:07;52 >= 
CHC11;A58;13/7/2020_15:43:36;82 >= 
CHC11;A58;13/7/2020_16:00:36;44 >= 
CHC11;A58;13/7/2020_16:13:14;64 >= 
CHC11;A58;13/7/2020_16:28:25;59 >= 
CHC11;A58;13/7/2020_16:43:30;78 >= 
CHC11;A58;13/7/2020_17:00:39;65 >= 
CHC11;A58;13/7/2020_17:13:10;42 >= 
CHC11;A58;13/7/2020_17:28:21;42 >= 
CHC11;A58;13/7/2020_17:43:32;88 >= 
CHC11;A58;13/7/2020_18:00:30;63 >= 
CHC11;A58;13/7/2020_18:13:34;82 >= 
CHC11;A58;13/7/2020_18:28:41;60 >= 
CHC11;A58;13/7/2020_18:43:04;79 >= 
CHC11;A58;13/7/2020_19:00:09;76 >= 
CHC11;A58;13/7/2020_19:13:29;83 >= 
CHC11;A58;13/7/2020_19:28:00;55 >= 
CHC11;A58;13/7/2020_19:43:11;47 >= 
CHC11;A58;13/7/2020_20:00:17;83 >= 
CHC11;A58;13/7/2020_20:13:28;52 >= 
CHC11;A58;13/7/2020_20:28:39;45 >= 
CHC11;A58;13/7/2020_20:43:10;61 >= 
CHC11;A58;13/7/2020_21:00:21;84 >= 
CHC11;A58;13/7/2020_21:13:02;62 >= 
CHC11;A58;13/7/2020_21:28:13;53 >= 
CHC11;A58;13/7/2020_21:43:24;88 >= 
CHC11;A58;13/7/2020_22:00:26;88 >= 
CHC11;A58;13/7/2020_22:13:07;85 >= 
CHC11;A58;13/7/2020_22:28:08;70 >= 
CHC11;A58;13/7/2020_22:43:19;77 >= 
CHC11;A58;13/7/2020_23:00:22;75 >= 
CHC11;A58;13/7/2020_23:13:33;47 >= 
CHC11;A58;13/7/2020_23:28:04;50 >= 
CHC11;A58;13/7/2020_23:43:15;58 >= 
CHC11;A58;14/7/2020_00:00:17;68 >= 
CHC11;A58;14/7/2020_00:13:38;51 >= 
CHC11;A58;14/7/2020_00:28:19;41 >= 
CHC11;A58;14/7/2020_00:43:30;63 >= 
CHC11;A58;14/7/2020_01:00:01;68 >= 
CHC11;A58;14/7/2020_01:13:12;77 >= 
CHC11;A58;14/7/2020_01:28:23;75 >= 
CHC11;A58;14/7/2020_01:43:34;83 >= 
CHC11;A58;14/7/2020_02:00:28;83 >= 
CHC11;A58;14/7/2020_02:13:09;60 >= 
CHC11;A58;14/7/2020_02:28:20;88 >= 
CHC11;A58;14/7/2020_02:43:01;44 >= 
CHC11;A58;14/7/2020_03:00:12;68 >= 
CHC11;A58;14/7/2020_03:13:33;76 >= 
CHC11;A58;14/7/2020_03:28:14;76 >= 
CHC11;A58;14/7/2020_03:43:25;47 >= 
CHC11;A58;14/7/2020_04:00:36;51 >= 
CHC11;A58;14/7/2020_04:13:07;54 >= 
CHC11;A58;14/7/2020_04:28:19;60 >= 
CHC11;A58;14/7/2020_04:43:20;78 >= 
CHC11;A58;14/7/2020_05:00:33;81 >= 
CHC11;A58;14/7/2020_05:13:14;79 >= 
CHC11;A58;14/7/2020_05:28:25;78 >= 
CHC11;A58;14/7/2020_05:43:27;49 >= 
CHC11;A58;14/7/2020_06:00:08;49 >= 
CHC11;A58;14/7/2020_06:13:19;82 >= 
CHC11;A58;14/7/2020_06:28:30;44 >= 
CHC11;A58;14/7/2020_06:43:11;46 >= 
CHC11;A58;14/7/2020_07:00:22;51 >= 
CHC11;A58;14/7/2020_07:13:33;55 >= 
CHC11;A58;14/7/2020_07:28:04;45 >= 
CHC11;A58;14/7/2020_07:43:15;78 >= 
