Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHC1A;A53;7/7/2020_12:28:51;72 > 
CHC1A;A53;7/7/2020_12:43:23;53 > 
CHC1A;A53;7/7/2020_13:00:25;71 > 
CHC1A;A53;7/7/2020_13:13:10;69 > 
CHC1A;A53;7/7/2020_13:28:21;72 > 
CHC1A;A53;7/7/2020_13:43:11;87 > 
CHC1A;A53;7/7/2020_14:00:13;77 > 
CHC1A;A53;7/7/2020_14:13:27;57 > 
CHC1A;A53;7/7/2020_14:28:28;62 > 
CHC1A;A53;7/7/2020_14:43:13;66 > 
CHC1A;A53;7/7/2020_15:00:33;67 > 
CHC1A;A53;7/7/2020_15:13:23;68 > 
CHC1A;A53;8/7/2020_08:21:43;70 > 
CHC1A;A53;8/7/2020_08:35:11;76 > 
CHC1A;A53;8/7/2020_09:30:56;43 > 
CHC1A;A53;8/7/2020_09:45:38;58 > 
CHC1A;A53;8/7/2020_09:53:43;59 > 
CHC1A;A53;8/7/2020_10:55:36;60 > 
CHC1A;A53;8/7/2020_11:10:33;59 > 
CHC1A;A53;8/7/2020_11:25:21;45 > 
CHC1A;A53;8/7/2020_11:26:01;46 > 
CHC1A;A53;8/7/2020_11:40:35;47 > 
CHC1A;A53;8/7/2020_11:55:14;48 > 
CHC1A;A53;8/7/2020_12:10:16;49 > 
CHC1A;A53;8/7/2020_12:25:09;50 > 
CHC1A;A53;8/7/2020_12:40:02;51 > 
CHC1A;A53;8/7/2020_12:55:35;52 > 
CHC1A;A53;8/7/2020_13:10:28;53 > 
CHC1A;A53;8/7/2020_13:25:29;54 > 
CHC1A;A53;8/7/2020_13:40:01;55 > 
CHC1A;A53;8/7/2020_13:55:35;56 > 
CHC1A;A53;8/7/2020_14:10:28;57 > 
CHC1A;A53;8/7/2020_14:25:31;87 > 
CHC1A;A53;8/7/2020_14:40:23;70 > 
CHC1A;A53;8/7/2020_14:55:21;86 > 
CHC1A;A153;13/7/2020_10:13:23;73 > 
CHC1A;A53;13/7/2020_10:18:23;81 > 
CHC1A;A210;13/7/2020_10:18:23;82 > 
CHC1A;A53;13/7/2020_10:33:31;83 > 
CHC1A;A153;13/7/2020_10:33:31;84 > 
CHC1A;A210;13/7/2020_10:33:43;84 > 
CHC1A;A53;13/7/2020_10:48:21;59 > 
CHC1A;A210;13/7/2020_10:48:22;60 > 
CHC1A;A153;13/7/2020_10:53:33;52 > 
CHC1A;A53;13/7/2020_11:03:41;58 > 
CHC1A;A210;13/7/2020_11:03:41;59 > 
CHC1A;A153;13/7/2020_11:13:03;47 > 
CHC1A;A53;13/7/2020_11:18:37;86 > 
CHC1A;A210;13/7/2020_11:18:37;87 > 
CHC1A;A53;13/7/2020_11:33:00;79 > 
CHC1A;A153;13/7/2020_11:33:01;80 > 
CHC1A;A210;13/7/2020_11:33:10;53 > 
CHC1A;A53;13/7/2020_11:48:25;53 >= 
CHC1A;A210;13/7/2020_11:48:25;54 > 
CHC1A;A153;13/7/2020_11:53:04;63 > 
CHC1A;A53;13/7/2020_12:03:30;63 >= 
CHC1A;A210;13/7/2020_12:03:30;64 > 
CHC1A;A153;13/7/2020_12:13:29;80 > 
CHC1A;A53;13/7/2020_12:18:32;61 >= 
CHC1A;A210;13/7/2020_12:18:32;62 > 
CHC1A;A53;13/7/2020_12:33:07;50 >= 
CHC1A;A53;13/7/2020_12:48:35;50 >= 
CHC1A;A53;13/7/2020_13:03:17;83 >= 
CHC1A;A53;13/7/2020_13:18:28;61 >= 
CHC1A;A53;13/7/2020_13:33:39;46 >= 
CHC1A;A53;13/7/2020_13:48:10;74 >= 
CHC1A;A53;13/7/2020_14:03:14;50 >= 
CHC1A;A53;13/7/2020_15:28:07;82 >= 
CHC1A;A53;13/7/2020_15:43:36;79 >= 
CHC1A;A53;13/7/2020_16:00:26;83 >= 
CHC1A;A53;13/7/2020_16:13:06;65 >= 
CHC1A;A53;13/7/2020_16:28:18;43 >= 
CHC1A;A53;13/7/2020_16:43:30;41 >= 
CHC1A;A53;13/7/2020_17:00:39;84 >= 
CHC1A;A53;13/7/2020_17:13:10;65 >= 
CHC1A;A53;13/7/2020_17:28:21;50 >= 
CHC1A;A53;13/7/2020_17:43:32;56 >= 
CHC1A;A53;13/7/2020_18:00:18;80 >= 
CHC1A;A53;13/7/2020_18:13:27;59 >= 
CHC1A;A53;13/7/2020_18:28:32;82 >= 
CHC1A;A53;13/7/2020_18:43:03;82 >= 
