Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHC1B;A56;7/7/2020_12:43:23;54 > 
CHC1B;A56;7/7/2020_13:00:25;55 > 
CHC1B;A56;7/7/2020_13:13:10;73 > 
CHC1B;A56;7/7/2020_13:28:21;55 > 
CHC1B;A56;7/7/2020_13:43:11;67 > 
CHC1B;A56;7/7/2020_14:00:13;86 > 
CHC1B;A56;7/7/2020_14:13:27;76 > 
CHC1B;A56;7/7/2020_14:28:28;55 > 
CHC1B;A56;7/7/2020_14:43:13;70 > 
CHC1B;A56;7/7/2020_15:00:33;71 > 
CHC1B;A56;7/7/2020_15:13:23;72 > 
CHC1B;A154;13/7/2020_10:13:34;57 > 
CHC1B;A95;13/7/2020_10:18:23;57 > 
CHC1B;A211;13/7/2020_10:18:23;58 > 
CHC1B;A95;13/7/2020_10:33:31;59 > 
CHC1B;A154;13/7/2020_10:33:43;60 > 
CHC1B;A211;13/7/2020_10:33:43;60 > 
CHC1B;A95;13/7/2020_10:48:21;61 > 
CHC1B;A211;13/7/2020_10:48:22;62 > 
CHC1B;A154;13/7/2020_10:53:41;89 > 
CHC1B;A95;13/7/2020_11:03:41;56 > 
CHC1B;A211;13/7/2020_11:03:41;57 > 
CHC1B;A154;13/7/2020_11:13:13;56 > 
CHC1B;A95;13/7/2020_11:18:37;78 > 
CHC1B;A211;13/7/2020_11:18:37;79 > 
CHC1B;A95;13/7/2020_11:33:00;51 > 
CHC1B;A154;13/7/2020_11:33:10;62 > 
CHC1B;A211;13/7/2020_11:33:10;62 > 
CHC1B;A95;13/7/2020_11:48:25;51 > 
CHC1B;A211;13/7/2020_11:48:25;52 > 
CHC1B;A154;13/7/2020_11:53:19;83 > 
CHC1B;A95;13/7/2020_12:03:30;66 > 
CHC1B;A211;13/7/2020_12:03:30;67 > 
CHC1B;A154;13/7/2020_12:13:41;52 > 
CHC1B;A95;13/7/2020_12:18:32;55 > 
CHC1B;A211;13/7/2020_12:18:32;56 > 
CHC1B;A54;13/7/2020_12:33:07;80 >= 
CHC1B;A54;13/7/2020_12:48:35;62 >= 
CHC1B;A54;13/7/2020_13:03:17;62 >= 
CHC1B;A54;13/7/2020_13:18:28;54 >= 
CHC1B;A54;13/7/2020_13:33:39;64 >= 
CHC1B;A54;13/7/2020_13:48:10;42 >= 
CHC1B;A54;13/7/2020_14:03:14;48 >= 
CHC1B;A54;13/7/2020_15:28:07;67 >= 
CHC1B;A54;13/7/2020_15:43:36;72 >= 
CHC1B;A54;13/7/2020_16:00:28;78 >= 
CHC1B;A54;13/7/2020_16:13:08;44 >= 
CHC1B;A54;13/7/2020_16:28:19;49 >= 
CHC1B;A54;13/7/2020_16:43:30;42 >= 
CHC1B;A54;13/7/2020_17:00:39;51 >= 
CHC1B;A54;13/7/2020_17:13:10;89 >= 
CHC1B;A54;13/7/2020_17:28:21;44 >= 
CHC1B;A54;13/7/2020_17:43:32;66 >= 
CHC1B;A54;13/7/2020_18:00:21;47 >= 
CHC1B;A54;13/7/2020_18:13:28;77 >= 
CHC1B;A54;13/7/2020_18:28:34;47 >= 
CHC1B;A54;13/7/2020_18:43:03;62 >= 
CHC1B;A54;13/7/2020_19:00:09;69 >= 
CHC1B;A54;13/7/2020_19:13:29;50 >= 
CHC1B;A54;13/7/2020_19:28:00;58 >= 
CHC1B;A54;13/7/2020_19:43:11;74 >= 
CHC1B;A54;13/7/2020_20:00:17;70 >= 
CHC1B;A54;13/7/2020_20:13:28;46 >= 
CHC1B;A54;13/7/2020_20:28:39;63 >= 
CHC1B;A54;13/7/2020_20:43:10;43 >= 
CHC1B;A54;13/7/2020_21:00:21;79 >= 
CHC1B;A54;13/7/2020_21:13:02;50 >= 
CHC1B;A54;13/7/2020_21:28:13;49 >= 
CHC1B;A54;13/7/2020_21:43:24;51 >= 
CHC1B;A54;13/7/2020_22:00:26;85 >= 
CHC1B;A54;13/7/2020_22:13:07;63 >= 
CHC1B;A54;13/7/2020_22:28:08;88 >= 
CHC1B;A54;13/7/2020_22:43:19;71 >= 
CHC1B;A54;13/7/2020_23:00:22;55 >= 
CHC1B;A54;13/7/2020_23:13:33;68 >= 
CHC1B;A54;13/7/2020_23:28:04;87 >= 
CHC1B;A54;13/7/2020_23:43:15;50 >= 
CHC1B;A54;14/7/2020_00:00:17;89 >= 
CHC1B;A54;14/7/2020_00:13:38;84 >= 
CHC1B;A54;14/7/2020_00:28:19;79 >= 
CHC1B;A54;14/7/2020_00:43:30;73 >= 
CHC1B;A54;14/7/2020_01:00:01;87 >= 
CHC1B;A54;14/7/2020_01:13:12;75 >= 
