Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHC1C;A57;7/7/2020_12:43:23;83 > 
CHC1C;A57;7/7/2020_13:00:25;61 > 
CHC1C;A57;7/7/2020_13:13:10;58 > 
CHC1C;A57;7/7/2020_13:28:21;80 > 
CHC1C;A57;7/7/2020_13:43:11;53 > 
CHC1C;A57;7/7/2020_14:00:13;88 > 
CHC1C;A57;7/7/2020_14:13:27;50 > 
CHC1C;A57;7/7/2020_14:28:28;49 > 
CHC1C;A57;7/7/2020_14:43:13;68 > 
CHC1C;A57;7/7/2020_15:00:33;69 > 
CHC1C;A57;7/7/2020_15:13:23;70 > 
CHC1C;A155;13/7/2020_10:13:34;53 > 
CHC1C;A96;13/7/2020_10:18:23;64 > 
CHC1C;A212;13/7/2020_10:18:23;65 > 
CHC1C;A96;13/7/2020_10:33:31;66 > 
CHC1C;A155;13/7/2020_10:33:43;67 > 
CHC1C;A212;13/7/2020_10:33:43;67 > 
CHC1C;A96;13/7/2020_10:48:21;44 > 
CHC1C;A212;13/7/2020_10:48:22;45 > 
CHC1C;A155;13/7/2020_10:53:41;54 > 
CHC1C;A96;13/7/2020_11:03:41;73 > 
CHC1C;A212;13/7/2020_11:03:41;74 > 
CHC1C;A155;13/7/2020_11:13:13;61 > 
CHC1C;A96;13/7/2020_11:18:37;51 > 
CHC1C;A212;13/7/2020_11:18:37;52 > 
CHC1C;A96;13/7/2020_11:33:00;69 > 
CHC1C;A155;13/7/2020_11:33:10;46 > 
CHC1C;A212;13/7/2020_11:33:10;46 > 
CHC1C;A96;13/7/2020_11:48:25;49 > 
CHC1C;A212;13/7/2020_11:48:25;50 > 
CHC1C;A155;13/7/2020_11:53:19;49 > 
CHC1C;A96;13/7/2020_12:03:30;54 > 
CHC1C;A212;13/7/2020_12:03:30;55 > 
CHC1C;A155;13/7/2020_12:13:41;50 > 
CHC1C;A96;13/7/2020_12:18:32;78 > 
CHC1C;A212;13/7/2020_12:18:32;79 > 
CHC1C;A55;13/7/2020_12:33:07;63 >= 
CHC1C;A55;13/7/2020_12:48:35;74 >= 
CHC1C;A55;13/7/2020_13:03:17;79 >= 
CHC1C;A55;13/7/2020_13:18:28;42 >= 
CHC1C;A55;13/7/2020_13:33:39;72 >= 
CHC1C;A55;13/7/2020_13:48:10;77 >= 
CHC1C;A55;13/7/2020_14:03:15;56 >= 
CHC1C;A55;13/7/2020_15:28:07;55 >= 
CHC1C;A55;13/7/2020_15:43:36;79 >= 
CHC1C;A55;13/7/2020_16:00:30;64 >= 
CHC1C;A55;13/7/2020_16:13:10;41 >= 
CHC1C;A55;13/7/2020_16:28:20;81 >= 
CHC1C;A55;13/7/2020_16:43:30;83 >= 
CHC1C;A55;13/7/2020_17:00:39;51 >= 
CHC1C;A55;13/7/2020_17:13:10;71 >= 
CHC1C;A55;13/7/2020_17:28:21;68 >= 
CHC1C;A55;13/7/2020_17:43:32;56 >= 
CHC1C;A55;13/7/2020_18:00:23;69 >= 
CHC1C;A55;13/7/2020_18:13:30;57 >= 
CHC1C;A55;13/7/2020_18:28:36;46 >= 
CHC1C;A55;13/7/2020_18:43:03;55 >= 
CHC1C;A55;13/7/2020_19:00:09;75 >= 
CHC1C;A55;13/7/2020_19:13:29;58 >= 
CHC1C;A55;13/7/2020_19:28:00;65 >= 
CHC1C;A55;13/7/2020_19:43:11;48 >= 
CHC1C;A55;13/7/2020_20:00:17;81 >= 
CHC1C;A55;13/7/2020_20:13:28;50 >= 
CHC1C;A55;13/7/2020_20:28:39;50 >= 
CHC1C;A55;13/7/2020_20:43:10;61 >= 
CHC1C;A55;13/7/2020_21:00:21;55 >= 
CHC1C;A55;13/7/2020_21:13:02;45 >= 
CHC1C;A55;13/7/2020_21:28:13;45 >= 
CHC1C;A55;13/7/2020_21:43:24;60 >= 
CHC1C;A55;13/7/2020_22:00:26;63 >= 
CHC1C;A55;13/7/2020_22:13:07;75 >= 
CHC1C;A55;13/7/2020_22:28:08;89 >= 
CHC1C;A55;13/7/2020_22:43:19;60 >= 
CHC1C;A55;13/7/2020_23:00:22;49 >= 
CHC1C;A55;13/7/2020_23:13:33;47 >= 
CHC1C;A55;13/7/2020_23:28:04;56 >= 
CHC1C;A55;13/7/2020_23:43:15;62 >= 
CHC1C;A55;14/7/2020_00:00:17;76 >= 
CHC1C;A55;14/7/2020_00:13:38;74 >= 
CHC1C;A55;14/7/2020_00:28:19;47 >= 
CHC1C;A55;14/7/2020_00:43:30;87 >= 
CHC1C;A55;14/7/2020_01:00:01;55 >= 
CHC1C;A55;14/7/2020_01:13:12;65 >= 
CHC1C;A55;14/7/2020_01:28:23;67 >= 
CHC1C;A55;14/7/2020_01:43:34;87 >= 
CHC1C;A55;14/7/2020_02:00:28;41 >= 
CHC1C;A55;14/7/2020_02:13:09;53 >= 
CHC1C;A55;14/7/2020_02:28:20;62 >= 
CHC1C;A55;14/7/2020_02:43:01;72 >= 
CHC1C;A55;14/7/2020_03:00:12;83 >= 
