Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHC1D;A58;7/7/2020_12:43:23;80 > 
CHC1D;A58;7/7/2020_13:00:25;56 > 
CHC1D;A58;7/7/2020_13:13:10;78 > 
CHC1D;A58;7/7/2020_13:28:21;42 > 
CHC1D;A58;7/7/2020_13:43:11;89 > 
CHC1D;A58;7/7/2020_14:00:13;80 > 
CHC1D;A58;7/7/2020_14:13:27;69 > 
CHC1D;A58;7/7/2020_14:28:28;46 > 
CHC1D;A58;7/7/2020_14:43:13;88 > 
CHC1D;A58;7/7/2020_15:00:33;89 > 
CHC1D;A58;7/7/2020_15:13:23;90 > 
CHC1D;A156;13/7/2020_10:13:34;61 > 
CHC1D;A97;13/7/2020_10:18:23;69 > 
CHC1D;A97;13/7/2020_10:33:31;70 > 
CHC1D;A156;13/7/2020_10:33:43;71 > 
CHC1D;A97;13/7/2020_10:48:21;46 > 
CHC1D;A156;13/7/2020_10:53:41;54 > 
CHC1D;A97;13/7/2020_11:03:41;73 > 
CHC1D;A156;13/7/2020_11:13:13;87 > 
CHC1D;A97;13/7/2020_11:18:37;79 > 
CHC1D;A97;13/7/2020_11:33:00;75 > 
CHC1D;A156;13/7/2020_11:33:10;70 > 
CHC1D;A97;13/7/2020_11:48:25;84 > 
CHC1D;A156;13/7/2020_11:53:19;73 > 
CHC1D;A97;13/7/2020_12:03:30;50 > 
CHC1D;A156;13/7/2020_12:13:41;52 > 
CHC1D;A97;13/7/2020_12:18:32;80 > 
CHC1D;A56;13/7/2020_12:33:07;61 >= 
CHC1D;A56;13/7/2020_12:48:35;72 >= 
CHC1D;A56;13/7/2020_13:03:17;41 >= 
CHC1D;A56;13/7/2020_13:18:28;42 >= 
CHC1D;A56;13/7/2020_13:33:39;70 >= 
CHC1D;A56;13/7/2020_13:48:10;59 >= 
CHC1D;A56;13/7/2020_14:03:15;62 >= 
CHC1D;A56;13/7/2020_15:28:07;45 >= 
CHC1D;A56;13/7/2020_15:43:36;64 >= 
CHC1D;A56;13/7/2020_16:00:32;47 >= 
CHC1D;A56;13/7/2020_16:13:12;57 >= 
CHC1D;A56;13/7/2020_16:28:21;81 >= 
CHC1D;A56;13/7/2020_16:43:30;68 >= 
CHC1D;A56;13/7/2020_17:00:39;69 >= 
CHC1D;A56;13/7/2020_17:13:10;41 >= 
CHC1D;A56;13/7/2020_17:28:21;49 >= 
CHC1D;A56;13/7/2020_17:43:32;62 >= 
CHC1D;A56;13/7/2020_18:00:25;78 >= 
CHC1D;A56;13/7/2020_18:13:32;70 >= 
CHC1D;A56;13/7/2020_18:28:37;87 >= 
CHC1D;A56;13/7/2020_18:43:03;70 >= 
CHC1D;A56;13/7/2020_19:00:09;72 >= 
CHC1D;A56;13/7/2020_19:13:29;66 >= 
CHC1D;A56;13/7/2020_19:28:00;58 >= 
CHC1D;A56;13/7/2020_19:43:11;60 >= 
CHC1D;A56;13/7/2020_20:00:17;67 >= 
CHC1D;A56;13/7/2020_20:13:28;71 >= 
CHC1D;A56;13/7/2020_20:28:39;42 >= 
CHC1D;A56;13/7/2020_20:43:10;66 >= 
CHC1D;A56;13/7/2020_21:00:21;72 >= 
CHC1D;A56;13/7/2020_21:13:02;48 >= 
CHC1D;A56;13/7/2020_21:28:13;79 >= 
CHC1D;A56;13/7/2020_21:43:24;57 >= 
CHC1D;A56;13/7/2020_22:00:26;45 >= 
CHC1D;A56;13/7/2020_22:13:07;83 >= 
CHC1D;A56;13/7/2020_22:28:08;47 >= 
CHC1D;A56;13/7/2020_22:43:19;75 >= 
CHC1D;A56;13/7/2020_23:00:22;59 >= 
CHC1D;A56;13/7/2020_23:13:33;47 >= 
CHC1D;A56;13/7/2020_23:28:04;51 >= 
CHC1D;A56;13/7/2020_23:43:15;78 >= 
CHC1D;A56;14/7/2020_00:00:17;68 >= 
CHC1D;A56;14/7/2020_00:13:38;80 >= 
CHC1D;A56;14/7/2020_00:28:19;72 >= 
CHC1D;A56;14/7/2020_00:43:30;48 >= 
CHC1D;A56;14/7/2020_01:00:01;81 >= 
CHC1D;A56;14/7/2020_01:13:12;52 >= 
CHC1D;A56;14/7/2020_01:28:23;75 >= 
CHC1D;A56;14/7/2020_01:43:34;87 >= 
