Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHC1E;A59;7/7/2020_12:43:23;84 > 
CHC1E;A59;7/7/2020_13:00:25;61 > 
CHC1E;A59;7/7/2020_13:13:10;73 > 
CHC1E;A59;7/7/2020_13:28:21;61 > 
CHC1E;A59;7/7/2020_13:43:11;64 > 
CHC1E;A59;7/7/2020_14:00:13;72 > 
CHC1E;A59;7/7/2020_14:13:27;68 > 
CHC1E;A59;7/7/2020_14:28:28;50 > 
CHC1E;A59;7/7/2020_14:43:13;71 > 
CHC1E;A59;7/7/2020_15:00:33;72 > 
CHC1E;A59;7/7/2020_15:13:23;73 > 
CHC1E;A157;13/7/2020_10:13:34;65 > 
CHC1E;A98;13/7/2020_10:18:23;88 > 
CHC1E;A213;13/7/2020_10:18:23;89 > 
CHC1E;A98;13/7/2020_10:33:31;90 > 
CHC1E;A157;13/7/2020_10:33:43;91 > 
CHC1E;A213;13/7/2020_10:33:43;91 > 
CHC1E;A98;13/7/2020_10:48:21;51 > 
CHC1E;A213;13/7/2020_10:48:22;52 > 
CHC1E;A157;13/7/2020_10:53:41;79 > 
CHC1E;A98;13/7/2020_11:03:41;61 > 
CHC1E;A213;13/7/2020_11:03:41;62 > 
CHC1E;A157;13/7/2020_11:13:13;47 > 
CHC1E;A98;13/7/2020_11:18:37;87 > 
CHC1E;A213;13/7/2020_11:18:37;88 > 
CHC1E;A98;13/7/2020_11:33:00;88 > 
CHC1E;A157;13/7/2020_11:33:10;64 > 
CHC1E;A213;13/7/2020_11:33:10;64 > 
CHC1E;A98;13/7/2020_11:48:25;44 > 
CHC1E;A213;13/7/2020_11:48:25;45 > 
CHC1E;A157;13/7/2020_11:53:19;48 > 
CHC1E;A98;13/7/2020_12:03:30;79 > 
CHC1E;A213;13/7/2020_12:03:30;80 > 
CHC1E;A157;13/7/2020_12:13:41;89 > 
CHC1E;A98;13/7/2020_12:18:32;60 > 
CHC1E;A213;13/7/2020_12:18:32;61 > 
CHC1E;A57;13/7/2020_12:33:07;58 >= 
CHC1E;A57;13/7/2020_12:48:35;47 >= 
CHC1E;A57;13/7/2020_13:03:17;52 >= 
CHC1E;A57;13/7/2020_13:18:28;69 >= 
CHC1E;A57;13/7/2020_13:33:39;63 >= 
CHC1E;A57;13/7/2020_13:48:10;59 >= 
CHC1E;A57;13/7/2020_14:03:15;47 >= 
CHC1E;A57;13/7/2020_15:28:07;80 >= 
CHC1E;A57;13/7/2020_15:43:36;45 >= 
CHC1E;A57;13/7/2020_16:00:34;83 >= 
CHC1E;A57;13/7/2020_16:13:13;57 >= 
CHC1E;A57;13/7/2020_16:28:23;85 >= 
CHC1E;A57;13/7/2020_16:43:30;52 >= 
CHC1E;A57;13/7/2020_17:00:39;75 >= 
CHC1E;A57;13/7/2020_17:13:10;68 >= 
CHC1E;A57;13/7/2020_17:28:21;47 >= 
CHC1E;A57;13/7/2020_17:43:32;51 >= 
CHC1E;A57;13/7/2020_18:00:28;87 >= 
CHC1E;A57;13/7/2020_18:13:33;45 >= 
CHC1E;A57;13/7/2020_18:28:39;68 >= 
CHC1E;A57;13/7/2020_18:43:04;51 >= 
CHC1E;A57;13/7/2020_19:00:09;85 >= 
CHC1E;A57;13/7/2020_19:13:29;60 >= 
CHC1E;A57;13/7/2020_19:28:00;54 >= 
CHC1E;A57;13/7/2020_19:43:11;79 >= 
CHC1E;A57;13/7/2020_20:00:17;46 >= 
CHC1E;A57;13/7/2020_20:13:28;69 >= 
CHC1E;A57;13/7/2020_20:28:39;72 >= 
CHC1E;A57;13/7/2020_20:43:10;69 >= 
CHC1E;A57;13/7/2020_21:00:21;67 >= 
CHC1E;A57;13/7/2020_21:13:02;64 >= 
CHC1E;A57;13/7/2020_21:28:13;73 >= 
CHC1E;A57;13/7/2020_21:43:24;73 >= 
CHC1E;A57;13/7/2020_22:00:26;84 >= 
CHC1E;A57;13/7/2020_22:13:07;69 >= 
CHC1E;A57;13/7/2020_22:28:08;61 >= 
CHC1E;A57;13/7/2020_22:43:19;69 >= 
CHC1E;A57;13/7/2020_23:00:22;81 >= 
CHC1E;A57;13/7/2020_23:13:33;88 >= 
CHC1E;A57;13/7/2020_23:28:04;58 >= 
CHC1E;A57;13/7/2020_23:43:15;75 >= 
CHC1E;A57;14/7/2020_00:00:17;57 >= 
CHC1E;A57;14/7/2020_00:13:38;45 >= 
CHC1E;A57;14/7/2020_00:28:19;89 >= 
CHC1E;A57;14/7/2020_00:43:30;73 >= 
CHC1E;A57;14/7/2020_01:00:01;50 >= 
CHC1E;A57;14/7/2020_01:13:12;72 >= 
CHC1E;A57;14/7/2020_01:28:23;73 >= 
CHC1E;A57;14/7/2020_01:43:34;50 >= 
CHC1E;A57;14/7/2020_02:00:28;84 >= 
CHC1E;A57;14/7/2020_02:13:09;53 >= 
CHC1E;A57;14/7/2020_02:28:20;64 >= 
CHC1E;A57;14/7/2020_02:43:01;77 >= 
CHC1E;A57;14/7/2020_03:00:12;68 >= 
CHC1E;A57;14/7/2020_03:13:33;54 >= 
CHC1E;A57;14/7/2020_03:28:14;86 >= 
CHC1E;A57;14/7/2020_03:43:25;50 >= 
CHC1E;A57;14/7/2020_04:00:36;84 >= 
CHC1E;A57;14/7/2020_04:13:07;80 >= 
CHC1E;A57;14/7/2020_04:28:19;88 >= 
CHC1E;A57;14/7/2020_04:43:20;73 >= 
CHC1E;A57;14/7/2020_05:00:33;81 >= 
CHC1E;A57;14/7/2020_05:13:14;89 >= 
CHC1E;A57;14/7/2020_05:28:25;63 >= 
CHC1E;A57;14/7/2020_05:43:27;82 >= 
CHC1E;A57;14/7/2020_06:00:08;75 >= 
CHC1E;A57;14/7/2020_06:13:19;62 >= 
CHC1E;A57;14/7/2020_06:28:30;74 >= 
CHC1E;A57;14/7/2020_06:43:11;55 >= 
CHC1E;A57;14/7/2020_07:00:22;71 >= 
CHC1E;A57;14/7/2020_07:13:33;76 >= 
CHC1E;A57;14/7/2020_07:28:04;55 >= 
CHC1E;A57;14/7/2020_07:43:15;84 >= 
CHC1E;A57;14/7/2020_08:00:19;62 >= 
CHC1E;A57;14/7/2020_08:13:30;68 >= 
CHC1E;A57;14/7/2020_08:14:26;62 >= 
CHC1E;A17;14/7/2020_10:43:39;58 > 
CHC1E;A17;14/7/2020_10:53:29;43 > 
CHC1E;A17;14/7/2020_11:03:03;55 > 
CHC1E;A17;14/7/2020_11:13:03;63 > 
CHC1E;A17;14/7/2020_11:23:34;78 > 
CHC1E;A17;14/7/2020_11:33:34;47 > 
CHC1E;A17;14/7/2020_11:47:04;47 > 
CHC1E;A17;23/7/2020_09:01:17;83 > 
CHC1E;A17;23/7/2020_09:01:48;83 > 
CHC1E;A17;23/7/2020_09:02:19;83 > 
CHC1E;A17;23/7/2020_09:02:59;83 > 
CHC1E;A17;23/7/2020_09:03:40;83 > 
CHC1E;A17;23/7/2020_09:04:10;83 > 
CHC1E;A17;27/7/2020_08:46:35;85 > 
CHC1E;A17;27/7/2020_09:00:15;84 > 
CHC1E;A17;27/7/2020_09:00:55;83 > 
CHC1E;A17;27/7/2020_09:01:35;59 > 
CHC1E;A17;27/7/2020_09:02:15;79 > 
CHC1E;A17;27/7/2020_09:02:55;72 > 
CHC1E;A17;27/7/2020_09:03:26;75 > 
CHC1E;A17;27/7/2020_10:00:20;70 > 
CHC1E;A17;27/7/2020_10:01:00;56 > 
CHC1E;A17;27/7/2020_10:01:41;74 > 
CHC1E;A17;27/7/2020_10:02:11;72 > 
CHC1E;A17;27/7/2020_10:02:51;70 > 
CHC1E;A17;27/7/2020_10:03:31;86 > 
CHC1E;A17;27/7/2020_11:00:24;64 > 
CHC1E;A17;27/7/2020_11:01:04;55 > 
CHC1E;A17;27/7/2020_11:01:44;44 > 
CHC1E;A17;27/7/2020_11:02:24;46 > 
CHC1E;A17;27/7/2020_11:03:04;77 > 
CHC1E;A17;27/7/2020_11:03:35;79 > 
CHC1E;A17;27/7/2020_12:00:29;80 > 
CHC1E;A17;27/7/2020_12:01:09;79 > 
CHC1E;A17;27/7/2020_12:01:49;78 > 
CHC1E;A17;27/7/2020_12:02:29;69 > 
CHC1E;A17;27/7/2020_12:03:09;60 > 
CHC1E;A17;27/7/2020_12:03:40;81 > 
CHC1E;A17;27/7/2020_13:00:34;89 > 
CHC1E;A17;27/7/2020_13:01:14;46 > 
CHC1E;A17;27/7/2020_13:01:54;47 > 
CHC1E;A17;27/7/2020_13:02:34;67 > 
CHC1E;A17;27/7/2020_13:03:05;54 > 
CHC1E;A17;27/7/2020_13:03:45;83 > 
CHC1E;A17;27/7/2020_14:00:35;55 > 
CHC1E;A17;27/7/2020_14:08:35;55 > 
CHC1E;A17;27/7/2020_14:18:26;55 > 
CHC1E;A17;27/7/2020_14:28:17;55 > 
CHC1E;A17;27/7/2020_14:38:18;55 > 
CHC1E;A17;27/7/2020_14:48:09;55 > 
CHC1E;A17;27/7/2020_15:00:00;55 > 
CHC1E;A17;27/7/2020_15:08:31;55 > 
CHC1E;A17;28/7/2020_08:28:22;78 > 
CHC1E;A17;28/7/2020_08:38:04;77 > 
CHC1E;A17;28/7/2020_08:48:35;74 > 
CHC1E;A17;28/7/2020_09:00:36;57 > 
CHC1E;A17;28/7/2020_09:08:27;78 > 
CHC1E;A17;28/7/2020_09:18:28;78 > 
CHC1E;A17;28/7/2020_09:28:19;55 > 
CHC1E;A17;28/7/2020_09:38:11;69 > 
CHC1E;A17;28/7/2020_09:48:32;77 > 
CHC1E;A17;29/7/2020_08:18:29;83 > 
CHC1E;A17;29/7/2020_08:28:33;61 > 
CHC1E;A17;29/7/2020_08:38:24;61 > 
CHC1E;A17;29/7/2020_08:48:08;61 > 
CHC1E;A17;29/7/2020_09:00:09;61 > 
CHC1E;A17;29/7/2020_09:08:00;61 > 
CHC1E;A17;29/7/2020_09:18:00;61 > 
CHC1E;A17;29/7/2020_09:28:31;61 > 
CHC1E;A17;29/7/2020_09:38:14;61 > 
CHC1E;A17;29/7/2020_09:48:30;61 > 
CHC1E;A17;29/7/2020_10:00:21;61 > 
CHC1E;A17;29/7/2020_10:08:12;61 > 
CHC1E;A17;29/7/2020_10:18:13;61 > 
CHC1E;A17;29/7/2020_10:28:03;61 > 
CHC1E;A17;29/7/2020_10:38:34;61 > 
CHC1E;A17;29/7/2020_10:48:27;61 > 
CHC1E;A17;29/7/2020_11:00:28;61 > 
CHC1E;A17;29/7/2020_11:08:36;61 > 
CHC1E;A17;29/7/2020_11:18:27;61 > 
CHC1E;A17;29/7/2020_11:28:18;61 > 
CHC1E;A17;29/7/2020_11:38:18;61 > 
CHC1E;A17;29/7/2020_11:48:12;61 > 
CHC1E;A17;29/7/2020_12:00:03;61 > 
CHC1E;A17;29/7/2020_12:08:04;61 > 
CHC1E;A17;29/7/2020_12:18:04;61 > 
CHC1E;A17;29/7/2020_12:29:14;61 > 
CHC1E;A17;29/7/2020_12:38:33;61 > 
CHC1E;A17;29/7/2020_12:48:39;78 > 
CHC1E;A17;29/7/2020_13:00:30;65 > 
CHC1E;A17;29/7/2020_13:01:57;85 > 
CHC1E;A17;29/7/2020_13:08:28;51 > 
CHC1E;A17;29/7/2020_13:18:29;83 > 
CHC1E;A17;29/7/2020_13:28:10;69 > 
CHC1E;A17;29/7/2020_13:38:11;69 > 
CHC1E;A17;29/7/2020_13:48:06;74 > 
CHC1E;A17;29/7/2020_14:00:19;49 > 
CHC1E;A17;29/7/2020_14:08:10;50 > 
CHC1E;A17;29/7/2020_14:18:01;47 > 
CHC1E;A17;29/7/2020_14:28:32;78 > 
CHC1E;A17;29/7/2020_14:38:23;82 > 
CHC1E;A17;29/7/2020_14:48:17;82 > 
CHC1E;A17;29/7/2020_15:00:38;47 > 
CHC1E;A17;29/7/2020_15:08:38;72 > 
CHC1E;A17;29/7/2020_15:18:31;88 > 
CHC1E;A17;29/7/2020_15:28:27;88 > 
CHC1E;A17;29/7/2020_15:38:37;88 > 
CHC1E;A17;3/8/2020_08:18:07;75 > 
CHC1E;A17;4/8/2020_08:48:11;89 > 
CHC1E;A17;4/8/2020_09:00:38;77 > 
