Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHC1H;A66;7/7/2020_12:43:23;43 > 
CHC1H;A66;7/7/2020_13:00:25;67 > 
CHC1H;A66;7/7/2020_13:13:10;81 > 
CHC1H;A66;7/7/2020_13:28:21;70 > 
CHC1H;A66;7/7/2020_13:43:11;70 > 
CHC1H;A66;7/7/2020_14:00:13;57 > 
CHC1H;A66;7/7/2020_14:13:27;50 > 
CHC1H;A66;7/7/2020_14:28:28;72 > 
CHC1H;A66;7/7/2020_14:43:13;49 > 
CHC1H;A66;7/7/2020_15:00:33;50 > 
CHC1H;A66;7/7/2020_15:13:23;51 > 
CHC1H;A161;13/7/2020_10:13:34;41 > 
CHC1H;A103;13/7/2020_10:18:23;45 > 
CHC1H;A218;13/7/2020_10:18:23;46 > 
CHC1H;A103;13/7/2020_10:33:31;47 > 
CHC1H;A161;13/7/2020_10:33:43;48 > 
CHC1H;A218;13/7/2020_10:33:43;48 > 
CHC1H;A103;13/7/2020_10:48:22;87 > 
CHC1H;A218;13/7/2020_10:48:22;88 > 
CHC1H;A161;13/7/2020_10:53:41;64 > 
CHC1H;A103;13/7/2020_11:03:41;86 > 
CHC1H;A218;13/7/2020_11:03:41;87 > 
CHC1H;A161;13/7/2020_11:13:13;69 > 
CHC1H;A103;13/7/2020_11:18:37;80 > 
CHC1H;A218;13/7/2020_11:18:37;81 > 
CHC1H;A103;13/7/2020_11:33:00;79 > 
CHC1H;A161;13/7/2020_11:33:10;85 > 
CHC1H;A218;13/7/2020_11:33:10;85 > 
CHC1H;A103;13/7/2020_11:48:25;69 > 
CHC1H;A218;13/7/2020_11:48:25;70 > 
CHC1H;A161;13/7/2020_11:53:19;65 > 
CHC1H;A103;13/7/2020_12:03:30;53 > 
CHC1H;A218;13/7/2020_12:03:30;54 > 
CHC1H;A161;13/7/2020_12:13:41;60 > 
CHC1H;A103;13/7/2020_12:18:32;53 > 
CHC1H;A218;13/7/2020_12:18:32;54 > 
CHC1H;A62;13/7/2020_12:33:07;56 >= 
CHC1H;A62;13/7/2020_12:48:35;42 >= 
CHC1H;A62;13/7/2020_13:03:17;60 >= 
CHC1H;A62;13/7/2020_13:18:28;49 >= 
CHC1H;A62;13/7/2020_13:33:39;80 >= 
CHC1H;A62;13/7/2020_13:48:10;47 >= 
CHC1H;A62;13/7/2020_14:03:15;50 >= 
CHC1H;A62;13/7/2020_15:28:07;61 >= 
CHC1H;A62;13/7/2020_15:43:36;62 >= 
CHC1H;A62;13/7/2020_16:00:44;43 >= 
CHC1H;A62;13/7/2020_16:13:21;53 >= 
CHC1H;A62;13/7/2020_16:28:30;72 >= 
CHC1H;A62;13/7/2020_16:43:30;63 >= 
CHC1H;A62;13/7/2020_17:00:39;53 >= 
CHC1H;A62;13/7/2020_17:13:10;82 >= 
CHC1H;A62;13/7/2020_17:28:21;63 >= 
CHC1H;A62;13/7/2020_17:43:32;46 >= 
CHC1H;A62;13/7/2020_18:00:39;87 >= 
CHC1H;A62;13/7/2020_18:13:39;87 >= 
CHC1H;A62;13/7/2020_18:28:49;75 >= 
CHC1H;A62;13/7/2020_18:43:04;60 >= 
CHC1H;A62;13/7/2020_19:00:09;81 >= 
CHC1H;A62;13/7/2020_19:13:29;85 >= 
CHC1H;A62;13/7/2020_19:28:00;42 >= 
CHC1H;A62;13/7/2020_19:43:11;77 >= 
CHC1H;A62;13/7/2020_20:00:17;48 >= 
CHC1H;A62;13/7/2020_20:13:28;85 >= 
CHC1H;A62;13/7/2020_20:28:39;43 >= 
CHC1H;A62;13/7/2020_20:43:10;86 >= 
CHC1H;A62;13/7/2020_21:00:21;69 >= 
CHC1H;A62;13/7/2020_21:13:02;59 >= 
CHC1H;A62;13/7/2020_21:28:13;54 >= 
CHC1H;A62;13/7/2020_21:43:24;44 >= 
CHC1H;A62;13/7/2020_22:00:26;80 >= 
CHC1H;A62;13/7/2020_22:13:07;45 >= 
CHC1H;A62;13/7/2020_22:28:08;50 >= 
CHC1H;A62;13/7/2020_22:43:19;78 >= 
CHC1H;A62;13/7/2020_23:00:22;76 >= 
CHC1H;A62;13/7/2020_23:13:33;70 >= 
CHC1H;A62;13/7/2020_23:28:04;64 >= 
CHC1H;A62;13/7/2020_23:43:15;70 >= 
CHC1H;A62;14/7/2020_00:00:17;61 >= 
CHC1H;A62;14/7/2020_00:13:38;66 >= 
CHC1H;A62;14/7/2020_00:28:19;84 >= 
CHC1H;A62;14/7/2020_00:43:30;55 >= 
CHC1H;A62;14/7/2020_01:00:01;57 >= 
CHC1H;A62;14/7/2020_01:13:12;57 >= 
CHC1H;A62;14/7/2020_01:28:23;84 >= 
CHC1H;A62;14/7/2020_01:43:34;52 >= 
CHC1H;A62;14/7/2020_02:00:28;46 >= 
CHC1H;A62;14/7/2020_02:13:09;74 >= 
CHC1H;A62;14/7/2020_02:28:20;77 >= 
CHC1H;A62;14/7/2020_02:43:01;80 >= 
CHC1H;A62;14/7/2020_03:00:12;66 >= 
CHC1H;A62;14/7/2020_03:13:33;68 >= 
CHC1H;A62;14/7/2020_03:28:14;46 >= 
CHC1H;A62;14/7/2020_03:43:25;57 >= 
CHC1H;A62;14/7/2020_04:00:36;69 >= 
CHC1H;A62;14/7/2020_04:13:07;53 >= 
CHC1H;A62;14/7/2020_04:28:19;50 >= 
CHC1H;A62;14/7/2020_04:43:20;47 >= 
CHC1H;A62;14/7/2020_05:00:33;53 >= 
CHC1H;A62;14/7/2020_05:13:14;43 >= 
CHC1H;A62;14/7/2020_05:28:25;69 >= 
CHC1H;A62;14/7/2020_05:43:27;51 >= 
CHC1H;A62;14/7/2020_06:00:08;63 >= 
CHC1H;A62;14/7/2020_06:13:19;67 >= 
CHC1H;A62;14/7/2020_06:28:30;79 >= 
CHC1H;A62;14/7/2020_06:43:11;79 >= 
CHC1H;A62;14/7/2020_07:00:22;65 >= 
CHC1H;A62;14/7/2020_07:13:33;65 >= 
CHC1H;A62;14/7/2020_07:28:04;75 >= 
CHC1H;A62;14/7/2020_07:43:15;42 >= 
CHC1H;A62;14/7/2020_08:00:19;74 >= 
CHC1H;A62;14/7/2020_08:13:30;85 >= 
CHC1H;A62;14/7/2020_08:14:26;89 >= 
CHC1H;A22;14/7/2020_10:43:39;47 > 
CHC1H;A22;14/7/2020_10:53:29;54 > 
CHC1H;A22;14/7/2020_11:03:03;66 > 
CHC1H;A22;14/7/2020_11:13:03;80 > 
CHC1H;A22;14/7/2020_11:23:34;62 > 
CHC1H;A22;14/7/2020_11:33:34;66 > 
CHC1H;A22;14/7/2020_11:47:04;87 > 
CHC1H;A22;23/7/2020_09:01:18;69 > 
CHC1H;A22;23/7/2020_09:01:48;69 > 
CHC1H;A22;23/7/2020_09:02:19;69 > 
CHC1H;A22;23/7/2020_09:02:59;69 > 
CHC1H;A22;23/7/2020_09:03:40;69 > 
CHC1H;A22;23/7/2020_09:04:10;69 > 
CHC1H;A22;27/7/2020_08:46:35;44 > 
CHC1H;A22;27/7/2020_09:00:15;43 > 
CHC1H;A22;27/7/2020_09:00:55;69 > 
CHC1H;A22;27/7/2020_09:01:35;74 > 
CHC1H;A22;27/7/2020_09:02:15;74 > 
CHC1H;A22;27/7/2020_09:02:55;77 > 
CHC1H;A22;27/7/2020_09:03:26;77 > 
