Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHC1I;A67;7/7/2020_12:43:23;60 > 
CHC1I;A67;7/7/2020_13:00:25;62 > 
CHC1I;A67;7/7/2020_13:13:10;52 > 
CHC1I;A67;7/7/2020_13:28:21;80 > 
CHC1I;A67;7/7/2020_13:43:11;66 > 
CHC1I;A67;7/7/2020_14:00:13;78 > 
CHC1I;A67;7/7/2020_14:13:27;50 > 
CHC1I;A67;7/7/2020_14:28:28;82 > 
CHC1I;A67;7/7/2020_14:43:13;43 > 
CHC1I;A67;7/7/2020_15:00:33;44 > 
CHC1I;A67;7/7/2020_15:13:24;45 > 
CHC1I;A162;13/7/2020_10:13:34;55 > 
CHC1I;A104;13/7/2020_10:18:23;51 > 
CHC1I;A219;13/7/2020_10:18:23;52 > 
CHC1I;A104;13/7/2020_10:33:31;53 > 
CHC1I;A162;13/7/2020_10:33:43;54 > 
CHC1I;A219;13/7/2020_10:33:43;54 > 
CHC1I;A104;13/7/2020_10:48:22;44 > 
CHC1I;A219;13/7/2020_10:48:22;45 > 
CHC1I;A162;13/7/2020_10:53:41;68 > 
CHC1I;A104;13/7/2020_11:03:41;62 > 
CHC1I;A219;13/7/2020_11:03:41;63 > 
CHC1I;A162;13/7/2020_11:13:13;77 > 
CHC1I;A104;13/7/2020_11:18:37;57 > 
CHC1I;A219;13/7/2020_11:18:37;58 > 
CHC1I;A104;13/7/2020_11:33:00;57 > 
CHC1I;A162;13/7/2020_11:33:10;75 > 
CHC1I;A219;13/7/2020_11:33:10;75 > 
CHC1I;A104;13/7/2020_11:48:25;70 > 
CHC1I;A219;13/7/2020_11:48:25;71 > 
CHC1I;A162;13/7/2020_11:53:19;81 > 
CHC1I;A104;13/7/2020_12:03:30;47 > 
CHC1I;A219;13/7/2020_12:03:30;48 > 
CHC1I;A162;13/7/2020_12:13:41;46 > 
CHC1I;A104;13/7/2020_12:18:32;46 > 
CHC1I;A219;13/7/2020_12:18:32;47 > 
CHC1I;A63;13/7/2020_12:33:07;43 >= 
CHC1I;A63;13/7/2020_12:48:35;67 >= 
CHC1I;A63;13/7/2020_13:03:17;58 >= 
CHC1I;A63;13/7/2020_13:18:28;42 >= 
CHC1I;A63;13/7/2020_13:33:39;51 >= 
CHC1I;A63;13/7/2020_13:48:10;89 >= 
CHC1I;A63;13/7/2020_14:03:15;75 >= 
CHC1I;A63;13/7/2020_15:28:07;45 >= 
CHC1I;A63;13/7/2020_15:43:36;54 >= 
CHC1I;A63;13/7/2020_16:00:46;80 >= 
CHC1I;A63;13/7/2020_16:13:24;54 >= 
CHC1I;A63;13/7/2020_16:28:31;59 >= 
CHC1I;A63;13/7/2020_16:43:30;58 >= 
CHC1I;A63;13/7/2020_17:00:39;43 >= 
CHC1I;A63;13/7/2020_17:13:10;46 >= 
CHC1I;A63;13/7/2020_17:28:21;82 >= 
CHC1I;A63;13/7/2020_17:43:32;77 >= 
CHC1I;A63;13/7/2020_18:00:41;51 >= 
CHC1I;A63;13/7/2020_18:13:41;41 >= 
CHC1I;A63;13/7/2020_18:28:51;73 >= 
CHC1I;A63;13/7/2020_18:43:04;63 >= 
CHC1I;A63;13/7/2020_19:00:09;73 >= 
CHC1I;A63;13/7/2020_19:13:29;71 >= 
CHC1I;A63;13/7/2020_19:28:00;53 >= 
CHC1I;A63;13/7/2020_19:43:11;78 >= 
CHC1I;A63;13/7/2020_20:00:17;71 >= 
CHC1I;A63;13/7/2020_20:13:28;42 >= 
CHC1I;A63;13/7/2020_20:28:39;67 >= 
CHC1I;A63;13/7/2020_20:43:10;85 >= 
CHC1I;A63;13/7/2020_21:00:21;89 >= 
CHC1I;A63;13/7/2020_21:13:02;67 >= 
CHC1I;A63;13/7/2020_21:28:13;46 >= 
CHC1I;A63;13/7/2020_21:43:24;59 >= 
CHC1I;A63;13/7/2020_22:00:26;63 >= 
CHC1I;A63;13/7/2020_22:13:07;76 >= 
CHC1I;A63;13/7/2020_22:28:08;61 >= 
CHC1I;A63;13/7/2020_22:43:19;75 >= 
CHC1I;A63;13/7/2020_23:00:22;41 >= 
CHC1I;A63;13/7/2020_23:13:33;84 >= 
CHC1I;A63;13/7/2020_23:28:04;60 >= 
CHC1I;A63;13/7/2020_23:43:15;67 >= 
CHC1I;A63;14/7/2020_00:00:17;51 >= 
CHC1I;A63;14/7/2020_00:13:38;41 >= 
CHC1I;A63;14/7/2020_00:28:19;56 >= 
CHC1I;A63;14/7/2020_00:43:30;51 >= 
CHC1I;A63;14/7/2020_01:00:01;64 >= 
CHC1I;A63;14/7/2020_01:13:12;78 >= 
CHC1I;A63;14/7/2020_01:28:23;42 >= 
CHC1I;A63;14/7/2020_01:43:34;78 >= 
CHC1I;A63;14/7/2020_02:00:28;79 >= 
CHC1I;A63;14/7/2020_02:13:09;84 >= 
CHC1I;A63;14/7/2020_02:28:20;83 >= 
CHC1I;A63;14/7/2020_02:43:01;71 >= 
CHC1I;A63;14/7/2020_03:00:12;67 >= 
CHC1I;A63;14/7/2020_03:13:33;41 >= 
CHC1I;A63;14/7/2020_03:28:14;72 >= 
CHC1I;A63;14/7/2020_03:43:25;77 >= 
CHC1I;A63;14/7/2020_04:00:36;71 >= 
CHC1I;A63;14/7/2020_04:13:08;62 >= 
CHC1I;A63;14/7/2020_04:28:19;68 >= 
CHC1I;A63;14/7/2020_04:43:20;66 >= 
CHC1I;A63;14/7/2020_05:00:33;84 >= 
CHC1I;A63;14/7/2020_05:13:14;84 >= 
CHC1I;A63;14/7/2020_05:28:25;54 >= 
CHC1I;A63;14/7/2020_05:43:27;84 >= 
CHC1I;A63;14/7/2020_06:00:08;88 >= 
CHC1I;A63;14/7/2020_06:13:19;79 >= 
CHC1I;A63;14/7/2020_06:28:30;87 >= 
CHC1I;A63;14/7/2020_06:43:11;66 >= 
CHC1I;A63;14/7/2020_07:00:22;56 >= 
CHC1I;A63;14/7/2020_07:13:33;52 >= 
CHC1I;A63;14/7/2020_07:28:04;46 >= 
CHC1I;A63;14/7/2020_07:43:15;81 >= 
CHC1I;A63;14/7/2020_08:00:19;55 >= 
CHC1I;A63;14/7/2020_08:13:30;50 >= 
CHC1I;A63;14/7/2020_08:14:26;84 >= 
CHC1I;A23;14/7/2020_10:43:39;78 > 
CHC1I;A23;14/7/2020_10:53:29;60 > 
CHC1I;A23;14/7/2020_11:03:03;66 > 
CHC1I;A23;14/7/2020_11:13:03;51 > 
CHC1I;A23;14/7/2020_11:23:34;69 > 
CHC1I;A23;14/7/2020_11:33:34;69 > 
CHC1I;A23;14/7/2020_11:47:04;88 > 
CHC1I;A23;23/7/2020_09:01:18;80 > 
CHC1I;A23;23/7/2020_09:01:48;80 > 
CHC1I;A23;23/7/2020_09:02:19;80 > 
CHC1I;A23;23/7/2020_09:02:59;80 > 
CHC1I;A23;23/7/2020_09:03:40;80 > 
CHC1I;A23;23/7/2020_09:04:10;80 > 
CHC1I;A23;27/7/2020_08:46:35;73 > 
CHC1I;A23;27/7/2020_09:00:15;75 > 
CHC1I;A23;27/7/2020_09:00:55;67 > 
CHC1I;A23;27/7/2020_09:01:35;48 > 
CHC1I;A23;27/7/2020_09:02:15;52 > 
CHC1I;A23;27/7/2020_09:02:55;58 > 
CHC1I;A23;27/7/2020_09:03:26;50 > 
CHC1I;A23;27/7/2020_10:00:20;54 > 
CHC1I;A23;27/7/2020_10:01:00;45 > 
CHC1I;A23;27/7/2020_10:01:41;81 > 
CHC1I;A23;27/7/2020_10:02:11;54 > 
CHC1I;A23;27/7/2020_10:02:51;45 > 
CHC1I;A23;27/7/2020_10:03:31;41 > 
CHC1I;A23;27/7/2020_11:00:24;65 > 
CHC1I;A23;27/7/2020_11:01:04;57 > 
CHC1I;A23;27/7/2020_11:01:44;55 > 
CHC1I;A23;27/7/2020_11:02:24;68 > 
CHC1I;A23;27/7/2020_11:03:04;53 > 
CHC1I;A23;27/7/2020_11:03:35;79 > 
CHC1I;A23;27/7/2020_12:00:29;50 > 
CHC1I;A23;27/7/2020_12:01:09;57 > 
CHC1I;A23;27/7/2020_12:01:49;60 > 
CHC1I;A23;27/7/2020_12:02:29;53 > 
CHC1I;A23;27/7/2020_12:03:09;61 > 
CHC1I;A23;27/7/2020_12:03:40;48 > 
CHC1I;A23;27/7/2020_13:00:34;69 > 
CHC1I;A23;27/7/2020_13:01:14;53 > 
CHC1I;A23;27/7/2020_13:01:54;51 > 
CHC1I;A23;27/7/2020_13:02:35;43 > 
CHC1I;A23;27/7/2020_13:03:05;44 > 
CHC1I;A23;27/7/2020_13:03:45;41 > 
CHC1I;A23;27/7/2020_14:00:35;83 > 
CHC1I;A23;27/7/2020_14:08:35;83 > 
CHC1I;A23;27/7/2020_14:18:26;83 > 
CHC1I;A23;27/7/2020_14:28:17;83 > 
CHC1I;A23;27/7/2020_14:38:18;83 > 
CHC1I;A23;27/7/2020_14:48:09;83 > 
CHC1I;A23;27/7/2020_15:00:00;83 > 
CHC1I;A23;27/7/2020_15:08:31;83 > 
CHC1I;A23;28/7/2020_08:28:23;71 > 
CHC1I;A23;28/7/2020_08:38:04;88 > 
CHC1I;A23;28/7/2020_08:48:35;51 > 
CHC1I;A23;28/7/2020_09:00:36;72 > 
CHC1I;A23;28/7/2020_09:08:27;88 > 
CHC1I;A23;28/7/2020_09:18:28;64 > 
CHC1I;A23;28/7/2020_09:28:19;42 > 
CHC1I;A23;28/7/2020_09:38:11;51 > 
CHC1I;A23;28/7/2020_09:48:32;53 > 
CHC1I;A23;29/7/2020_08:18:29;70 > 
CHC1I;A23;29/7/2020_08:28:33;63 > 
CHC1I;A23;29/7/2020_08:38:24;63 > 
CHC1I;A23;29/7/2020_08:48:08;63 > 
CHC1I;A23;29/7/2020_09:00:09;63 > 
CHC1I;A23;29/7/2020_09:08:00;63 > 
CHC1I;A23;29/7/2020_09:18:00;63 > 
CHC1I;A23;29/7/2020_09:28:31;63 > 
CHC1I;A23;29/7/2020_09:38:14;63 > 
CHC1I;A23;29/7/2020_09:48:30;63 > 
CHC1I;A23;29/7/2020_10:00:21;63 > 
CHC1I;A23;29/7/2020_10:08:12;63 > 
CHC1I;A23;29/7/2020_10:18:13;63 > 
CHC1I;A23;29/7/2020_10:28:03;63 > 
CHC1I;A23;29/7/2020_10:38:34;63 > 
CHC1I;A23;29/7/2020_10:48:27;63 > 
CHC1I;A23;29/7/2020_11:00:28;63 > 
CHC1I;A23;29/7/2020_11:08:36;63 > 
CHC1I;A23;29/7/2020_11:18:27;63 > 
CHC1I;A23;29/7/2020_11:28:18;63 > 
CHC1I;A23;29/7/2020_11:38:18;63 > 
CHC1I;A23;29/7/2020_11:48:12;63 > 
CHC1I;A23;29/7/2020_12:00:03;63 > 
CHC1I;A23;29/7/2020_12:08:04;63 > 
CHC1I;A23;29/7/2020_12:18:05;63 > 
CHC1I;A23;29/7/2020_12:29:14;63 > 
CHC1I;A23;29/7/2020_12:38:33;63 > 
CHC1I;A23;29/7/2020_12:48:39;76 > 
CHC1I;A23;29/7/2020_13:00:30;68 > 
CHC1I;A23;29/7/2020_13:01:57;73 > 
CHC1I;A23;29/7/2020_13:08:28;81 > 
CHC1I;A23;29/7/2020_13:18:29;85 > 
CHC1I;A23;29/7/2020_13:28:10;53 > 
CHC1I;A23;29/7/2020_13:38:11;61 > 
CHC1I;A23;29/7/2020_13:48:06;87 > 
CHC1I;A23;29/7/2020_14:00:19;65 > 
CHC1I;A23;29/7/2020_14:08:10;78 > 
CHC1I;A23;29/7/2020_14:18:01;67 > 
CHC1I;A23;29/7/2020_14:28:32;46 > 
CHC1I;A23;29/7/2020_14:38:23;50 > 
CHC1I;A23;29/7/2020_14:48:17;67 > 
CHC1I;A23;29/7/2020_15:00:38;44 > 
CHC1I;A23;29/7/2020_15:08:38;62 > 
CHC1I;A23;29/7/2020_15:18:31;42 > 
CHC1I;A23;29/7/2020_15:28:27;42 > 
CHC1I;A23;29/7/2020_15:38:37;42 > 
CHC1I;A23;3/8/2020_08:18:07;71 > 
CHC1I;A23;4/8/2020_08:48:11;74 > 
CHC1I;A23;4/8/2020_09:00:38;63 > 
CHC1I;A23;4/8/2020_09:08:35;48 > 
CHC1I;A23;4/8/2020_09:18:22;60 > 
CHC1I;A23;4/8/2020_09:28:10;79 > 
CHC1I;A23;4/8/2020_09:38:06;59 > 
CHC1I;A23;4/8/2020_09:48:34;70 > 
CHC1I;A23;4/8/2020_10:00:31;77 > 
CHC1I;A23;4/8/2020_10:08:28;86 > 
CHC1I;A23;4/8/2020_10:18:26;68 > 
CHC1I;A23;4/8/2020_10:28:14;86 > 
CHC1I;A23;4/8/2020_10:38:43;75 > 
CHC1I;A23;4/8/2020_12:08:34;41 > 
CHC1I;A23;4/8/2020_12:18:22;55 > 
CHC1I;A23;4/8/2020_12:28:18;76 > 
CHC1I;A23;4/8/2020_12:38:14;69 > 
CHC1I;A23;4/8/2020_12:48:11;85 > 
CHC1I;A23;4/8/2020_13:00:07;53 > 
CHC1I;A23;4/8/2020_13:08:43;42 > 
CHC1I;A23;4/8/2020_13:18:30;81 > 
CHC1I;A23;4/8/2020_13:28:38;44 > 
CHC1I;A23;4/8/2020_13:38:15;44 > 
CHC1I;A23;4/8/2020_13:48:47;44 > 
CHC1I;A23;4/8/2020_14:00:38;44 > 
CHC1I;A23;10/8/2020_14:38:02;0.69 > 
CHC1I;A23;10/8/2020_14:48:33;0.77 > 
CHC1I;A23;10/8/2020_15:00:24;0.65 > 
CHC1I;A23;10/8/2020_15:08:15;0.75 > 
CHC1I;A23;10/8/2020_15:18:06;0.57 > 
CHC1I;A23;10/8/2020_15:28:07;0.68 > 
CHC1I;A23;10/8/2020_15:38:37;0.64 > 
CHC1I;A23;10/8/2020_15:48:28;0.74 > 
CHC1I;A23;10/8/2020_16:00:28;0.68 > 
CHC1I;A23;10/8/2020_16:08:19;0.63 > 
CHC1I;A23;10/8/2020_16:18:19;0.56 > 
CHC1I;A23;10/8/2020_16:28:10;0.61 > 
CHC1I;A23;10/8/2020_16:38:11;0.67 > 
CHC1I;A23;10/8/2020_16:48:01;0.75 > 
CHC1I;A23;10/8/2020_17:00:32;0.6 > 
CHC1I;A23;10/8/2020_17:08:32;0.84 > 
CHC1I;A23;10/8/2020_17:18:23;0.47 > 
CHC1I;A23;10/8/2020_17:28:24;0.69 > 
CHC1I;A23;10/8/2020_17:38:14;0.7 > 
CHC1I;A23;10/8/2020_17:48:05;0.57 > 
CHC1I;A23;10/8/2020_18:00:05;0.58 > 
CHC1I;A23;10/8/2020_18:08:36;0.44 > 
CHC1I;A23;10/8/2020_18:18:27;0.48 > 
CHC1I;A23;10/8/2020_18:28:27;0.74 > 
CHC1I;A23;10/8/2020_18:38:18;0.82 > 
CHC1I;A23;10/8/2020_18:48:18;0.66 > 
CHC1I;A23;10/8/2020_19:00:09;0.51 > 
CHC1I;A23;10/8/2020_19:08:00;0.5 > 
CHC1I;A23;10/8/2020_19:18:01;0.77 > 
CHC1I;A23;10/8/2020_19:28:31;0.55 > 
CHC1I;A23;10/8/2020_19:38:22;0.89 > 
CHC1I;A23;10/8/2020_19:48:13;0.89 > 
CHC1I;A23;10/8/2020_20:00:13;0.6 > 
CHC1I;A23;10/8/2020_20:08:04;0.42 > 
CHC1I;A23;10/8/2020_20:18:05;0.62 > 
CHC1I;A23;10/8/2020_20:28:35;0.66 > 
CHC1I;A23;10/8/2020_20:38:26;0.89 > 
CHC1I;A23;10/8/2020_20:48:27;0.73 > 
CHC1I;A23;10/8/2020_21:00:17;0.6 > 
CHC1I;A23;10/8/2020_21:08:08;0.89 > 
CHC1I;A23;10/8/2020_21:18:39;0.88 > 
CHC1I;A23;10/8/2020_21:28:39;0.79 > 
CHC1I;A23;10/8/2020_21:38:30;0.55 > 
CHC1I;A23;10/8/2020_21:48:21;0.52 > 
CHC1I;A23;10/8/2020_22:00:22;0.74 > 
CHC1I;A23;10/8/2020_22:08:12;0.59 > 
CHC1I;A23;10/8/2020_22:18:03;0.52 > 
CHC1I;A23;10/8/2020_22:28:04;0.66 > 
CHC1I;A23;10/8/2020_22:38:04;0.72 > 
CHC1I;A23;10/8/2020_22:48:35;0.45 > 
CHC1I;A23;10/8/2020_23:00:26;0.84 > 
CHC1I;A23;10/8/2020_23:08:26;0.51 > 
CHC1I;A23;10/8/2020_23:18:17;0.62 > 
CHC1I;A23;10/8/2020_23:28:08;0.72 > 
CHC1I;A23;10/8/2020_23:38:09;0.74 > 
CHC1I;A23;10/8/2020_23:48:39;0.83 > 
CHC1I;A23;11/8/2020_00:00:30;0.66 > 
CHC1I;A23;11/8/2020_00:08:30;0.76 > 
CHC1I;A23;11/8/2020_00:18:21;0.83 > 
CHC1I;A23;11/8/2020_00:28:12;0.73 > 
CHC1I;A23;11/8/2020_00:38:03;0.82 > 
CHC1I;A23;11/8/2020_00:48:03;0.61 > 
CHC1I;A23;11/8/2020_01:00:34;0.62 > 
CHC1I;A23;11/8/2020_01:08:25;0.58 > 
CHC1I;A23;11/8/2020_01:18:26;0.46 > 
CHC1I;A23;11/8/2020_01:28:16;0.52 > 
CHC1I;A23;11/8/2020_01:38:07;0.41 > 
CHC1I;A23;11/8/2020_01:48:07;0.54 > 
CHC1I;A23;11/8/2020_02:00:38;0.7 > 
CHC1I;A23;11/8/2020_02:08:29;0.74 > 
CHC1I;A23;11/8/2020_02:18:20;0.61 > 
CHC1I;A23;11/8/2020_02:28:20;0.66 > 
CHC1I;A23;11/8/2020_02:38:11;0.67 > 
CHC1I;A23;11/8/2020_02:48:12;0.54 > 
CHC1I;A23;11/8/2020_03:00:02;0.47 > 
CHC1I;A23;11/8/2020_03:08:33;0.52 > 
CHC1I;A23;11/8/2020_03:18:34;0.84 > 
CHC1I;A23;11/8/2020_03:28:25;0.61 > 
CHC1I;A23;11/8/2020_03:38:15;0.69 > 
CHC1I;A23;11/8/2020_03:48:06;0.64 > 
CHC1I;A23;11/8/2020_04:00:37;0.62 > 
CHC1I;A23;11/8/2020_04:08:38;0.42 > 
CHC1I;A23;11/8/2020_04:18:28;0.74 > 
CHC1I;A23;11/8/2020_04:28:19;0.57 > 
CHC1I;A23;11/8/2020_04:38:20;0.53 > 
CHC1I;A23;11/8/2020_04:48:10;0.88 > 
CHC1I;A23;11/8/2020_05:00:01;0.53 > 
CHC1I;A23;11/8/2020_05:08:32;0.54 > 
CHC1I;A23;11/8/2020_05:18:33;0.87 > 
CHC1I;A23;11/8/2020_05:28:24;0.68 > 
CHC1I;A23;11/8/2020_05:38:14;0.53 > 
CHC1I;A23;11/8/2020_05:48:05;0.84 > 
CHC1I;A23;11/8/2020_06:00:05;0.6 > 
CHC1I;A23;11/8/2020_06:08:36;0.58 > 
CHC1I;A23;11/8/2020_06:18:37;0.84 > 
CHC1I;A23;11/8/2020_06:28:18;0.62 > 
CHC1I;A23;11/8/2020_06:38:09;0.42 > 
CHC1I;A23;11/8/2020_06:48:00;0.67 > 
CHC1I;A23;11/8/2020_07:00:31;0.76 > 
CHC1I;A23;11/8/2020_07:08:31;0.78 > 
CHC1I;A23;11/8/2020_07:18:13;0.65 > 
CHC1I;A23;11/8/2020_07:28:14;0.52 > 
CHC1I;A23;11/8/2020_07:38:04;0.83 > 
CHC1I;A23;11/8/2020_07:48:35;0.54 > 
CHC1I;A23;11/8/2020_08:00:26;0.6 > 
CHC1I;A23;11/8/2020_08:08:34;0.61 > 
CHC1I;A23;11/8/2020_08:18:25;0.51 > 
CHC1I;A23;11/8/2020_08:28:16;0.49 > 
CHC1I;A23;11/8/2020_08:38:07;0.61 > 
CHC1I;A23;11/8/2020_08:48:38;0.83 > 
CHC1I;A23;11/8/2020_11:13:27;0.55 > 
CHC1I;A23;11/8/2020_14:13:11;0.61 > 
CHC1I;A23;11/8/2020_14:23:02;0.87 > 
CHC1I;A23;11/8/2020_14:33:10;0.5 > 
CHC1I;A23;11/8/2020_14:43:01;0.48 > 
CHC1I;A23;11/8/2020_14:53:32;0.75 > 
CHC1I;A23;13/8/2020_12:20:10;59 > 
CHC1I;A54;19/8/2020_14:39:25;87 > 
CHC1I;A54;19/8/2020_14:40:05;78 > 
CHC1I;A54;19/8/2020_15:00:18;43 > 
CHC1I;A54;19/8/2020_15:19:19;68 > 
CHC1I;A54;19/8/2020_15:39:20;73 > 
CHC1I;A54;19/8/2020_16:00:12;43 > 
CHC1I;A54;19/8/2020_16:19:15;79 > 
CHC1I;A54;19/8/2020_16:39:38;63 > 
CHC1I;A54;19/8/2020_17:00:30;71 > 
CHC1I;A54;19/8/2020_17:19:41;82 > 
CHC1I;A54;19/8/2020_17:39:01;64 > 
CHC1I;A54;19/8/2020_18:00:24;75 > 
CHC1I;A54;19/8/2020_18:19:26;46 > 
CHC1I;A54;19/8/2020_18:39:06;75 > 
CHC1I;A54;19/8/2020_19:00:57;72 > 
CHC1I;A54;19/8/2020_19:19:37;45 > 
CHC1I;A54;19/8/2020_19:39:20;75 > 
CHC1I;A54;19/8/2020_20:00:51;50 > 
CHC1I;A54;19/8/2020_20:19:33;53 > 
CHC1I;A54;19/8/2020_20:39:15;86 > 
CHC1I;A54;19/8/2020_21:00:08;77 > 
CHC1I;A54;19/8/2020_21:19:20;42 > 
CHC1I;A54;19/8/2020_21:39:33;76 > 
CHC1I;A54;19/8/2020_22:00:35;53 > 
CHC1I;A54;19/8/2020_22:19:37;66 > 
CHC1I;A54;19/8/2020_22:39:39;65 > 
CHC1I;A54;19/8/2020_23:00:31;63 > 
CHC1I;A54;19/8/2020_23:19:33;89 > 
CHC1I;A54;19/8/2020_23:39:25;61 > 
CHC1I;A54;20/8/2020_00:00:27;62 > 
CHC1I;A54;20/8/2020_00:19:09;51 > 
CHC1I;A54;20/8/2020_00:39:31;63 > 
CHC1I;A54;20/8/2020_01:00:34;65 > 
CHC1I;A54;20/8/2020_01:19:06;81 > 
CHC1I;A54;20/8/2020_01:39:38;65 > 
CHC1I;A54;20/8/2020_02:00:10;75 > 
CHC1I;A54;20/8/2020_02:19:03;65 > 
CHC1I;A54;20/8/2020_02:39:36;87 > 
CHC1I;A54;20/8/2020_03:00:07;47 > 
CHC1I;A54;20/8/2020_03:19:09;86 > 
CHC1I;A54;20/8/2020_03:39:10;85 > 
CHC1I;A54;20/8/2020_04:00:12;81 > 
CHC1I;A54;20/8/2020_04:19:32;57 > 
