Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHC1J;A68;7/7/2020_12:43:23;62 > 
CHC1J;A68;7/7/2020_13:00:25;82 > 
CHC1J;A68;7/7/2020_13:13:10;75 > 
CHC1J;A68;7/7/2020_13:28:21;79 > 
CHC1J;A68;7/7/2020_13:43:11;70 > 
CHC1J;A68;7/7/2020_14:00:13;69 > 
CHC1J;A68;7/7/2020_14:13:27;50 > 
CHC1J;A68;7/7/2020_14:28:28;64 > 
CHC1J;A68;7/7/2020_14:43:13;55 > 
CHC1J;A68;7/7/2020_15:00:33;56 > 
CHC1J;A68;7/7/2020_15:13:24;57 > 
CHC1J;A163;13/7/2020_10:13:34;76 > 
CHC1J;A105;13/7/2020_10:18:23;70 > 
CHC1J;A220;13/7/2020_10:18:23;71 > 
CHC1J;A105;13/7/2020_10:33:31;72 > 
CHC1J;A163;13/7/2020_10:33:43;73 > 
CHC1J;A220;13/7/2020_10:33:43;73 > 
CHC1J;A105;13/7/2020_10:48:22;82 > 
CHC1J;A220;13/7/2020_10:48:22;83 > 
CHC1J;A163;13/7/2020_10:53:41;44 > 
CHC1J;A105;13/7/2020_11:03:41;59 > 
CHC1J;A220;13/7/2020_11:03:41;60 > 
CHC1J;A163;13/7/2020_11:13:13;65 > 
CHC1J;A105;13/7/2020_11:18:37;41 > 
CHC1J;A220;13/7/2020_11:18:37;42 > 
CHC1J;A105;13/7/2020_11:33:00;47 > 
CHC1J;A163;13/7/2020_11:33:10;60 > 
CHC1J;A220;13/7/2020_11:33:10;60 > 
CHC1J;A105;13/7/2020_11:48:25;89 > 
CHC1J;A220;13/7/2020_11:48:25;90 > 
CHC1J;A163;13/7/2020_11:53:19;44 > 
CHC1J;A105;13/7/2020_12:03:30;41 > 
CHC1J;A220;13/7/2020_12:03:30;42 > 
CHC1J;A163;13/7/2020_12:13:41;84 > 
CHC1J;A105;13/7/2020_12:18:32;57 > 
CHC1J;A220;13/7/2020_12:18:32;58 > 
CHC1J;A64;13/7/2020_12:33:07;85 >= 
CHC1J;A64;13/7/2020_12:48:35;81 >= 
CHC1J;A64;13/7/2020_13:03:17;42 >= 
CHC1J;A64;13/7/2020_13:18:28;80 >= 
CHC1J;A64;13/7/2020_13:33:39;89 >= 
CHC1J;A64;13/7/2020_13:48:10;58 >= 
CHC1J;A64;13/7/2020_14:03:15;59 >= 
CHC1J;A64;13/7/2020_15:28:07;42 >= 
CHC1J;A64;13/7/2020_15:43:36;42 >= 
CHC1J;A64;13/7/2020_16:00:48;72 >= 
CHC1J;A64;13/7/2020_16:13:25;41 >= 
CHC1J;A64;13/7/2020_16:28:34;54 >= 
CHC1J;A64;13/7/2020_16:43:30;45 >= 
CHC1J;A64;13/7/2020_17:00:39;62 >= 
CHC1J;A64;13/7/2020_17:13:10;55 >= 
CHC1J;A64;13/7/2020_17:28:22;71 >= 
CHC1J;A64;13/7/2020_17:43:32;52 >= 
CHC1J;A64;13/7/2020_18:00:43;65 >= 
CHC1J;A64;13/7/2020_18:13:44;73 >= 
CHC1J;A64;13/7/2020_18:28:53;46 >= 
CHC1J;A64;13/7/2020_18:43:04;52 >= 
CHC1J;A64;13/7/2020_19:00:09;83 >= 
CHC1J;A64;13/7/2020_19:13:29;70 >= 
CHC1J;A64;13/7/2020_19:28:00;81 >= 
CHC1J;A64;13/7/2020_19:43:11;43 >= 
CHC1J;A64;13/7/2020_20:00:17;84 >= 
CHC1J;A64;13/7/2020_20:13:28;48 >= 
CHC1J;A64;13/7/2020_20:28:39;44 >= 
CHC1J;A64;13/7/2020_20:43:10;51 >= 
CHC1J;A64;13/7/2020_21:00:21;87 >= 
CHC1J;A64;13/7/2020_21:13:02;72 >= 
CHC1J;A64;13/7/2020_21:28:13;82 >= 
CHC1J;A64;13/7/2020_21:43:24;50 >= 
CHC1J;A64;13/7/2020_22:00:26;70 >= 
CHC1J;A64;13/7/2020_22:13:07;42 >= 
CHC1J;A64;13/7/2020_22:28:08;89 >= 
CHC1J;A64;13/7/2020_22:43:19;88 >= 
CHC1J;A64;13/7/2020_23:00:22;83 >= 
CHC1J;A64;13/7/2020_23:13:33;64 >= 
CHC1J;A64;13/7/2020_23:28:04;74 >= 
CHC1J;A64;13/7/2020_23:43:15;86 >= 
CHC1J;A64;14/7/2020_00:00:17;72 >= 
CHC1J;A64;14/7/2020_00:13:38;72 >= 
CHC1J;A64;14/7/2020_00:28:19;54 >= 
CHC1J;A64;14/7/2020_00:43:30;80 >= 
CHC1J;A64;14/7/2020_01:00:01;69 >= 
CHC1J;A64;14/7/2020_01:13:12;61 >= 
CHC1J;A64;14/7/2020_01:28:23;47 >= 
CHC1J;A64;14/7/2020_01:43:34;78 >= 
CHC1J;A64;14/7/2020_02:00:28;74 >= 
CHC1J;A64;14/7/2020_02:13:09;57 >= 
CHC1J;A64;14/7/2020_02:28:20;51 >= 
CHC1J;A64;14/7/2020_02:43:01;54 >= 
CHC1J;A64;14/7/2020_03:00:12;59 >= 
CHC1J;A64;14/7/2020_03:13:33;82 >= 
CHC1J;A64;14/7/2020_03:28:14;55 >= 
CHC1J;A64;14/7/2020_03:43:25;50 >= 
