Compteur_Code;Alarme_Code;Time;AlarmeCondition
CHPC30;A86;9/3/2020_10:58:13;50 >= 
CHPC30;A14;9/3/2020_16:00:56;63.71 > 
CHPC30;A14;9/3/2020_16:13:18;63.74 > 
CHPC30;A14;9/3/2020_16:28:56;63.8 > 
CHPC30;A14;9/3/2020_16:43:29;63.51 > 
CHPC30;A14;9/3/2020_17:00:46;61.86 > 
CHPC30;A14;9/3/2020_17:15:06;60.54 > 
CHPC30;A14;9/3/2020_17:28:39;61.6 > 
CHPC30;A14;9/3/2020_17:43:01;62.91 > 
CHPC30;A14;9/3/2020_18:00:42;64.27 > 
CHPC30;A14;9/3/2020_18:13:09;64.8 > 
CHPC30;A14;9/3/2020_18:28:11;64.72 > 
CHPC30;A14;9/3/2020_18:43:04;65 > 
CHPC30;A14;9/3/2020_19:00:16;64.86 > 
CHPC30;A14;9/3/2020_19:13:38;64.89 > 
CHPC30;A14;9/3/2020_19:28:39;64.84 > 
CHPC30;A14;9/3/2020_19:43:33;64.9 > 
CHPC30;A14;9/3/2020_20:00:35;64.87 > 
CHPC30;A14;9/3/2020_20:13:07;65 > 
CHPC30;A14;9/3/2020_20:28:19;65.03 > 
CHPC30;A14;9/3/2020_20:43:12;65.24 > 
CHPC30;A14;9/3/2020_21:00:05;65.25 > 
CHPC30;A14;9/3/2020_21:13:07;65.34 > 
CHPC30;A14;9/3/2020_21:28:23;65.29 > 
CHPC30;A14;9/3/2020_21:43:25;65.36 > 
CHPC30;A14;9/3/2020_22:00:39;65.29 > 
CHPC30;A14;9/3/2020_22:13:10;65.31 > 
CHPC30;A14;9/3/2020_22:28:12;65.16 > 
CHPC30;A14;9/3/2020_22:43:24;65.21 > 
CHPC30;A14;9/3/2020_23:00:08;65.22 > 
CHPC30;A14;9/3/2020_23:13:19;65.24 > 
CHPC30;A14;9/3/2020_23:28:22;65.17 > 
CHPC30;A14;9/3/2020_23:43:24;65.13 > 
CHPC30;A14;10/3/2020_00:00:26;65.09 > 
CHPC30;A14;10/3/2020_00:13:19;65.08 > 
CHPC30;A14;10/3/2020_00:28:22;65.17 > 
CHPC30;A14;10/3/2020_00:43:06;65.16 > 
CHPC30;A14;10/3/2020_01:00:39;65.17 > 
CHPC30;A14;10/3/2020_01:13:21;65.21 > 
CHPC30;A14;10/3/2020_01:28:02;65.23 > 
CHPC30;A14;10/3/2020_01:43:04;65.21 > 
CHPC30;A14;10/3/2020_02:00:16;65.18 > 
CHPC30;A14;10/3/2020_02:13:18;65.19 > 
CHPC30;A14;10/3/2020_02:28:20;65.21 > 
CHPC30;A14;10/3/2020_02:43:32;65.2 > 
CHPC30;A14;10/3/2020_03:00:25;65.22 > 
CHPC30;A14;10/3/2020_03:13:36;65.21 > 
CHPC30;A14;10/3/2020_03:28:38;65.25 > 
CHPC30;A14;10/3/2020_03:43:00;65.23 > 
CHPC30;A14;10/3/2020_04:00:33;65.21 > 
CHPC30;A14;10/3/2020_04:13:04;65.19 > 
CHPC30;A14;10/3/2020_04:28:06;65.2 > 
CHPC30;A14;10/3/2020_04:43:18;65.18 > 
CHPC30;A14;10/3/2020_05:00:02;65.25 > 
CHPC30;A14;10/3/2020_05:13:13;65.29 > 
CHPC30;A14;10/3/2020_05:28:16;65.26 > 
CHPC30;A14;10/3/2020_05:43:27;65.26 > 
CHPC30;A14;10/3/2020_06:00:29;65.26 > 
CHPC30;A14;10/3/2020_06:13:01;65.23 > 
CHPC30;A14;10/3/2020_06:28:03;65.23 > 
CHPC30;A14;10/3/2020_06:43:07;65.23 > 
CHPC30;A14;10/3/2020_07:00:30;65.19 > 
CHPC30;A14;10/3/2020_07:13:12;65.2 > 
CHPC30;A14;10/3/2020_07:28:13;65.2 > 
CHPC30;A14;10/3/2020_07:43:25;65.22 > 
CHPC30;A14;10/3/2020_08:00:27;65.23 > 
CHPC30;A14;10/3/2020_08:13:29;65.22 > 
CHPC30;A14;10/3/2020_08:28:44;65.17 > 
CHPC30;A14;10/3/2020_09:00:29;65.16 > 
CHPC30;A14;10/3/2020_09:13:18;65.07 > 
CHPC30;A14;10/3/2020_09:28:15;65.08 > 
CHPC30;A14;10/3/2020_09:43:08;65.09 > 
CHPC30;A13;10/3/2020_10:06:58;65.07 > 
CHPC30;A58;10/3/2020_10:06:58;46 > 
CHPC30;A13;10/3/2020_10:07:30;65.07 > 
CHPC30;A58;10/3/2020_10:07:30;63 > 
CHPC30;A13;10/3/2020_10:21:04;65.06 > 
CHPC30;A58;10/3/2020_10:21:05;48 > 
CHPC30;A13;10/3/2020_10:36:10;65.09 > 
CHPC30;A58;10/3/2020_10:36:11;84 > 
CHPC30;A13;10/3/2020_10:51:09;65.06 > 
CHPC30;A58;10/3/2020_10:51:09;71 > 
CHPC30;A13;10/3/2020_11:06:15;65.08 > 
CHPC30;A58;10/3/2020_11:06:15;81 > 
CHPC30;A13;10/3/2020_11:21:40;65.09 > 
CHPC30;A58;10/3/2020_11:21:40;77 > 
CHPC30;A13;10/3/2020_11:36:26;65.08 > 
CHPC30;A58;10/3/2020_11:36:26;57 > 
CHPC30;A13;10/3/2020_11:52:12;65.08 > 
CHPC30;A58;10/3/2020_11:52:12;51 > 
CHPC30;A13;10/3/2020_12:06:35;64.9 > 
CHPC30;A58;10/3/2020_12:06:35;51 > 
CHPC30;A13;10/3/2020_12:21:37;64.71 > 
CHPC30;A58;10/3/2020_12:21:38;51 > 
CHPC30;A13;10/3/2020_12:36:31;64.69 > 
CHPC30;A58;10/3/2020_12:36:31;46 > 
CHPC30;A13;12/3/2020_08:28:21;64.75 > 
CHPC30;A58;12/3/2020_08:28:22;66 > 
CHPC30;A13;12/3/2020_08:43:02;64.76 > 
CHPC30;A58;12/3/2020_08:43:02;43 > 
CHPC30;A13;12/3/2020_09:00:38;64.78 > 
CHPC30;A58;12/3/2020_09:00:38;58 > 
CHPC30;A13;12/3/2020_09:13:23;64.78 > 
CHPC30;A58;12/3/2020_09:13:23;83 > 
CHPC30;A13;12/3/2020_09:28:06;64.76 > 
CHPC30;A58;12/3/2020_09:28:06;72 > 
CHPC30;A13;12/3/2020_09:43:01;64.78 > 
CHPC30;A58;12/3/2020_09:43:01;50 > 
CHPC30;A13;12/3/2020_10:00:06;64.79 > 
CHPC30;A58;12/3/2020_10:00:06;81 > 
CHPC30;A13;12/3/2020_10:13:30;64.79 > 
CHPC30;A58;12/3/2020_10:13:31;58 > 
CHPC30;A13;12/3/2020_10:28:15;64.81 > 
CHPC30;A58;12/3/2020_10:28:15;43 > 
CHPC30;A13;12/3/2020_10:43:40;64.81 > 
CHPC30;A58;12/3/2020_10:43:40;52 > 
CHPC30;A13;12/3/2020_11:00:25;64.83 > 
CHPC30;A58;12/3/2020_11:00:25;66 > 
CHPC30;A13;12/3/2020_11:13:09;64.82 > 
CHPC30;A58;12/3/2020_11:13:09;44 > 
CHPC30;A13;12/3/2020_11:28:02;64.83 > 
CHPC30;A58;12/3/2020_11:28:03;48 > 
CHPC30;A13;12/3/2020_11:43:17;64.82 > 
CHPC30;A58;12/3/2020_11:43:17;62 > 
CHPC30;A13;12/3/2020_12:00:11;64.84 > 
CHPC30;A58;12/3/2020_12:00:12;72 > 
CHPC30;A13;12/3/2020_12:13:05;64.84 > 
CHPC30;A58;12/3/2020_12:13:05;78 > 
CHPC30;A13;12/3/2020_12:28:28;64.85 > 
CHPC30;A58;12/3/2020_12:28:29;57 > 
CHPC30;A13;12/3/2020_12:43:13;64.82 > 
CHPC30;A58;12/3/2020_12:43:13;46 > 
CHPC30;A13;12/3/2020_13:00:27;64.84 > 
CHPC30;A58;12/3/2020_13:00:28;77 > 
CHPC30;A13;12/3/2020_13:13:11;64.85 > 
CHPC30;A58;12/3/2020_13:13:11;57 > 
CHPC30;A13;12/3/2020_13:28:36;64.86 > 
CHPC30;A58;12/3/2020_13:28:36;78 > 
CHPC30;A13;12/3/2020_13:43:30;64.86 > 
CHPC30;A58;12/3/2020_13:43:30;58 > 
CHPC30;A13;12/3/2020_14:00:14;64.85 > 
CHPC30;A58;12/3/2020_14:00:15;85 > 
CHPC30;A13;12/3/2020_14:13:38;64.85 > 
CHPC30;A58;12/3/2020_14:13:38;62 > 
CHPC30;A13;12/3/2020_14:28:22;64.85 > 
CHPC30;A58;12/3/2020_14:28:23;83 > 
CHPC30;A13;12/3/2020_14:43:06;64.88 > 
CHPC30;A58;12/3/2020_14:43:06;42 > 
CHPC30;A13;12/3/2020_16:00:17;64.88 > 
CHPC30;A58;12/3/2020_16:00:17;77 > 
CHPC30;A13;12/3/2020_16:13:25;64.88 > 
CHPC30;A58;12/3/2020_16:13:25;72 > 
