Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC2H;A83;7/7/2020_13:00:25;5 > 
CTC2H;A83;7/7/2020_13:10:16;5 > 
CTC2H;A83;7/7/2020_13:25:01;4 > 
CTC2H;A83;7/7/2020_13:30:12;3 > 
CTC2H;A83;7/7/2020_13:40:31;4 > 
CTC2H;A83;7/7/2020_13:45:02;3 > 
CTC2H;A83;7/7/2020_13:55:33;6 > 
CTC2H;A83;7/7/2020_14:05:26;7 > 
CTC2H;A83;7/7/2020_14:10:06;6 > 
CTC2H;A83;7/7/2020_14:15:17;7 > 
CTC2H;A83;7/7/2020_14:20:37;5 > 
CTC2H;A83;7/7/2020_14:25:08;5 > 
CTC2H;A83;7/7/2020_14:36:42;4 > 
CTC2H;A83;7/7/2020_14:40:33;5 > 
CTC2H;A83;7/7/2020_14:45:13;6 > 
CTC2H;A83;7/7/2020_14:50:17;7 > 
CTC2H;A83;7/7/2020_14:55:21;8 > 
CTC2H;A83;7/7/2020_15:00:33;9 > 
CTC2H;A83;7/7/2020_15:05:14;10 > 
CTC2H;A83;7/7/2020_15:10:03;11 > 
CTC2H;A83;7/7/2020_15:15:06;12 > 
CTC2H;A120;13/7/2020_11:13:02;4 > 
CTC2H;A120;13/7/2020_11:33:00;6 > 
CTC2H;A11;13/8/2020_12:28:00;4 > 
CTC2H;A11;13/8/2020_12:48:17;4 > 
CTC2H;A11;13/8/2020_13:08:08;5 > 
CTC2H;A11;13/8/2020_13:28:37;5 > 
CTC2H;A11;13/8/2020_13:38:38;5 > 
CTC2H;A11;13/8/2020_13:48:28;5 > 
CTC2H;A11;13/8/2020_15:00:02;3 > 
CTC2H;A11;13/8/2020_15:08:03;3 > 
CTC2H;A11;13/8/2020_15:48:18;5 > 
CTC2H;A11;13/8/2020_16:08:31;7 > 
CTC2H;A11;13/8/2020_16:18:22;3 > 
CTC2H;A11;13/8/2020_16:38:35;5 > 
CTC2H;A11;13/8/2020_16:48:36;5 > 
CTC2H;A11;13/8/2020_17:00:38;7 > 
CTC2H;A11;13/8/2020_17:08:19;6 > 
