Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC2I;A84;7/7/2020_13:00:25;7 > 
CTC2I;A84;7/7/2020_13:05:06;7 > 
CTC2I;A84;7/7/2020_13:10:16;5 > 
CTC2I;A84;7/7/2020_13:15:10;4 > 
CTC2I;A84;7/7/2020_13:20:21;7 > 
CTC2I;A84;7/7/2020_13:25:01;7 > 
CTC2I;A84;7/7/2020_13:30:12;6 > 
CTC2I;A84;7/7/2020_13:40:31;6 > 
CTC2I;A84;7/7/2020_13:45:02;3 > 
CTC2I;A84;7/7/2020_13:50:22;4 > 
CTC2I;A84;7/7/2020_13:55:33;7 > 
CTC2I;A84;7/7/2020_14:00:13;5 > 
CTC2I;A84;7/7/2020_14:05:26;7 > 
CTC2I;A84;7/7/2020_14:10:06;5 > 
CTC2I;A84;7/7/2020_14:15:17;3 > 
CTC2I;A84;7/7/2020_14:36:42;3 > 
CTC2I;A84;7/7/2020_14:40:33;4 > 
CTC2I;A84;7/7/2020_14:45:13;5 > 
CTC2I;A84;7/7/2020_14:50:17;6 > 
CTC2I;A84;7/7/2020_14:55:21;7 > 
CTC2I;A84;7/7/2020_15:00:33;8 > 
CTC2I;A84;7/7/2020_15:05:14;9 > 
CTC2I;A84;7/7/2020_15:10:03;10 > 
CTC2I;A84;7/7/2020_15:15:06;11 > 
CTC2I;A121;13/7/2020_10:33:31;6 > 
CTC2I;A121;13/7/2020_11:53:04;5 > 
CTC2I;A12;13/8/2020_12:48:17;4 > 
CTC2I;A12;13/8/2020_13:00:08;3 > 
CTC2I;A12;13/8/2020_13:08:08;5 > 
CTC2I;A12;13/8/2020_13:28:37;6 > 
CTC2I;A12;13/8/2020_13:38:38;6 > 
CTC2I;A12;13/8/2020_13:48:28;6 > 
CTC2I;A12;13/8/2020_15:00:02;6 > 
CTC2I;A12;13/8/2020_15:08:03;7 > 
CTC2I;A12;13/8/2020_15:18:33;5 > 
CTC2I;A12;13/8/2020_15:28:24;6 > 
CTC2I;A12;13/8/2020_15:38:36;5 > 
CTC2I;A12;13/8/2020_15:48:18;7 > 
CTC2I;A12;13/8/2020_16:00:00;4 > 
CTC2I;A12;13/8/2020_16:18:22;7 > 
