Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC37;A53;9/3/2020_09:23:00;5 >= 
CTC37;A53;9/3/2020_09:28:03;6 >= 
CTC37;A53;9/3/2020_09:33:14;6 >= 
CTC37;A53;9/3/2020_09:43:06;6 >= 
CTC37;A53;9/3/2020_09:48:18;6 >= 
CTC37;A81;10/3/2020_10:07:31;0 > 
CTC37;A81;10/3/2020_10:21:05;4 > 
CTC37;A81;10/3/2020_10:36:11;1 > 
CTC37;A81;10/3/2020_10:51:09;5 > 
CTC37;A81;10/3/2020_11:06:16;7 > 
CTC37;A81;10/3/2020_11:21:40;1 > 
CTC37;A81;10/3/2020_11:36:27;1 > 
CTC37;A81;10/3/2020_11:52:12;7 > 
CTC37;A81;10/3/2020_12:06:35;7 > 
CTC37;A81;10/3/2020_12:21:38;7 > 
CTC37;A81;10/3/2020_12:36:31;2 > 
CTC37;A81;12/3/2020_08:28:22;0 > 
CTC37;A81;12/3/2020_08:43:02;1 > 
CTC37;A81;12/3/2020_09:00:39;4 > 
CTC37;A81;12/3/2020_09:13:23;5 > 
CTC37;A81;12/3/2020_09:28:07;1 > 
CTC37;A81;12/3/2020_09:43:01;2 > 
CTC37;A81;12/3/2020_10:00:07;3 > 
CTC37;A81;12/3/2020_10:13:31;5 > 
CTC37;A81;12/3/2020_10:28:16;5 > 
CTC37;A81;12/3/2020_10:43:40;7 > 
CTC37;A81;12/3/2020_11:00:25;6 > 
CTC37;A81;12/3/2020_11:13:09;4 > 
CTC37;A81;12/3/2020_11:28:03;1 > 
CTC37;A81;12/3/2020_11:43:17;7 > 
CTC37;A81;12/3/2020_12:00:12;2 > 
CTC37;A81;12/3/2020_12:13:05;7 > 
CTC37;A81;12/3/2020_12:28:29;6 > 
CTC37;A81;12/3/2020_12:43:13;5 > 
CTC37;A81;12/3/2020_13:00:28;1 > 
CTC37;A81;12/3/2020_13:13:11;7 > 
CTC37;A81;12/3/2020_13:28:36;4 > 
CTC37;A81;12/3/2020_13:43:31;3 > 
CTC37;A81;12/3/2020_14:00:15;4 > 
CTC37;A81;12/3/2020_14:13:38;3 > 
CTC37;A81;12/3/2020_14:28:23;6 > 
CTC37;A81;12/3/2020_14:43:07;7 > 
CTC37;A81;12/3/2020_16:00:18;1 > 
CTC37;A81;12/3/2020_16:13:25;7 > 
CTC37;A81;12/3/2020_16:28:40;5 > 
CTC37;A81;12/3/2020_16:43:25;3 > 
CTC37;A81;13/3/2020_12:00:38;4 > 
CTC37;A81;13/3/2020_12:13:31;6 > 
CTC37;A81;13/3/2020_12:28:14;3 > 
CTC37;A81;13/3/2020_12:43:08;4 > 
CTC37;A81;13/3/2020_13:00:32;0 > 
CTC37;A81;13/3/2020_13:13:16;0 > 
CTC37;A81;13/3/2020_13:28:31;1 > 
CTC37;A81;13/3/2020_13:43:15;0 > 
CTC37;A81;13/3/2020_14:00:39;0 > 
CTC37;A81;13/3/2020_14:13:32;5 > 
CTC37;A81;13/3/2020_14:28:26;6 > 
CTC37;A81;13/3/2020_14:43:20;6 > 
CTC37;A81;14/3/2020_09:43:16;3 > 
CTC37;A81;14/3/2020_10:00:23;2 > 
CTC37;A81;14/3/2020_10:13:17;3 > 
CTC37;A81;14/3/2020_10:28:11;6 > 
CTC37;A81;14/3/2020_10:43:05;1 > 
CTC37;A81;14/3/2020_11:00:29;7 > 
CTC37;A81;14/3/2020_11:13:21;0 > 
CTC37;A81;14/3/2020_11:28:15;0 > 
CTC37;A81;14/3/2020_11:43:08;7 > 
CTC37;A81;14/3/2020_12:00:32;1 > 
CTC37;A81;14/3/2020_12:13:08;4 > 
CTC37;A81;17/3/2020_09:43:32;0 > 
CTC37;A81;17/3/2020_10:00:25;1 > 
CTC37;A81;17/3/2020_10:13:27;2 > 
