Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4A;A125;13/7/2020_10:13:23;7 > 
CTC4A;A125;13/7/2020_10:33:31;4 > 
CTC4A;A125;13/7/2020_10:53:33;7 > 
CTC4A;A67;13/7/2020_11:25:09;4 >= 
CTC4A;A125;13/7/2020_11:53:04;5 > 
CTC4A;A67;13/7/2020_12:01:30;7 >= 
CTC4A;A70;13/7/2020_12:55:10;6 > 
CTC4A;A70;13/7/2020_13:15:08;4 > 
CTC4A;A70;13/7/2020_13:25:39;6 > 
CTC4A;A70;13/7/2020_13:35:30;7 > 
CTC4A;A70;13/7/2020_13:57:37;4 > 
CTC4A;A70;13/7/2020_15:38:15;5 > 
CTC4A;A70;13/7/2020_16:38:10;4 > 
CTC4A;A70;13/7/2020_16:48:10;4 > 
CTC4A;A70;13/7/2020_17:00:40;5 > 
CTC4A;A70;13/7/2020_18:00:57;5 > 
CTC4A;A70;13/7/2020_18:18:12;4 > 
CTC4A;A70;13/7/2020_19:08:09;4 > 
CTC4A;A70;13/7/2020_20:08:17;6 > 
CTC4A;A70;13/7/2020_20:28:39;5 > 
CTC4A;A70;13/7/2020_22:08:26;5 > 
CTC4A;A70;13/7/2020_22:28:08;5 > 
CTC4A;A70;13/7/2020_23:00:22;5 > 
CTC4A;A70;13/7/2020_23:18:04;4 > 
CTC4A;A70;14/7/2020_00:00:17;6 > 
CTC4A;A70;14/7/2020_00:18:18;5 > 
CTC4A;A70;14/7/2020_00:28:19;4 > 
CTC4A;A70;14/7/2020_01:00:01;5 > 
CTC4A;A70;14/7/2020_01:08:32;5 > 
CTC4A;A70;14/7/2020_01:28:23;4 > 
CTC4A;A70;14/7/2020_01:38:14;4 > 
CTC4A;A70;14/7/2020_02:28:20;5 > 
CTC4A;A70;14/7/2020_02:48:21;5 > 
CTC4A;A70;14/7/2020_03:00:12;7 > 
CTC4A;A70;14/7/2020_03:08:13;7 > 
CTC4A;A70;14/7/2020_03:18:14;7 > 
CTC4A;A70;14/7/2020_03:38:05;7 > 
CTC4A;A70;14/7/2020_03:48:36;5 > 
CTC4A;A70;14/7/2020_04:00:36;5 > 
CTC4A;A70;14/7/2020_04:08:27;6 > 
CTC4A;A70;14/7/2020_04:18:18;6 > 
CTC4A;A70;14/7/2020_04:38:09;7 > 
CTC4A;A70;14/7/2020_04:48:00;5 > 
CTC4A;A70;14/7/2020_05:00:33;5 > 
CTC4A;A70;14/7/2020_05:08:34;5 > 
CTC4A;A70;14/7/2020_05:18:25;7 > 
CTC4A;A70;14/7/2020_05:28:26;6 > 
CTC4A;A70;14/7/2020_05:38:16;7 > 
CTC4A;A70;14/7/2020_05:48:07;7 > 
CTC4A;A70;14/7/2020_06:08:08;6 > 
CTC4A;A70;14/7/2020_06:28:30;7 > 
CTC4A;A70;14/7/2020_06:38:31;6 > 
CTC4A;A70;14/7/2020_06:48:31;6 > 
CTC4A;A70;14/7/2020_07:00:22;7 > 
CTC4A;A70;14/7/2020_07:08:13;4 > 
CTC4A;A70;14/7/2020_07:28:04;5 > 
CTC4A;A70;14/7/2020_07:38:35;6 > 
CTC4A;A70;14/7/2020_07:48:35;6 > 
CTC4A;A70;14/7/2020_08:08:19;7 > 
CTC4A;A1;14/7/2020_10:43:38;3 >= 
CTC4A;A1;14/7/2020_11:13:03;4 >= 
CTC4A;A1;14/7/2020_11:23:34;4 >= 
CTC4A;A1;14/7/2020_11:33:34;7 >= 
CTC4A;A29;23/7/2020_09:01:18;7 >= 
CTC4A;A25;23/7/2020_09:01:18;7 >= 
CTC4A;A32;23/7/2020_09:01:18;7 >= 
CTC4A;A33;23/7/2020_09:01:18;7 >= 
CTC4A;A29;23/7/2020_09:01:48;7 >= 
