Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4D;A128;13/7/2020_10:53:33;4 > 
CTC4D;A73;13/7/2020_12:46:35;6 > 
CTC4D;A73;13/7/2020_12:55:12;6 > 
CTC4D;A73;13/7/2020_13:15:08;7 > 
CTC4D;A73;13/7/2020_13:45:30;7 > 
CTC4D;A73;13/7/2020_13:57:37;7 > 
CTC4D;A73;13/7/2020_15:28:07;7 > 
CTC4D;A73;13/7/2020_16:01:00;6 > 
CTC4D;A73;13/7/2020_16:18:30;7 > 
CTC4D;A73;13/7/2020_16:28:46;6 > 
CTC4D;A73;13/7/2020_16:38:10;4 > 
CTC4D;A73;13/7/2020_16:48:10;7 > 
CTC4D;A73;13/7/2020_17:00:40;4 > 
CTC4D;A73;13/7/2020_17:28:22;7 > 
CTC4D;A73;13/7/2020_17:38:12;6 > 
CTC4D;A73;13/7/2020_18:18:15;6 > 
CTC4D;A73;13/7/2020_18:38:33;7 > 
CTC4D;A73;13/7/2020_18:48:05;5 > 
CTC4D;A73;13/7/2020_19:00:09;6 > 
CTC4D;A73;13/7/2020_19:08:09;5 > 
CTC4D;A73;13/7/2020_19:18:00;5 > 
CTC4D;A73;13/7/2020_19:38:31;4 > 
CTC4D;A73;13/7/2020_19:48:22;4 > 
CTC4D;A73;13/7/2020_20:00:17;5 > 
CTC4D;A73;13/7/2020_21:00:21;5 > 
CTC4D;A73;13/7/2020_21:18:22;4 > 
CTC4D;A73;13/7/2020_21:28:13;4 > 
CTC4D;A73;13/7/2020_21:48:35;7 > 
CTC4D;A73;13/7/2020_22:08:26;5 > 
CTC4D;A73;13/7/2020_22:18:17;4 > 
CTC4D;A73;13/7/2020_23:08:13;6 > 
CTC4D;A73;13/7/2020_23:18:04;6 > 
CTC4D;A73;13/7/2020_23:28:04;6 > 
CTC4D;A73;13/7/2020_23:38:35;4 > 
CTC4D;A73;14/7/2020_00:18:18;6 > 
CTC4D;A73;14/7/2020_00:48:10;5 > 
CTC4D;A73;14/7/2020_01:00:01;6 > 
CTC4D;A73;14/7/2020_01:08:32;5 > 
CTC4D;A73;14/7/2020_01:18:23;4 > 
CTC4D;A73;14/7/2020_01:28:23;4 > 
CTC4D;A73;14/7/2020_02:00:28;6 > 
CTC4D;A73;14/7/2020_02:08:29;7 > 
CTC4D;A73;14/7/2020_02:18:30;5 > 
CTC4D;A73;14/7/2020_02:38:21;7 > 
CTC4D;A73;14/7/2020_03:00:12;5 > 
CTC4D;A73;14/7/2020_03:08:13;7 > 
CTC4D;A73;14/7/2020_03:18:14;5 > 
CTC4D;A73;14/7/2020_03:48:36;7 > 
CTC4D;A73;14/7/2020_04:28:19;6 > 
CTC4D;A73;14/7/2020_04:48:00;5 > 
CTC4D;A73;14/7/2020_05:00:33;5 > 
CTC4D;A73;14/7/2020_05:18:25;6 > 
CTC4D;A73;14/7/2020_05:28:26;6 > 
CTC4D;A73;14/7/2020_06:00:08;4 > 
CTC4D;A73;14/7/2020_06:08:08;5 > 
CTC4D;A73;14/7/2020_06:38:31;7 > 
CTC4D;A73;14/7/2020_06:48:31;6 > 
CTC4D;A73;14/7/2020_07:00:22;5 > 
CTC4D;A73;14/7/2020_07:18:13;7 > 
CTC4D;A73;14/7/2020_07:38:35;5 > 
CTC4D;A73;14/7/2020_08:08:19;6 > 
CTC4D;A4;14/7/2020_10:43:38;4 > 
CTC4D;A4;14/7/2020_10:53:29;5 > 
CTC4D;A4;14/7/2020_11:33:34;4 > 
CTC4D;A4;14/7/2020_11:47:04;5 > 
CTC4D;A4;27/7/2020_08:46:35;4 > 
CTC4D;A4;27/7/2020_09:00:15;5 > 
CTC4D;A4;27/7/2020_09:00:55;4 > 
CTC4D;A4;27/7/2020_09:01:35;5 > 
CTC4D;A4;27/7/2020_09:02:55;4 > 
CTC4D;A4;27/7/2020_09:03:26;6 > 
CTC4D;A4;27/7/2020_10:00:20;6 > 
CTC4D;A4;27/7/2020_10:02:51;5 > 
CTC4D;A4;27/7/2020_10:03:31;7 > 
CTC4D;A4;27/7/2020_11:01:44;6 > 
