Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4F;A130;13/7/2020_10:33:31;4 > 
CTC4F;A130;13/7/2020_10:53:33;7 > 
CTC4F;A130;13/7/2020_11:13:02;4 > 
CTC4F;A130;13/7/2020_11:53:04;7 > 
CTC4F;A130;13/7/2020_12:13:29;4 > 
CTC4F;A75;13/7/2020_13:05:08;4 > 
CTC4F;A75;13/7/2020_13:25:39;4 > 
CTC4F;A75;13/7/2020_13:35:30;6 > 
CTC4F;A75;13/7/2020_15:38:21;4 > 
CTC4F;A75;13/7/2020_15:48:24;6 > 
CTC4F;A75;13/7/2020_16:28:49;6 > 
CTC4F;A75;13/7/2020_16:38:10;5 > 
CTC4F;A75;13/7/2020_17:08:30;5 > 
CTC4F;A75;13/7/2020_17:28:22;6 > 
CTC4F;A75;13/7/2020_18:01:02;5 > 
CTC4F;A75;13/7/2020_18:08:17;4 > 
CTC4F;A75;13/7/2020_18:29:06;5 > 
CTC4F;A75;13/7/2020_18:48:05;5 > 
CTC4F;A75;13/7/2020_19:00:09;5 > 
CTC4F;A75;13/7/2020_19:18:00;5 > 
CTC4F;A75;13/7/2020_19:38:31;5 > 
CTC4F;A75;13/7/2020_19:48:22;6 > 
CTC4F;A75;13/7/2020_20:00:17;4 > 
CTC4F;A75;13/7/2020_20:38:30;4 > 
CTC4F;A75;13/7/2020_20:48:21;5 > 
CTC4F;A75;13/7/2020_21:00:21;7 > 
CTC4F;A75;13/7/2020_21:28:13;4 > 
CTC4F;A75;13/7/2020_21:38:04;7 > 
CTC4F;A75;13/7/2020_21:48:35;5 > 
CTC4F;A75;13/7/2020_22:38:39;4 > 
CTC4F;A75;13/7/2020_22:48:30;6 > 
CTC4F;A75;13/7/2020_23:08:13;4 > 
CTC4F;A75;13/7/2020_23:28:04;5 > 
CTC4F;A75;13/7/2020_23:38:35;5 > 
CTC4F;A75;13/7/2020_23:48:26;7 > 
CTC4F;A75;14/7/2020_00:08:17;7 > 
CTC4F;A75;14/7/2020_00:48:10;6 > 
CTC4F;A75;14/7/2020_01:18:23;4 > 
