Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4G;A131;13/7/2020_10:13:23;4 > 
CTC4G;A131;13/7/2020_10:33:31;7 > 
CTC4G;A131;13/7/2020_10:53:33;6 > 
CTC4G;A131;13/7/2020_11:13:02;4 > 
CTC4G;A76;13/7/2020_12:46:35;7 > 
CTC4G;A76;13/7/2020_13:35:30;5 > 
CTC4G;A76;13/7/2020_13:45:30;7 > 
CTC4G;A76;13/7/2020_13:57:37;4 > 
CTC4G;A76;13/7/2020_14:05:05;7 > 
CTC4G;A76;13/7/2020_15:28:07;7 > 
CTC4G;A76;13/7/2020_15:48:25;7 > 
CTC4G;A76;13/7/2020_16:48:10;4 > 
CTC4G;A76;13/7/2020_17:18:21;5 > 
CTC4G;A76;13/7/2020_17:38:12;6 > 
CTC4G;A76;13/7/2020_17:48:03;6 > 
CTC4G;A76;13/7/2020_18:08:19;7 > 
CTC4G;A76;13/7/2020_18:38:33;5 > 
CTC4G;A76;13/7/2020_19:18:00;4 > 
CTC4G;A76;13/7/2020_19:28:00;7 > 
CTC4G;A76;13/7/2020_20:00:17;7 > 
CTC4G;A76;13/7/2020_20:08:17;4 > 
CTC4G;A76;13/7/2020_20:18:08;6 > 
CTC4G;A76;13/7/2020_20:38:30;7 > 
CTC4G;A76;13/7/2020_21:00:21;5 > 
CTC4G;A76;13/7/2020_21:08:22;5 > 
CTC4G;A76;13/7/2020_21:28:13;4 > 
CTC4G;A76;13/7/2020_21:38:04;5 > 
CTC4G;A76;13/7/2020_21:48:35;6 > 
CTC4G;A76;13/7/2020_22:00:26;4 > 
CTC4G;A76;13/7/2020_22:08:26;5 > 
CTC4G;A76;13/7/2020_22:28:08;7 > 
CTC4G;A76;13/7/2020_22:48:30;5 > 
CTC4G;A76;13/7/2020_23:00:22;7 > 
CTC4G;A76;13/7/2020_23:28:04;6 > 
CTC4G;A76;13/7/2020_23:38:35;6 > 
CTC4G;A76;14/7/2020_00:00:17;4 > 
CTC4G;A76;14/7/2020_00:08:17;6 > 
CTC4G;A76;14/7/2020_01:00:01;4 > 
CTC4G;A76;14/7/2020_01:08:32;6 > 
CTC4G;A76;14/7/2020_01:38:14;7 > 
CTC4G;A76;14/7/2020_02:08:29;4 > 
CTC4G;A76;14/7/2020_02:18:30;7 > 
CTC4G;A76;14/7/2020_02:38:21;4 > 
CTC4G;A76;14/7/2020_03:08:13;5 > 
CTC4G;A76;14/7/2020_03:18:14;6 > 
CTC4G;A76;14/7/2020_03:28:14;4 > 
CTC4G;A76;14/7/2020_04:00:37;4 > 
CTC4G;A76;14/7/2020_04:28:19;5 > 
CTC4G;A76;14/7/2020_04:38:09;4 > 
CTC4G;A76;14/7/2020_05:00:33;6 > 
CTC4G;A76;14/7/2020_05:18:25;4 > 
CTC4G;A76;14/7/2020_06:08:08;5 > 
CTC4G;A76;14/7/2020_07:00:22;5 > 
CTC4G;A76;14/7/2020_07:18:13;4 > 
CTC4G;A76;14/7/2020_07:38:35;7 > 
CTC4G;A7;14/7/2020_10:53:29;6 > 
CTC4G;A7;14/7/2020_11:03:03;4 > 
CTC4G;A7;14/7/2020_11:33:34;7 > 
CTC4G;A7;14/7/2020_11:47:04;4 > 
CTC4G;A7;23/7/2020_09:01:17;5 > 
CTC4G;A7;23/7/2020_09:01:48;5 > 
CTC4G;A7;23/7/2020_09:02:19;5 > 
CTC4G;A7;23/7/2020_09:02:59;5 > 
CTC4G;A7;23/7/2020_09:03:40;5 > 
CTC4G;A7;23/7/2020_09:04:10;5 > 
CTC4G;A7;27/7/2020_09:01:35;4 > 
CTC4G;A7;27/7/2020_09:02:15;6 > 
CTC4G;A7;27/7/2020_09:02:55;4 > 
CTC4G;A7;27/7/2020_10:00:20;4 > 
CTC4G;A7;27/7/2020_10:01:40;4 > 
CTC4G;A7;27/7/2020_10:02:11;4 > 
CTC4G;A7;27/7/2020_10:02:51;5 > 
CTC4G;A7;27/7/2020_11:00:24;7 > 
CTC4G;A7;27/7/2020_11:01:44;7 > 
CTC4G;A7;27/7/2020_12:00:29;6 > 
CTC4G;A7;27/7/2020_12:03:09;4 > 
CTC4G;A7;27/7/2020_13:01:14;4 > 
CTC4G;A7;27/7/2020_13:02:34;4 > 
CTC4G;A7;27/7/2020_14:00:35;7 > 
CTC4G;A7;27/7/2020_14:08:35;7 > 
CTC4G;A7;27/7/2020_14:18:26;7 > 
CTC4G;A7;27/7/2020_14:28:17;7 > 
CTC4G;A7;27/7/2020_14:38:18;7 > 
CTC4G;A7;27/7/2020_14:48:09;7 > 
CTC4G;A7;27/7/2020_15:00:00;7 > 
CTC4G;A7;27/7/2020_15:08:31;7 > 
CTC4G;A7;28/7/2020_08:28:22;4 > 
CTC4G;A7;28/7/2020_08:38:04;6 > 
CTC4G;A7;28/7/2020_09:08:27;5 > 
CTC4G;A7;28/7/2020_09:18:28;7 > 
CTC4G;A7;28/7/2020_09:28:19;5 > 
